generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	18.19       	0.007912    	0.01047     	0.008507    
10          	10          	17.24       	0.01486     	0.01796     	0.01361     
15          	10          	16.52       	0.01716     	0.02546     	0.01768     
20          	10          	15.86       	0.02253     	0.03042     	0.02072     
25          	10          	15.3        	0.02253     	0.0349      	0.02339     
30          	10          	14.77       	0.02314     	0.04039     	0.02502     
35          	10          	14.38       	0.02394     	0.0422      	0.02461     
40          	10          	14.17       	0.0237      	0.04496     	0.02546     
45          	10          	13.59       	0.02452     	0.04977     	0.02851     
50          	10          	13.38       	0.02685     	0.05307     	0.0268      
55          	10          	12.94       	0.02652     	0.05039     	0.02683     
60          	10          	12.81       	0.02821     	0.05485     	0.02833     
65          	10          	12.4        	0.02866     	0.05276     	0.02915     
70          	10          	12.07       	0.03126     	0.06165     	0.03129     
75          	10          	11.79       	0.02856     	0.05861     	0.02896     
80          	10          	11.65       	0.02971     	0.05982     	0.0309      
85          	10          	11.36       	0.02983     	0.05908     	0.0312      
90          	10          	11.08       	0.03247     	0.06058     	0.03147     
95          	10          	10.94       	0.03069     	0.05953     	0.03238     
100         	10          	10.73       	0.03036     	0.05887     	0.03266     
105         	10          	10.62       	0.02908     	0.0544      	0.0267      
110         	10          	10.41       	0.02773     	0.05945     	0.0294      
115         	10          	10.16       	0.02988     	0.05927     	0.02827     
120         	10          	10          	0.03095     	0.06002     	0.02785     
125         	10          	9.927       	0.02673     	0.05635     	0.0294      
130         	10          	9.753       	0.02927     	0.0644      	0.02908     
135         	10          	9.62        	0.02948     	0.05932     	0.02724     
140         	10          	9.417       	0.02786     	0.05861     	0.02826     
145         	10          	9.355       	0.02837     	0.05916     	0.02807     
150         	10          	9.308       	0.0255      	0.05635     	0.02723     
155         	10          	9.067       	0.02788     	0.05932     	0.02709     
160         	10          	8.993       	0.026       	0.05556     	0.02852     
165         	10          	8.903       	0.02809     	0.05951     	0.02857     
170         	10          	8.727       	0.02792     	0.05463     	0.02502     
175         	10          	8.652       	0.02496     	0.05495     	0.02804     
180         	10          	8.575       	0.02729     	0.05826     	0.02966     
185         	10          	8.49        	0.02657     	0.05754     	0.03091     
190         	10          	8.34        	0.0296      	0.06013     	0.02817     
195         	10          	8.237       	0.02731     	0.06136     	0.02991     
200         	10          	8.122       	0.02585     	0.05866     	0.02923     
205         	10          	8.023       	0.02627     	0.05824     	0.03055     
210         	10          	8.013       	0.02644     	0.05808     	0.03013     
215         	10          	7.935       	0.02383     	0.05323     	0.02919     
220         	10          	7.917       	0.02465     	0.05373     	0.02751     
225         	10          	7.808       	0.02796     	0.05568     	0.02543     
230         	10          	7.763       	0.02551     	0.06051     	0.02949     
235         	10          	7.672       	0.02845     	0.05368     	0.02773     
240         	10          	7.62        	0.02965     	0.05906     	0.03072     
245         	10          	7.493       	0.03243     	0.06097     	0.03137     
250         	10          	7.447       	0.02972     	0.06007     	0.02782     
255         	10          	7.407       	0.03051     	0.05713     	0.03016     
260         	10          	7.337       	0.028       	0.05581     	0.02638     
265         	10          	7.28        	0.02965     	0.05401     	0.0257      
270         	10          	7.263       	0.02939     	0.05007     	0.02673     
275         	10          	7.207       	0.02629     	0.05183     	0.0255      
280         	10          	7.108       	0.02736     	0.05256     	0.02691     
285         	10          	7.09        	0.02947     	0.05517     	0.02731     
290         	10          	7.027       	0.02763     	0.05566     	0.02286     
295         	10          	6.918       	0.02413     	0.0528      	0.02705     
300         	10          	6.868       	0.02931     	0.05515     	0.02421     
305         	10          	6.835       	0.0293      	0.05324     	0.02821     
310         	10          	6.757       	0.02567     	0.05326     	0.02549     
315         	10          	6.803       	0.02576     	0.05148     	0.02514     
320         	10          	6.683       	0.02565     	0.05391     	0.02852     
325         	10          	6.655       	0.02658     	0.05253     	0.02782     
330         	10          	6.627       	0.02448     	0.05777     	0.031       
335         	10          	6.525       	0.02538     	0.05653     	0.03275     
340         	10          	6.47        	0.02473     	0.05476     	0.02623     
345         	10          	6.388       	0.03066     	0.06205     	0.033       
350         	10          	6.355       	0.02425     	0.05677     	0.03307     
355         	10          	6.303       	0.0266      	0.05484     	0.02907     
360         	10          	6.267       	0.02672     	0.05794     	0.032       
365         	10          	6.192       	0.0284      	0.05867     	0.03167     
370         	10          	6.095       	0.03045     	0.0589      	0.03267     
375         	10          	6.108       	0.02562     	0.05909     	0.03133     
380         	10          	6.007       	0.02994     	0.05643     	0.03478     
385         	10          	5.948       	0.03301     	0.06149     	0.03416     
390         	10          	5.937       	0.03167     	0.06013     	0.02615     
395         	10          	5.928       	0.02813     	0.06122     	0.03239     
400         	10          	5.888       	0.02614     	0.06452     	0.03058     
405         	10          	5.868       	0.02995     	0.05848     	0.03192     
410         	10          	5.828       	0.03327     	0.06301     	0.02672     
415         	10          	5.742       	0.03028     	0.05748     	0.02767     
420         	10          	5.733       	0.03496     	0.06142     	0.03035     
425         	10          	5.742       	0.03528     	0.0647      	0.02631     
