replicate   	generation  	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
1           	5           	18.2        	0.007594    	0.0102      	0.008342    
1           	10          	17.43       	0.01371     	0.01487     	0.00833     
1           	15          	16.52       	0.01424     	0.0311      	0.01608     
1           	20          	16.17       	0.01922     	0.03104     	0.01221     
1           	25          	15.17       	0.02511     	0.03683     	0.01802     
1           	30          	14.4        	0.03136     	0.05143     	0.03215     
1           	35          	14.25       	0.02155     	0.04535     	0.0272      
1           	40          	13.63       	0.02846     	0.04853     	0.02387     
1           	45          	13.2        	0.02802     	0.05594     	0.03093     
1           	50          	13.23       	0.02815     	0.05793     	0.03434     
1           	55          	13.13       	0.01988     	0.05648     	0.02856     
1           	60          	12.67       	0.02315     	0.05628     	0.03305     
1           	65          	12.35       	0.03218     	0.05972     	0.0326      
1           	70          	11.98       	0.03293     	0.05447     	0.03841     
1           	75          	12.08       	0.02455     	0.05271     	0.02724     
1           	80          	11.98       	0.02668     	0.05683     	0.03265     
1           	85          	11.5        	0.01886     	0.05082     	0.03575     
1           	90          	11.45       	0.02579     	0.04516     	0.0299      
1           	95          	10.95       	0.02496     	0.04813     	0.03195     
1           	100         	10.62       	0.01857     	0.05871     	0.03444     
1           	105         	10.43       	0.02614     	0.0458      	0.02132     
1           	110         	10.33       	0.02429     	0.04929     	0.02429     
1           	115         	10.23       	0.03706     	0.05087     	0.01512     
1           	120         	9.9         	0.03464     	0.06365     	0.03154     
1           	125         	10.03       	0.03431     	0.04863     	0.02581     
1           	130         	9.817       	0.02589     	0.05617     	0.03555     
1           	135         	9.583       	0.02453     	0.05793     	0.03022     
1           	140         	9.45        	0.0171      	0.04007     	0.02704     
1           	145         	9.483       	0.02416     	0.04735     	0.02518     
1           	150         	9.05        	0.02135     	0.06229     	0.03824     
1           	155         	9.217       	0.01965     	0.04751     	0.02282     
1           	160         	8.967       	0.01758     	0.04809     	0.02517     
1           	165         	8.867       	0.02256     	0.04051     	0.023       
1           	170         	8.433       	0.01951     	0.04191     	0.02661     
1           	175         	8.633       	0.02403     	0.04377     	0.02557     
1           	180         	8.317       	0.0157      	0.02982     	0.02633     
1           	185         	8.133       	0.02234     	0.04091     	0.03258     
1           	190         	7.933       	0.02439     	0.04505     	0.02956     
1           	195         	7.7         	0.02873     	0.06355     	0.0414      
1           	200         	7.783       	0.03162     	0.04632     	0.02807     
1           	205         	7.7         	0.02692     	0.0525      	0.04193     
1           	210         	7.55        	0.01994     	0.05046     	0.02759     
1           	215         	7.617       	0.01481     	0.03469     	0.02365     
1           	220         	7.467       	0.01998     	0.03912     	0.03087     
1           	225         	7.617       	0.03265     	0.04421     	0.02201     
1           	230         	7.433       	0.0245      	0.0478      	0.01775     
1           	235         	7.533       	0.03507     	0.04993     	0.01703     
1           	240         	7.5         	0.03295     	0.03665     	0.03036     
1           	245         	7.617       	0.03109     	0.04179     	0.01692     
1           	250         	7.317       	0.02966     	0.04819     	0.01398     
1           	255         	7.3         	0.02452     	0.03582     	0.01659     
1           	260         	7.367       	0.02872     	0.04337     	0.02161     
1           	265         	7.167       	0.03381     	0.04382     	0.01983     
1           	270         	7.317       	0.04062     	0.06123     	0.03096     
1           	275         	7.183       	0.02882     	0.0535      	0.02028     
1           	280         	7.117       	0.02558     	0.05037     	0.01627     
1           	285         	6.8         	0.02684     	0.04567     	0.02234     
1           	290         	6.783       	0.01111     	0.04546     	0.02187     
1           	295         	6.8         	0.03089     	0.0459      	0.02391     
1           	300         	6.517       	0.02717     	0.03751     	0.0165      
1           	305         	6.783       	0.02424     	0.04428     	0.01453     
1           	310         	6.3         	0.02146     	0.03387     	0.0192      
1           	315         	6.533       	0.04129     	0.04585     	0.01633     
1           	320         	6.267       	0.02524     	0.05363     	0.01948     
1           	325         	6.233       	0.02877     	0.05656     	0.02715     
1           	330         	6.4         	0.02805     	0.0642      	0.02515     
1           	335         	6.433       	0.03157     	0.07767     	0.04185     
1           	340         	6.233       	0.02585     	0.06521     	0.03603     
1           	345         	6.317       	0.02726     	0.07537     	0.04093     
1           	350         	6.35        	0.03187     	0.07096     	0.0269      
1           	355         	5.967       	0.04399     	0.08324     	0.04327     
1           	360         	6           	0.04013     	0.07677     	0.04145     
1           	365         	6.183       	0.0303      	0.05882     	0.03795     
1           	370         	5.917       	0.05044     	0.08877     	0.04221     
1           	375         	6.017       	0.03759     	0.08584     	0.04884     
1           	380         	6.017       	0.04916     	0.09532     	0.05022     
1           	385         	5.95        	0.0393      	0.07641     	0.05151     
1           	390         	5.817       	0.05131     	0.07374     	0.02874     
1           	395         	5.883       	0.02398     	0.06079     	0.03823     
1           	400         	5.817       	0.02189     	0.07759     	0.04687     
1           	405         	5.833       	0.01885     	0.05524     	0.03494     
1           	410         	5.783       	0.03602     	0.06946     	0.02833     
1           	415         	5.867       	0.03196     	0.05007     	0.02368     
1           	420         	5.633       	0.03648     	0.05922     	0.03044     
1           	425         	5.7         	0.02119     	0.07102     	0.03211     
1           	430         	5.8         	0.01612     	0.04624     	0.0308      
1           	435         	5.817       	0.03231     	0.06126     	0.02372     
1           	440         	5.65        	0.01901     	0.05328     	0.04079     
1           	445         	5.683       	0.03922     	0.04311     	0.03465     
1           	450         	5.683       	0.02623     	0.07371     	0.03361     
1           	455         	5.583       	0.01462     	0.0512      	0.03018     
1           	460         	5.767       	0.02673     	0.0691      	0.03408     
1           	465         	5.583       	0.01574     	0.05801     	0.02365     
1           	470         	5.617       	0.01583     	0.06048     	0.03388     
1           	475         	5.6         	0.02435     	0.06367     	0.0402      
1           	480         	5.65        	0.02056     	0.04276     	0.01708     
1           	485         	5.683       	0.03575     	0.05588     	0.01899     
1           	490         	5.517       	0.01471     	0.05856     	0.02692     
1           	495         	5.5         	0.0219      	0.04801     	0.02072     
1           	500         	5.383       	0.02224     	0.0557      	0.03468     
1           	505         	5.383       	0.02354     	0.05166     	0.02619     
1           	510         	5.317       	0.02304     	0.07583     	0.03241     
1           	515         	5.5         	0.0414      	0.07282     	0.03923     
1           	520         	5.433       	0.03261     	0.0574      	0.03034     
1           	525         	5.333       	0.03337     	0.06961     	0.03358     
1           	530         	5.367       	0.03569     	0.05446     	0.02609     
1           	535         	5.4         	0.02309     	0.06184     	0.02975     
1           	540         	5.167       	0.0319      	0.0786      	0.02238     
1           	545         	5.4         	0.02673     	0.04843     	0.02647     
1           	550         	5.283       	0.01575     	0.05146     	0.02891     
1           	555         	5.183       	0.01872     	0.06103     	0.03824     
1           	560         	5.25        	0.02186     	0.04592     	0.0165      
1           	565         	5.233       	0.01866     	0.04549     	0.03025     
1           	570         	5.183       	0.04531     	0.06032     	0.03283     
1           	575         	5.15        	0.03913     	0.05211     	0.02125     
1           	580         	5.1         	0.02395     	0.03877     	0.03102     
1           	585         	5.3         	0.02387     	0.04497     	0.01958     
1           	590         	5.217       	0.01763     	0.0364      	0.0178      
1           	595         	5.233       	0.03106     	0.03866     	0.02269     
1           	600         	5.3         	0.01786     	0.02898     	0.0261      
1           	605         	5.217       	0.02195     	0.04299     	0.03456     
1           	610         	5.2         	0.02304     	0.03966     	0.02393     
1           	615         	5.217       	0.0164      	0.05573     	0.03152     
1           	620         	5.167       	0.01907     	0.05137     	0.02295     
1           	625         	5.217       	0.02082     	0.03419     	0.02314     
1           	630         	5.25        	0.0196      	0.03393     	0.01839     
1           	635         	5.183       	0.017       	0.04667     	0.02523     
1           	640         	5.15        	0.02507     	0.05331     	0.03276     
1           	645         	5.067       	0.01292     	0.0551      	0.02688     
1           	650         	5.217       	0.01793     	0.06169     	0.02658     
1           	655         	5.183       	0.01396     	0.05675     	0.037       
1           	660         	5           	0.03186     	0.06175     	0.02486     
1           	665         	4.933       	0.03309     	0.05801     	0.03275     
1           	670         	5.1         	0.02113     	0.0607      	0.02511     
1           	675         	4.933       	0.03775     	0.0708      	0.02078     
1           	680         	5.133       	0.03561     	0.07347     	0.03046     
1           	685         	5.017       	0.04478     	0.07998     	0.0343      
1           	690         	4.85        	0.04216     	0.06176     	0.03019     
1           	695         	4.9         	0.03595     	0.08708     	0.02902     
1           	700         	4.9         	0.02636     	0.06258     	0.03903     
1           	705         	4.883       	0.03093     	0.09516     	0.04559     
1           	710         	4.8         	0.02669     	0.05698     	0.04073     
1           	715         	5.033       	0.03175     	0.06047     	0.02523     
1           	720         	4.95        	0.03589     	0.06268     	0.03439     
1           	725         	4.85        	0.02263     	0.06419     	0.0305      
1           	730         	4.933       	0.03735     	0.08322     	0.03566     
1           	735         	4.883       	0.02118     	0.06751     	0.04939     
1           	740         	4.883       	0.01852     	0.04084     	0.02608     
1           	745         	4.883       	0.02748     	0.03844     	0.01854     
1           	750         	4.917       	0.02439     	0.02941     	0.03749     
1           	755         	4.8         	0.01734     	0.03142     	0.01367     
1           	760         	4.767       	0.01572     	0.04817     	0.01955     
1           	765         	4.717       	0.02939     	0.04207     	0.03073     
1           	770         	4.733       	0.02507     	0.05323     	0.01714     
1           	775         	4.8         	0.02892     	0.04638     	0.01291     
1           	780         	4.617       	0.02739     	0.05013     	0.01461     
1           	785         	4.717       	0.02538     	0.04445     	0.02143     
1           	790         	4.667       	0.02863     	0.0485      	0.02226     
1           	795         	4.65        	0.03355     	0.05056     	0.01909     
1           	800         	4.55        	0.03357     	0.05612     	0.02335     
1           	805         	4.767       	0.02893     	0.04681     	0.02846     
1           	810         	4.667       	0.03669     	0.05387     	0.01899     
1           	815         	4.533       	0.02769     	0.03734     	0.0234      
1           	820         	4.583       	0.03154     	0.04328     	0.009756    
1           	825         	4.467       	0.04188     	0.05939     	0.02146     
1           	830         	4.567       	0.02623     	0.07479     	0.02471     
1           	835         	4.333       	0.01607     	0.05001     	0.01946     
1           	840         	4.383       	0.02694     	0.05164     	0.04201     
1           	845         	4.333       	0.03299     	0.07158     	0.0331      
1           	850         	4.4         	0.03653     	0.06238     	0.03652     
1           	855         	4.4         	0.01394     	0.05363     	0.03541     
1           	860         	4.517       	0.01902     	0.06334     	0.03318     
1           	865         	4.45        	0.03146     	0.04386     	0.01626     
1           	870         	4.4         	0.02415     	0.04653     	0.02962     
1           	875         	4.533       	0.0304      	0.04748     	0.03253     
1           	880         	4.533       	0.02877     	0.05328     	0.04262     
1           	885         	4.35        	0.01678     	0.07436     	0.04901     
1           	890         	4.433       	0.02431     	0.05254     	0.03132     
1           	895         	4.4         	0.02912     	0.05576     	0.01575     
1           	900         	4.317       	0.0286      	0.04207     	0.007052    
1           	905         	4.5         	0.01667     	0.02914     	0.01902     
1           	910         	4.433       	0.01925     	0.04474     	0.01436     
1           	915         	4.467       	0.02877     	0.07705     	0.02106     
1           	920         	4.6         	0.02095     	0.06341     	0.03491     
1           	925         	4.5         	0.0406      	0.06896     	0.02298     
1           	930         	4.233       	0.04414     	0.08846     	0.02819     
1           	935         	4.233       	0.03269     	0.06272     	0.02817     
1           	940         	4.3         	0.03917     	0.04691     	0.02064     
1           	945         	4.267       	0.04108     	0.06057     	0.02026     
1           	950         	4.3         	0.02517     	0.0601      	0.01829     
1           	955         	4.317       	0.03586     	0.06103     	0.01103     
1           	960         	4.3         	0.0391      	0.04729     	0.02548     
1           	965         	4.217       	0.03071     	0.04852     	0.03019     
1           	970         	4.333       	0.0301      	0.05074     	0.02275     
1           	975         	4.3         	0.02892     	0.06779     	0.03067     
1           	980         	4.133       	0.01709     	0.06319     	0.04712     
1           	985         	4.2         	0.01226     	0.05711     	0.02627     
1           	990         	4.017       	0.03841     	0.05097     	0.01581     
1           	995         	4.25        	0.03719     	0.06238     	0.02682     
1           	1000        	4.05        	0.03126     	0.07002     	0.03323     
1           	1005        	4.217       	0.02948     	0.04912     	0.04315     
1           	1010        	4.183       	0.03036     	0.05811     	0.03836     
1           	1015        	4.183       	0.02583     	0.0728      	0.01465     
1           	1020        	4.333       	0.02401     	0.0576      	0.01809     
1           	1025        	4.233       	0.02794     	0.04948     	0.03063     
1           	1030        	4.217       	0.04003     	0.07611     	0.02508     
1           	1035        	4.283       	0.04437     	0.05814     	0.0162      
1           	1040        	4.117       	0.04335     	0.07119     	0.02432     
1           	1045        	4.35        	0.03572     	0.04364     	0.02476     
1           	1050        	4.2         	0.02759     	0.0435      	0.0111      
1           	1055        	4.283       	0.02462     	0.04625     	0.01491     
1           	1060        	4.217       	0.01798     	0.04003     	0.01449     
1           	1065        	4.333       	0.0312      	0.05554     	0.007383    
1           	1070        	4.35        	0.0234      	0.04017     	0.03154     
1           	1075        	4.433       	0.01677     	0.05017     	0.03658     
1           	1080        	4.433       	0.02032     	0.05161     	0.02259     
1           	1085        	4.35        	0.02918     	0.08015     	0.03467     
1           	1090        	4.283       	0.02506     	0.06752     	0.03665     
1           	1095        	4.317       	0.04218     	0.05156     	0.04104     
