generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	0.007336    	3.664e-06   	5.001e-06   	4.842e-06   
10          	10          	0.04349     	1.046e-05   	6.343e-06   	7.751e-06   
15          	10          	0.05333     	1.995e-05   	1.691e-05   	9.539e-06   
20          	10          	0.07828     	3.867e-05   	1.253e-05   	3.253e-05   
25          	10          	0.1243      	2.047e-05   	1.971e-05   	2.792e-05   
30          	10          	0.04101     	3.615e-05   	5.251e-05   	4.064e-05   
35          	10          	0.06114     	1.734e-05   	2.799e-05   	1.446e-05   
40          	10          	0.133       	1.45e-05    	4.792e-05   	8.502e-06   
45          	10          	0.2194      	1.532e-05   	4.554e-05   	9.808e-06   
50          	10          	0.1169      	2.952e-05   	7.894e-05   	2.193e-05   
55          	10          	0.08818     	3.932e-05   	6.689e-05   	3.344e-05   
60          	10          	0.132       	5.63e-05    	4.557e-05   	3.224e-05   
65          	10          	0.07182     	3.577e-05   	4.849e-05   	1.678e-05   
70          	10          	0.1059      	2.574e-05   	5.689e-05   	5.19e-05    
75          	10          	0.05261     	2.981e-05   	4.562e-05   	3.703e-05   
80          	10          	0.06436     	4.92e-05    	6.329e-05   	2.328e-05   
85          	10          	0.05557     	5.15e-05    	3.571e-05   	3.493e-05   
90          	10          	0.05539     	6.769e-05   	7.071e-05   	2.475e-05   
95          	10          	0.04379     	1.562e-05   	3.802e-05   	4.602e-05   
100         	10          	0.05214     	4.191e-05   	4.263e-05   	3.966e-05   
105         	10          	0.08139     	7.703e-05   	0.0001236   	2.003e-05   
110         	10          	0.1234      	7.736e-05   	4.533e-05   	3.877e-05   
115         	10          	0.09395     	3.13e-05    	5.082e-05   	4.496e-05   
120         	10          	0.1202      	4.356e-05   	9.457e-05   	3.278e-05   
125         	10          	0.1741      	4.215e-05   	1.877e-05   	2.817e-05   
130         	10          	0.1534      	4.265e-05   	6.425e-05   	3.064e-05   
135         	10          	0.1677      	7.369e-05   	9.717e-05   	3.64e-05    
140         	10          	0.1516      	3.457e-05   	0.0001195   	6.025e-05   
145         	10          	0.1449      	4.075e-05   	0.0001462   	3.366e-05   
150         	10          	0.1293      	3.467e-05   	5.686e-05   	6.844e-05   
155         	10          	0.1589      	2.708e-05   	0.0001153   	5.048e-05   
160         	10          	0.153       	3.388e-05   	8.998e-05   	1.654e-05   
