generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	18.73       	0.002681    	0.003566    	0.0023      
10          	10          	18.52       	0.003491    	0.006455    	0.003684    
15          	10          	18.41       	0.00334     	0.006673    	0.003736    
20          	10          	18.14       	0.004121    	0.007007    	0.004418    
25          	10          	18          	0.00377     	0.008158    	0.003145    
30          	10          	17.82       	0.004225    	0.009228    	0.004211    
35          	10          	17.64       	0.00347     	0.009172    	0.004156    
40          	10          	17.37       	0.00423     	0.01024     	0.004536    
45          	10          	17.23       	0.003519    	0.008793    	0.004048    
50          	10          	17.09       	0.004473    	0.008247    	0.003363    
55          	10          	16.92       	0.004072    	0.008042    	0.003912    
60          	10          	16.79       	0.003375    	0.009119    	0.003736    
65          	10          	16.53       	0.003611    	0.01043     	0.005033    
70          	10          	16.46       	0.005015    	0.01015     	0.00493     
75          	10          	16.29       	0.003732    	0.01003     	0.004694    
80          	10          	16.18       	0.003809    	0.01021     	0.004338    
85          	10          	15.95       	0.004342    	0.008784    	0.004092    
90          	10          	15.89       	0.003773    	0.009297    	0.003783    
95          	10          	15.58       	0.005908    	0.009746    	0.003915    
100         	10          	15.57       	0.003973    	0.00844     	0.003613    
105         	10          	15.35       	0.004532    	0.008367    	0.00464     
110         	10          	15.24       	0.005143    	0.01061     	0.00423     
115         	10          	15.22       	0.004087    	0.0101      	0.003728    
120         	10          	15.02       	0.005066    	0.01039     	0.004634    
125         	10          	14.77       	0.005499    	0.01035     	0.00558     
130         	10          	14.76       	0.003967    	0.009777    	0.00496     
135         	10          	14.65       	0.003793    	0.00914     	0.00496     
140         	10          	14.55       	0.00253     	0.008495    	0.004061    
145         	10          	14.41       	0.004551    	0.009114    	0.00488     
150         	10          	14.23       	0.004081    	0.009356    	0.004378    
155         	10          	14.15       	0.004489    	0.0105      	0.003543    
160         	10          	13.88       	0.006769    	0.01003     	0.006802    
165         	10          	13.92       	0.003184    	0.009976    	0.003751    
170         	10          	13.77       	0.003514    	0.00892     	0.002539    
175         	10          	13.59       	0.003733    	0.008775    	0.004043    
180         	10          	13.52       	0.004452    	0.007775    	0.00304     
185         	10          	13.38       	0.005267    	0.009802    	0.003728    
190         	10          	13.22       	0.004185    	0.009492    	0.004404    
195         	10          	13.24       	0.00575     	0.007634    	0.004014    
200         	10          	13.15       	0.0038      	0.009794    	0.00408     
205         	10          	13.09       	0.004029    	0.008695    	0.004912    
210         	10          	12.97       	0.004652    	0.0104      	0.004629    
215         	10          	12.79       	0.00413     	0.009116    	0.003071    
220         	10          	12.8        	0.004572    	0.009582    	0.003814    
225         	10          	12.68       	0.005515    	0.009845    	0.004511    
230         	10          	12.58       	0.005074    	0.01008     	0.004092    
235         	10          	12.6        	0.003535    	0.009093    	0.005708    
240         	10          	12.51       	0.004477    	0.009731    	0.004694    
245         	10          	12.46       	0.004564    	0.008052    	0.004417    
250         	10          	12.38       	0.002741    	0.007684    	0.004346    
255         	10          	12.37       	0.003324    	0.008729    	0.003763    
260         	10          	12.3        	0.003773    	0.009132    	0.00398     
265         	10          	12.22       	0.002579    	0.008689    	0.004345    
270         	10          	12.19       	0.002667    	0.007395    	0.003605    
275         	10          	12.13       	0.004697    	0.009891    	0.00356     
280         	10          	12.05       	0.004989    	0.008797    	0.00546     
285         	10          	11.96       	0.004564    	0.009333    	0.004067    
290         	10          	11.9        	0.004235    	0.008914    	0.002841    
295         	10          	11.84       	0.004287    	0.009289    	0.003288    
300         	10          	11.64       	0.004626    	0.009684    	0.003109    
305         	10          	11.57       	0.003798    	0.009484    	0.004355    
310         	10          	11.49       	0.004811    	0.009171    	0.004961    
315         	10          	11.52       	0.004139    	0.01082     	0.003976    
320         	10          	11.46       	0.005017    	0.009706    	0.003719    
325         	10          	11.4        	0.003666    	0.01022     	0.003728    
330         	10          	11.45       	0.003136    	0.008438    	0.002327    
335         	10          	11.32       	0.003979    	0.009438    	0.003738    
340         	10          	11.27       	0.003739    	0.009942    	0.004735    
345         	10          	11.32       	0.00364     	0.01103     	0.004094    
350         	10          	11.22       	0.003592    	0.009852    	0.001791    
355         	10          	11.1        	0.004313    	0.008668    	0.003379    
360         	10          	11.14       	0.004795    	0.008952    	0.006526    
365         	10          	11.11       	0.003035    	0.00734     	0.004345    
370         	10          	10.96       	0.00263     	0.006782    	0.003407    
375         	10          	10.89       	0.002785    	0.008946    	0.003512    
380         	10          	10.81       	0.004004    	0.0102      	0.004195    
385         	10          	10.77       	0.005299    	0.01041     	0.004487    
390         	10          	10.75       	0.004085    	0.009172    	0.004336    
395         	10          	10.7        	0.003884    	0.008425    	0.003644    
400         	10          	10.64       	0.004235    	0.01039     	0.005884    
405         	10          	10.54       	0.006382    	0.01098     	0.004998    
410         	10          	10.55       	0.004444    	0.008744    	0.004458    
415         	10          	10.48       	0.004012    	0.008604    	0.004967    
420         	10          	10.38       	0.003687    	0.009       	0.004321    
425         	10          	10.36       	0.005769    	0.01045     	0.00397     
430         	10          	10.45       	0.003344    	0.008763    	0.00381     
435         	10          	10.29       	0.003659    	0.008733    	0.004028    
440         	10          	10.24       	0.004869    	0.008922    	0.005645    
445         	10          	10.23       	0.00462     	0.008559    	0.003844    
450         	10          	10.22       	0.004961    	0.01014     	0.005872    
455         	10          	10.16       	0.003556    	0.007846    	0.005865    
460         	10          	10.11       	0.005972    	0.009884    	0.004884    
465         	10          	10.06       	0.005635    	0.009991    	0.003458    
470         	10          	10.07       	0.003903    	0.008246    	0.002121    
475         	10          	9.987       	0.003361    	0.007748    	0.0028      
480         	10          	9.982       	0.003358    	0.009056    	0.004525    
485         	10          	9.882       	0.002788    	0.007896    	0.004237    
490         	10          	9.91        	0.003408    	0.009419    	0.004075    
495         	10          	9.898       	0.004128    	0.008889    	0.003911    
500         	10          	9.873       	0.004852    	0.008761    	0.004305    
505         	10          	9.772       	0.005761    	0.01027     	0.003529    
510         	10          	9.77        	0.004238    	0.009195    	0.004072    
515         	10          	9.653       	0.004368    	0.009074    	0.006       
520         	10          	9.64        	0.005623    	0.008433    	0.003345    
525         	10          	9.55        	0.005278    	0.01012     	0.004967    
530         	10          	9.58        	0.003353    	0.00944     	0.004197    
535         	10          	9.503       	0.00447     	0.00801     	0.003308    
540         	10          	9.547       	0.007009    	0.009235    	0.005429    
545         	10          	9.537       	0.003369    	0.009043    	0.004927    
550         	10          	9.493       	0.002757    	0.009398    	0.003541    
555         	10          	9.405       	0.004998    	0.01154     	0.005506    
560         	10          	9.293       	0.005474    	0.01044     	0.005315    
565         	10          	9.288       	0.004583    	0.008964    	0.005314    
570         	10          	9.368       	0.004464    	0.008779    	0.003965    
575         	10          	9.248       	0.005927    	0.01056     	0.002796    
580         	10          	9.257       	0.00443     	0.009809    	0.00399     
585         	10          	9.142       	0.003874    	0.009381    	0.005549    
590         	10          	9.15        	0.002872    	0.008915    	0.004916    
595         	10          	9.122       	0.006006    	0.01023     	0.00459     
600         	10          	9.073       	0.004491    	0.009265    	0.004097    
605         	10          	9.058       	0.005038    	0.0108      	0.00371     
610         	10          	9.07        	0.003426    	0.01018     	0.004857    
615         	10          	9.067       	0.002893    	0.008194    	0.003514    
620         	10          	8.965       	0.004688    	0.007583    	0.005508    
625         	10          	8.998       	0.004327    	0.009269    	0.004086    
