replicate   	generation  	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
1           	5           	18.72       	0.002573    	0.002979    	0.001723    
1           	10          	18.4        	0.001386    	0.006687    	0.005282    
1           	15          	18.38       	7.091e-05   	0.004379    	0.004655    
1           	20          	17.95       	0.005152    	0.00747     	0.002086    
1           	25          	17.75       	0.004905    	0.01336     	0.00586     
1           	30          	17.95       	0.002614    	0.01109     	0.003318    
1           	35          	17.28       	0.007494    	0.01634     	0.005845    
1           	40          	17.52       	0.004887    	0.01022     	0.001261    
1           	45          	17.3        	0.006939    	0.01102     	0.005017    
1           	50          	17.15       	0.005308    	0.008565    	0.003819    
1           	55          	17.07       	0.006718    	0.007759    	0.006471    
1           	60          	17.22       	0.003322    	0.005517    	0.003451    
1           	65          	16.47       	0.00385     	0.01159     	0.0035      
1           	70          	16.6        	0.002101    	0.006716    	0.002243    
1           	75          	16.3        	0.003234    	0.007852    	0.0009724   
1           	80          	16.3        	0.00497     	0.01088     	0.001948    
1           	85          	15.92       	0.001346    	0.008251    	-0.0006072  
1           	90          	15.95       	0.001969    	0.009691    	0.00177     
1           	95          	15.77       	0.003544    	0.008617    	0.001746    
1           	100         	15.78       	0.002481    	0.008289    	0.004546    
1           	105         	15.58       	0.001967    	0.007569    	0.00217     
1           	110         	15.2        	0.005778    	0.01083     	0.003354    
1           	115         	15.33       	0.0008969   	0.01258     	0.007377    
1           	120         	15.12       	0.004748    	0.01066     	0.002865    
1           	125         	14.95       	0.006534    	0.008497    	0.004221    
1           	130         	14.75       	0.003162    	0.008325    	0.005164    
1           	135         	14.58       	0.002306    	0.013       	0.004376    
1           	140         	14.5        	-0.0005591  	0.008156    	0.004964    
1           	145         	14.42       	0.003165    	0.01295     	0.00295     
1           	150         	14.43       	0.005068    	0.01228     	0.0006205   
1           	155         	14.25       	0.006259    	0.01409     	0.003368    
1           	160         	13.93       	0.005982    	0.008956    	0.006291    
1           	165         	13.67       	0.004       	0.01109     	0.002249    
1           	170         	13.37       	0.007256    	0.01593     	0.003131    
1           	175         	13.38       	0.003888    	0.007683    	0.003735    
1           	180         	13.4        	0.006129    	0.008771    	0.004138    
1           	185         	13.42       	0.005084    	0.009318    	0.002121    
1           	190         	13.33       	0.004588    	0.01123     	0.006343    
1           	195         	13.52       	0.009883    	0.008958    	0.003894    
1           	200         	13.25       	0.00352     	0.01376     	0.005904    
1           	205         	13.32       	0.006995    	0.01046     	0.006255    
1           	210         	13.37       	0.002289    	0.008464    	0.003697    
1           	215         	13.07       	0.004447    	0.007553    	-0.001838   
1           	220         	12.92       	0.005688    	0.0108      	0.001648    
1           	225         	13.05       	0.003024    	0.006609    	0.004052    
1           	230         	13.18       	0.006558    	0.008561    	-0.001147   
1           	235         	13.12       	0.003973    	0.00832     	0.004118    
1           	240         	12.9        	0.004461    	0.008126    	0.005315    
1           	245         	12.93       	-0.001176   	0.005235    	0.001004    
1           	250         	12.58       	0.003075    	0.005139    	0.001748    
