generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	0.02675     	5.626e-07   	5.155e-07   	2.726e-06   
10          	10          	0.01611     	4.55e-06    	3.018e-06   	5.315e-06   
15          	10          	0.01429     	3.986e-06   	4.279e-06   	4.744e-06   
20          	10          	0.03139     	2.725e-06   	6.411e-06   	1.774e-06   
25          	10          	0.0166      	4.996e-07   	3.762e-06   	3.261e-06   
30          	10          	0.03439     	2.868e-06   	2.236e-06   	4.179e-06   
35          	10          	0.03323     	4.744e-06   	7.324e-06   	3.109e-06   
40          	10          	0.01383     	4.553e-06   	6.363e-06   	6.391e-06   
45          	10          	0.008511    	2.686e-06   	4.214e-06   	3.194e-06   
50          	10          	0.01368     	2.141e-06   	1.095e-06   	1.762e-06   
55          	10          	0.04768     	4.017e-06   	8.084e-06   	5.808e-06   
60          	10          	0.08461     	2.872e-06   	6.018e-06   	2.097e-06   
65          	10          	0.054       	3.068e-06   	5.348e-06   	1.668e-06   
70          	10          	0.03393     	4.3e-06     	3.165e-06   	4.317e-06   
75          	10          	0.02111     	1.882e-06   	8.284e-06   	4.439e-06   
80          	10          	0.04677     	3.713e-06   	8.936e-06   	3.964e-06   
85          	10          	0.087       	3.37e-06    	5.765e-06   	5.848e-06   
90          	10          	0.1121      	2.217e-06   	3.732e-06   	5.441e-06   
95          	10          	0.07578     	7.257e-06   	5.217e-06   	2.922e-06   
100         	10          	0.07941     	4.275e-06   	1.319e-05   	6.024e-06   
105         	10          	0.1769      	4.823e-06   	1.424e-06   	2.007e-06   
110         	10          	0.1045      	1.689e-06   	2.483e-06   	2.676e-06   
115         	10          	0.08636     	6.134e-06   	7.557e-06   	3.019e-06   
120         	10          	0.1134      	1.322e-05   	6.008e-06   	9.936e-06   
125         	10          	0.09939     	7.005e-06   	4.358e-06   	2.419e-06   
130         	10          	0.1278      	1.831e-06   	5.226e-06   	4.871e-07   
135         	10          	0.09378     	5.799e-06   	2.545e-06   	3.085e-06   
140         	10          	0.09725     	1.448e-05   	8.607e-06   	1.286e-06   
145         	10          	0.1046      	7.622e-06   	4.819e-06   	2.988e-06   
150         	10          	0.1004      	1.748e-06   	6.598e-06   	3.348e-06   
155         	10          	0.04464     	1.709e-06   	6.659e-06   	1.365e-06   
160         	10          	0.1107      	6.099e-06   	4.355e-06   	1.021e-05   
