generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	17.6        	0.01089     	0.01476     	0.01103     
10          	10          	16.2        	0.01769     	0.02974     	0.01752     
15          	10          	14.97       	0.02083     	0.03997     	0.01968     
20          	10          	14.4        	0.02024     	0.03997     	0.01938     
25          	10          	13.74       	0.01981     	0.04174     	0.02014     
30          	10          	12.98       	0.02068     	0.04319     	0.02186     
35          	10          	12.4        	0.0227      	0.04432     	0.0212      
40          	10          	11.88       	0.02295     	0.04405     	0.01695     
45          	10          	11.31       	0.02254     	0.04812     	0.02312     
50          	10          	10.78       	0.02254     	0.04445     	0.02123     
55          	10          	10.46       	0.01896     	0.04204     	0.02285     
60          	10          	10.11       	0.02198     	0.04765     	0.02125     
65          	10          	9.85        	0.02168     	0.04763     	0.02155     
70          	10          	9.453       	0.01919     	0.0462      	0.02254     
75          	10          	9.083       	0.02302     	0.04662     	0.02207     
80          	10          	8.838       	0.02352     	0.04817     	0.02137     
85          	10          	8.625       	0.02092     	0.04434     	0.02239     
90          	10          	8.388       	0.0208      	0.0457      	0.02216     
95          	10          	8.243       	0.02218     	0.04697     	0.02041     
100         	10          	7.965       	0.02233     	0.04904     	0.02541     
105         	10          	7.813       	0.0235      	0.04217     	0.01901     
110         	10          	7.63        	0.02116     	0.03739     	0.01972     
115         	10          	7.36        	0.02267     	0.0413      	0.02031     
120         	10          	7.173       	0.02067     	0.04418     	0.02161     
125         	10          	6.965       	0.02206     	0.04814     	0.02671     
130         	10          	6.812       	0.02389     	0.05037     	0.02358     
135         	10          	6.678       	0.02209     	0.05323     	0.02279     
140         	10          	6.518       	0.02253     	0.05073     	0.02595     
145         	10          	6.463       	0.02166     	0.05502     	0.02419     
150         	10          	6.358       	0.0229      	0.04973     	0.02373     
155         	10          	6.233       	0.02386     	0.05424     	0.02267     
160         	10          	6.092       	0.02281     	0.04886     	0.02079     
165         	10          	6.085       	0.02652     	0.04872     	0.02265     
170         	10          	6.002       	0.02542     	0.05429     	0.02556     
175         	10          	5.832       	0.0276      	0.05132     	0.02487     
180         	10          	5.693       	0.02809     	0.05329     	0.0218      
185         	10          	5.663       	0.02271     	0.04945     	0.01733     
190         	10          	5.518       	0.02828     	0.05334     	0.02386     
195         	10          	5.49        	0.01946     	0.04576     	0.02146     
200         	10          	5.438       	0.02049     	0.04103     	0.02144     
205         	10          	5.335       	0.02054     	0.04975     	0.02006     
210         	10          	5.293       	0.01952     	0.04794     	0.02312     
