replicate   	generation  	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
1           	5           	17.75       	0.01003     	0.01327     	0.008112    
1           	10          	16.22       	0.01821     	0.02988     	0.01286     
1           	15          	14.93       	0.02143     	0.04028     	0.02537     
1           	20          	14.38       	0.0248      	0.04781     	0.02072     
1           	25          	13.57       	0.02941     	0.05299     	0.02451     
1           	30          	13.3        	0.02225     	0.0443      	0.02393     
1           	35          	12.38       	0.02628     	0.05147     	0.02107     
1           	40          	12.07       	0.01939     	0.03868     	0.01571     
1           	45          	11.7        	0.01032     	0.04027     	0.01932     
1           	50          	10.83       	0.01824     	0.04921     	0.03181     
1           	55          	10.5        	0.01707     	0.06071     	0.04014     
1           	60          	10.3        	0.01041     	0.04456     	0.01981     
1           	65          	10.08       	0.02596     	0.05367     	0.01922     
1           	70          	9.183       	0.02592     	0.03886     	0.01621     
1           	75          	8.75        	0.01732     	0.02795     	0.01493     
1           	80          	8.967       	0.03054     	0.03889     	0.01295     
1           	85          	8.65        	0.0193      	0.04239     	0.02212     
1           	90          	8.517       	0.02637     	0.04845     	0.02151     
1           	95          	8.1         	0.02711     	0.05026     	0.01678     
1           	100         	8.133       	0.02813     	0.04409     	0.01711     
1           	105         	8.083       	0.02682     	0.04178     	0.01173     
1           	110         	7.783       	0.02699     	0.03505     	0.0199      
1           	115         	7.283       	0.03383     	0.04929     	0.02288     
1           	120         	7.4         	0.02979     	0.04348     	0.009858    
1           	125         	7.05        	0.02768     	0.04635     	0.01708     
1           	130         	6.733       	0.04837     	0.07064     	0.02597     
1           	135         	6.483       	0.01984     	0.05723     	0.0208      
1           	140         	6.45        	0.01731     	0.04379     	0.01966     
1           	145         	6.55        	0.0235      	0.05768     	0.01577     
1           	150         	6.633       	0.0122      	0.03791     	0.02837     
1           	155         	6.483       	0.03254     	0.04423     	0.03187     
1           	160         	6.2         	0.01432     	0.03844     	0.02735     
1           	165         	6.25        	0.03066     	0.04738     	0.02391     
1           	170         	6           	0.02828     	0.05691     	0.01991     
1           	175         	5.917       	0.01426     	0.03045     	0.01638     
1           	180         	5.817       	0.02755     	0.06636     	0.02049     
1           	185         	6.083       	0.01554     	0.04318     	0.0157      
1           	190         	5.683       	0.0435      	0.05838     	0.02591     
1           	195         	5.717       	0.01909     	0.03998     	0.02022     
1           	200         	5.617       	0.02193     	0.03671     	0.02722     
1           	205         	5.55        	0.0251      	0.04288     	0.0198      
1           	210         	5.617       	0.02734     	0.04254     	0.01382     
1           	215         	5.5         	0.02506     	0.04763     	0.01238     
1           	220         	5.233       	0.02044     	0.04172     	0.01333     
1           	225         	5.283       	0.02628     	0.05014     	0.0157      
1           	230         	5.067       	0.02128     	0.05079     	0.02615     
1           	235         	4.95        	0.01952     	0.05493     	0.03176     
1           	240         	5.083       	0.03631     	0.04768     	0.02922     
1           	245         	4.817       	0.01425     	0.05233     	0.0525      
1           	250         	4.7         	0.0245      	0.04158     	0.02763     
1           	255         	4.817       	0.03553     	0.04406     	0.02049     
1           	260         	4.733       	0.02281     	0.03476     	0.01734     
1           	265         	4.983       	0.01788     	0.02654     	0.01349     
1           	270         	4.917       	0.02399     	0.04644     	0.01906     
1           	275         	4.8         	0.02789     	0.03387     	0.005648    
1           	280         	4.833       	0.01193     	0.04161     	0.01349     
1           	285         	4.633       	0.03389     	0.04495     	0.01489     
1           	290         	4.7         	0.01259     	0.047       	0.02406     
1           	295         	4.683       	0.005517    	0.03452     	0.02477     
1           	300         	4.633       	0.02356     	0.06585     	0.04483     
1           	305         	4.617       	0.0166      	0.05958     	0.03057     
1           	310         	4.633       	0.02179     	0.05901     	0.02305     
1           	315         	4.617       	0.03475     	0.0582      	0.03462     
1           	320         	4.583       	0.02544     	0.05981     	0.0272      
1           	325         	4.433       	0.01798     	0.06481     	0.02808     
1           	330         	4.55        	0.01583     	0.0583      	0.01765     
1           	335         	4.333       	0.02495     	0.06016     	0.0184      
1           	340         	4.3         	0.02942     	0.06052     	0.02351     
1           	345         	4.367       	0.01869     	0.05365     	0.0152      
1           	350         	4.067       	0.0172      	0.03166     	0.01802     
1           	355         	4.283       	0.01699     	0.03215     	0.0238      
1           	360         	4.167       	0.02347     	0.04285     	0.007422    
1           	365         	4.133       	0.01537     	0.02592     	0.01619     
1           	370         	4.1         	0.03354     	0.04103     	0.01728     
1           	375         	4.217       	0.02622     	0.05545     	0.02201     
1           	380         	4.133       	0.01624     	0.04455     	0.01545     
1           	385         	3.983       	0.015       	0.02803     	0.0101      
1           	390         	3.833       	0.01602     	0.04212     	0.02357     
1           	395         	3.617       	0.02356     	0.04466     	0.02187     
1           	400         	3.733       	0.01744     	0.04592     	0.03147     
1           	405         	3.567       	0.01981     	0.05248     	0.0274      
1           	410         	3.733       	0.01795     	0.03302     	0.008409    
1           	415         	3.567       	0.02774     	0.06103     	0.01535     
1           	420         	3.667       	0.0289      	0.04244     	0.03053     
1           	425         	3.533       	0.009112    	0.05501     	0.02636     
1           	430         	3.567       	0.01981     	0.04225     	0.02549     
1           	435         	3.483       	0.00821     	0.03039     	0.02309     
1           	440         	3.6         	0.01308     	0.06114     	0.03356     
1           	445         	3.417       	0.01701     	0.03737     	0.0207      
1           	450         	3.45        	0.02518     	0.03454     	0.02709     
1           	455         	3.35        	0.03424     	0.05907     	0.02211     
1           	460         	3.267       	0.0565      	0.04157     	0.02314     
1           	465         	3.267       	0.02967     	0.05122     	0.0146      
1           	470         	3.283       	0.03594     	0.06977     	0.02413     
1           	475         	3.233       	0.01624     	0.04588     	0.02237     
1           	480         	3.267       	0.01802     	0.04365     	0.02915     
1           	485         	3.333       	0.006206    	0.02926     	0.02105     
1           	490         	3.383       	0.03259     	0.04961     	0.02843     
1           	495         	3.383       	0.01516     	0.0421      	0.0219      
1           	500         	3.267       	-0.001781   	0.03993     	0.02936     
1           	505         	3.233       	0.01569     	0.05124     	0.01257     
1           	510         	3.117       	0.02296     	0.04732     	0.03913     
1           	515         	3.183       	0.018       	0.03692     	0.02327     
1           	520         	3.133       	0.01452     	0.03826     	0.01898     
1           	525         	3.067       	0.02468     	0.08492     	0.03694     
1           	530         	3.067       	0.008047    	0.02544     	0.009232    
1           	535         	3.033       	0.0167      	0.02703     	0.01516     
1           	540         	2.95        	0.02386     	0.03344     	0.02661     
1           	545         	2.967       	0.02499     	0.04316     	0.0005326   
1           	550         	2.983       	0.01577     	0.05916     	0.03242     
1           	555         	3.05        	0.01989     	0.04795     	0.01163     
1           	560         	2.917       	0.02035     	0.03137     	0.02933     
1           	565         	3           	0.0143      	0.01987     	0.0211      
1           	570         	2.917       	0.02346     	0.04483     	0.02015     
1           	575         	2.95        	0.01322     	0.03324     	0.01808     
1           	580         	3.05        	0.03238     	0.02089     	0.02507     
1           	585         	2.8         	0.04787     	0.05142     	0.04081     
1           	590         	2.9         	0.008211    	0.02707     	0.01561     
1           	595         	2.767       	0.02132     	0.01894     	0.004688    
1           	600         	2.667       	0.003268    	0.02943     	0.01623     
1           	605         	2.667       	0.02255     	0.03273     	0.02811     
1           	610         	2.867       	0.01137     	0.03726     	0.01265     
1           	615         	2.817       	0.01762     	0.02893     	0.007514    
1           	620         	2.967       	0.02428     	0.01433     	0.004922    
1           	625         	2.75        	0.007378    	0.02052     	0.02003     
1           	630         	2.817       	0.009663    	0.0135      	0.003457    
1           	635         	2.767       	0.02388     	0.02539     	0.0129      
1           	640         	2.933       	0.01695     	0.0352      	0.009844    
1           	645         	2.8         	0.03164     	0.06385     	0.01881     
1           	650         	3.083       	0.03191     	0.03724     	0.01112     
1           	655         	3.017       	0.02055     	0.04662     	0.01361     
1           	660         	3           	0.01419     	0.04183     	0.02234     
1           	665         	3.083       	0.02266     	0.06145     	0.02217     
1           	670         	2.933       	0.02647     	0.06213     	0.02751     
1           	675         	3.067       	0.01135     	0.063       	0.02597     
1           	680         	2.933       	0.02649     	0.05612     	0.01559     
1           	685         	3.067       	0.01324     	0.04086     	0.02313     
1           	690         	3.033       	0.02375     	0.04648     	0.01954     
1           	695         	2.95        	0.03458     	0.03933     	0.01333     
1           	700         	2.917       	0.007064    	0.04028     	0.01172     
1           	705         	2.8         	0.006997    	0.01792     	0.01977     
1           	710         	2.867       	0.001158    	0.04403     	0.04105     
1           	715         	2.767       	0.02929     	0.03836     	0.03773     
1           	720         	2.917       	0.04679     	0.04654     	0.03226     
1           	725         	2.933       	0.02238     	0.0364      	0.01895     
1           	730         	3           	-0.001317   	0.03214     	0.01276     
1           	735         	2.983       	0.01282     	0.04698     	0.01688     
1           	740         	2.983       	0.01666     	0.02746     	0.02068     
1           	745         	2.95        	0.000974    	0.03179     	0.02284     
1           	750         	2.917       	0.009572    	0.02452     	0.02026     
1           	755         	2.867       	0.0303      	0.04394     	0.02569     
1           	760         	2.933       	0.01527     	0.04507     	0.01141     
1           	765         	2.9         	0.01804     	0.02217     	0.0306      
