generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	0.03582     	1.025e-05   	6.187e-06   	5.354e-06   
10          	10          	0.07956     	2.748e-05   	2.631e-05   	2.769e-05   
15          	10          	0.04814     	4.84e-05    	4.508e-05   	3.103e-05   
20          	10          	0.05722     	4.468e-05   	6.773e-05   	7.656e-06   
25          	10          	0.02895     	2.997e-05   	6.129e-05   	2.61e-05    
30          	10          	0.1336      	2.812e-05   	6.809e-05   	3.363e-05   
35          	10          	0.04156     	1.545e-05   	6.166e-05   	1.805e-05   
40          	10          	0.082       	2.306e-05   	2.883e-05   	2.607e-05   
45          	10          	0.07956     	0.0001074   	0.000101    	3.988e-05   
50          	10          	0.1199      	4.623e-05   	0.0001152   	4.116e-05   
55          	10          	0.07382     	8.265e-06   	9.28e-05    	5.915e-05   
60          	10          	0.05154     	3.289e-05   	4.698e-05   	2.539e-05   
65          	10          	0.06078     	2.838e-05   	6.674e-05   	1.903e-05   
70          	10          	0.08199     	1.683e-05   	8.382e-05   	2.583e-05   
75          	10          	0.1031      	4.734e-05   	9.466e-05   	5.8e-05     
80          	10          	0.08195     	3.741e-05   	0.0001041   	3.311e-05   
85          	10          	0.13        	2.569e-05   	2.996e-05   	1.261e-05   
90          	10          	0.07284     	2.734e-05   	3.828e-05   	2.597e-05   
95          	10          	0.09946     	5.378e-05   	7.508e-05   	4.909e-05   
100         	10          	0.05725     	2.669e-05   	8.266e-05   	6.001e-05   
105         	10          	0.05066     	4.537e-05   	4.31e-05    	5.444e-05   
110         	10          	0.03138     	5.004e-05   	6.331e-05   	8.664e-06   
115         	10          	0.05523     	3.419e-05   	6.022e-05   	3.448e-05   
120         	10          	0.05584     	3.854e-05   	6.988e-05   	6.789e-05   
125         	10          	0.02008     	5.125e-05   	0.0001891   	5.808e-05   
130         	10          	0.04006     	9.389e-05   	0.0001115   	4.132e-05   
135         	10          	0.04295     	6.023e-05   	0.0002487   	3.941e-05   
140         	10          	0.03314     	7.921e-06   	0.0001085   	2.373e-05   
145         	10          	0.01954     	4.298e-05   	8.37e-05    	3.95e-05    
150         	10          	0.0259      	7.25e-05    	0.000149    	4.557e-05   
155         	10          	0.044       	5.903e-05   	7.105e-05   	4.571e-05   
160         	10          	0.02251     	3.488e-05   	0.0002926   	4.835e-05   
165         	10          	0.02236     	2.69e-05    	0.0001469   	6.27e-05    
170         	10          	0.01914     	2.93e-05    	0.0001199   	3.451e-05   
175         	10          	0.01897     	6.811e-05   	0.0001779   	4e-05       
180         	10          	0.0184      	4.329e-05   	0.0001205   	4.434e-05   
185         	10          	0.02738     	5.957e-05   	0.0001171   	8.297e-05   
190         	10          	0.02775     	0.0001189   	7.354e-05   	6.675e-05   
195         	10          	0.03618     	4.302e-05   	4.965e-05   	2.972e-05   
200         	10          	0.05334     	6.66e-05    	5.368e-05   	6.238e-05   
205         	10          	0.06386     	3.819e-05   	4.668e-05   	6.926e-05   
210         	10          	0.05307     	4.07e-05    	0.0001395   	6.484e-05   
215         	10          	0.03846     	7.174e-05   	0.0001928   	4.193e-05   
220         	10          	0.05195     	4.421e-05   	7.724e-05   	8.328e-05   
225         	10          	0.07041     	9.31e-05    	4.367e-05   	4.857e-05   
230         	10          	0.06956     	0.0001164   	0.0001759   	3.206e-05   
235         	10          	0.04251     	3.924e-05   	0.000127    	6.206e-05   
240         	10          	0.05589     	5.157e-05   	7.406e-05   	2.86e-05    
245         	10          	0.0656      	5.093e-05   	0.0001815   	0.0001421   
250         	10          	0.04589     	3.321e-05   	0.0002312   	2.921e-05   
255         	10          	0.04407     	6.184e-05   	0.0001083   	3.235e-05   
260         	10          	0.04139     	3.495e-05   	9.947e-05   	6.756e-05   
265         	10          	0.1021      	6.396e-05   	0.000219    	5.933e-05   
270         	10          	0.06846     	3.803e-05   	0.0001335   	5.207e-05   
275         	10          	0.0779      	0.0001303   	7.526e-05   	5.716e-05   
280         	10          	0.05211     	9.265e-05   	0.0001199   	5.892e-05   
285         	10          	0.04578     	4.591e-05   	7.759e-05   	2.615e-05   
290         	10          	0.04017     	6.156e-05   	6.714e-05   	8.704e-05   
295         	10          	0.0553      	8.775e-05   	0.0001044   	5.053e-05   
300         	10          	0.05057     	0.000186    	0.0001108   	0.0001082   
305         	10          	0.05173     	8.443e-05   	7.778e-05   	7.668e-05   
310         	10          	0.05843     	6.521e-05   	0.0001043   	6.486e-05   
315         	10          	0.056       	7.707e-05   	9.425e-05   	0.0001155   
320         	10          	0.03754     	8.116e-05   	0.0001513   	0.0001074   
325         	10          	0.02908     	5.995e-05   	0.0001704   	7.941e-05   
330         	10          	0.04283     	5.708e-05   	0.0001703   	9.409e-05   
335         	10          	0.02068     	0.000105    	0.0002511   	2.634e-05   
340         	10          	0.01151     	2.122e-05   	0.0001601   	9.983e-05   
345         	10          	0.03362     	7.124e-05   	7.918e-05   	4.789e-05   
350         	10          	0.0096      	1.718e-05   	0.0001698   	4.145e-05   
355         	10          	0.02772     	7.983e-05   	0.0005521   	0.0001454   
360         	10          	0.01869     	7.365e-05   	0.0002745   	9.214e-05   
365         	10          	0.01957     	0.0002227   	0.0004452   	0.0001454   
370         	10          	0.04534     	6.166e-05   	0.0001647   	8.87e-05    
375         	10          	0.04832     	7.616e-05   	0.0001405   	8.546e-05   
380         	10          	0.05293     	0.0001313   	0.0002587   	7.606e-05   
385         	10          	0.03644     	9.849e-05   	0.0003843   	0.0001613   
390         	10          	0.02118     	4.785e-05   	0.0001973   	5.555e-05   
395         	10          	0.0401      	0.0001011   	0.0001514   	2.188e-05   
400         	10          	0.04634     	0.0001684   	0.0001297   	8.066e-05   
405         	10          	0.03443     	9.871e-05   	0.0001256   	5.335e-05   
410         	10          	0.02991     	8.744e-05   	0.0001845   	0.0001653   
415         	10          	0.02517     	4.323e-05   	0.0002098   	8.677e-05   
420         	10          	0.0338      	4.058e-05   	0.0002136   	4.767e-05   
425         	10          	0.04093     	0.0001183   	0.0002536   	0.0001365   
430         	10          	0.03499     	8.575e-05   	0.0003746   	3.853e-05   
435         	10          	0.04004     	4.179e-05   	0.000146    	7.14e-05    
440         	10          	0.0395      	0.0001766   	0.0001529   	9.576e-05   
445         	10          	0.03307     	7.626e-05   	0.0001773   	5.006e-05   
450         	10          	0.03722     	4.232e-05   	6.272e-05   	3.962e-05   
455         	10          	0.04541     	6.702e-05   	0.0001982   	0.0001613   
460         	10          	0.06414     	0.0002067   	0.0005367   	9.265e-05   
465         	10          	0.05028     	0.0001695   	0.0001916   	8.713e-05   
470         	10          	0.04099     	9.291e-05   	0.0001635   	2.387e-05   
475         	10          	0.05851     	8.25e-05    	0.0001919   	0.0001252   
480         	10          	0.04323     	6.485e-05   	0.0001022   	5.14e-05    
485         	10          	0.06197     	0.00027     	0.0001415   	0.0001046   
490         	10          	0.07246     	0.0001525   	0.0002542   	6.069e-05   
495         	10          	0.05203     	4.986e-05   	0.0002691   	9.536e-05   
500         	10          	0.04419     	0.0001559   	0.0001152   	3.546e-05   
505         	10          	0.0474      	3.553e-05   	0.0001232   	5.736e-05   
510         	10          	0.0664      	0.0001047   	0.0001401   	5.987e-05   
515         	10          	0.03991     	5.74e-05    	0.0001299   	2.728e-05   
520         	10          	0.03986     	3.944e-05   	0.0002722   	0.0001139   
525         	10          	0.04023     	4.54e-05    	0.0002179   	8.058e-05   
530         	10          	0.03658     	0.0001625   	0.0002691   	7.289e-05   
535         	10          	0.04756     	9.643e-05   	0.0004061   	0.0001386   
540         	10          	0.04061     	6.226e-05   	0.0001461   	2.974e-05   
545         	10          	0.03554     	0.0001194   	0.0002514   	7.85e-05    
550         	10          	0.02288     	9.167e-05   	0.0001627   	6.58e-05    
555         	10          	0.03034     	2.258e-05   	0.0001179   	4.549e-05   
560         	10          	0.03456     	8.386e-05   	0.0001697   	7.638e-05   
565         	10          	0.06778     	6.558e-05   	0.0001972   	4.11e-05    
570         	10          	0.05516     	5.49e-05    	0.0002771   	0.0002088   
575         	10          	0.06204     	0.0001844   	0.0001788   	7.504e-05   
580         	10          	0.06234     	0.0001077   	0.0001795   	4.661e-05   
585         	10          	0.065       	0.0001121   	0.0003113   	9.126e-05   
590         	10          	0.05418     	0.0001011   	0.0003297   	5.218e-05   
595         	10          	0.05851     	0.0002595   	0.0001416   	0.0001699   
600         	10          	0.06057     	0.00033     	0.0005323   	0.0001818   
605         	10          	0.07349     	9.58e-05    	0.0003158   	6.818e-05   
610         	10          	0.07501     	0.0001132   	0.0003597   	4.993e-05   
615         	10          	0.1091      	0.0001581   	0.0001575   	7.167e-05   
620         	10          	0.08943     	9.885e-05   	0.0003714   	5.519e-05   
625         	10          	0.0914      	5.388e-05   	0.0002005   	0.0001329   
630         	10          	0.09279     	8.55e-05    	0.0004021   	5.779e-05   
635         	10          	0.08801     	0.0001283   	0.0004212   	3.353e-05   
640         	10          	0.06364     	4.304e-05   	0.0003873   	0.0002057   
645         	10          	0.0446      	9.676e-05   	0.0002281   	0.0001226   
650         	10          	0.05811     	9.431e-05   	0.0002504   	8.263e-05   
655         	10          	0.05451     	6.46e-05    	0.0001462   	7.109e-05   
660         	10          	0.05583     	9.142e-05   	0.0001217   	6.984e-05   
665         	10          	0.06677     	0.0002022   	0.0002722   	5.021e-05   
670         	10          	0.06577     	9.011e-05   	0.0001841   	9.848e-05   
675         	10          	0.09902     	7.533e-05   	0.0002471   	0.0001271   
680         	10          	0.09528     	7.875e-05   	0.0001124   	4.33e-05    
685         	10          	0.0714      	0.0001069   	7.086e-05   	0.0001866   
690         	10          	0.07184     	5.49e-05    	0.0001663   	0.0001296   
695         	10          	0.06434     	6.363e-05   	0.0002223   	8.029e-05   
700         	10          	0.06804     	0.0001047   	0.0003912   	7.512e-05   
705         	10          	0.09672     	0.0001032   	0.0002007   	8.065e-05   
710         	10          	0.07164     	0.0001325   	0.000202    	9.837e-05   
715         	10          	0.06114     	0.0002421   	0.0002031   	0.0001324   
720         	10          	0.05099     	0.0003175   	0.0003297   	8.599e-05   
725         	10          	0.06968     	9.172e-05   	0.0002655   	0.0002055   
730         	10          	0.07764     	0.0002775   	0.0001701   	0.0001862   
735         	10          	0.09672     	6.902e-05   	0.0001508   	5.135e-05   
740         	10          	0.05717     	9.026e-05   	0.0002886   	0.000102    
745         	10          	0.05971     	0.0001937   	0.0001605   	1.134e-05   
750         	10          	0.0645      	3.645e-05   	0.000171    	5.946e-05   
755         	10          	0.05028     	9.078e-05   	0.0001692   	8.689e-05   
760         	10          	0.06157     	6.564e-05   	0.0001604   	8.589e-05   
765         	10          	0.05099     	7.53e-05    	0.0003159   	0.000249    
770         	10          	0.03957     	0.0001581   	0.0002908   	0.0001436   
775         	10          	0.05282     	0.0001243   	0.000164    	9.593e-05   
780         	10          	0.04906     	0.000183    	0.0001921   	0.0001808   
785         	10          	0.04278     	0.0001023   	0.0002245   	0.0001278   
790         	10          	0.04041     	9.55e-05    	0.0003121   	8.151e-05   
795         	10          	0.04375     	0.0001508   	0.0001418   	0.0001563   
800         	10          	0.03351     	0.0001209   	0.000248    	6.346e-05   
805         	10          	0.03418     	0.0001481   	0.00029     	0.0001162   
810         	10          	0.03829     	6.129e-05   	0.0001435   	3.78e-05    
815         	10          	0.03584     	0.0001422   	0.0004986   	9.553e-05   
820         	10          	0.03678     	0.0001032   	0.0002444   	8.569e-05   
825         	10          	0.0465      	9.41e-05    	0.000153    	4.689e-05   
830         	10          	0.04591     	9.794e-05   	0.0003417   	0.0001504   
835         	10          	0.04888     	8.362e-05   	0.000313    	0.0001682   
840         	10          	0.0653      	7.75e-05    	0.0001557   	0.0001004   
845         	10          	0.07658     	6.68e-05    	0.0003965   	0.0001353   
850         	10          	0.0786      	0.0001274   	0.0003179   	0.0001651   
855         	10          	0.05911     	0.000154    	0.0004      	0.0001019   
860         	10          	0.07425     	0.0001175   	0.0001862   	0.0001664   
865         	10          	0.05462     	0.0001121   	0.0002303   	6.151e-05   
870         	10          	0.07519     	0.0001603   	0.0008195   	0.0001082   
875         	10          	0.0659      	0.0001503   	0.0004741   	0.0001164   
880         	10          	0.05674     	0.0001013   	0.0002112   	8.859e-05   
885         	10          	0.06962     	0.0002264   	0.0001001   	0.0002178   
890         	10          	0.05945     	6.656e-05   	0.0002055   	0.000113    
895         	10          	0.0476      	0.0001152   	0.0001362   	7.069e-05   
900         	10          	0.0505      	0.0001027   	0.0002705   	4.522e-05   
905         	10          	0.0583      	9.608e-05   	0.0002431   	0.0001054   
910         	10          	0.04923     	0.0002575   	0.0002298   	0.0001248   
915         	10          	0.04546     	5.992e-05   	0.0003457   	0.0001208   
920         	10          	0.04818     	4.688e-05   	6.272e-05   	6.245e-05   
925         	10          	0.04829     	7.789e-05   	0.0001449   	0.0001072   
930         	10          	0.05467     	0.0001291   	0.0001409   	4.626e-05   
935         	10          	0.04225     	0.000156    	0.0001315   	0.000112    
940         	10          	0.03517     	0.0001077   	0.0001905   	8.91e-05    
945         	10          	0.04611     	9.024e-05   	0.000208    	0.0001877   
950         	10          	0.05556     	7.902e-05   	0.0002349   	0.0001163   
955         	10          	0.04817     	4.876e-05   	0.0001918   	0.0002064   
960         	10          	0.07329     	0.0001258   	0.0001968   	0.0001531   
965         	10          	0.03484     	0.0001222   	0.0002159   	8.595e-05   
970         	10          	0.0559      	9.011e-05   	0.0001548   	0.0001607   
975         	10          	0.05489     	8.388e-05   	8.268e-05   	3.703e-05   
980         	10          	0.04475     	7.266e-05   	0.0002643   	0.000265    
985         	10          	0.0418      	0.0001355   	0.000222    	5.074e-05   
990         	10          	0.04607     	6.403e-05   	0.0002383   	0.0001687   
995         	10          	0.05001     	0.0001276   	6.421e-05   	9.514e-05   
1000        	10          	0.04257     	6.539e-05   	0.0002954   	3.92e-05    
1005        	10          	0.03651     	0.0002215   	0.0001341   	0.0001108   
1010        	10          	0.04269     	6.569e-05   	0.0001241   	6.056e-05   
1015        	10          	0.01982     	0.0001904   	0.0007435   	0.0001283   
1020        	10          	0.02939     	4.53e-05    	0.0002821   	0.0002018   
1025        	10          	0.02817     	2.365e-05   	0.0003482   	0.0001171   
1030        	10          	0.02947     	0.0001415   	0.0006227   	0.0002101   
1035        	10          	0.03616     	9.796e-05   	0.0003786   	0.0001679   
1040        	10          	0.03391     	0.0003333   	0.0007163   	7.235e-05   
1045        	10          	0.03338     	6.777e-05   	0.0002956   	9.271e-05   
1050        	10          	0.0378      	4.181e-05   	0.0001742   	6.424e-05   
1055        	10          	0.05111     	9.473e-05   	0.0003178   	6.906e-05   
1060        	10          	0.03957     	4.92e-05    	0.0002086   	0.0001106   
1065        	10          	0.03464     	0.0001578   	0.0002662   	0.0001297   
1070        	10          	0.0266      	0.0001999   	0.0001268   	9.779e-05   
1075        	10          	0.03367     	0.0001308   	0.0001098   	8.926e-05   
1080        	10          	0.02193     	0.000155    	0.0003817   	0.0001619   
1085        	10          	0.01985     	0.0001647   	0.0002108   	0.000106    
1090        	10          	0.02822     	0.0001402   	0.0002884   	0.000279    
1095        	10          	0.04551     	0.000109    	9.491e-05   	8.64e-05    
1100        	10          	0.03777     	8.214e-05   	0.0002506   	0.0001746   
1105        	10          	0.03677     	0.0002901   	0.0005588   	7.294e-05   
1110        	10          	0.03824     	0.0001584   	0.0004542   	4.985e-05   
1115        	10          	0.03341     	0.0003545   	0.0004164   	0.000135    
1120        	10          	0.03239     	8.328e-05   	0.0005934   	0.0001329   
1125        	10          	0.01923     	0.0001298   	0.0004942   	0.000198    
1130        	10          	0.04488     	0.0002041   	0.0002438   	7.41e-05    
1135        	10          	0.03363     	0.0002875   	0.00032     	3.701e-05   
1140        	10          	0.03925     	0.0001529   	0.0001926   	9.493e-05   
1145        	10          	0.03491     	0.0003758   	0.000468    	0.0001083   
1150        	10          	0.04318     	0.0002411   	0.0003344   	0.0001054   
1155        	10          	0.06656     	0.0002009   	0.0001801   	6.6e-05     
1160        	10          	0.05171     	0.0002291   	0.0004752   	0.0001071   
1165        	10          	0.06184     	0.0001463   	0.0006262   	0.0001606   
1170        	10          	0.04158     	0.0002448   	0.0003104   	0.0001255   
1175        	10          	0.03146     	0.0001557   	0.0003644   	0.0001647   
1180        	10          	0.0374      	0.0001092   	0.000301    	0.0001001   
1185        	10          	0.04611     	0.0001579   	0.0001162   	0.0001191   
1190        	10          	0.06269     	0.000128    	0.0001716   	0.0001232   
1195        	10          	0.04603     	4.584e-05   	0.0003179   	0.0001916   
1200        	10          	0.04489     	0.0001731   	0.0004592   	0.0001167   
1205        	10          	0.04862     	0.0001307   	0.0003682   	0.0001459   
1210        	10          	0.04983     	0.0001105   	0.0003369   	0.0001394   
1215        	10          	0.0383      	4.187e-05   	0.000118    	0.0001175   
1220        	10          	0.03288     	0.0001303   	0.0002064   	0.0001447   
1225        	10          	0.04057     	4.063e-05   	0.0003937   	0.0001001   
1230        	10          	0.05077     	0.0001424   	0.0003294   	9.402e-05   
1235        	10          	0.04036     	0.0002396   	0.0006022   	0.0001074   
1240        	10          	0.03996     	7.275e-05   	0.0003066   	0.0001165   
1245        	10          	0.03703     	7.044e-05   	0.0002942   	9.119e-05   
1250        	10          	0.03849     	0.0001774   	0.0002646   	5.775e-05   
1255        	10          	0.04699     	0.00011     	0.0001813   	3.304e-05   
1260        	10          	0.03736     	9.968e-05   	0.0004058   	0.0002091   
1265        	10          	0.05034     	0.0002242   	0.0003518   	0.0001332   
1270        	10          	0.05751     	7.461e-05   	0.0002905   	0.0001335   
1275        	10          	0.04966     	0.0001146   	0.0002158   	7.854e-05   
1280        	10          	0.04977     	0.000347    	0.000204    	4.013e-05   
1285        	10          	0.04507     	0.0001108   	0.000461    	0.0001821   
1290        	10          	0.05427     	8.67e-05    	0.0001847   	0.0001825   
1295        	10          	0.07324     	0.0001391   	0.0004355   	9.089e-05   
1300        	10          	0.06036     	0.0002143   	0.0003206   	7.806e-05   
1305        	10          	0.06184     	7.994e-05   	0.0001201   	6.37e-05    
1310        	10          	0.07788     	0.0001146   	0.0001913   	3.662e-05   
1315        	10          	0.08711     	0.0001167   	0.0008038   	0.0002255   
1320        	10          	0.06996     	0.0001158   	0.0004288   	9.996e-05   
1325        	10          	0.0699      	0.0001332   	0.0003349   	0.0001609   
1330        	10          	0.05896     	0.000157    	0.0003347   	9.618e-05   
1335        	10          	0.06627     	9.098e-05   	0.0002662   	0.0001049   
1340        	10          	0.04814     	0.0001079   	0.0002745   	0.0001034   
1345        	10          	0.06147     	0.0001147   	0.0001961   	6.836e-05   
1350        	10          	0.05896     	8.226e-05   	8.175e-05   	9.796e-05   
1355        	10          	0.03985     	5.768e-05   	0.0004643   	8.114e-05   
1360        	10          	0.05456     	0.0001638   	0.0002      	0.0002016   
1365        	10          	0.04497     	5.48e-05    	0.0002976   	0.0001843   
1370        	10          	0.05067     	6.782e-05   	0.0005641   	3.144e-05   
