generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	18.21       	0.008055    	0.008538    	0.009628    
10          	10          	17.26       	0.01593     	0.01937     	0.01499     
15          	10          	16.53       	0.0178      	0.02512     	0.01826     
20          	10          	16.05       	0.02003     	0.03023     	0.02036     
25          	10          	15.33       	0.02388     	0.0377      	0.02338     
30          	10          	14.77       	0.02514     	0.04233     	0.02601     
35          	10          	14.55       	0.02652     	0.04564     	0.02391     
40          	10          	14.08       	0.02498     	0.04656     	0.02458     
45          	10          	13.67       	0.02765     	0.04928     	0.02439     
50          	10          	13.3        	0.02936     	0.05523     	0.02842     
55          	10          	13.22       	0.02866     	0.05585     	0.02759     
60          	10          	12.77       	0.02712     	0.05435     	0.02846     
65          	10          	12.43       	0.02944     	0.05858     	0.0321      
70          	10          	12.28       	0.02902     	0.05692     	0.02967     
75          	10          	11.96       	0.02585     	0.05908     	0.03035     
80          	10          	11.7        	0.02868     	0.05845     	0.0307      
85          	10          	11.45       	0.03003     	0.0583      	0.02869     
90          	10          	11.23       	0.02676     	0.05475     	0.03027     
95          	10          	11          	0.02925     	0.05577     	0.02729     
100         	10          	10.93       	0.02828     	0.05353     	0.02563     
105         	10          	10.62       	0.02624     	0.05744     	0.02827     
110         	10          	10.37       	0.03156     	0.05641     	0.02868     
115         	10          	10.16       	0.0298      	0.05593     	0.02761     
120         	10          	10.03       	0.03038     	0.05877     	0.02809     
125         	10          	10          	0.03213     	0.05528     	0.02649     
130         	10          	9.873       	0.03363     	0.06108     	0.02479     
135         	10          	9.702       	0.03214     	0.05688     	0.02484     
140         	10          	9.673       	0.02511     	0.05818     	0.02901     
145         	10          	9.467       	0.03187     	0.06034     	0.03051     
150         	10          	9.465       	0.03167     	0.05999     	0.02751     
155         	10          	9.283       	0.03204     	0.05789     	0.03183     
160         	10          	9.183       	0.02664     	0.05295     	0.02575     
165         	10          	9.007       	0.02721     	0.05506     	0.02785     
170         	10          	8.868       	0.02967     	0.05942     	0.02691     
175         	10          	8.713       	0.03345     	0.05816     	0.02449     
180         	10          	8.732       	0.03027     	0.0595      	0.02687     
185         	10          	8.573       	0.03115     	0.05593     	0.02542     
190         	10          	8.517       	0.03257     	0.05788     	0.02881     
195         	10          	8.387       	0.03234     	0.05834     	0.02789     
200         	10          	8.382       	0.02824     	0.0516      	0.02815     
205         	10          	8.182       	0.03015     	0.05576     	0.0258      
210         	10          	8.105       	0.03185     	0.06021     	0.0297      
215         	10          	8.013       	0.03268     	0.05683     	0.02565     
220         	10          	7.878       	0.0284      	0.05717     	0.02787     
225         	10          	7.895       	0.02939     	0.05642     	0.02785     
230         	10          	7.72        	0.03351     	0.05843     	0.02627     
235         	10          	7.678       	0.02641     	0.05592     	0.02952     
240         	10          	7.62        	0.02603     	0.05224     	0.02803     
245         	10          	7.512       	0.02806     	0.055       	0.0316      
250         	10          	7.482       	0.0258      	0.05743     	0.03406     
255         	10          	7.493       	0.02694     	0.05637     	0.03154     
260         	10          	7.403       	0.02576     	0.05312     	0.02659     
265         	10          	7.26        	0.03201     	0.05272     	0.02739     
270         	10          	7.258       	0.02718     	0.05549     	0.02997     
275         	10          	7.153       	0.02476     	0.05261     	0.02773     
280         	10          	7.078       	0.03269     	0.05738     	0.02944     
285         	10          	7.06        	0.02879     	0.05331     	0.02395     
290         	10          	6.973       	0.02758     	0.05651     	0.02657     
295         	10          	6.92        	0.02624     	0.05763     	0.02895     
300         	10          	6.832       	0.02699     	0.06184     	0.03006     
305         	10          	6.775       	0.02933     	0.06105     	0.02698     
310         	10          	6.682       	0.03367     	0.06171     	0.02702     
315         	10          	6.668       	0.03181     	0.05981     	0.02649     
320         	10          	6.642       	0.03259     	0.06164     	0.03063     
325         	10          	6.513       	0.03133     	0.05726     	0.02823     
