replicate   	generation  	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
1           	5           	18.12       	0.008346    	0.009831    	0.01077     
1           	10          	17.52       	0.01487     	0.01607     	0.01247     
1           	15          	16.92       	0.01563     	0.02167     	0.01573     
1           	20          	16.43       	0.01469     	0.02528     	0.01511     
1           	25          	15.65       	0.02143     	0.0335      	0.02632     
1           	30          	14.88       	0.0201      	0.02951     	0.02018     
1           	35          	14.78       	0.02663     	0.03619     	0.01957     
1           	40          	14.6        	0.0273      	0.04372     	0.02267     
1           	45          	13.7        	0.02993     	0.05485     	0.03056     
1           	50          	13.05       	0.03347     	0.05374     	0.03271     
1           	55          	12.98       	0.03916     	0.06792     	0.02794     
1           	60          	12.8        	0.03235     	0.05387     	0.03355     
1           	65          	12.3        	0.02551     	0.06594     	0.03083     
1           	70          	12.2        	0.03683     	0.05773     	0.02933     
1           	75          	11.82       	0.02885     	0.06557     	0.0408      
1           	80          	11.43       	0.03336     	0.06229     	0.0246      
1           	85          	11.13       	0.04563     	0.06781     	0.01613     
1           	90          	11.03       	0.02907     	0.05933     	0.0306      
1           	95          	10.83       	0.03365     	0.06613     	0.0295      
1           	100         	10.58       	0.04318     	0.07045     	0.02791     
1           	105         	10.45       	0.03084     	0.06495     	0.02673     
1           	110         	10.27       	0.03212     	0.06555     	0.03108     
1           	115         	9.85        	0.02726     	0.0718      	0.03261     
1           	120         	9.767       	0.02436     	0.0637      	0.03226     
1           	125         	10.13       	0.03451     	0.05776     	0.02772     
1           	130         	10.12       	0.03648     	0.07426     	0.02233     
1           	135         	9.8         	0.03478     	0.06378     	0.03038     
1           	140         	9.833       	0.0273      	0.06734     	0.02611     
1           	145         	9.517       	0.02544     	0.06327     	0.03168     
1           	150         	9.217       	0.04004     	0.06908     	0.03918     
1           	155         	9.183       	0.03849     	0.07216     	0.03497     
1           	160         	8.967       	0.02487     	0.06097     	0.03373     
1           	165         	8.833       	0.01721     	0.06103     	0.04399     
1           	170         	8.583       	0.02531     	0.06579     	0.02949     
1           	175         	8.583       	0.02804     	0.05607     	0.01281     
1           	180         	8.8         	0.02058     	0.05302     	0.02236     
1           	185         	8.517       	0.02555     	0.04685     	0.01742     
1           	190         	8.283       	0.03228     	0.06432     	0.02856     
1           	195         	8.25        	0.02605     	0.05188     	0.02233     
1           	200         	8.267       	0.01918     	0.06048     	0.02693     
1           	205         	8.133       	0.02282     	0.04986     	0.01492     
1           	210         	7.833       	0.02051     	0.05713     	0.02873     
1           	215         	7.75        	0.03197     	0.05975     	0.02478     
1           	220         	7.55        	0.03243     	0.0611      	0.02974     
1           	225         	7.767       	0.0288      	0.06845     	0.02582     
1           	230         	7.617       	0.03217     	0.06714     	0.0308      
1           	235         	7.467       	0.02084     	0.05389     	0.03444     
1           	240         	7.383       	0.02809     	0.06765     	0.02453     
1           	245         	7.367       	0.04674     	0.0743      	0.03294     
1           	250         	7.35        	0.03973     	0.06907     	0.02714     
1           	255         	7.3         	0.03054     	0.05756     	0.03364     
1           	260         	7.283       	0.02007     	0.06087     	0.01678     
1           	265         	7.117       	0.04033     	0.06814     	0.03114     
1           	270         	7.25        	0.03947     	0.06726     	0.03199     
1           	275         	6.867       	0.02548     	0.05932     	0.02735     
1           	280         	7.117       	0.04526     	0.05468     	0.01251     
1           	285         	7.167       	0.03434     	0.06747     	0.01884     
1           	290         	7.083       	0.02584     	0.05611     	0.01763     
1           	295         	7.333       	0.02262     	0.04898     	0.01787     
1           	300         	7.167       	0.02244     	0.05698     	0.02384     
1           	305         	6.983       	0.02437     	0.05244     	0.01739     
1           	310         	6.867       	0.03726     	0.06249     	0.02055     
1           	315         	6.7         	0.03078     	0.04813     	0.02771     
1           	320         	6.733       	0.03624     	0.0495      	0.0276      
1           	325         	6.633       	0.03396     	0.03986     	0.01591     
1           	330         	6.6         	0.02963     	0.03429     	0.02404     
1           	335         	6.583       	0.01967     	0.03373     	0.02297     
1           	340         	6.567       	0.01969     	0.03746     	0.01562     
1           	345         	6.567       	0.03128     	0.05577     	0.01846     
1           	350         	6.55        	0.01663     	0.03126     	0.02141     
1           	355         	6.6         	0.02521     	0.03275     	0.0307      
1           	360         	6.4         	0.02551     	0.03653     	0.02525     
1           	365         	6.45        	0.01825     	0.04458     	0.02529     
1           	370         	6.4         	0.01622     	0.03024     	0.02596     
1           	375         	6.283       	0.02838     	0.04635     	0.01726     
1           	380         	6.183       	0.02015     	0.0361      	0.02381     
1           	385         	6.35        	0.01467     	0.02752     	0.005617    
1           	390         	6.15        	0.02816     	0.05435     	0.02799     
1           	395         	6.2         	0.03274     	0.05271     	0.02146     
1           	400         	5.967       	0.02357     	0.05388     	0.0161      
1           	405         	6.017       	0.02286     	0.04091     	0.03414     
1           	410         	5.833       	0.02547     	0.0701      	0.04801     
1           	415         	5.9         	0.03233     	0.04562     	0.01825     
1           	420         	5.783       	0.02343     	0.06452     	0.03592     
1           	425         	5.883       	0.03095     	0.04997     	0.04436     
1           	430         	5.767       	0.02613     	0.04922     	0.02634     
1           	435         	5.817       	0.04168     	0.05307     	0.02469     
1           	440         	5.783       	0.04431     	0.04811     	0.02471     
1           	445         	5.983       	0.02847     	0.04376     	0.02092     
1           	450         	5.7         	0.03975     	0.04563     	0.02981     
1           	455         	5.817       	0.02255     	0.03801     	0.02359     
1           	460         	5.7         	0.028       	0.0553      	0.02304     
1           	465         	5.767       	0.02404     	0.0615      	0.02777     
1           	470         	5.65        	0.03285     	0.05556     	0.02104     
1           	475         	5.633       	0.0403      	0.0647      	0.03442     
1           	480         	5.6         	0.04139     	0.077       	0.02819     
1           	485         	5.583       	0.03047     	0.06189     	0.02434     
1           	490         	5.517       	0.03339     	0.06803     	0.02136     
1           	495         	5.467       	0.02863     	0.05255     	0.04353     
1           	500         	5.4         	0.04099     	0.07401     	0.03317     
1           	505         	5.1         	0.02993     	0.08152     	0.04145     
1           	510         	4.95        	0.02922     	0.07726     	0.0234      
1           	515         	4.867       	0.03596     	0.06265     	0.02329     
1           	520         	4.983       	0.03923     	0.06605     	0.01345     
1           	525         	5.067       	0.02784     	0.0492      	0.01769     
1           	530         	4.983       	0.0551      	0.0601      	0.02936     
1           	535         	4.85        	0.04121     	0.06469     	0.02804     
1           	540         	4.85        	0.03316     	0.06103     	0.01603     
1           	545         	4.933       	0.0404      	0.07224     	0.03858     
1           	550         	4.867       	0.0214      	0.06004     	0.02445     
1           	555         	4.767       	0.04472     	0.0924      	0.05632     
1           	560         	4.9         	0.03103     	0.07602     	0.03876     
1           	565         	4.983       	0.02914     	0.07941     	0.04319     
1           	570         	4.75        	0.02934     	0.05996     	0.03506     
1           	575         	4.717       	0.03129     	0.0701      	0.03484     
1           	580         	4.583       	0.02147     	0.0458      	0.02604     
1           	585         	4.783       	0.02104     	0.05615     	0.03436     
1           	590         	4.783       	0.03996     	0.06625     	0.02873     
1           	595         	5.05        	0.03457     	0.0627      	0.01989     
1           	600         	5           	0.03724     	0.07893     	0.03183     
1           	605         	4.767       	0.02919     	0.06958     	0.02514     
1           	610         	4.717       	0.02392     	0.05106     	0.02706     
1           	615         	4.717       	0.02793     	0.05279     	0.0202      
1           	620         	4.717       	0.04433     	0.06585     	0.02272     
1           	625         	4.65        	0.02354     	0.06159     	0.03239     
1           	630         	4.65        	0.01837     	0.06963     	0.03703     
1           	635         	4.617       	0.0238      	0.06567     	0.03958     
1           	640         	4.567       	0.02195     	0.04535     	0.04385     
1           	645         	4.683       	0.0198      	0.03765     	0.04082     
1           	650         	4.7         	0.02539     	0.06098     	0.0242      
1           	655         	4.85        	0.0248      	0.05642     	0.02544     
1           	660         	4.583       	0.03655     	0.05456     	0.02124     
1           	665         	4.783       	0.02923     	0.05545     	0.034       
1           	670         	4.683       	0.0319      	0.07307     	0.02026     
1           	675         	4.717       	0.04952     	0.05495     	0.02945     
1           	680         	4.7         	0.04045     	0.05367     	0.02834     
1           	685         	4.55        	0.05349     	0.05436     	0.02558     
1           	690         	4.75        	0.02576     	0.07369     	0.04037     
1           	695         	4.733       	0.02408     	0.05947     	0.02446     
1           	700         	4.65        	0.02249     	0.04495     	0.02448     
1           	705         	4.567       	0.03179     	0.05648     	0.03185     
1           	710         	4.55        	0.03261     	0.05887     	0.01851     
1           	715         	4.567       	0.0299      	0.04559     	0.0137      
1           	720         	4.567       	0.03168     	0.05158     	0.01165     
1           	725         	4.567       	0.04151     	0.06091     	0.02351     
1           	730         	4.483       	0.02534     	0.04938     	0.04623     
1           	735         	4.483       	0.02128     	0.0587      	0.02207     
1           	740         	4.467       	0.04478     	0.06632     	0.02859     
1           	745         	4.5         	0.02179     	0.04301     	0.01352     
1           	750         	4.45        	0.03508     	0.07677     	0.02941     
1           	755         	4.5         	0.0433      	0.04762     	0.02881     
1           	760         	4.4         	0.01232     	0.03603     	0.01581     
1           	765         	4.367       	0.02332     	0.05279     	0.03519     
1           	770         	4.333       	0.02342     	0.05633     	0.03444     
1           	775         	4.367       	0.02439     	0.05346     	0.03625     
1           	780         	4.333       	0.03384     	0.05697     	0.03408     
1           	785         	4.267       	0.02057     	0.07382     	0.02272     
1           	790         	4.233       	0.03336     	0.08275     	0.03178     
1           	795         	4.25        	0.02321     	0.06063     	0.01361     
1           	800         	4.3         	0.01254     	0.05366     	0.0336      
1           	805         	4.233       	0.02272     	0.07488     	0.02429     
1           	810         	4.15        	0.0292      	0.06494     	0.03164     
1           	815         	4.167       	0.0208      	0.0646      	0.02819     
1           	820         	4.25        	0.02318     	0.05065     	0.01548     
1           	825         	4.267       	0.04386     	0.08672     	0.02327     
1           	830         	4.167       	0.03098     	0.06059     	0.02099     
1           	835         	4.183       	0.02474     	0.05841     	0.02098     
1           	840         	4.167       	0.0414      	0.0696      	0.02363     
1           	845         	4.05        	0.03175     	0.04742     	0.03322     
1           	850         	4.167       	0.01452     	0.05591     	0.03048     
1           	855         	4.033       	0.02745     	0.03794     	0.05036     
1           	860         	4.183       	0.03929     	0.0414      	0.02022     
1           	865         	4.1         	0.02328     	0.05199     	0.0404      
1           	870         	4.083       	0.03396     	0.0559      	0.04158     
1           	875         	3.867       	0.04196     	0.04493     	0.03349     
1           	880         	4.083       	0.03791     	0.07075     	0.05124     
1           	885         	4.017       	0.03179     	0.07033     	0.03144     
1           	890         	4.183       	0.03944     	0.05787     	0.0331      
1           	895         	4.017       	0.02962     	0.05609     	0.03058     
1           	900         	4.167       	0.02749     	0.06106     	0.03277     
1           	905         	4.067       	0.02756     	0.06064     	0.03092     
1           	910         	3.9         	0.02702     	0.0414      	0.01876     
1           	915         	4.167       	0.03724     	0.0509      	0.01554     
1           	920         	4.083       	0.02486     	0.05043     	0.01666     
1           	925         	4.1         	0.03878     	0.05053     	0.03082     
1           	930         	4.133       	0.009003    	0.05021     	0.03776     
1           	935         	4.067       	0.01524     	0.0502      	0.03074     
1           	940         	4.1         	0.02735     	0.05545     	0.03846     
1           	945         	4.117       	0.02319     	0.03271     	0.0379      
1           	950         	4.1         	0.01874     	0.03671     	0.04394     
1           	955         	4.067       	0.02433     	0.05182     	0.02131     
1           	960         	4.167       	0.0188      	0.03692     	0.04563     
1           	965         	4.117       	0.01945     	0.04144     	0.0531      
1           	970         	4.167       	0.02368     	0.03877     	0.01746     
1           	975         	4.15        	0.03039     	0.05129     	0.03031     
1           	980         	3.917       	0.01987     	0.04247     	0.02179     
1           	985         	4.067       	0.02774     	0.0453      	0.02515     
1           	990         	4.067       	0.02027     	0.03655     	0.02412     
1           	995         	4.117       	0.03243     	0.04789     	0.02116     
1           	1000        	4.083       	0.02563     	0.04109     	0.02122     
1           	1005        	4.15        	0.04872     	0.06805     	0.03135     
1           	1010        	4.117       	0.03419     	0.06444     	0.01063     
1           	1015        	3.95        	0.01998     	0.05333     	0.03315     
1           	1020        	4.033       	0.03152     	0.06894     	0.02736     
1           	1025        	4.017       	0.03482     	0.06094     	0.01949     
1           	1030        	4.05        	0.01189     	0.04088     	0.0211      
1           	1035        	3.983       	0.01988     	0.05223     	0.03117     
1           	1040        	3.867       	0.02155     	0.04692     	0.02462     
1           	1045        	3.817       	0.02407     	0.04538     	0.03465     
1           	1050        	3.983       	0.03265     	0.0554      	0.031       
1           	1055        	3.867       	0.02821     	0.02928     	0.03206     
1           	1060        	4.033       	0.01431     	0.02771     	0.02204     
1           	1065        	4.133       	0.02802     	0.03889     	0.01227     
1           	1070        	3.95        	0.05282     	0.05631     	0.03833     
1           	1075        	4.083       	0.02224     	0.0532      	0.03206     
1           	1080        	4.017       	0.04725     	0.04681     	0.02747     
1           	1085        	3.983       	0.04674     	0.04758     	0.03345     
1           	1090        	4.083       	0.05201     	0.0672      	0.02266     
1           	1095        	4.167       	0.03721     	0.05414     	0.0281      
1           	1100        	4.15        	0.03457     	0.04472     	0.01111     
1           	1105        	4.017       	0.02957     	0.05997     	0.0419      
1           	1110        	4.033       	0.04342     	0.04166     	0.01596     
1           	1115        	3.983       	0.01743     	0.03166     	0.01758     
1           	1120        	3.983       	0.01338     	0.04617     	0.02732     
1           	1125        	3.95        	0.02977     	0.05978     	0.02403     
1           	1130        	3.883       	0.01801     	0.04844     	0.01498     
1           	1135        	4.067       	0.01461     	0.04054     	0.01857     
1           	1140        	4.033       	0.01999     	0.04784     	0.02997     
1           	1145        	3.917       	0.01635     	0.04655     	0.02374     
1           	1150        	3.95        	0.0281      	0.03251     	0.02519     
1           	1155        	3.983       	0.01562     	0.05367     	0.04827     
1           	1160        	3.983       	0.02314     	0.04066     	0.0241      
1           	1165        	3.817       	0.01949     	0.05312     	0.02521     
1           	1170        	3.817       	0.046       	0.09319     	0.04715     
1           	1175        	3.833       	0.04066     	0.08498     	0.05855     
1           	1180        	4.017       	0.02833     	0.06444     	0.02965     
1           	1185        	3.983       	0.04377     	0.04746     	0.02693     
1           	1190        	3.883       	0.05842     	0.05812     	0.04597     
1           	1195        	3.817       	0.04185     	0.08179     	0.02998     
1           	1200        	3.767       	0.01907     	0.03791     	0.01381     
1           	1205        	3.883       	0.03396     	0.03894     	0.04474     
1           	1210        	3.933       	0.0142      	0.04093     	0.02949     
1           	1215        	3.933       	0.02203     	0.03222     	0.01644     
1           	1220        	3.9         	0.01167     	0.03359     	0.02852     
1           	1225        	4.05        	0.02595     	0.05044     	0.05049     
1           	1230        	4.017       	0.0128      	0.04161     	0.02371     
1           	1235        	3.983       	0.01748     	0.04534     	0.02664     
1           	1240        	4.15        	0.0426      	0.03154     	0.01961     
1           	1245        	4.133       	0.02466     	0.03993     	0.01916     
1           	1250        	3.967       	0.0271      	0.04035     	0.02414     
1           	1255        	3.917       	0.01818     	0.0305      	0.01246     
1           	1260        	3.95        	0.01719     	0.0272      	0.009543    
1           	1265        	3.833       	0.02769     	0.04272     	0.01796     
1           	1270        	3.95        	0.02295     	0.06095     	0.03489     
1           	1275        	3.8         	0.02538     	0.04772     	0.04255     
1           	1280        	3.883       	0.01664     	0.03736     	0.02024     
1           	1285        	3.717       	0.04691     	0.06397     	0.02659     
1           	1290        	3.85        	0.02974     	0.06747     	0.02931     
1           	1295        	3.8         	0.03841     	0.04842     	0.02154     
1           	1300        	3.7         	0.04476     	0.05583     	0.03927     
1           	1305        	3.75        	0.03539     	0.08527     	0.03798     
1           	1310        	3.8         	0.03754     	0.05432     	0.02684     
1           	1315        	3.683       	0.02419     	0.05245     	0.04171     
1           	1320        	3.783       	0.01778     	0.03677     	0.01888     
1           	1325        	3.533       	0.03846     	0.05062     	0.03825     
1           	1330        	3.7         	0.04613     	0.05009     	0.02637     
1           	1335        	3.667       	0.02999     	0.04868     	0.03689     
1           	1340        	3.583       	0.04805     	0.07383     	0.0316      
1           	1345        	3.583       	0.0452      	0.07335     	0.03893     
1           	1350        	3.55        	0.0368      	0.05163     	0.018       
1           	1355        	3.567       	0.01657     	0.03166     	0.01098     
1           	1360        	3.567       	0.02068     	0.02606     	0.02762     
1           	1365        	3.633       	0.02609     	0.05588     	0.01925     
1           	1370        	3.7         	0.02205     	0.0612      	0.01815     
1           	1375        	3.517       	0.03051     	0.0553      	0.03054     
1           	1380        	3.417       	0.02558     	0.05471     	0.02232     
1           	1385        	3.683       	0.01543     	0.03667     	0.01709     
1           	1390        	3.733       	0.01506     	0.04441     	0.0168      
1           	1395        	3.567       	0.01065     	0.05117     	0.02701     
1           	1400        	3.45        	0.04259     	0.05298     	0.03049     
1           	1405        	3.65        	0.01627     	0.06365     	0.02571     
1           	1410        	3.5         	0.02949     	0.04674     	0.06093     
1           	1415        	3.467       	0.03035     	0.06777     	0.06997     
1           	1420        	3.567       	0.01687     	0.03955     	0.03821     
1           	1425        	3.517       	0.0329      	0.05314     	0.0495      
1           	1430        	3.517       	0.03943     	0.07079     	0.02638     
1           	1435        	3.55        	0.01684     	0.03351     	0.01423     
1           	1440        	3.5         	0.0251      	0.0503      	0.01589     
1           	1445        	3.533       	0.03667     	0.07245     	0.02198     
1           	1450        	3.483       	0.03023     	0.05613     	0.03252     
1           	1455        	3.433       	0.02218     	0.06888     	0.03198     
1           	1460        	3.45        	0.03193     	0.06173     	0.04165     
1           	1465        	3.417       	0.02607     	0.03406     	0.02178     
1           	1470        	3.517       	0.03044     	0.03927     	0.008379    
1           	1475        	3.467       	0.04521     	0.04918     	0.01416     
1           	1480        	3.517       	0.0119      	0.04557     	0.01353     
1           	1485        	3.317       	0.01754     	0.02372     	0.01134     
1           	1490        	3.483       	0.01267     	0.02467     	0.02401     
1           	1495        	3.383       	0.005906    	0.03913     	0.01771     
1           	1500        	3.45        	0.0308      	0.07686     	0.03279     
1           	1505        	3.45        	0.02145     	0.04833     	0.03894     
1           	1510        	3.417       	0.02614     	0.06747     	0.03426     
1           	1515        	3.483       	0.04305     	0.06697     	0.008614    
1           	1520        	3.55        	0.03256     	0.08102     	0.04965     
1           	1525        	3.467       	0.03049     	0.07271     	0.02955     
1           	1530        	3.533       	0.03302     	0.06737     	0.06504     
1           	1535        	3.533       	0.03016     	0.05589     	0.04384     
1           	1540        	3.65        	0.03279     	0.04779     	0.04409     
1           	1545        	3.617       	0.0175      	0.05949     	0.0545      
1           	1550        	3.55        	0.01678     	0.06977     	0.02477     
1           	1555        	3.667       	0.01738     	0.03791     	0.01823     
1           	1560        	3.633       	0.03315     	0.05933     	0.0166      
1           	1565        	3.633       	0.0239      	0.05979     	0.01983     
1           	1570        	3.667       	0.01765     	0.03175     	0.0341      
1           	1575        	3.533       	0.02019     	0.03957     	0.04243     
1           	1580        	3.5         	0.02192     	0.04881     	0.02938     
1           	1585        	3.55        	0.03194     	0.03469     	0.02687     
1           	1590        	3.583       	0.03032     	0.06543     	0.02778     
1           	1595        	3.45        	0.05608     	0.08782     	0.02766     
1           	1600        	3.483       	0.03562     	0.05845     	0.01813     
1           	1605        	3.45        	0.04611     	0.06141     	0.02074     
1           	1610        	3.467       	0.03777     	0.05675     	0.02819     
1           	1615        	3.45        	0.04234     	0.06764     	0.03685     
1           	1620        	3.5         	0.01185     	0.0473      	0.01695     
1           	1625        	3.417       	0.02488     	0.03841     	0.0284      
1           	1630        	3.55        	0.03136     	0.06348     	0.02621     
1           	1635        	3.533       	0.05588     	0.07142     	0.02507     
1           	1640        	3.383       	0.05563     	0.07935     	0.03602     
1           	1645        	3.317       	0.0501      	0.05908     	0.02879     
1           	1650        	3.283       	0.01411     	0.05742     	0.04012     
1           	1655        	3.467       	0.01555     	0.05557     	0.04888     
1           	1660        	3.233       	0.01863     	0.05805     	0.02913     
1           	1665        	3.417       	0.01509     	0.06391     	0.03417     
1           	1670        	3.383       	0.02922     	0.0825      	0.0404      
1           	1675        	3.483       	0.02032     	0.05418     	0.0275      
1           	1680        	3.35        	0.02775     	0.05258     	0.03921     
1           	1685        	3.333       	0.02473     	0.0547      	0.02372     
1           	1690        	3.517       	0.01991     	0.05768     	0.02474     
1           	1695        	3.35        	0.01774     	0.04562     	0.03115     
1           	1700        	3.467       	0.01841     	0.05164     	0.01945     
1           	1705        	3.433       	0.02502     	0.04742     	0.03012     
1           	1710        	3.433       	0.03067     	0.04801     	0.02594     
1           	1715        	3.483       	0.02875     	0.02741     	0.01127     
1           	1720        	3.4         	0.04533     	0.04584     	0.01262     
1           	1725        	3.433       	0.03411     	0.05407     	0.02179     
1           	1730        	3.5         	0.02499     	0.03861     	0.03422     
1           	1735        	3.6         	0.01912     	0.0497      	0.03684     
1           	1740        	3.55        	0.02395     	0.03314     	0.03582     
1           	1745        	3.533       	0.029       	0.04475     	0.04424     
1           	1750        	3.533       	0.017       	0.03482     	0.01246     
1           	1755        	3.533       	0.02726     	0.03511     	0.01983     
1           	1760        	3.35        	0.02511     	0.04537     	0.01455     
1           	1765        	3.4         	0.0226      	0.02774     	0.02444     
1           	1770        	3.467       	0.0197      	0.0258      	0.0114      
