generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	0.01701     	7.395e-06   	4.549e-06   	2.326e-06   
10          	10          	0.03012     	9.151e-06   	4.422e-06   	7.578e-06   
15          	10          	0.1014      	2.318e-05   	1.26e-05    	2.722e-05   
20          	10          	0.06428     	1.436e-05   	1.294e-05   	1.487e-05   
25          	10          	0.1109      	1.443e-05   	1.328e-05   	1.479e-05   
30          	10          	0.04789     	2.117e-05   	3.232e-05   	1.524e-05   
35          	10          	0.03167     	7.168e-06   	3.754e-05   	1.47e-05    
40          	10          	0.0721      	3.391e-05   	2.98e-05    	1.043e-05   
45          	10          	0.1077      	8.29e-06    	1.072e-05   	2.977e-05   
50          	10          	0.1329      	4.928e-05   	5.402e-05   	2.073e-05   
55          	10          	0.1474      	2.587e-05   	8.358e-05   	2.734e-05   
60          	10          	0.1383      	3.994e-05   	8.241e-05   	4.208e-05   
65          	10          	0.09847     	2.658e-05   	4.18e-05    	1.806e-05   
70          	10          	0.09927     	2.21e-05    	5.741e-05   	1.121e-05   
75          	10          	0.07545     	3.884e-05   	6.614e-05   	2.954e-05   
80          	10          	0.1659      	3.927e-05   	5.886e-05   	3.303e-05   
85          	10          	0.05891     	7.11e-05    	8.982e-05   	8.812e-05   
90          	10          	0.07689     	1.595e-05   	6.812e-05   	2.012e-05   
95          	10          	0.08643     	3.003e-05   	8.619e-05   	3.439e-05   
100         	10          	0.1263      	4.232e-05   	5.83e-05    	2.092e-05   
105         	10          	0.06375     	4.15e-05    	9.097e-05   	1.11e-05    
110         	10          	0.08507     	3.649e-05   	9.448e-05   	2.192e-05   
115         	10          	0.1242      	7.155e-05   	0.000124    	2.59e-05    
120         	10          	0.08023     	1.975e-05   	5.754e-05   	3.779e-05   
125         	10          	0.05439     	2.555e-05   	7.988e-05   	3.084e-05   
130         	10          	0.06718     	7.182e-05   	4.063e-05   	3.248e-05   
135         	10          	0.06302     	6.249e-05   	9.598e-05   	3.276e-05   
140         	10          	0.1262      	2.185e-05   	7.09e-05    	4.004e-05   
145         	10          	0.08928     	4.707e-05   	0.0001153   	2.528e-05   
