generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	18.82       	0.002512    	0.0028      	0.002195    
10          	10          	18.48       	0.003227    	0.0061      	0.002483    
15          	10          	18.28       	0.003936    	0.007725    	0.004515    
20          	10          	18.13       	0.00344     	0.007352    	0.002991    
25          	10          	17.91       	0.004383    	0.007986    	0.003974    
30          	10          	17.84       	0.003753    	0.008504    	0.003954    
35          	10          	17.69       	0.003122    	0.009187    	0.004361    
40          	10          	17.4        	0.004625    	0.009556    	0.005033    
45          	10          	17.26       	0.00386     	0.007989    	0.003508    
50          	10          	17.1        	0.003941    	0.008816    	0.004154    
55          	10          	16.93       	0.004246    	0.009588    	0.004645    
60          	10          	16.81       	0.004429    	0.009148    	0.004708    
65          	10          	16.6        	0.003877    	0.00901     	0.003753    
70          	10          	16.49       	0.003856    	0.008535    	0.0046      
75          	10          	16.26       	0.004642    	0.00979     	0.003282    
80          	10          	16.21       	0.003992    	0.008579    	0.003439    
85          	10          	15.95       	0.003474    	0.00731     	0.004259    
90          	10          	15.72       	0.0037      	0.01041     	0.004894    
95          	10          	15.72       	0.005253    	0.009169    	0.005515    
100         	10          	15.59       	0.004784    	0.008659    	0.003778    
105         	10          	15.39       	0.004465    	0.009161    	0.003527    
110         	10          	15.22       	0.004913    	0.0092      	0.004781    
115         	10          	15.28       	0.003533    	0.008944    	0.003786    
120         	10          	15.03       	0.004134    	0.007853    	0.005232    
125         	10          	14.9        	0.004184    	0.008418    	0.003552    
130         	10          	14.79       	0.00357     	0.009591    	0.004836    
135         	10          	14.78       	0.003987    	0.008981    	0.005148    
140         	10          	14.56       	0.004809    	0.009795    	0.004602    
145         	10          	14.53       	0.004242    	0.008439    	0.003995    
150         	10          	14.39       	0.0048      	0.008366    	0.003572    
155         	10          	14.15       	0.003704    	0.01031     	0.004726    
160         	10          	14.12       	0.004495    	0.009712    	0.003863    
165         	10          	14.03       	0.004422    	0.009006    	0.004137    
170         	10          	13.93       	0.005221    	0.008111    	0.002678    
175         	10          	13.81       	0.003537    	0.01018     	0.005542    
180         	10          	13.63       	0.004984    	0.009445    	0.00488     
185         	10          	13.69       	0.004798    	0.009593    	0.004508    
190         	10          	13.49       	0.004842    	0.01032     	0.00385     
195         	10          	13.36       	0.003754    	0.009964    	0.003734    
200         	10          	13.26       	0.004989    	0.009218    	0.004022    
205         	10          	13.21       	0.00479     	0.008884    	0.003506    
210         	10          	13.11       	0.004188    	0.009507    	0.004301    
215         	10          	13.07       	0.003717    	0.008965    	0.004143    
220         	10          	13.01       	0.003667    	0.008597    	0.004428    
225         	10          	12.86       	0.004256    	0.009193    	0.004819    
230         	10          	12.8        	0.003778    	0.008681    	0.006027    
235         	10          	12.75       	0.004261    	0.008314    	0.003878    
240         	10          	12.66       	0.003786    	0.008606    	0.005231    
245         	10          	12.46       	0.003449    	0.008529    	0.003739    
250         	10          	12.5        	0.003093    	0.008574    	0.002667    
255         	10          	12.36       	0.00404     	0.008539    	0.003464    
260         	10          	12.24       	0.00367     	0.008508    	0.005343    
265         	10          	12.26       	0.005142    	0.009651    	0.004252    
270         	10          	12.24       	0.004254    	0.009901    	0.003701    
275         	10          	12.17       	0.004858    	0.007999    	0.002715    
280         	10          	12.08       	0.004231    	0.008402    	0.003035    
285         	10          	11.99       	0.003736    	0.01038     	0.00356     
290         	10          	11.94       	0.004269    	0.009671    	0.003694    
295         	10          	11.85       	0.004118    	0.01059     	0.003564    
300         	10          	11.8        	0.004041    	0.01007     	0.0039      
305         	10          	11.72       	0.004494    	0.01007     	0.005661    
310         	10          	11.67       	0.00466     	0.008494    	0.004212    
315         	10          	11.68       	0.005365    	0.01028     	0.005008    
320         	10          	11.48       	0.004428    	0.00947     	0.003234    
325         	10          	11.48       	0.005142    	0.008074    	0.003579    
330         	10          	11.28       	0.002946    	0.009248    	0.004287    
335         	10          	11.32       	0.003068    	0.01054     	0.004823    
340         	10          	11.31       	0.003194    	0.009265    	0.004972    
345         	10          	11.23       	0.005081    	0.008777    	0.002452    
350         	10          	11.16       	0.003757    	0.01078     	0.004003    
355         	10          	11.1        	0.00333     	0.0092      	0.0045      
360         	10          	11.05       	0.004212    	0.008341    	0.004896    
365         	10          	11.01       	0.004083    	0.008615    	0.003814    
370         	10          	10.83       	0.006242    	0.01097     	0.003886    
375         	10          	10.82       	0.00401     	0.008552    	0.00404     
380         	10          	10.81       	0.003642    	0.008252    	0.003479    
385         	10          	10.73       	0.00406     	0.008099    	0.002823    
390         	10          	10.7        	0.00342     	0.00876     	0.00442     
395         	10          	10.62       	0.004801    	0.008668    	0.004323    
400         	10          	10.54       	0.004291    	0.01091     	0.005445    
405         	10          	10.57       	0.003198    	0.009954    	0.004038    
410         	10          	10.5        	0.004247    	0.008699    	0.005911    
415         	10          	10.47       	0.002658    	0.009369    	0.00288     
420         	10          	10.41       	0.003948    	0.009522    	0.005353    
425         	10          	10.34       	0.006013    	0.008846    	0.004492    
430         	10          	10.31       	0.003715    	0.00861     	0.003047    
435         	10          	10.27       	0.003127    	0.008448    	0.00326     
440         	10          	10.27       	0.005468    	0.009464    	0.005086    
445         	10          	10.24       	0.00407     	0.009317    	0.005403    
450         	10          	10.16       	0.003366    	0.008062    	0.004198    
455         	10          	10.05       	0.004303    	0.01038     	0.004497    
460         	10          	10          	0.005029    	0.01047     	0.00596     
465         	10          	9.963       	0.003723    	0.00803     	0.005171    
470         	10          	10.01       	0.004724    	0.00887     	0.004452    
475         	10          	9.803       	0.006198    	0.01257     	0.005433    
480         	10          	9.875       	0.004193    	0.01128     	0.005667    
485         	10          	9.755       	0.004828    	0.008571    	0.004523    
490         	10          	9.858       	0.003785    	0.009105    	0.003751    
495         	10          	9.632       	0.004178    	0.008685    	0.004123    
500         	10          	9.685       	0.007006    	0.01189     	0.005065    
505         	10          	9.71        	0.005136    	0.01054     	0.003891    
510         	10          	9.648       	0.005594    	0.01037     	0.003714    
515         	10          	9.6         	0.005212    	0.009678    	0.004663    
520         	10          	9.583       	0.005012    	0.009352    	0.004782    
525         	10          	9.51        	0.003704    	0.009445    	0.004291    
530         	10          	9.485       	0.004399    	0.009908    	0.004372    
535         	10          	9.432       	0.00268     	0.008592    	0.004151    
540         	10          	9.388       	0.005598    	0.009539    	0.002029    
545         	10          	9.383       	0.004495    	0.007304    	0.002319    
550         	10          	9.363       	0.003947    	0.008323    	0.001997    
555         	10          	9.263       	0.003907    	0.01093     	0.00508     
560         	10          	9.278       	0.00281     	0.008728    	0.00358     
565         	10          	9.275       	0.005983    	0.009274    	0.005496    
570         	10          	9.138       	0.003567    	0.008926    	0.004142    
575         	10          	9.138       	0.00364     	0.008952    	0.004661    
580         	10          	9.077       	0.004428    	0.008831    	0.003504    
585         	10          	9.115       	0.004361    	0.009711    	0.004377    
590         	10          	9.072       	0.004537    	0.00818     	0.004356    
595         	10          	9.125       	0.004088    	0.008232    	0.003694    
600         	10          	9.1         	0.002373    	0.00801     	0.003434    
605         	10          	9.055       	0.004314    	0.01034     	0.003525    
610         	10          	9.082       	0.005835    	0.008939    	0.005131    
615         	10          	8.947       	0.002702    	0.009877    	0.005935    
620         	10          	8.977       	0.003906    	0.01049     	0.005557    
625         	10          	9.008       	0.002904    	0.008716    	0.003791    
630         	10          	8.895       	0.003128    	0.009045    	0.003412    
635         	10          	8.835       	0.004826    	0.009017    	0.003749    
640         	10          	8.8         	0.003263    	0.008455    	0.003973    
645         	10          	8.807       	0.002159    	0.008247    	0.001426    
650         	10          	8.82        	0.004594    	0.007715    	0.003263    
655         	10          	8.757       	0.002724    	0.008218    	0.001882    
660         	10          	8.695       	0.004301    	0.009342    	0.005736    
665         	10          	8.717       	0.003893    	0.007489    	0.003728    
670         	10          	8.69        	0.003078    	0.008546    	0.004329    
675         	10          	8.637       	0.004031    	0.009711    	0.004435    
680         	10          	8.593       	0.006391    	0.01042     	0.005817    
685         	10          	8.618       	0.004195    	0.009576    	0.003161    
690         	10          	8.508       	0.004057    	0.009265    	0.005119    
695         	10          	8.583       	0.004141    	0.008803    	0.003236    
700         	10          	8.447       	0.003291    	0.008652    	0.003255    
705         	10          	8.515       	0.003909    	0.008906    	0.003217    
710         	10          	8.455       	0.002655    	0.008434    	0.003656    
715         	10          	8.39        	0.00548     	0.008371    	0.004768    
720         	10          	8.455       	0.004188    	0.008495    	0.005372    
725         	10          	8.388       	0.002669    	0.01124     	0.004542    
730         	10          	8.308       	0.003636    	0.0105      	0.002465    
735         	10          	8.337       	0.004494    	0.01112     	0.004427    
740         	10          	8.328       	0.004347    	0.008673    	0.002704    
745         	10          	8.3         	0.005685    	0.01006     	0.003811    
750         	10          	8.332       	0.005327    	0.01116     	0.004834    
755         	10          	8.273       	0.003577    	0.009264    	0.004655    
760         	10          	8.287       	0.005637    	0.00956     	0.003884    
765         	10          	8.245       	0.002694    	0.009711    	0.004024    
770         	10          	8.287       	0.003685    	0.009072    	0.003713    
775         	10          	8.213       	0.004487    	0.009648    	0.003371    
780         	10          	8.187       	0.004328    	0.01055     	0.00331     
785         	10          	8.21        	0.00251     	0.007893    	0.00319     
790         	10          	8.128       	0.002914    	0.00812     	0.0041      
795         	10          	8.143       	0.005065    	0.007742    	0.002874    
800         	10          	8.162       	0.00503     	0.007964    	0.002796    
805         	10          	8.115       	0.003815    	0.009493    	0.005765    
810         	10          	8.092       	0.00445     	0.006472    	0.003411    
815         	10          	8.06        	0.005887    	0.01062     	0.003702    
820         	10          	8.132       	0.003632    	0.01005     	0.003775    
825         	10          	8.085       	0.006229    	0.009576    	0.003116    
830         	10          	7.978       	0.005375    	0.01035     	0.005373    
835         	10          	7.97        	0.004657    	0.01066     	0.003423    
840         	10          	7.953       	0.003712    	0.008526    	0.004152    
845         	10          	7.99        	0.005224    	0.009166    	0.003863    
850         	10          	7.982       	0.003682    	0.008393    	0.004785    
855         	10          	7.895       	0.004338    	0.007698    	0.004338    
860         	10          	7.958       	0.004827    	0.008571    	0.003916    
865         	10          	7.877       	0.00358     	0.009466    	0.004031    
870         	10          	7.962       	0.003507    	0.01113     	0.005972    
875         	10          	7.927       	0.004084    	0.01184     	0.004373    
880         	10          	7.84        	0.004132    	0.0115      	0.005093    
885         	10          	7.907       	0.003613    	0.008569    	0.005214    
890         	10          	7.868       	0.003954    	0.009386    	0.005759    
895         	10          	7.917       	0.005161    	0.009672    	0.004791    
900         	10          	7.825       	0.004132    	0.007778    	0.00372     
905         	10          	7.74        	0.004215    	0.008909    	0.004178    
910         	10          	7.832       	0.00619     	0.009337    	0.003924    
915         	10          	7.805       	0.003222    	0.009508    	0.004533    
920         	10          	7.738       	0.004516    	0.009085    	0.005585    
925         	10          	7.693       	0.003875    	0.006933    	0.005012    
930         	10          	7.688       	0.005374    	0.01082     	0.008046    
935         	10          	7.738       	0.004781    	0.01101     	0.006256    
940         	10          	7.728       	0.004665    	0.008148    	0.004633    
945         	10          	7.72        	0.00457     	0.008919    	0.004088    
950         	10          	7.725       	0.003337    	0.008455    	0.003404    
955         	10          	7.695       	0.004036    	0.008582    	0.003805    
960         	10          	7.717       	0.006533    	0.008991    	0.004359    
965         	10          	7.663       	0.005556    	0.01034     	0.003071    
970         	10          	7.683       	0.004472    	0.009253    	0.004889    
975         	10          	7.605       	0.004594    	0.006364    	0.004233    
980         	10          	7.582       	0.005009    	0.007855    	0.004574    
985         	10          	7.578       	0.006216    	0.009487    	0.006262    
990         	10          	7.64        	0.003982    	0.00744     	0.004154    
995         	10          	7.6         	0.003109    	0.006926    	0.003624    
1000        	10          	7.555       	0.004198    	0.008623    	0.004527    
1005        	10          	7.578       	0.002429    	0.009002    	0.00389     
1010        	10          	7.567       	0.004615    	0.008245    	0.003813    
1015        	10          	7.478       	0.003858    	0.007894    	0.003619    
1020        	10          	7.482       	0.002685    	0.009289    	0.002383    
1025        	10          	7.483       	0.002592    	0.009962    	0.004776    
1030        	10          	7.422       	0.003792    	0.007871    	0.003142    
1035        	10          	7.49        	0.003301    	0.008133    	0.002848    
1040        	10          	7.432       	0.003421    	0.008035    	0.003303    
1045        	10          	7.385       	0.002573    	0.00625     	0.005015    
1050        	10          	7.403       	0.00455     	0.008995    	0.005379    
1055        	10          	7.362       	0.002746    	0.008277    	0.005569    
1060        	10          	7.265       	0.005038    	0.009339    	0.005899    
1065        	10          	7.32        	0.002932    	0.007086    	0.001487    
1070        	10          	7.373       	0.003727    	0.007576    	0.003636    
1075        	10          	7.365       	0.003831    	0.008663    	0.003773    
1080        	10          	7.32        	0.002709    	0.007253    	0.005249    
1085        	10          	7.308       	0.003928    	0.01097     	0.004045    
1090        	10          	7.33        	0.003656    	0.01037     	0.004064    
1095        	10          	7.328       	0.003785    	0.009053    	0.003701    
1100        	10          	7.287       	0.005767    	0.0123      	0.003863    
1105        	10          	7.303       	0.00231     	0.008874    	0.004591    
1110        	10          	7.242       	0.004953    	0.008878    	0.00474     
1115        	10          	7.228       	0.004482    	0.008196    	0.004181    
1120        	10          	7.238       	0.004492    	0.009483    	0.004513    
1125        	10          	7.253       	0.004885    	0.007816    	0.001304    
1130        	10          	7.207       	0.003414    	0.008846    	0.00613     
1135        	10          	7.217       	0.002539    	0.009538    	0.005541    
1140        	10          	7.247       	0.004004    	0.009171    	0.005819    
1145        	10          	7.193       	0.006603    	0.0102      	0.004655    
1150        	10          	7.213       	0.007339    	0.01037     	0.005629    
1155        	10          	7.237       	0.004842    	0.007699    	0.003549    
1160        	10          	7.278       	0.004709    	0.008818    	0.005957    
1165        	10          	7.222       	0.004397    	0.009422    	0.003786    
1170        	10          	7.182       	0.004083    	0.008877    	0.004828    
1175        	10          	7.18        	0.003796    	0.008574    	0.005636    
1180        	10          	7.135       	0.005592    	0.009562    	0.00337     
1185        	10          	7.127       	0.005863    	0.009862    	0.003897    
1190        	10          	7.135       	0.005709    	0.01028     	0.007384    
1195        	10          	7.148       	0.005005    	0.008151    	0.003687    
1200        	10          	7.127       	0.002575    	0.00696     	0.003391    
1205        	10          	7.06        	0.002691    	0.009093    	0.005256    
1210        	10          	7.11        	0.004541    	0.009801    	0.005601    
1215        	10          	7.128       	0.004785    	0.009057    	0.002946    
1220        	10          	7.13        	0.001921    	0.007765    	0.002983    
1225        	10          	7.122       	0.004185    	0.007154    	0.004471    
1230        	10          	7.072       	0.007583    	0.008886    	0.004233    
1235        	10          	7.078       	0.003467    	0.008655    	0.003722    
1240        	10          	7.102       	0.004432    	0.009476    	0.004721    
1245        	10          	6.982       	0.004647    	0.007853    	0.004534    
1250        	10          	7.005       	0.004955    	0.01009     	0.002507    
1255        	10          	6.99        	0.005479    	0.009222    	0.004522    
1260        	10          	6.983       	0.004881    	0.007241    	0.002807    
1265        	10          	6.968       	0.004763    	0.008625    	0.003674    
1270        	10          	6.98        	0.00428     	0.01093     	0.003386    
1275        	10          	6.995       	0.004496    	0.01065     	0.005059    
1280        	10          	6.945       	0.002635    	0.007048    	0.003433    
1285        	10          	6.972       	0.005005    	0.007581    	0.005471    
1290        	10          	6.942       	0.004957    	0.008229    	0.003732    
1295        	10          	6.912       	0.005765    	0.01075     	0.004533    
1300        	10          	6.972       	0.006192    	0.009452    	0.00281     
1305        	10          	6.873       	0.004924    	0.008486    	0.003425    
1310        	10          	6.903       	0.00558     	0.01086     	0.004185    
1315        	10          	6.858       	0.006215    	0.01203     	0.002165    
1320        	10          	6.917       	0.004657    	0.008054    	0.004336    
1325        	10          	6.937       	0.003848    	0.008427    	0.003982    
1330        	10          	6.822       	0.004849    	0.00857     	0.004062    
1335        	10          	6.833       	0.0008469   	0.005834    	0.002609    
1340        	10          	6.88        	0.004997    	0.01098     	0.003808    
1345        	10          	6.808       	0.004557    	0.009138    	0.00712     
1350        	10          	6.895       	0.004863    	0.009295    	0.006242    
1355        	10          	6.878       	0.005013    	0.008595    	0.00425     
1360        	10          	6.817       	0.003955    	0.007168    	0.00401     
1365        	10          	6.778       	0.004236    	0.008919    	0.005313    
1370        	10          	6.758       	0.005245    	0.0122      	0.005299    
1375        	10          	6.765       	0.004254    	0.009015    	0.00355     
1380        	10          	6.757       	0.004399    	0.008088    	0.003688    
1385        	10          	6.74        	0.005339    	0.01083     	0.006852    
1390        	10          	6.745       	0.006778    	0.01035     	0.00356     
1395        	10          	6.68        	0.003799    	0.009949    	0.003755    
1400        	10          	6.753       	0.007839    	0.007468    	0.002505    
1405        	10          	6.737       	0.004337    	0.009063    	0.005722    
1410        	10          	6.687       	0.004959    	0.009813    	0.004891    
1415        	10          	6.747       	0.002811    	0.008551    	0.004204    
1420        	10          	6.64        	0.006716    	0.009371    	0.003868    
1425        	10          	6.71        	0.002442    	0.008702    	0.00357     
1430        	10          	6.69        	0.003808    	0.009218    	0.00386     
1435        	10          	6.693       	0.003362    	0.008589    	0.005446    
1440        	10          	6.705       	0.00463     	0.009816    	0.005864    
1445        	10          	6.653       	0.004948    	0.01255     	0.004315    
1450        	10          	6.728       	0.001764    	0.00969     	0.003954    
