replicate   	generation  	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
1           	5           	18.88       	0.003138    	0.0005054   	0.003216    
1           	10          	18.58       	0.002465    	0.00499     	0.002525    
1           	15          	18.48       	0.003617    	0.006872    	0.005903    
1           	20          	18.07       	0.001895    	0.004817    	0.001398    
1           	25          	17.65       	0.006134    	0.006505    	0.003499    
1           	30          	17.85       	0.003195    	0.008236    	0.001473    
1           	35          	17.55       	0.003074    	0.008268    	0.003253    
1           	40          	17.65       	0.004376    	0.01144     	0.004713    
1           	45          	17.37       	0.003019    	0.01086     	0.004427    
1           	50          	17          	0.007195    	0.01062     	0.001717    
1           	55          	16.85       	0.003314    	0.009551    	0.002992    
1           	60          	17.08       	0.0009264   	0.006957    	0.005607    
1           	65          	16.67       	0.005123    	0.007601    	0.002017    
1           	70          	16.42       	0.004046    	0.009932    	0.004276    
1           	75          	16.43       	0.004797    	0.008244    	0.0003869   
1           	80          	16.23       	0.007974    	0.009806    	0.005152    
1           	85          	15.78       	0.009123    	0.006455    	0.003504    
1           	90          	15.75       	0.004005    	0.006779    	0.003001    
1           	95          	15.65       	0.006716    	0.007389    	0.002215    
1           	100         	15.78       	0.00828     	0.01184     	0.008645    
1           	105         	15.7        	0.000321    	0.007292    	1.037e-05   
1           	110         	15.2        	0.005189    	0.008599    	0.002845    
1           	115         	15.5        	0.0001503   	0.01053     	0.001471    
1           	120         	15.03       	0.007641    	0.01068     	0.007818    
1           	125         	14.72       	0.009403    	0.01092     	0.006817    
1           	130         	14.75       	0.008677    	0.01421     	0.003758    
1           	135         	14.92       	0.002566    	0.01075     	0.003444    
1           	140         	14.5        	0.00635     	0.009194    	0.006475    
1           	145         	14.68       	0.001743    	0.008653    	0.006624    
1           	150         	14.53       	0.003057    	0.006851    	0.004414    
1           	155         	13.77       	0.002374    	0.007487    	0.003505    
1           	160         	14.18       	0.004221    	0.00928     	0.004492    
1           	165         	13.8        	0.00426     	0.0114      	0.008256    
1           	170         	14.07       	0.008204    	0.0112      	0.003851    
1           	175         	13.7        	-0.0005097  	0.01111     	0.004387    
1           	180         	13.53       	0.009233    	0.01282     	0.004004    
1           	185         	13.63       	0.006021    	0.009965    	0.007097    
1           	190         	13.17       	0.006872    	0.01034     	0.004576    
1           	195         	13.13       	0.001102    	0.01408     	0.009111    
1           	200         	13.25       	0.0008142   	0.00915     	0.004502    
1           	205         	13.07       	0.009556    	0.01465     	0.008348    
1           	210         	12.87       	0.003822    	0.01683     	0.007799    
1           	215         	12.72       	0.005121    	0.01288     	0.004537    
1           	220         	12.73       	0.007335    	0.01454     	0.006911    
1           	225         	12.65       	0.006805    	0.014       	0.007809    
1           	230         	12.47       	0.001399    	0.009282    	0.006792    
1           	235         	12.38       	0.0007548   	0.003965    	0.002472    
1           	240         	12.32       	0.002239    	0.007761    	0.007863    
1           	245         	12.07       	0.004385    	0.008826    	0.004607    
