generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	0.01518     	2.767e-06   	4.361e-06   	1.272e-06   
10          	10          	0.02047     	1.494e-06   	1.618e-06   	1.939e-06   
15          	10          	0.02216     	1.779e-06   	1.368e-06   	1.959e-06   
20          	10          	0.007044    	1.227e-06   	2.489e-06   	2.034e-06   
25          	10          	0.02345     	2.759e-06   	2.155e-06   	2.299e-06   
30          	10          	0.03023     	3.629e-06   	2.817e-06   	4.784e-06   
35          	10          	0.01661     	2.637e-06   	1.674e-06   	3.704e-06   
40          	10          	0.03832     	1.082e-06   	6.54e-06    	2.515e-06   
45          	10          	0.04039     	2.456e-06   	2.294e-06   	2.246e-06   
50          	10          	0.03704     	6.07e-06    	2.289e-06   	4.21e-06    
55          	10          	0.03544     	2.355e-06   	2.347e-06   	1.882e-06   
60          	10          	0.04146     	4.198e-06   	2.842e-06   	2.103e-06   
65          	10          	0.04291     	3.33e-06    	2.096e-06   	3.216e-06   
70          	10          	0.07546     	3.753e-06   	7.41e-06    	5.563e-06   
75          	10          	0.1091      	4.863e-06   	8.393e-06   	3.809e-06   
80          	10          	0.04017     	6.891e-06   	6.761e-06   	4.646e-06   
85          	10          	0.08303     	5.593e-06   	3.611e-06   	4.592e-06   
90          	10          	0.031       	3.574e-06   	1.225e-05   	4.408e-06   
95          	10          	0.05241     	4.957e-06   	4.772e-06   	5.139e-06   
100         	10          	0.03107     	4.157e-06   	9.766e-06   	7.413e-06   
105         	10          	0.07195     	4.015e-06   	2.003e-06   	3.578e-06   
110         	10          	0.1242      	9.734e-06   	9.397e-06   	4.178e-06   
115         	10          	0.0541      	5e-06       	7.257e-06   	3.538e-06   
120         	10          	0.08422     	2.543e-06   	5.294e-06   	4.12e-06    
125         	10          	0.05466     	5.876e-06   	3.091e-06   	4.747e-06   
130         	10          	0.04618     	5.733e-06   	8.042e-06   	2.934e-06   
135         	10          	0.0345      	3.173e-06   	2.266e-06   	2.753e-06   
140         	10          	0.07039     	2.668e-06   	1.095e-06   	2.966e-06   
145         	10          	0.03807     	2.704e-06   	5.974e-06   	3.094e-06   
150         	10          	0.02993     	4.461e-06   	4.807e-06   	5.239e-06   
155         	10          	0.05882     	5.792e-06   	1.108e-05   	9.012e-06   
160         	10          	0.05341     	7.365e-06   	7.772e-06   	9.986e-06   
165         	10          	0.02747     	2.878e-06   	5.747e-06   	3.787e-06   
170         	10          	0.06344     	7.922e-06   	1.13e-05    	3.47e-06    
175         	10          	0.03001     	2.204e-06   	6.291e-06   	6.917e-06   
180         	10          	0.04203     	5.752e-06   	4.235e-06   	5.988e-06   
185         	10          	0.03746     	5.137e-06   	1.185e-05   	2.743e-06   
190         	10          	0.04762     	1.196e-06   	6.92e-06    	4.78e-06    
195         	10          	0.02784     	4.598e-06   	3.227e-06   	5.307e-06   
200         	10          	0.05918     	6.122e-06   	1.198e-05   	5.394e-06   
205         	10          	0.06445     	7.003e-06   	7.398e-06   	5.572e-06   
210         	10          	0.0464      	3.953e-06   	1.23e-05    	4.633e-06   
215         	10          	0.07064     	4.534e-06   	7.879e-06   	3.48e-06    
220         	10          	0.03656     	3.237e-06   	1.231e-05   	7.868e-06   
225         	10          	0.05554     	2.939e-06   	5.068e-06   	4.331e-06   
230         	10          	0.05694     	3.697e-06   	3.425e-06   	1.129e-05   
235         	10          	0.05861     	4.324e-06   	8.691e-06   	3.95e-06    
240         	10          	0.04254     	5.355e-06   	5.155e-06   	5.67e-06    
245         	10          	0.04007     	6.129e-06   	1.138e-05   	4.605e-06   
250         	10          	0.02152     	6.453e-06   	5.11e-06    	3.188e-06   
255         	10          	0.03912     	9.171e-06   	5.776e-06   	5.67e-06    
