generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	17.48       	0.0131      	0.01641     	0.01152     
10          	10          	16.15       	0.01607     	0.0281      	0.01984     
15          	10          	15.02       	0.01927     	0.03534     	0.01863     
20          	10          	14.36       	0.02033     	0.03929     	0.01737     
25          	10          	13.54       	0.02159     	0.04447     	0.02374     
30          	10          	13          	0.02074     	0.04456     	0.02087     
35          	10          	12.34       	0.02041     	0.04507     	0.02152     
40          	10          	11.76       	0.02017     	0.04846     	0.02292     
45          	10          	11.23       	0.0224      	0.04603     	0.0213      
50          	10          	10.8        	0.01853     	0.04191     	0.02111     
55          	10          	10.33       	0.02194     	0.05037     	0.02506     
60          	10          	9.945       	0.02187     	0.04504     	0.02258     
65          	10          	9.715       	0.02216     	0.04461     	0.01813     
70          	10          	9.353       	0.02279     	0.04697     	0.02212     
75          	10          	9.022       	0.02295     	0.04571     	0.02252     
80          	10          	8.815       	0.02114     	0.04432     	0.02687     
85          	10          	8.478       	0.02182     	0.04467     	0.02249     
90          	10          	8.212       	0.02175     	0.04508     	0.02344     
95          	10          	8.017       	0.02089     	0.04111     	0.02327     
100         	10          	7.802       	0.02233     	0.04329     	0.01779     
105         	10          	7.572       	0.02335     	0.04914     	0.02068     
110         	10          	7.452       	0.01908     	0.04732     	0.02528     
115         	10          	7.293       	0.02102     	0.04228     	0.01756     
120         	10          	7.103       	0.01709     	0.04092     	0.02156     
125         	10          	7.015       	0.0197      	0.04699     	0.02118     
130         	10          	6.795       	0.02593     	0.04671     	0.02254     
135         	10          	6.648       	0.02994     	0.04817     	0.02387     
140         	10          	6.603       	0.02242     	0.04661     	0.02131     
145         	10          	6.482       	0.02034     	0.04106     	0.01719     
150         	10          	6.41        	0.01872     	0.04018     	0.01984     
155         	10          	6.362       	0.01852     	0.03916     	0.01649     
160         	10          	6.162       	0.0225      	0.04384     	0.01913     
165         	10          	6.147       	0.02371     	0.04667     	0.02249     
170         	10          	6.013       	0.02089     	0.04319     	0.0234      
175         	10          	5.888       	0.02197     	0.05208     	0.02428     
180         	10          	5.845       	0.01895     	0.04633     	0.02653     
185         	10          	5.788       	0.01999     	0.04845     	0.02268     
190         	10          	5.737       	0.0232      	0.04486     	0.01942     
195         	10          	5.557       	0.0206      	0.04649     	0.02252     
200         	10          	5.527       	0.01873     	0.04526     	0.02547     
205         	10          	5.383       	0.02118     	0.05009     	0.02516     
210         	10          	5.297       	0.02507     	0.05384     	0.02458     
