replicate   	generation  	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
1           	5           	17.52       	0.01765     	0.01742     	0.007036    
1           	10          	15.75       	0.02182     	0.03281     	0.02682     
1           	15          	14.2        	0.02896     	0.04401     	0.01836     
1           	20          	14.32       	0.01594     	0.02956     	0.01155     
1           	25          	13.5        	0.02014     	0.03719     	0.01432     
1           	30          	12.82       	0.01066     	0.03506     	0.01646     
1           	35          	12.55       	0.01198     	0.03644     	0.01613     
1           	40          	11.48       	0.01553     	0.0474      	0.02772     
1           	45          	10.97       	0.02614     	0.04297     	0.01741     
1           	50          	10.75       	0.01832     	0.0353      	0.01895     
1           	55          	9.95        	0.02379     	0.05669     	0.02144     
1           	60          	9.617       	0.01509     	0.03588     	0.01037     
1           	65          	9.417       	0.02706     	0.05625     	0.01856     
1           	70          	9.317       	0.02193     	0.03886     	0.02297     
1           	75          	8.85        	0.02275     	0.05623     	0.02383     
1           	80          	8.917       	0.02114     	0.04084     	0.01973     
1           	85          	8.25        	0.01974     	0.04899     	0.02336     
1           	90          	8.133       	0.01922     	0.04046     	0.02799     
1           	95          	7.9         	0.03575     	0.04943     	0.02385     
1           	100         	7.917       	0.02165     	0.04017     	0.02094     
1           	105         	7.683       	0.03139     	0.05117     	0.01451     
1           	110         	7.5         	0.01647     	0.04781     	0.0284      
1           	115         	7.317       	0.0189      	0.03021     	0.01543     
1           	120         	7.167       	0.0131      	0.03056     	0.01097     
1           	125         	7.133       	0.01915     	0.03773     	0.01348     
1           	130         	7.05        	0.02246     	0.02405     	0.01902     
1           	135         	6.667       	0.02818     	0.04448     	0.02314     
1           	140         	6.7         	0.02945     	0.05202     	0.02318     
1           	145         	6.75        	0.01168     	0.03617     	0.01498     
1           	150         	6.367       	0.01118     	0.03038     	0.01306     
1           	155         	6.133       	0.02058     	0.04803     	0.01908     
1           	160         	5.983       	0.01287     	0.03333     	0.01618     
1           	165         	5.8         	0.01206     	0.03416     	0.01728     
1           	170         	5.7         	0.01397     	0.04296     	0.01929     
1           	175         	5.567       	0.02195     	0.07404     	0.03329     
1           	180         	5.667       	0.02528     	0.05241     	0.02129     
1           	185         	5.433       	0.02735     	0.06665     	0.02452     
1           	190         	5.7         	0.02455     	0.04432     	0.01512     
1           	195         	5.55        	0.04316     	0.08314     	0.02402     
1           	200         	5.567       	0.01631     	0.04648     	0.03318     
1           	205         	5.233       	0.02767     	0.04515     	0.02991     
1           	210         	5.083       	0.03112     	0.05575     	0.01753     
1           	215         	4.983       	0.01698     	0.04003     	0.01415     
1           	220         	5.05        	0.01993     	0.03587     	0.0008958   
1           	225         	4.933       	0.01903     	0.0392      	0.01435     
1           	230         	4.85        	0.003895    	0.05085     	0.01779     
1           	235         	4.817       	0.01686     	0.04067     	0.01587     
1           	240         	4.7         	0.02496     	0.04212     	0.01172     
1           	245         	4.783       	0.01452     	0.03276     	0.01202     
1           	250         	4.767       	0.02554     	0.03152     	0.01693     
1           	255         	4.683       	0.01944     	0.04965     	0.01572     
1           	260         	4.617       	0.02515     	0.04855     	0.03061     
1           	265         	4.35        	0.02717     	0.05123     	0.01058     
1           	270         	4.417       	0.01654     	0.04753     	0.02137     
1           	275         	4.383       	0.01664     	0.0415      	0.01418     
1           	280         	4.333       	0.0333      	0.054       	0.02761     
1           	285         	4.1         	0.04143     	0.04452     	0.02892     
1           	290         	4.2         	0.01297     	0.0225      	0.01555     
1           	295         	3.917       	0.01954     	0.04583     	0.01589     
1           	300         	3.95        	0.01903     	0.04224     	0.01418     
1           	305         	3.883       	0.01795     	0.03388     	0.003812    
1           	310         	3.667       	0.03714     	0.05826     	0.03168     
1           	315         	3.75        	0.01281     	0.06145     	0.0272      
1           	320         	3.65        	0.02929     	0.06969     	0.01355     
1           	325         	3.767       	0.02737     	0.0544      	0.007678    
1           	330         	3.583       	0.03474     	0.05976     	0.02442     
1           	335         	3.517       	0.03428     	0.06656     	0.01612     
1           	340         	3.367       	0.02717     	0.05005     	0.02239     
1           	345         	3.5         	0.01573     	0.03642     	0.01101     
1           	350         	3.433       	0.02456     	0.06739     	0.04934     
1           	355         	3.433       	0.02955     	0.05022     	0.02175     
1           	360         	3.483       	0.04906     	0.06475     	0.01153     
1           	365         	3.483       	0.02663     	0.03863     	0.02283     
1           	370         	3.433       	0.02993     	0.02777     	0.01128     
1           	375         	3.483       	0.004185    	0.04355     	0.0238      
1           	380         	3.4         	0.01411     	0.01685     	0.009312    
1           	385         	3.4         	0.02461     	0.0368      	0.03465     
1           	390         	3.25        	0.02565     	0.03084     	0.01754     
1           	395         	3.433       	0.02351     	0.05354     	0.0189      
1           	400         	3.467       	0.04919     	0.0578      	0.04582     
1           	405         	3.5         	0.02433     	0.05583     	0.01614     
1           	410         	3.433       	0.01245     	0.04573     	0.01721     
1           	415         	3.4         	0.02333     	0.08471     	0.03876     
1           	420         	3.333       	0.02827     	0.05425     	0.01226     
1           	425         	3.483       	0.01374     	0.04283     	0.02982     
1           	430         	3.333       	0.01168     	0.03306     	0.01092     
1           	435         	3.367       	0.007125    	0.02861     	0.01476     
1           	440         	3.317       	0.02855     	0.03072     	0.03273     
1           	445         	3.367       	0.02724     	0.06619     	0.03286     
1           	450         	3.3         	0.01293     	0.0269      	0.03523     
1           	455         	3.383       	0.01245     	0.03553     	0.0228      
1           	460         	3.283       	0.01818     	0.01992     	0.02312     
1           	465         	3.333       	0.01434     	0.02988     	0.01774     
1           	470         	3.183       	0.01883     	0.02505     	0.01136     
1           	475         	3.283       	0.032       	0.05413     	0.007185    
1           	480         	3.117       	0.01876     	0.0302      	0.03056     
1           	485         	3.217       	0.00943     	0.06559     	0.03791     
1           	490         	3.15        	0.003883    	0.02498     	0.001336    
1           	495         	3.017       	0.01601     	0.05089     	0.01232     
1           	500         	2.867       	0.01858     	0.09897     	0.03108     
1           	505         	2.95        	0.002162    	0.03151     	0.007062    
1           	510         	2.933       	0.01449     	0.02941     	0.02076     
1           	515         	3.067       	0.01032     	0.04406     	0.0316      
1           	520         	2.967       	0.01546     	0.04649     	0.02413     
1           	525         	2.917       	0.02503     	0.05743     	0.01545     
1           	530         	3.05        	0.03363     	0.03208     	0.01368     
1           	535         	3.117       	0.04331     	0.02889     	0.008227    
1           	540         	3.033       	0.009464    	0.01872     	-0.0003557  
1           	545         	2.9         	0.004066    	0.04302     	0.02116     
1           	550         	2.9         	0.0275      	0.06706     	0.007197    
1           	555         	2.883       	0.0262      	0.05623     	0.01827     
1           	560         	2.767       	0.03218     	0.08343     	0.0232      
1           	565         	2.783       	0.0221      	0.04459     	0.0101      
1           	570         	2.8         	0.02635     	0.05845     	0.04366     
1           	575         	2.733       	0.01914     	0.0542      	0.04575     
1           	580         	2.667       	0.04176     	0.07388     	0.01536     
1           	585         	2.633       	0.0086      	0.0668      	0.04117     
1           	590         	2.7         	0.01931     	0.07874     	0.04148     
1           	595         	2.733       	0.02054     	0.06608     	0.017       
1           	600         	2.75        	0.0198      	0.05072     	0.03106     
1           	605         	2.95        	0.02154     	0.02622     	0.01081     
1           	610         	2.833       	0.03309     	0.03921     	0.02051     
1           	615         	2.9         	0.04395     	0.07186     	0.01243     
1           	620         	2.967       	0.01973     	0.02187     	0.01331     
1           	625         	2.883       	0.004522    	0.01912     	0.009928    
1           	630         	2.95        	0.01621     	0.02391     	0.007192    
1           	635         	2.867       	0.02489     	0.06029     	0.02471     
1           	640         	2.933       	0.04359     	0.05037     	0.01336     
1           	645         	2.967       	0.0192      	0.03316     	0.009694    
1           	650         	2.75        	0.01823     	0.02836     	0.01542     
1           	655         	2.6         	0.009534    	0.0366      	0.01883     
1           	660         	2.667       	0.009663    	0.05632     	0.02338     
1           	665         	2.65        	0.006917    	0.02167     	0.006897    
1           	670         	2.683       	0.02005     	0.0233      	0.0196      
1           	675         	2.567       	0.02293     	0.01684     	0.007532    
1           	680         	2.667       	0.01101     	0.02721     	0.02491     
1           	685         	2.7         	-0.0004202  	0.03049     	0.01394     
1           	690         	2.783       	0.01552     	0.02967     	0.02265     
1           	695         	2.85        	-0.006886   	0.02186     	0.01377     
1           	700         	2.633       	0.02341     	0.01435     	0.02097     
1           	705         	2.733       	0.01503     	0.02336     	0.02363     
1           	710         	2.7         	0.01466     	0.03922     	0.02748     
1           	715         	2.633       	0.01901     	0.05171     	0.03168     
1           	720         	2.633       	0.03846     	0.0609      	0.0263      
1           	725         	2.633       	0.06203     	0.07261     	0.003977    
1           	730         	2.733       	0.03371     	0.05546     	0.003917    
1           	735         	2.767       	0.02624     	0.05849     	0.02065     
1           	740         	2.917       	0.01626     	0.04928     	0.01412     
1           	745         	2.733       	0.02113     	0.05828     	0.01326     
1           	750         	2.75        	0.02158     	0.06412     	0.01418     
1           	755         	2.783       	0.01779     	0.04293     	0.02431     
1           	760         	2.767       	0.006477    	0.02613     	0.009643    
1           	765         	2.65        	0.01867     	0.02626     	0.005382    
1           	770         	2.667       	0.01906     	0.03774     	0.0221      
1           	775         	2.5         	0.02947     	0.04814     	0.01466     
1           	780         	2.533       	0.05659     	0.0607      	0.01935     
1           	785         	2.483       	0.02987     	0.07345     	0.02504     
1           	790         	2.65        	0.01994     	0.05634     	0.01488     
1           	795         	2.55        	0.02511     	0.05299     	0.01993     
1           	800         	2.5         	0.03804     	0.03254     	0.001929    
1           	805         	2.55        	0.01477     	0.05969     	0.03877     
1           	810         	2.55        	0.02367     	0.04167     	0.004306    
1           	815         	2.4         	0.04845     	0.0729      	0.01223     
1           	820         	2.333       	0.01937     	0.06781     	0.02444     
1           	825         	2.45        	0.03536     	0.08625     	0.02244     
1           	830         	2.433       	0.02387     	0.05702     	0.03054     
1           	835         	2.45        	0.04794     	0.1061      	0.03691     
1           	840         	2.367       	0.04327     	0.07782     	0.03696     
1           	845         	2.433       	0.009311    	0.03351     	0.01714     
1           	850         	2.417       	0.0244      	0.03376     	0.007741    
1           	855         	2.367       	0.0371      	0.0322      	0.008425    
1           	860         	2.317       	0.03137     	0.05381     	0.004824    
1           	865         	2.267       	0.02299     	0.07385     	0.02793     
1           	870         	2.333       	0.02236     	0.05977     	0.01327     
1           	875         	2.267       	0.03593     	0.03888     	0.01247     
1           	880         	2.3         	0.01104     	0.03698     	0.01745     
1           	885         	2.283       	0.004748    	0.03102     	0.00792     
1           	890         	2.317       	0.03236     	0.03295     	0.03149     
1           	895         	2.35        	0.03098     	0.04785     	0.01428     
1           	900         	2.367       	0.01441     	0.06064     	0.02167     
1           	905         	2.333       	0.01156     	0.06423     	0.01363     
1           	910         	2.317       	0.02459     	0.02629     	0.02186     
1           	915         	2.217       	0.04478     	0.07972     	0.01545     
1           	920         	2.267       	0.02726     	0.02417     	0.002489    
1           	925         	2.283       	0.03743     	0.06143     	0.02114     
1           	930         	2.317       	0.0504      	0.06613     	0.02469     
1           	935         	2.55        	0.004709    	0.03956     	0.02827     
1           	940         	2.567       	0.01888     	0.05166     	0.03568     
1           	945         	2.433       	0.01937     	0.04908     	0.01293     
1           	950         	2.367       	0.03473     	0.06695     	0.009025    
