generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	0.02917     	1.212e-05   	9.892e-06   	8.302e-06   
10          	10          	0.0881      	1.934e-05   	1.872e-05   	2.258e-05   
15          	10          	0.1813      	1.356e-05   	2.504e-05   	3.16e-05    
20          	10          	0.08279     	4.832e-05   	2.55e-05    	1.106e-05   
25          	10          	0.03768     	1.279e-05   	4.087e-05   	2.83e-05    
30          	10          	0.1292      	4.062e-05   	8.964e-05   	1.888e-05   
35          	10          	0.08796     	2.51e-05    	0.0001159   	3.156e-05   
40          	10          	0.1616      	2.798e-05   	8.133e-05   	1.832e-05   
45          	10          	0.1287      	1.086e-05   	6.613e-05   	2.283e-05   
50          	10          	0.1541      	1.938e-05   	5.251e-05   	4.766e-05   
55          	10          	0.1639      	1.551e-05   	6.706e-05   	5.307e-05   
60          	10          	0.1083      	5.571e-05   	3.06e-05    	5.377e-05   
65          	10          	0.1453      	4.052e-05   	5.71e-05    	1.828e-05   
70          	10          	0.1044      	6.668e-05   	7.867e-05   	2.439e-05   
75          	10          	0.1141      	4.479e-05   	8.966e-05   	4.888e-05   
80          	10          	0.1064      	5.031e-05   	3.824e-05   	3.595e-05   
85          	10          	0.1149      	3.307e-05   	5.071e-05   	3.915e-05   
90          	10          	0.06595     	3.64e-05    	3.828e-05   	2.042e-05   
95          	10          	0.1674      	4.893e-05   	7.047e-05   	2.56e-05    
100         	10          	0.1293      	2.497e-05   	5.945e-05   	6.323e-05   
105         	10          	0.124       	9.368e-05   	7.335e-05   	3.574e-05   
110         	10          	0.1083      	1.904e-05   	6.215e-05   	3.738e-05   
115         	10          	0.06379     	3.855e-05   	4.179e-05   	4.033e-05   
120         	10          	0.09971     	5.435e-05   	8.39e-05    	8.503e-05   
125         	10          	0.09697     	3.13e-05    	0.0001221   	5.832e-05   
130         	10          	0.09856     	8.596e-05   	9.302e-05   	0.0001013   
135         	10          	0.06464     	2.934e-05   	5.318e-05   	5.007e-05   
140         	10          	0.07721     	3.342e-05   	0.0001197   	2.501e-05   
145         	10          	0.07925     	4.078e-05   	7.094e-05   	3.453e-05   
150         	10          	0.03618     	3.912e-05   	9.293e-05   	7.812e-05   
155         	10          	0.09156     	2.047e-05   	0.0001241   	5.007e-05   
160         	10          	0.05278     	3.054e-05   	0.0001214   	0.0001008   
165         	10          	0.06771     	8.945e-05   	0.0001986   	2.848e-05   
