generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	18.26       	0.007818    	0.009312    	0.007306    
10          	10          	17.3        	0.01462     	0.01865     	0.0139      
15          	10          	16.54       	0.01735     	0.0258      	0.01717     
20          	10          	15.92       	0.02146     	0.03388     	0.01893     
25          	10          	15.29       	0.02325     	0.0372      	0.02304     
30          	10          	14.79       	0.02727     	0.04374     	0.02578     
35          	10          	14.5        	0.02487     	0.04551     	0.02616     
40          	10          	14.23       	0.02257     	0.04376     	0.02487     
45          	10          	13.77       	0.02436     	0.04727     	0.02808     
50          	10          	13.41       	0.02767     	0.05202     	0.02919     
55          	10          	13.07       	0.02917     	0.05222     	0.02833     
60          	10          	12.87       	0.02302     	0.05215     	0.02792     
65          	10          	12.57       	0.02756     	0.05463     	0.02759     
70          	10          	12.27       	0.02862     	0.05504     	0.03001     
75          	10          	12.11       	0.02731     	0.05283     	0.02799     
80          	10          	11.76       	0.02815     	0.05675     	0.02893     
85          	10          	11.53       	0.02876     	0.05681     	0.0287      
90          	10          	11.29       	0.02953     	0.05912     	0.03175     
95          	10          	11.18       	0.02456     	0.05599     	0.02895     
100         	10          	10.95       	0.02662     	0.05751     	0.02859     
105         	10          	10.81       	0.03151     	0.05934     	0.03028     
110         	10          	10.51       	0.03329     	0.06062     	0.02905     
115         	10          	10.36       	0.03378     	0.05975     	0.02832     
120         	10          	10.07       	0.03613     	0.06728     	0.0308      
125         	10          	9.977       	0.03076     	0.05743     	0.03012     
130         	10          	9.882       	0.03079     	0.05905     	0.02943     
135         	10          	9.702       	0.0279      	0.05754     	0.02571     
140         	10          	9.642       	0.02715     	0.05335     	0.02693     
145         	10          	9.417       	0.03048     	0.0582      	0.02634     
150         	10          	9.28        	0.03136     	0.05776     	0.02881     
155         	10          	9.088       	0.03177     	0.06259     	0.03099     
160         	10          	8.91        	0.03209     	0.06052     	0.03243     
165         	10          	8.787       	0.03174     	0.06761     	0.03496     
170         	10          	8.815       	0.03446     	0.06068     	0.02898     
175         	10          	8.663       	0.02955     	0.05918     	0.03251     
180         	10          	8.532       	0.02955     	0.05836     	0.0284      
185         	10          	8.458       	0.0298      	0.06041     	0.03046     
190         	10          	8.33        	0.03252     	0.05659     	0.02658     
195         	10          	8.233       	0.02597     	0.05091     	0.02644     
200         	10          	8.153       	0.0327      	0.05656     	0.02474     
