replicate   	generation  	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
1           	5           	18.1        	0.007325    	0.009929    	0.00397     
1           	10          	17.23       	0.01315     	0.01947     	0.01364     
1           	15          	16.65       	0.01542     	0.02311     	0.01576     
1           	20          	15.95       	0.01991     	0.03767     	0.02549     
1           	25          	15.15       	0.02158     	0.04112     	0.02463     
1           	30          	14.92       	0.02893     	0.04354     	0.02449     
1           	35          	14.83       	0.0239      	0.0437      	0.01995     
1           	40          	14.72       	0.01828     	0.04431     	0.02677     
1           	45          	13.78       	0.01944     	0.05608     	0.02921     
1           	50          	13.28       	0.02807     	0.05096     	0.02209     
1           	55          	12.98       	0.03317     	0.0536      	0.03129     
1           	60          	13.5        	0.01813     	0.04125     	0.02419     
1           	65          	12.9        	0.02667     	0.0494      	0.02789     
1           	70          	12.38       	0.02467     	0.04621     	0.02725     
1           	75          	12.48       	0.01997     	0.03757     	0.02578     
1           	80          	11.8        	0.03196     	0.05712     	0.02469     
1           	85          	11.85       	0.01911     	0.0527      	0.02431     
1           	90          	11.27       	0.03742     	0.06041     	0.03201     
1           	95          	11.45       	0.02538     	0.05377     	0.03056     
1           	100         	11.08       	0.02945     	0.06118     	0.03017     
1           	105         	10.78       	0.02763     	0.06051     	0.02977     
1           	110         	10.45       	0.03826     	0.07204     	0.03345     
1           	115         	10.28       	0.04295     	0.06254     	0.0301      
1           	120         	10.02       	0.04023     	0.07401     	0.04007     
1           	125         	9.733       	0.01929     	0.05611     	0.04063     
1           	130         	9.783       	0.02001     	0.05447     	0.03853     
1           	135         	9.583       	0.01641     	0.0552      	0.03215     
1           	140         	9.633       	0.01855     	0.04188     	0.01848     
1           	145         	9.117       	0.02682     	0.05345     	0.0315      
1           	150         	9.1         	0.02589     	0.05263     	0.0309      
1           	155         	8.833       	0.03437     	0.06407     	0.02459     
1           	160         	8.667       	0.04312     	0.06288     	0.02046     
1           	165         	8.633       	0.03438     	0.08359     	0.03193     
1           	170         	8.9         	0.0363      	0.06481     	0.01985     
1           	175         	8.8         	0.03627     	0.07162     	0.04604     
1           	180         	8.8         	0.03321     	0.06854     	0.04027     
1           	185         	8.533       	0.02251     	0.07585     	0.05479     
1           	190         	8.4         	0.02833     	0.07188     	0.0247      
1           	195         	8.35        	0.02614     	0.06572     	0.03118     
1           	200         	8.317       	0.03248     	0.07269     	0.0233      
1           	205         	7.9         	0.02937     	0.06742     	0.03883     
1           	210         	8           	0.04241     	0.06743     	0.03439     
1           	215         	7.8         	0.03504     	0.05435     	0.03153     
1           	220         	7.983       	0.02992     	0.06673     	0.03376     
1           	225         	7.883       	0.02693     	0.04548     	0.01783     
1           	230         	7.867       	0.02298     	0.05365     	0.02467     
1           	235         	7.583       	0.0317      	0.06626     	0.02613     
1           	240         	7.733       	0.02128     	0.0507      	0.02444     
1           	245         	7.683       	0.02018     	0.06894     	0.03283     
1           	250         	7.6         	0.02861     	0.05684     	0.03999     
1           	255         	7.5         	0.02425     	0.05687     	0.04679     
1           	260         	7.617       	0.01914     	0.05272     	0.01868     
1           	265         	7.533       	0.02751     	0.04561     	0.02536     
1           	270         	7.4         	0.02823     	0.05541     	0.0206      
