generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	0.02396     	5.674e-06   	3.4e-06     	7.504e-06   
10          	10          	0.01819     	5.183e-06   	4.327e-06   	3.862e-06   
15          	10          	0.0134      	7.995e-06   	1.297e-05   	4.508e-06   
20          	10          	0.03708     	1.305e-05   	1.535e-05   	1.158e-05   
25          	10          	0.05906     	7.307e-06   	1.127e-05   	1.024e-05   
30          	10          	0.1234      	3.113e-05   	3.698e-05   	9.032e-06   
35          	10          	0.08108     	2.617e-05   	4.211e-05   	1.939e-05   
40          	10          	0.06736     	2.144e-05   	2.957e-05   	1.259e-05   
45          	10          	0.04975     	1.825e-05   	4.077e-05   	4.525e-05   
50          	10          	0.03234     	3.142e-05   	5.07e-05    	4.321e-05   
55          	10          	0.02477     	2.153e-05   	2.052e-05   	3.615e-05   
60          	10          	0.1219      	3.525e-05   	3.646e-05   	3.741e-05   
65          	10          	0.05491     	5.09e-05    	5.402e-05   	1.776e-05   
70          	10          	0.07418     	3.027e-05   	4.543e-05   	4.189e-05   
75          	10          	0.1263      	4.509e-05   	7.83e-05    	2.145e-05   
80          	10          	0.06134     	9.808e-06   	0.0001023   	2.739e-05   
85          	10          	0.1135      	2.131e-05   	6.813e-05   	3.626e-05   
90          	10          	0.1166      	6.816e-05   	9.288e-05   	2.889e-05   
95          	10          	0.05961     	3.162e-05   	4.545e-05   	4.103e-05   
100         	10          	0.09493     	2.437e-05   	5.101e-05   	6.082e-05   
105         	10          	0.08734     	3.128e-05   	2.247e-05   	2.252e-05   
110         	10          	0.08945     	6.175e-05   	6.75e-05    	6.987e-05   
115         	10          	0.04196     	9.928e-05   	5.271e-05   	2.635e-05   
120         	10          	0.04212     	6.395e-05   	7.106e-05   	7.38e-05    
125         	10          	0.02496     	7.611e-05   	1.482e-05   	2.358e-05   
130         	10          	0.03225     	4.92e-05    	4.959e-05   	4.879e-05   
135         	10          	0.03925     	6.199e-05   	1.305e-05   	4.121e-05   
140         	10          	0.01268     	4.201e-05   	4.575e-05   	4.87e-05    
145         	10          	0.05817     	2.205e-05   	4.505e-05   	4.217e-05   
150         	10          	0.06116     	3.153e-05   	3.795e-05   	1.654e-05   
