generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	18.84       	0.001275    	0.003473    	0.001994    
10          	10          	18.5        	0.003546    	0.006772    	0.003914    
15          	10          	18.35       	0.003831    	0.006696    	0.003014    
20          	10          	18.14       	0.004014    	0.00763     	0.003019    
25          	10          	17.99       	0.003479    	0.008129    	0.003444    
30          	10          	17.7        	0.004587    	0.009052    	0.004458    
35          	10          	17.65       	0.003606    	0.008073    	0.004055    
40          	10          	17.48       	0.004298    	0.008117    	0.003824    
45          	10          	17.31       	0.004366    	0.008958    	0.003925    
50          	10          	17.17       	0.005438    	0.00829     	0.004201    
55          	10          	17.04       	0.004166    	0.008683    	0.005329    
60          	10          	16.79       	0.005117    	0.008455    	0.003713    
65          	10          	16.64       	0.004845    	0.008581    	0.005633    
70          	10          	16.42       	0.004753    	0.00982     	0.005243    
75          	10          	16.24       	0.005466    	0.01049     	0.003875    
80          	10          	16.21       	0.003996    	0.009487    	0.003728    
85          	10          	15.89       	0.003893    	0.009406    	0.005459    
90          	10          	15.78       	0.003319    	0.009209    	0.004479    
95          	10          	15.7        	0.003879    	0.01066     	0.004467    
100         	10          	15.47       	0.004006    	0.009705    	0.004682    
105         	10          	15.37       	0.005761    	0.01095     	0.005008    
110         	10          	15.24       	0.003169    	0.00781     	0.002525    
115         	10          	15.05       	0.003615    	0.009091    	0.004469    
120         	10          	14.91       	0.004869    	0.00975     	0.004755    
125         	10          	14.88       	0.00397     	0.007979    	0.004319    
130         	10          	14.76       	0.004742    	0.00904     	0.004932    
135         	10          	14.59       	0.005253    	0.008975    	0.00454     
140         	10          	14.62       	0.004649    	0.008401    	0.003925    
145         	10          	14.45       	0.004745    	0.01032     	0.006396    
150         	10          	14.34       	0.003416    	0.008872    	0.003668    
155         	10          	14.16       	0.004489    	0.01035     	0.004967    
160         	10          	14.09       	0.004728    	0.00921     	0.004215    
165         	10          	14          	0.004052    	0.01035     	0.003729    
170         	10          	13.91       	0.003856    	0.01015     	0.004546    
175         	10          	13.79       	0.004184    	0.01072     	0.005071    
180         	10          	13.68       	0.004412    	0.01029     	0.005491    
185         	10          	13.56       	0.004636    	0.008648    	0.004523    
190         	10          	13.44       	0.005481    	0.01057     	0.005653    
195         	10          	13.32       	0.005567    	0.009826    	0.00492     
200         	10          	13.27       	0.003187    	0.01212     	0.003767    
205         	10          	13.04       	0.004834    	0.01026     	0.003856    
210         	10          	12.95       	0.004253    	0.00721     	0.003442    
215         	10          	12.87       	0.005464    	0.01103     	0.005864    
220         	10          	12.78       	0.003646    	0.01015     	0.004998    
225         	10          	12.71       	0.005105    	0.01016     	0.004401    
230         	10          	12.67       	0.004534    	0.009355    	0.004574    
235         	10          	12.57       	0.004365    	0.009155    	0.004293    
240         	10          	12.47       	0.003716    	0.0091      	0.004085    
245         	10          	12.4        	0.004069    	0.008148    	0.005102    
250         	10          	12.35       	0.003922    	0.0096      	0.00365     
255         	10          	12.26       	0.005421    	0.009298    	0.003612    
260         	10          	12.15       	0.002741    	0.008926    	0.002515    
265         	10          	12.07       	0.002868    	0.009146    	0.004546    
270         	10          	12.07       	0.004301    	0.009319    	0.003805    
275         	10          	12.05       	0.003653    	0.008777    	0.003169    
280         	10          	11.82       	0.003823    	0.00971     	0.003924    
285         	10          	11.71       	0.00536     	0.01062     	0.005072    
290         	10          	11.72       	0.004492    	0.008014    	0.0038      
295         	10          	11.72       	0.003754    	0.008732    	0.004897    
300         	10          	11.52       	0.005132    	0.00884     	0.003226    
305         	10          	11.46       	0.004086    	0.009716    	0.004953    
310         	10          	11.46       	0.003119    	0.0079      	0.003105    
315         	10          	11.34       	0.004959    	0.009084    	0.003362    
320         	10          	11.24       	0.005984    	0.008707    	0.005331    
