replicate   	generation  	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
1           	5           	18.83       	0.00336     	0.002575    	0.001973    
1           	10          	18.47       	0.004773    	0.007365    	0.006106    
1           	15          	18.4        	0.0009638   	0.004709    	0.000577    
1           	20          	18.17       	0.003319    	0.004862    	0.001183    
1           	25          	18.02       	0.001786    	0.006815    	0.001439    
1           	30          	17.42       	0.003258    	0.01198     	0.006101    
1           	35          	17.53       	0.006867    	0.009567    	0.003477    
1           	40          	17.43       	0.006661    	0.008321    	0.002971    
1           	45          	17.12       	0.005603    	0.006242    	0.003756    
1           	50          	16.97       	0.004541    	0.008972    	0.004674    
1           	55          	17          	0.002512    	0.008757    	0.007162    
1           	60          	16.82       	0.005015    	0.007442    	0.003893    
1           	65          	16.5        	0.00666     	0.0101      	0.003027    
1           	70          	16.48       	0.003167    	0.007513    	0.002765    
1           	75          	16.23       	0.00331     	0.008748    	0.005178    
1           	80          	15.93       	0.005297    	0.01422     	0.00574     
1           	85          	16.02       	0.001963    	0.007808    	0.006755    
1           	90          	15.63       	0.003075    	0.009704    	0.006172    
1           	95          	15.55       	0.004058    	0.009816    	0.008169    
1           	100         	15.4        	0.00352     	0.003918    	0.004295    
1           	105         	15.38       	0.004864    	0.0111      	0.002893    
1           	110         	15.47       	0.002043    	0.006353    	0.003174    
1           	115         	15.1        	0.002521    	0.008143    	0.003016    
1           	120         	15.23       	0.005748    	0.008282    	0.00562     
1           	125         	14.83       	0.0003291   	0.004128    	0.003996    
1           	130         	14.67       	0.005756    	0.008122    	0.003125    
1           	135         	14.63       	0.00161     	0.008619    	0.004853    
1           	140         	14.83       	0.004773    	0.007415    	0.003146    
1           	145         	14.65       	0.004739    	0.01573     	0.0068      
1           	150         	14.37       	0.001236    	0.009543    	0.002912    
1           	155         	14.08       	0.002787    	0.01053     	0.008446    
1           	160         	13.95       	0.009621    	0.01478     	0.004866    
1           	165         	13.97       	0.01003     	0.01508     	0.001652    
1           	170         	13.93       	0.006265    	0.01106     	0.003756    
1           	175         	14.17       	0.005183    	0.0111      	0.00573     
1           	180         	13.8        	0.002119    	0.01119     	0.004183    
1           	185         	13.48       	0.005749    	0.008991    	0.002895    
1           	190         	13.45       	0.00271     	0.008884    	0.002136    
1           	195         	13.35       	0.008963    	0.01224     	0.00392     
1           	200         	13.62       	0.002593    	0.006501    	0.002693    
1           	205         	13.62       	0.003698    	0.009501    	0.006369    
1           	210         	13.32       	0.006168    	0.01218     	0.005799    
1           	215         	13.1        	0.007856    	0.01589     	0.01297     
1           	220         	13.18       	0.0009263   	0.01339     	0.003242    
1           	225         	13.45       	0.004042    	0.01329     	0.00471     
1           	230         	13.13       	0.006826    	0.01268     	0.007024    
1           	235         	13.2        	0.005301    	0.01216     	0.004327    
1           	240         	12.98       	0.004929    	0.008103    	0.005484    
1           	245         	12.73       	0.004266    	0.01064     	0.008825    
1           	250         	12.75       	0.007551    	0.009204    	0.005357    
1           	255         	12.47       	0.00543     	0.005948    	0.003786    
1           	260         	12.35       	0.0007178   	0.007921    	0.00523     
1           	265         	12.53       	0.003014    	0.01217     	0.004895    
1           	270         	12.58       	0.006501    	0.01164     	0.006466    
1           	275         	12.25       	0.006578    	0.01098     	0.006781    
1           	280         	12.05       	0.001973    	0.01153     	0.00599     
1           	285         	12.15       	0.009854    	0.01231     	0.005053    
1           	290         	12.07       	0.004804    	0.01331     	0.007678    
1           	295         	12.1        	0.005052    	0.01093     	0.00409     
1           	300         	11.72       	0.002686    	0.008733    	0.003191    
1           	305         	11.28       	0.009138    	0.00982     	0.005256    
1           	310         	11.72       	0.006076    	0.01276     	0.005952    
1           	315         	11.57       	0.01043     	0.01323     	0.002972    
1           	320         	11.7        	0.006483    	0.009782    	0.00527     
1           	325         	11.5        	0.004558    	0.008294    	0.002139    
1           	330         	11.35       	0.00768     	0.01455     	0.004693    
1           	335         	11.17       	0.002982    	0.008748    	0.005535    
1           	340         	11.53       	0.002508    	0.01424     	0.00499     
1           	345         	11.3        	0.003985    	0.0008087   	0.001014    
1           	350         	11.47       	0.001492    	0.006689    	0.005833    
1           	355         	11.22       	0.007559    	0.01871     	0.002374    
1           	360         	11.1        	0.002962    	0.01095     	0.004039    
1           	365         	11.17       	0.003656    	0.008082    	0.004695    
1           	370         	11.03       	0.006202    	0.006198    	0.005873    
1           	375         	10.63       	0.0009148   	0.007671    	0.004392    
1           	380         	10.77       	0.0006891   	0.0003536   	-0.0005123  
1           	385         	10.68       	0.003009    	0.009763    	0.004699    
1           	390         	10.52       	0.005201    	0.007334    	-0.0004188  
1           	395         	10.33       	0.01194     	0.01287     	0.006021    
1           	400         	10.53       	0.002333    	0.01124     	0.008018    
1           	405         	10.22       	0.003469    	0.007188    	0.001151    
1           	410         	10.57       	0.001722    	0.01474     	0.004906    
1           	415         	10.35       	0.004038    	0.01383     	0.0007905   
1           	420         	10.3        	0.008695    	0.007802    	0.007776    
1           	425         	10.25       	0.00748     	0.0145      	0.005186    
1           	430         	10.22       	0.004129    	0.01207     	0.003898    
1           	435         	10.15       	0.006731    	0.009544    	0.003341    
1           	440         	10.15       	0.002745    	0.007981    	0.001647    
1           	445         	10.25       	0.005507    	0.0144      	0.006697    
