generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	0.008489    	1.981e-06   	2.454e-06   	1.728e-06   
10          	10          	0.03754     	2.471e-06   	2.785e-06   	3.581e-06   
15          	10          	0.005711    	2.09e-06    	3.974e-06   	5.117e-06   
20          	10          	0.01234     	8.752e-07   	5.315e-06   	2.613e-06   
25          	10          	0.02023     	1.502e-06   	3.356e-06   	2.121e-06   
30          	10          	0.01861     	3.047e-06   	4.265e-06   	7.669e-07   
35          	10          	0.01789     	3.735e-06   	6.136e-06   	1.011e-06   
40          	10          	0.02824     	3.698e-06   	3.504e-06   	2.387e-06   
45          	10          	0.01361     	3.281e-06   	3.663e-06   	9.524e-07   
50          	10          	0.0571      	9.448e-07   	2.112e-06   	1.72e-06    
55          	10          	0.03023     	4.177e-06   	4.115e-06   	1.251e-06   
60          	10          	0.02712     	2.818e-06   	2.889e-06   	1.756e-06   
65          	10          	0.046       	4.323e-06   	3.266e-06   	1.007e-05   
70          	10          	0.04279     	4.55e-06    	5.688e-06   	7.893e-06   
75          	10          	0.0215      	2.591e-06   	4.789e-06   	2.986e-06   
80          	10          	0.02856     	5.438e-06   	7.266e-06   	3.132e-06   
85          	10          	0.04201     	2.781e-06   	5.466e-06   	3.308e-06   
90          	10          	0.02182     	7.278e-06   	4.419e-06   	1.005e-05   
95          	10          	0.0748      	3.914e-06   	3.851e-06   	3.122e-06   
100         	10          	0.03691     	2.187e-06   	1.536e-05   	9.499e-06   
105         	10          	0.05489     	5.895e-06   	5.958e-06   	3.109e-06   
110         	10          	0.0268      	3.037e-06   	1.024e-06   	1.146e-06   
115         	10          	0.08167     	2.08e-06    	3.896e-06   	3.093e-06   
120         	10          	0.04101     	7.644e-06   	9.98e-06    	2.72e-06    
125         	10          	0.03272     	2.802e-06   	7.281e-06   	3.647e-06   
130         	10          	0.06096     	2.624e-06   	4.354e-06   	2.424e-06   
135         	10          	0.05074     	4.845e-06   	4.157e-06   	7.82e-07    
140         	10          	0.06608     	2.52e-06    	8.324e-06   	5.094e-06   
145         	10          	0.03523     	6.17e-06    	8.673e-06   	2.789e-06   
150         	10          	0.05779     	2.712e-06   	6.055e-06   	7.835e-06   
155         	10          	0.04046     	4.078e-06   	1.137e-05   	3.733e-06   
160         	10          	0.05145     	1.26e-05    	6.972e-06   	3.48e-06    
165         	10          	0.04025     	7.189e-06   	5.797e-06   	3.039e-06   
170         	10          	0.04596     	3.056e-06   	6.327e-06   	3.856e-06   
175         	10          	0.04477     	2.71e-06    	5.939e-06   	3.601e-06   
180         	10          	0.02296     	3.317e-06   	9.637e-06   	4.415e-06   
185         	10          	0.03745     	1.975e-06   	4.573e-06   	4.166e-06   
190         	10          	0.03828     	8.313e-06   	1.838e-05   	4.596e-06   
195         	10          	0.04966     	7.404e-06   	1.155e-05   	4.082e-06   
200         	10          	0.03319     	4.392e-06   	1.154e-05   	2.359e-06   
205         	10          	0.06817     	1.238e-05   	2.033e-05   	6.779e-06   
210         	10          	0.04704     	6.231e-06   	5.942e-06   	2.573e-06   
215         	10          	0.04768     	6.321e-06   	7.435e-06   	1.257e-05   
220         	10          	0.04568     	1.071e-05   	8.628e-06   	5.706e-06   
225         	10          	0.08918     	3.455e-06   	7.3e-06     	5.799e-06   
230         	10          	0.04689     	7.218e-06   	3.338e-06   	1.656e-06   
235         	10          	0.07972     	4.674e-06   	7.429e-06   	8.746e-07   
240         	10          	0.1026      	9.593e-06   	3.69e-06    	2.813e-06   
245         	10          	0.04288     	3.752e-06   	4.174e-06   	8.111e-06   
250         	10          	0.06491     	1.094e-05   	8.963e-06   	4.88e-06    
255         	10          	0.03007     	6.448e-06   	3.648e-06   	6.048e-06   
260         	10          	0.04867     	2.949e-06   	9.801e-06   	5.642e-06   
265         	10          	0.04441     	3.647e-06   	8.929e-06   	3.804e-06   
270         	10          	0.05957     	2.955e-06   	1.45e-05    	5.442e-06   
275         	10          	0.06773     	7.735e-06   	8.151e-06   	4.845e-06   
280         	10          	0.04614     	6.389e-06   	9.681e-06   	6.345e-06   
285         	10          	0.06617     	4.129e-06   	4.439e-06   	4.08e-06    
290         	10          	0.06656     	7.102e-06   	9.75e-06    	7.378e-06   
295         	10          	0.05275     	7.538e-06   	1.417e-05   	5.206e-06   
300         	10          	0.05791     	3.77e-06    	8.669e-06   	2.671e-06   
305         	10          	0.03345     	9.209e-06   	1.015e-05   	6.622e-06   
310         	10          	0.05511     	1.075e-05   	9.55e-06    	1.083e-05   
315         	10          	0.06732     	7.097e-06   	1.224e-05   	3.939e-06   
320         	10          	0.03935     	3.811e-06   	1.108e-05   	1.026e-05   
325         	10          	0.02538     	5.633e-06   	8.518e-06   	1.866e-05   
330         	10          	0.03007     	5.577e-06   	6.004e-06   	7.285e-06   
335         	10          	0.02167     	3.949e-06   	3.189e-06   	3.928e-06   
340         	10          	0.05121     	5.159e-06   	7.403e-06   	5.771e-06   
345         	10          	0.04995     	1.154e-05   	3.535e-05   	1.376e-05   
350         	10          	0.07054     	8.278e-06   	6.876e-06   	3.351e-06   
355         	10          	0.07917     	9.612e-06   	1.404e-05   	5.134e-06   
360         	10          	0.05836     	4.035e-06   	4.215e-06   	2.535e-06   
365         	10          	0.05484     	5.894e-06   	4.232e-06   	3.035e-06   
370         	10          	0.03989     	5.847e-06   	8.285e-06   	4.863e-06   
375         	10          	0.08006     	4.65e-06    	3.719e-06   	8.226e-06   
380         	10          	0.0269      	3.118e-06   	1.402e-05   	8.679e-06   
385         	10          	0.0438      	1.741e-05   	6.282e-06   	2.996e-06   
390         	10          	0.07171     	3.37e-06    	5.075e-06   	3.254e-06   
395         	10          	0.07189     	1.227e-05   	6.973e-06   	4.112e-06   
400         	10          	0.05036     	7.247e-06   	1.344e-05   	1.049e-05   
405         	10          	0.07793     	5.709e-06   	9.97e-06    	6.335e-06   
410         	10          	0.03445     	6.847e-06   	1.756e-05   	6.231e-06   
415         	10          	0.03644     	1.214e-05   	2.249e-05   	4.551e-06   
420         	10          	0.05645     	6.668e-06   	4.713e-06   	5.78e-06    
425         	10          	0.06684     	7.929e-06   	6.778e-06   	6.963e-06   
430         	10          	0.03712     	5.099e-06   	8.344e-06   	8.023e-06   
435         	10          	0.09039     	4.414e-06   	1.18e-05    	1.011e-05   
440         	10          	0.07912     	6.229e-06   	1.691e-05   	8.361e-06   
445         	10          	0.06523     	5.281e-06   	8.4e-06     	2.985e-06   
450         	10          	0.0921      	4.779e-06   	9.579e-06   	8.054e-06   
455         	10          	0.05856     	7.59e-06    	5.722e-06   	3.969e-06   
460         	10          	0.105       	1.047e-05   	5.213e-06   	8.07e-06    
465         	10          	0.07749     	6.496e-06   	6.929e-06   	9.847e-06   
