generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	17.54       	0.01117     	0.01608     	0.0102      
10          	10          	16.25       	0.01755     	0.02981     	0.01669     
15          	10          	14.93       	0.02201     	0.03873     	0.01971     
20          	10          	14.18       	0.02201     	0.04233     	0.02154     
25          	10          	13.53       	0.02152     	0.04348     	0.0215      
30          	10          	12.91       	0.02172     	0.04658     	0.02347     
35          	10          	12.28       	0.0227      	0.04991     	0.02396     
40          	10          	11.76       	0.02458     	0.05082     	0.02135     
45          	10          	11.29       	0.02199     	0.04737     	0.02284     
50          	10          	10.82       	0.02551     	0.05108     	0.02292     
55          	10          	10.46       	0.02294     	0.05019     	0.02343     
60          	10          	10.01       	0.02248     	0.05152     	0.02791     
65          	10          	9.77        	0.02324     	0.04642     	0.02016     
70          	10          	9.458       	0.02072     	0.04659     	0.02208     
75          	10          	9.188       	0.02199     	0.04355     	0.02106     
80          	10          	8.893       	0.02144     	0.04613     	0.02032     
85          	10          	8.573       	0.02111     	0.04548     	0.02149     
90          	10          	8.347       	0.02228     	0.04708     	0.02254     
95          	10          	8.048       	0.01979     	0.04788     	0.02619     
100         	10          	7.865       	0.01947     	0.04551     	0.0242      
105         	10          	7.778       	0.02128     	0.04823     	0.01973     
110         	10          	7.543       	0.02367     	0.04742     	0.02551     
115         	10          	7.327       	0.0232      	0.04415     	0.02066     
120         	10          	7.267       	0.02274     	0.04631     	0.01694     
125         	10          	7.038       	0.0217      	0.04584     	0.02052     
130         	10          	6.905       	0.02141     	0.04429     	0.02373     
135         	10          	6.795       	0.02275     	0.04784     	0.02203     
140         	10          	6.617       	0.02234     	0.04876     	0.02513     
145         	10          	6.575       	0.02532     	0.04893     	0.02221     
150         	10          	6.417       	0.02247     	0.04942     	0.0214      
155         	10          	6.337       	0.02493     	0.0521      	0.02349     
160         	10          	6.307       	0.02176     	0.04631     	0.02411     
165         	10          	6.148       	0.02061     	0.04338     	0.02108     
170         	10          	6.002       	0.02185     	0.04868     	0.0234      
175         	10          	5.943       	0.02463     	0.05107     	0.0235      
180         	10          	5.873       	0.02251     	0.05198     	0.02509     
185         	10          	5.752       	0.02013     	0.04709     	0.02451     
190         	10          	5.677       	0.0241      	0.04911     	0.02383     
195         	10          	5.587       	0.0248      	0.04526     	0.02062     
200         	10          	5.502       	0.02297     	0.04488     	0.02124     
205         	10          	5.48        	0.02469     	0.04593     	0.0198      
210         	10          	5.393       	0.02112     	0.04183     	0.0205      
215         	10          	5.317       	0.02228     	0.04199     	0.02148     
220         	10          	5.247       	0.02644     	0.04825     	0.02064     
225         	10          	5.247       	0.01851     	0.04282     	0.02136     
230         	10          	5.175       	0.01912     	0.04447     	0.02384     
235         	10          	5.112       	0.02744     	0.04735     	0.02104     
240         	10          	5.097       	0.01792     	0.03942     	0.01839     
245         	10          	5.003       	0.02538     	0.04602     	0.02009     
250         	10          	4.927       	0.02431     	0.04241     	0.02091     
255         	10          	4.907       	0.02555     	0.04961     	0.02185     
260         	10          	4.877       	0.02245     	0.04376     	0.0195      
265         	10          	4.802       	0.02415     	0.04613     	0.01889     
270         	10          	4.693       	0.02228     	0.04841     	0.01931     
275         	10          	4.647       	0.02827     	0.05134     	0.02253     
280         	10          	4.632       	0.02915     	0.05215     	0.01975     
285         	10          	4.562       	0.02539     	0.04842     	0.02285     
290         	10          	4.572       	0.02527     	0.04737     	0.01982     
295         	10          	4.535       	0.02627     	0.04995     	0.02305     
300         	10          	4.44        	0.02149     	0.0496      	0.02066     
305         	10          	4.477       	0.02206     	0.04435     	0.02261     
310         	10          	4.385       	0.02291     	0.05019     	0.02011     
315         	10          	4.342       	0.0243      	0.04874     	0.02194     
320         	10          	4.267       	0.01994     	0.0511      	0.027       
325         	10          	4.163       	0.02541     	0.04922     	0.0239      
330         	10          	4.158       	0.0235      	0.05314     	0.02975     
335         	10          	4.105       	0.02549     	0.05395     	0.02915     
340         	10          	4.107       	0.0267      	0.04982     	0.02296     
345         	10          	4.087       	0.02121     	0.04198     	0.02126     
350         	10          	4.07        	0.02609     	0.04582     	0.01673     
355         	10          	4.027       	0.01817     	0.04367     	0.02559     
360         	10          	3.955       	0.02223     	0.04061     	0.01556     
365         	10          	3.937       	0.02372     	0.04511     	0.02232     
370         	10          	3.945       	0.02338     	0.05153     	0.02316     
375         	10          	3.882       	0.01911     	0.04097     	0.02188     
380         	10          	3.893       	0.0223      	0.03807     	0.0196      
385         	10          	3.837       	0.02169     	0.04543     	0.02047     
390         	10          	3.81        	0.02284     	0.04678     	0.02889     
