replicate   	generation  	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
1           	5           	17.58       	0.01185     	0.01963     	0.01127     
1           	10          	16.47       	0.01817     	0.03328     	0.01738     
1           	15          	14.92       	0.02603     	0.03809     	0.01838     
1           	20          	14.1        	0.02644     	0.04372     	0.0219      
1           	25          	13.1        	0.02774     	0.04126     	0.02232     
1           	30          	12.18       	0.04027     	0.05768     	0.02666     
1           	35          	12.65       	0.01628     	0.04295     	0.02284     
1           	40          	12.07       	0.01758     	0.03946     	0.01303     
1           	45          	11.63       	0.0201      	0.04046     	0.01787     
1           	50          	11.28       	0.02564     	0.04613     	0.02815     
1           	55          	10.58       	0.03118     	0.04374     	0.02837     
1           	60          	10.07       	0.01986     	0.04861     	0.03315     
1           	65          	9.85        	0.02132     	0.04039     	0.02913     
1           	70          	9.65        	0.01893     	0.04491     	0.01847     
1           	75          	9.433       	0.01299     	0.02719     	0.009918    
1           	80          	8.633       	0.01845     	0.05182     	0.02348     
1           	85          	8.383       	0.0266      	0.05159     	0.02575     
1           	90          	8.133       	0.02407     	0.05777     	0.0343      
1           	95          	7.933       	0.007396    	0.04697     	0.03075     
1           	100         	7.667       	0.01447     	0.04142     	0.01643     
1           	105         	7.8         	0.007018    	0.03399     	0.02393     
1           	110         	7.583       	0.01948     	0.03674     	0.0287      
1           	115         	7.217       	0.02016     	0.0402      	0.01901     
1           	120         	7.117       	0.02718     	0.0407      	0.01687     
1           	125         	6.883       	0.0198      	0.05129     	0.0241      
1           	130         	6.717       	0.02594     	0.0361      	0.01419     
1           	135         	6.7         	0.01663     	0.05005     	0.01631     
1           	140         	6.417       	0.03068     	0.07259     	0.03746     
1           	145         	6.583       	0.02057     	0.08331     	0.03752     
1           	150         	6.2         	0.02482     	0.07374     	0.02856     
1           	155         	6.133       	0.01792     	0.075       	0.02777     
1           	160         	6.017       	0.03318     	0.04367     	0.01324     
1           	165         	5.95        	0.02131     	0.04106     	0.02094     
1           	170         	5.767       	0.0429      	0.0839      	0.03921     
1           	175         	5.917       	0.03958     	0.07504     	0.01442     
1           	180         	5.783       	0.02201     	0.05294     	0.02559     
