generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	0.01689     	2.76e-06    	5.589e-06   	3.152e-06   
10          	10          	0.07758     	7.592e-06   	2.483e-05   	6.642e-06   
15          	10          	0.02572     	1.187e-05   	1.796e-05   	1.579e-05   
20          	10          	0.0194      	3.276e-05   	1.87e-05    	2.256e-05   
25          	10          	0.1246      	1.368e-05   	4.652e-05   	2.454e-05   
30          	10          	0.1298      	6.402e-05   	6.336e-05   	2.135e-05   
35          	10          	0.1419      	2.512e-05   	0.0001235   	3.435e-05   
40          	10          	0.06151     	6.945e-05   	0.0001435   	5.96e-05    
45          	10          	0.05489     	5.73e-06    	7.95e-05    	5.008e-05   
50          	10          	0.07571     	4.24e-05    	0.0001681   	2.422e-05   
55          	10          	0.05596     	3.954e-05   	5.445e-05   	1.442e-05   
60          	10          	0.1143      	2.133e-05   	7.036e-05   	3.188e-05   
65          	10          	0.08527     	1.976e-05   	7.298e-05   	3.936e-05   
70          	10          	0.08201     	4.63e-05    	6.732e-05   	5.23e-05    
75          	10          	0.07578     	3.373e-05   	0.0001437   	8.109e-05   
80          	10          	0.1101      	5.032e-05   	6.258e-05   	2.725e-05   
85          	10          	0.133       	2.768e-05   	2.518e-05   	2.583e-05   
90          	10          	0.1155      	2.193e-05   	5.959e-05   	4.205e-05   
95          	10          	0.06669     	7.902e-05   	0.0001637   	0.000109    
100         	10          	0.131       	9.198e-06   	8.618e-05   	7.002e-05   
105         	10          	0.171       	9.501e-05   	4.966e-05   	3.452e-05   
110         	10          	0.1225      	5.454e-05   	0.0001227   	4.86e-05    
115         	10          	0.1878      	3.446e-05   	8.072e-05   	2.91e-05    
120         	10          	0.1331      	4.57e-05    	9.361e-05   	4.665e-05   
125         	10          	0.1398      	3.984e-05   	7.89e-05    	6.538e-05   
130         	10          	0.1504      	5.756e-05   	0.0001053   	4.026e-05   
135         	10          	0.1841      	4.896e-05   	4.841e-05   	3.033e-05   
140         	10          	0.1603      	2.845e-05   	0.0001253   	8.704e-05   
145         	10          	0.09007     	4.81e-05    	0.0001611   	5.321e-05   
150         	10          	0.1118      	5.413e-05   	0.000145    	1.968e-05   
155         	10          	0.09038     	4.413e-05   	0.0001778   	6.06e-05    
160         	10          	0.1122      	5.49e-05    	9.452e-05   	0.0001356   
165         	10          	0.1055      	2.873e-05   	8.294e-05   	1.707e-05   
170         	10          	0.07786     	0.0001092   	0.0002204   	5.233e-05   
175         	10          	0.06823     	6.595e-05   	0.00015     	4.272e-05   
180         	10          	0.07701     	2.967e-05   	0.0001055   	7.037e-05   
185         	10          	0.1049      	3.989e-05   	0.0001882   	2.918e-05   
190         	10          	0.06918     	4.823e-05   	7.293e-05   	3.016e-05   
195         	10          	0.0561      	7.148e-05   	0.0001067   	3.974e-05   
200         	10          	0.07725     	3.7e-05     	0.000137    	2.298e-05   
205         	10          	0.07921     	7.814e-05   	0.0001003   	5.559e-05   
210         	10          	0.05562     	4.873e-05   	0.0001144   	6.339e-05   
215         	10          	0.05472     	6.902e-05   	8.111e-05   	6.401e-05   
220         	10          	0.06654     	8.778e-05   	7.953e-05   	5.813e-05   
225         	10          	0.05393     	5.22e-05    	8.315e-05   	2.591e-05   
230         	10          	0.05401     	5.863e-05   	0.0001785   	5.546e-05   
235         	10          	0.06295     	0.0002134   	0.0002579   	5.787e-05   
240         	10          	0.05482     	4.275e-05   	0.0001631   	5.693e-05   
245         	10          	0.04577     	9.447e-05   	0.0002783   	2.418e-05   
250         	10          	0.02579     	6.046e-05   	0.0001746   	3.643e-05   
255         	10          	0.0319      	2.974e-05   	0.0001063   	4.352e-05   
260         	10          	0.0449      	3.805e-05   	0.0001156   	3.965e-05   
265         	10          	0.03675     	9.768e-05   	4.766e-05   	5.039e-05   
270         	10          	0.04829     	4.833e-05   	0.0001281   	3.35e-05    
275         	10          	0.02371     	8.877e-05   	0.0002236   	5.723e-05   
280         	10          	0.02819     	0.0001563   	0.0001304   	5.306e-05   
285         	10          	0.03517     	8.186e-05   	0.0001232   	4.738e-05   
290         	10          	0.02073     	0.000129    	0.0001114   	6.999e-05   
295         	10          	0.02047     	4.426e-05   	9.96e-05    	6.663e-05   
300         	10          	0.02651     	0.0001249   	0.0003021   	0.0001034   
305         	10          	0.05329     	4.931e-05   	0.0002044   	0.00011     
310         	10          	0.05503     	6.955e-05   	0.0001574   	8.411e-05   
315         	10          	0.07024     	9.039e-05   	0.0001876   	6.204e-05   
320         	10          	0.08744     	7.686e-05   	0.0004343   	6.782e-05   
325         	10          	0.0846      	6.07e-05    	0.0001505   	5.577e-05   
330         	10          	0.08474     	7.035e-05   	0.0002496   	7.244e-05   
335         	10          	0.08445     	7.468e-05   	0.0001885   	0.0001354   
340         	10          	0.06462     	8.009e-05   	0.0002403   	2.961e-05   
345         	10          	0.07554     	0.0001235   	0.0001447   	6.997e-05   
350         	10          	0.06554     	0.0001258   	0.0001545   	4.125e-05   
355         	10          	0.07334     	0.0001001   	0.000166    	7.207e-05   
360         	10          	0.06461     	0.0001135   	7.279e-05   	3.14e-05    
365         	10          	0.0711      	0.000117    	0.0002499   	8.243e-05   
370         	10          	0.082       	0.0001173   	0.0003182   	0.0001026   
375         	10          	0.09319     	0.0001022   	0.0001573   	8.458e-05   
380         	10          	0.06568     	8.53e-05    	0.0001711   	7.786e-05   
385         	10          	0.06771     	8.399e-05   	5.825e-05   	9.135e-05   
390         	10          	0.07757     	8.902e-05   	0.0002777   	0.000117    
395         	10          	0.07275     	0.0001096   	0.000245    	0.0001029   
400         	10          	0.0344      	0.000169    	0.0005169   	8.038e-05   
405         	10          	0.05156     	8.562e-05   	0.0001162   	9.417e-05   
410         	10          	0.05091     	6.837e-05   	0.0002025   	4.53e-05    
415         	10          	0.05584     	5.383e-05   	0.0001525   	7.342e-05   
420         	10          	0.05134     	7.678e-05   	0.000109    	7.463e-05   
425         	10          	0.03882     	5.428e-05   	0.0001262   	0.0001166   
430         	10          	0.04891     	7.646e-05   	0.0002833   	6.694e-05   
435         	10          	0.0403      	6.011e-05   	0.0001447   	6.395e-05   
440         	10          	0.04447     	0.0001458   	0.0002304   	0.0001589   
445         	10          	0.03239     	0.0001364   	0.0001992   	0.0002495   
450         	10          	0.01891     	9.448e-05   	0.0002221   	2.957e-05   
455         	10          	0.02045     	0.0001781   	0.0003192   	2.798e-05   
460         	10          	0.02996     	0.0001168   	0.000476    	0.0001208   
465         	10          	0.02082     	5.959e-05   	0.0001532   	0.000153    
470         	10          	0.03551     	3.108e-05   	0.0001882   	4.403e-05   
475         	10          	0.02043     	0.0001831   	0.0004446   	0.0001529   
480         	10          	0.02429     	8.619e-05   	0.0003942   	0.0001755   
485         	10          	0.02086     	0.0001419   	0.0002065   	5.062e-05   
490         	10          	0.02319     	8.066e-05   	0.000215    	6.082e-05   
495         	10          	0.0303      	5.386e-05   	0.0002689   	6.389e-05   
500         	10          	0.01212     	3.585e-05   	9.56e-05    	0.0001196   
505         	10          	0.02445     	3.716e-05   	0.0002613   	6.023e-05   
510         	10          	0.03191     	0.0001045   	0.0001254   	0.000104    
515         	10          	0.03084     	9.167e-05   	0.0001432   	3.175e-05   
520         	10          	0.02808     	0.0001531   	0.0003026   	0.0001584   
525         	10          	0.0379      	7.404e-05   	0.000184    	6.486e-05   
530         	10          	0.0408      	0.0001297   	0.0004764   	0.000132    
535         	10          	0.01741     	0.0001689   	0.000173    	9.002e-05   
540         	10          	0.02836     	3.406e-05   	0.0002259   	9.823e-05   
545         	10          	0.03814     	8.84e-05    	0.0001842   	0.0001163   
550         	10          	0.03251     	7.671e-05   	0.0002512   	0.0001357   
555         	10          	0.02906     	4.11e-05    	0.0001034   	5.517e-05   
560         	10          	0.04212     	4.1e-05     	0.0002725   	5.225e-05   
565         	10          	0.03377     	8.497e-05   	0.000168    	0.0002043   
570         	10          	0.02843     	6.555e-05   	0.0001643   	7.581e-05   
575         	10          	0.02458     	6.967e-05   	0.0001817   	8.759e-05   
580         	10          	0.02249     	0.0001645   	0.0004872   	9.776e-05   
585         	10          	0.02604     	0.0001153   	0.0003263   	3.415e-05   
590         	10          	0.008892    	4.899e-05   	0.0002748   	8.459e-05   
595         	10          	0.01317     	9.139e-05   	7.561e-05   	9.523e-05   
600         	10          	0.01427     	0.0001036   	0.0003636   	4.184e-05   
605         	10          	0.02583     	9.082e-05   	0.0003844   	0.0001553   
610         	10          	0.01729     	0.0001726   	0.0007185   	4.263e-05   
615         	10          	0.01934     	3.658e-05   	0.0001177   	3.788e-05   
620         	10          	0.01414     	5.375e-05   	0.0003793   	6.605e-05   
625         	10          	0.02056     	8.189e-05   	0.0003565   	9.138e-05   
630         	10          	0.01886     	2.559e-05   	0.0002261   	8.993e-05   
635         	10          	0.01601     	5.887e-05   	0.0002864   	0.0001912   
640         	10          	0.01882     	0.0001238   	0.0003455   	3.374e-05   
645         	10          	0.02379     	9.66e-05    	0.000152    	0.0001244   
650         	10          	0.0196      	4.321e-05   	0.0002159   	0.0002044   
655         	10          	0.02007     	9.605e-05   	0.0003275   	0.0001151   
660         	10          	0.01321     	0.0001286   	0.0003434   	9.621e-05   
665         	10          	0.02034     	6.129e-05   	0.0001124   	1.862e-05   
670         	10          	0.03482     	8.636e-05   	0.0002505   	0.0001307   
675         	10          	0.02246     	5.868e-05   	0.0001345   	0.0001213   
680         	10          	0.01921     	0.000113    	0.0002045   	0.0001188   
685         	10          	0.03025     	0.000127    	0.0002379   	5.085e-05   
690         	10          	0.01829     	6.807e-05   	0.0003318   	0.0001202   
695         	10          	0.02246     	0.0002077   	0.0002102   	0.0002175   
