generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	18.26       	0.008403    	0.009338    	0.006596    
10          	10          	17.38       	0.01481     	0.01955     	0.01437     
15          	10          	16.53       	0.01853     	0.02674     	0.0183      
20          	10          	15.91       	0.02161     	0.03228     	0.02168     
25          	10          	15.36       	0.02211     	0.03761     	0.02342     
30          	10          	14.68       	0.02537     	0.04383     	0.02861     
35          	10          	14.39       	0.02703     	0.04456     	0.0254      
40          	10          	13.95       	0.02731     	0.04861     	0.02844     
45          	10          	13.78       	0.02715     	0.04855     	0.0269      
50          	10          	13.48       	0.02881     	0.04777     	0.02125     
55          	10          	13.12       	0.03046     	0.05123     	0.02679     
60          	10          	12.93       	0.02653     	0.0522      	0.0274      
65          	10          	12.47       	0.02866     	0.05391     	0.02682     
70          	10          	12.14       	0.02854     	0.05387     	0.03086     
75          	10          	11.91       	0.02907     	0.05519     	0.027       
80          	10          	11.68       	0.02866     	0.05194     	0.02784     
85          	10          	11.35       	0.02868     	0.05315     	0.02731     
90          	10          	11.26       	0.02628     	0.05352     	0.027       
95          	10          	10.93       	0.03145     	0.05714     	0.02758     
100         	10          	10.75       	0.031       	0.05559     	0.02963     
105         	10          	10.63       	0.02576     	0.05393     	0.02669     
110         	10          	10.43       	0.02743     	0.05082     	0.02408     
115         	10          	10.31       	0.0291      	0.05157     	0.02436     
120         	10          	10.11       	0.03033     	0.05622     	0.02857     
125         	10          	9.988       	0.03207     	0.05379     	0.02754     
130         	10          	9.817       	0.02983     	0.05492     	0.02666     
135         	10          	9.745       	0.02842     	0.0528      	0.02346     
140         	10          	9.6         	0.02987     	0.05662     	0.0266      
145         	10          	9.475       	0.0285      	0.05527     	0.02721     
150         	10          	9.327       	0.03044     	0.06102     	0.03042     
155         	10          	9.18        	0.02782     	0.05914     	0.02589     
160         	10          	9.027       	0.02931     	0.06294     	0.03143     
165         	10          	8.997       	0.02566     	0.05678     	0.0277      
170         	10          	8.79        	0.02987     	0.05686     	0.02853     
175         	10          	8.643       	0.03076     	0.05726     	0.03073     
180         	10          	8.593       	0.0259      	0.05822     	0.03076     
185         	10          	8.435       	0.02569     	0.05558     	0.02698     
190         	10          	8.383       	0.02566     	0.05611     	0.03123     
195         	10          	8.317       	0.02896     	0.05267     	0.02974     
200         	10          	8.308       	0.02846     	0.05624     	0.02716     
205         	10          	8.088       	0.02809     	0.06065     	0.02725     
210         	10          	7.975       	0.0295      	0.05979     	0.03016     
215         	10          	8.013       	0.03119     	0.05947     	0.02835     
220         	10          	7.795       	0.02539     	0.05644     	0.02586     
225         	10          	7.755       	0.02968     	0.06236     	0.03375     
230         	10          	7.668       	0.03242     	0.06301     	0.02935     
235         	10          	7.603       	0.03758     	0.06643     	0.02778     
240         	10          	7.478       	0.03423     	0.06969     	0.02968     
245         	10          	7.438       	0.02992     	0.06666     	0.03114     
250         	10          	7.355       	0.03439     	0.06576     	0.03076     
255         	10          	7.253       	0.03436     	0.06786     	0.03133     
260         	10          	7.107       	0.03001     	0.06513     	0.0306      
265         	10          	7.027       	0.03161     	0.0655      	0.03434     
270         	10          	7.048       	0.03194     	0.07181     	0.03284     
275         	10          	7.053       	0.03113     	0.06575     	0.03047     
280         	10          	6.918       	0.03067     	0.06637     	0.03562     
285         	10          	6.892       	0.03393     	0.06748     	0.03162     
290         	10          	6.83        	0.02879     	0.06208     	0.03058     
295         	10          	6.802       	0.02899     	0.0584      	0.02885     
300         	10          	6.723       	0.02968     	0.06154     	0.03076     
305         	10          	6.66        	0.02705     	0.05205     	0.02619     
310         	10          	6.653       	0.0295      	0.05376     	0.02708     
315         	10          	6.57        	0.02589     	0.05154     	0.02393     
320         	10          	6.525       	0.02573     	0.05555     	0.02937     
325         	10          	6.5         	0.02707     	0.05663     	0.03136     
330         	10          	6.465       	0.02802     	0.05322     	0.03455     
335         	10          	6.493       	0.02472     	0.05333     	0.03257     
340         	10          	6.393       	0.02525     	0.05161     	0.0298      
345         	10          	6.41        	0.02702     	0.05345     	0.02999     
350         	10          	6.355       	0.02259     	0.05619     	0.02878     
355         	10          	6.335       	0.02801     	0.05686     	0.03411     
360         	10          	6.232       	0.02736     	0.05854     	0.03384     
365         	10          	6.185       	0.02699     	0.05709     	0.03028     
370         	10          	6.167       	0.02983     	0.05659     	0.02802     
375         	10          	6.095       	0.02848     	0.05208     	0.02866     
380         	10          	6.062       	0.03099     	0.0567      	0.02898     
385         	10          	6.077       	0.03167     	0.05959     	0.02737     
390         	10          	5.942       	0.02948     	0.05715     	0.02402     
395         	10          	5.93        	0.03144     	0.06021     	0.02523     
400         	10          	5.902       	0.03381     	0.05844     	0.03131     
405         	10          	5.903       	0.02737     	0.05706     	0.03117     
410         	10          	5.873       	0.02946     	0.06093     	0.03145     
415         	10          	5.898       	0.03075     	0.06065     	0.02878     
420         	10          	5.835       	0.02792     	0.0556      	0.02945     
425         	10          	5.813       	0.02402     	0.05528     	0.02849     
430         	10          	5.808       	0.02593     	0.05687     	0.03282     
435         	10          	5.8         	0.03043     	0.06213     	0.03352     
440         	10          	5.795       	0.03293     	0.05983     	0.03246     
445         	10          	5.767       	0.02978     	0.05846     	0.03388     
450         	10          	5.733       	0.02988     	0.05559     	0.0264      
455         	10          	5.718       	0.02407     	0.05498     	0.02894     
460         	10          	5.7         	0.02376     	0.05072     	0.02936     
465         	10          	5.707       	0.02288     	0.04852     	0.02333     
470         	10          	5.655       	0.02586     	0.05637     	0.03039     
475         	10          	5.638       	0.02629     	0.05423     	0.02705     
480         	10          	5.647       	0.02691     	0.05712     	0.02945     
485         	10          	5.605       	0.02788     	0.0589      	0.0328      
490         	10          	5.597       	0.02792     	0.05741     	0.03202     
495         	10          	5.488       	0.02605     	0.05436     	0.02896     
500         	10          	5.505       	0.02637     	0.05075     	0.02959     
505         	10          	5.5         	0.02731     	0.05458     	0.02482     
510         	10          	5.492       	0.02817     	0.05207     	0.02508     
515         	10          	5.375       	0.03194     	0.05732     	0.02945     
520         	10          	5.408       	0.0299      	0.05142     	0.02821     
525         	10          	5.372       	0.0314      	0.05685     	0.02644     
530         	10          	5.303       	0.02808     	0.05577     	0.02579     
535         	10          	5.235       	0.03311     	0.05925     	0.03133     
