replicate   	generation  	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
1           	5           	18.07       	0.01053     	0.01111     	0.007844    
1           	10          	17.35       	0.01387     	0.0197      	0.01538     
1           	15          	16.6        	0.01943     	0.0293      	0.01735     
1           	20          	16.13       	0.01793     	0.03097     	0.02116     
1           	25          	15.38       	0.01265     	0.03825     	0.02447     
1           	30          	14.93       	0.02187     	0.03891     	0.03009     
1           	35          	14.38       	0.02639     	0.05333     	0.02955     
1           	40          	13.98       	0.02527     	0.04137     	0.02034     
1           	45          	13.93       	0.03059     	0.03968     	0.01921     
1           	50          	13.7        	0.03289     	0.04854     	0.01749     
1           	55          	13.17       	0.03908     	0.05971     	0.0243      
1           	60          	12.85       	0.03194     	0.05758     	0.02663     
1           	65          	12.32       	0.02895     	0.05051     	0.02201     
1           	70          	12.12       	0.03331     	0.05576     	0.02883     
1           	75          	11.87       	0.03362     	0.07119     	0.03461     
1           	80          	11.4        	0.0294      	0.05012     	0.01876     
1           	85          	11.13       	0.03589     	0.04865     	0.02191     
1           	90          	11.27       	0.0327      	0.04281     	0.02002     
1           	95          	10.5        	0.0441      	0.05849     	0.02202     
1           	100         	10.7        	0.0386      	0.04807     	0.01578     
1           	105         	10.63       	0.02902     	0.05295     	0.0238      
1           	110         	10.32       	0.02825     	0.04713     	0.02436     
1           	115         	10.3        	0.0226      	0.05333     	0.03129     
1           	120         	10.15       	0.02468     	0.05681     	0.02325     
1           	125         	10          	0.03626     	0.06817     	0.0266      
1           	130         	9.85        	0.02862     	0.07729     	0.03226     
1           	135         	9.8         	0.03806     	0.06007     	0.01562     
1           	140         	9.75        	0.02954     	0.04948     	0.02491     
1           	145         	9.783       	0.01844     	0.04352     	0.02492     
1           	150         	9.5         	0.03688     	0.0645      	0.03059     
1           	155         	9.117       	0.0322      	0.05779     	0.0219      
1           	160         	9.267       	0.02737     	0.05931     	0.03185     
1           	165         	9.583       	0.01689     	0.0429      	0.0141      
1           	170         	9.367       	0.01919     	0.04905     	0.02125     
1           	175         	9.2         	0.03153     	0.04908     	0.02247     
1           	180         	8.783       	0.03938     	0.06076     	0.02758     
1           	185         	8.767       	0.03003     	0.05211     	0.02408     
1           	190         	8.883       	0.02636     	0.05954     	0.04169     
1           	195         	8.867       	0.03072     	0.05163     	0.032       
1           	200         	8.917       	0.02972     	0.0493      	0.02218     
1           	205         	8.517       	0.0341      	0.06598     	0.02949     
1           	210         	8.367       	0.02422     	0.05987     	0.04221     
1           	215         	8.567       	0.0248      	0.05884     	0.03494     
1           	220         	8.4         	0.01734     	0.05557     	0.03091     
1           	225         	8.617       	0.01843     	0.05088     	0.03526     
1           	230         	8.567       	0.01993     	0.06087     	0.03527     
1           	235         	8.467       	0.02726     	0.04647     	0.02452     
1           	240         	8.1         	0.03538     	0.07008     	0.02138     
1           	245         	8.1         	0.0274      	0.06927     	0.03263     
1           	250         	8.233       	0.0268      	0.06392     	0.02791     
1           	255         	8.217       	0.02512     	0.06471     	0.03072     
1           	260         	7.85        	0.03586     	0.05624     	0.01946     
1           	265         	7.8         	0.03301     	0.06096     	0.03052     
1           	270         	7.967       	0.02125     	0.04997     	0.02246     
1           	275         	7.633       	0.03405     	0.05721     	0.02538     
1           	280         	7.683       	0.02788     	0.06745     	0.03154     
1           	285         	7.667       	0.02767     	0.07393     	0.03104     
1           	290         	7.5         	0.02971     	0.05014     	0.02167     
1           	295         	7.433       	0.03647     	0.05616     	0.02803     
1           	300         	7.45        	0.02111     	0.06466     	0.02748     
1           	305         	7.383       	0.02224     	0.06427     	0.02934     
1           	310         	7.367       	0.02735     	0.06695     	0.04162     
1           	315         	7.267       	0.02311     	0.05282     	0.02455     
1           	320         	7.133       	0.03204     	0.07262     	0.033       
1           	325         	7.3         	0.03357     	0.06074     	0.03467     
1           	330         	7.183       	0.03082     	0.06245     	0.03197     
1           	335         	6.967       	0.02351     	0.07325     	0.04034     
1           	340         	6.85        	0.02099     	0.0662      	0.03327     
1           	345         	6.833       	0.03395     	0.08386     	0.04525     
1           	350         	6.917       	0.02107     	0.06629     	0.02825     
1           	355         	6.767       	0.04532     	0.0925      	0.05558     
1           	360         	6.75        	0.02702     	0.0805      	0.03734     
1           	365         	6.767       	0.04394     	0.09076     	0.03882     
1           	370         	6.717       	0.04302     	0.08232     	0.03242     
1           	375         	6.333       	0.0353      	0.08064     	0.04689     
1           	380         	6.483       	0.02491     	0.07966     	0.03892     
1           	385         	6.567       	0.02342     	0.07755     	0.02859     
