generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	0.016       	1.208e-06   	4.025e-06   	1.612e-06   
10          	10          	0.01024     	7.133e-06   	1.659e-06   	2.895e-06   
15          	10          	0.06412     	2.041e-05   	1.105e-05   	7.015e-06   
20          	10          	0.03701     	2.508e-05   	3.14e-05    	4.01e-06    
25          	10          	0.07973     	3.253e-05   	1.391e-05   	2.416e-05   
30          	10          	0.07202     	1.757e-05   	2.631e-05   	2.09e-05    
35          	10          	0.05152     	8.459e-06   	2.756e-05   	1.699e-05   
40          	10          	0.09675     	1.803e-05   	3.553e-05   	2.128e-05   
45          	10          	0.08679     	1.87e-05    	2.742e-05   	1.627e-05   
50          	10          	0.08332     	2.909e-05   	1.705e-05   	2.602e-05   
55          	10          	0.0945      	2.961e-05   	4.457e-05   	4.051e-05   
60          	10          	0.08362     	1.968e-05   	7.002e-05   	1.327e-05   
65          	10          	0.06028     	1.362e-05   	3.28e-05    	3.942e-05   
70          	10          	0.09743     	2.217e-05   	4.154e-05   	2.257e-05   
75          	10          	0.07273     	2.485e-05   	6.576e-05   	2.512e-05   
80          	10          	0.05823     	1.29e-05    	3.148e-05   	4.021e-05   
85          	10          	0.0493      	6.092e-05   	0.0001116   	2.613e-05   
90          	10          	0.08111     	3.696e-05   	7.223e-05   	2.078e-05   
95          	10          	0.07217     	2.934e-05   	3.714e-05   	1.957e-05   
100         	10          	0.09054     	3.115e-05   	4.203e-05   	5.061e-05   
105         	10          	0.08234     	5.197e-05   	5.954e-05   	6.916e-06   
110         	10          	0.05064     	3.802e-05   	4.011e-05   	6.83e-05    
115         	10          	0.08566     	2.088e-05   	8.767e-05   	2.219e-05   
120         	10          	0.09962     	2.545e-05   	4.941e-05   	4.344e-05   
125         	10          	0.08739     	7.91e-05    	0.0001491   	1.581e-05   
130         	10          	0.1284      	2.84e-05    	9.656e-05   	2.243e-05   
135         	10          	0.1027      	4.879e-05   	2.425e-05   	3.471e-05   
140         	10          	0.1439      	4.057e-05   	8.575e-05   	4.059e-05   
145         	10          	0.1741      	8.504e-05   	9.116e-05   	2.594e-05   
150         	10          	0.2035      	5.28e-05    	6.043e-05   	5.891e-05   
155         	10          	0.2135      	4.198e-05   	8.301e-05   	5.027e-05   
160         	10          	0.1267      	4.176e-05   	6.091e-05   	3.361e-05   
165         	10          	0.1928      	5.657e-05   	0.0001939   	3.179e-05   
170         	10          	0.1806      	5.637e-05   	0.0001226   	5.897e-05   
175         	10          	0.1765      	6.601e-05   	0.0001017   	6.309e-05   
180         	10          	0.1292      	0.0001398   	8.455e-05   	9.284e-05   
185         	10          	0.08241     	5.096e-05   	4.882e-05   	1.734e-05   
190         	10          	0.1079      	2.035e-05   	3.418e-05   	5.056e-05   
195         	10          	0.1374      	2.979e-05   	8.069e-05   	2.27e-05    
200         	10          	0.1652      	4.816e-05   	0.0001625   	8.442e-05   
205         	10          	0.1753      	2.843e-05   	3.082e-05   	2.167e-05   
210         	10          	0.1093      	6.387e-05   	6.431e-05   	3.742e-05   
