generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	18.74       	0.003166    	0.003378    	0.001983    
10          	10          	18.54       	0.002055    	0.006501    	0.002149    
15          	10          	18.39       	0.003166    	0.006269    	0.003566    
20          	10          	18.23       	0.003301    	0.008094    	0.003482    
25          	10          	17.92       	0.003985    	0.008443    	0.003046    
30          	10          	17.78       	0.00508     	0.009288    	0.004001    
35          	10          	17.58       	0.003668    	0.008338    	0.004139    
40          	10          	17.48       	0.002976    	0.008897    	0.004653    
45          	10          	17.24       	0.004809    	0.008912    	0.00493     
50          	10          	17.02       	0.003656    	0.009004    	0.004564    
55          	10          	16.87       	0.004552    	0.009511    	0.004909    
60          	10          	16.69       	0.004702    	0.009053    	0.004852    
65          	10          	16.54       	0.003615    	0.01049     	0.005011    
70          	10          	16.48       	0.003218    	0.009505    	0.005212    
75          	10          	16.26       	0.004355    	0.00974     	0.004904    
80          	10          	16.11       	0.003512    	0.008874    	0.004621    
85          	10          	16.08       	0.003063    	0.008407    	0.004004    
90          	10          	15.83       	0.003816    	0.008481    	0.003233    
95          	10          	15.77       	0.004513    	0.008818    	0.003638    
100         	10          	15.55       	0.004195    	0.008682    	0.003927    
105         	10          	15.42       	0.004145    	0.009708    	0.004214    
110         	10          	15.29       	0.003928    	0.009164    	0.004097    
115         	10          	15.26       	0.004415    	0.009108    	0.003098    
120         	10          	15.02       	0.004147    	0.00844     	0.00297     
125         	10          	14.96       	0.00441     	0.008231    	0.002899    
130         	10          	14.76       	0.005636    	0.009073    	0.0044      
135         	10          	14.68       	0.003762    	0.008593    	0.003482    
140         	10          	14.52       	0.003663    	0.008238    	0.004733    
145         	10          	14.49       	0.005464    	0.009246    	0.004917    
150         	10          	14.29       	0.00406     	0.008455    	0.004866    
155         	10          	14.22       	0.005363    	0.00976     	0.003173    
160         	10          	13.99       	0.004446    	0.009553    	0.003808    
165         	10          	13.94       	0.003686    	0.008954    	0.003863    
170         	10          	13.71       	0.00554     	0.009231    	0.004143    
175         	10          	13.77       	0.004393    	0.008917    	0.003384    
180         	10          	13.52       	0.003676    	0.00972     	0.003866    
185         	10          	13.48       	0.003987    	0.009205    	0.00416     
190         	10          	13.33       	0.002459    	0.008972    	0.004881    
195         	10          	13.39       	0.00368     	0.00879     	0.005125    
200         	10          	13.18       	0.003259    	0.009079    	0.004155    
205         	10          	13.07       	0.005604    	0.009187    	0.004072    
210         	10          	12.96       	0.003473    	0.008195    	0.001934    
215         	10          	12.86       	0.004673    	0.009498    	0.005139    
220         	10          	12.7        	0.002799    	0.009883    	0.004166    
225         	10          	12.75       	0.005124    	0.009297    	0.004724    
230         	10          	12.66       	0.003345    	0.008228    	0.003105    
235         	10          	12.55       	0.004836    	0.009712    	0.004281    
240         	10          	12.43       	0.005426    	0.01015     	0.004837    
245         	10          	12.36       	0.005339    	0.0102      	0.003168    
250         	10          	12.24       	0.004763    	0.01015     	0.003377    
255         	10          	12.27       	0.005011    	0.01092     	0.004138    
260         	10          	12.15       	0.005996    	0.01034     	0.005377    
265         	10          	12.11       	0.005664    	0.009531    	0.003021    
270         	10          	11.98       	0.004699    	0.007687    	0.003622    
275         	10          	11.96       	0.00401     	0.008347    	0.003498    
280         	10          	11.95       	0.00366     	0.009212    	0.004965    
285         	10          	11.82       	0.003914    	0.01003     	0.006357    
290         	10          	11.75       	0.00558     	0.00854     	0.003707    
295         	10          	11.67       	0.003816    	0.009599    	0.004333    
300         	10          	11.63       	0.005108    	0.008933    	0.003691    
305         	10          	11.59       	0.002881    	0.007966    	0.003921    
310         	10          	11.56       	0.004908    	0.008649    	0.003901    
315         	10          	11.43       	0.003815    	0.008973    	0.005065    
320         	10          	11.37       	0.002835    	0.009633    	0.004956    
325         	10          	11.28       	0.004814    	0.01025     	0.005523    
330         	10          	11.2        	0.00405     	0.008308    	0.001731    
335         	10          	11.19       	0.003524    	0.007981    	0.004674    
340         	10          	11.13       	0.004424    	0.008768    	0.004654    
345         	10          	11.03       	0.004353    	0.009686    	0.005384    
350         	10          	11.02       	0.004269    	0.009247    	0.004046    
355         	10          	10.98       	0.003237    	0.01007     	0.003703    
360         	10          	10.88       	0.005632    	0.009747    	0.004652    
365         	10          	10.81       	0.004809    	0.008532    	0.004022    
370         	10          	10.86       	0.00427     	0.009363    	0.004433    
375         	10          	10.78       	0.004821    	0.007855    	0.003602    
380         	10          	10.66       	0.002464    	0.008136    	0.003927    
385         	10          	10.73       	0.003917    	0.008551    	0.003866    
390         	10          	10.69       	0.004326    	0.01023     	0.004503    
395         	10          	10.57       	0.005035    	0.009458    	0.002922    
400         	10          	10.54       	0.004014    	0.01002     	0.005446    
405         	10          	10.4        	0.005006    	0.01099     	0.004508    
410         	10          	10.34       	0.005188    	0.01023     	0.005222    
415         	10          	10.38       	0.004959    	0.0107      	0.003828    
420         	10          	10.31       	0.003324    	0.009905    	0.004382    
425         	10          	10.26       	0.004633    	0.0106      	0.004919    
430         	10          	10.18       	0.004347    	0.008715    	0.002889    
435         	10          	10.18       	0.004906    	0.008469    	0.002953    
440         	10          	10.17       	0.004247    	0.008605    	0.006035    
445         	10          	10.12       	0.003452    	0.008796    	0.004956    
450         	10          	10.04       	0.004107    	0.008129    	0.004523    
455         	10          	10.02       	0.005691    	0.01078     	0.005647    
460         	10          	9.97        	0.003315    	0.008536    	0.004461    
465         	10          	9.893       	0.005152    	0.009901    	0.005028    
470         	10          	9.922       	0.00513     	0.009697    	0.005945    
475         	10          	9.9         	0.004655    	0.008735    	0.003024    
