replicate   	generation  	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
1           	5           	18.78       	0.004501    	0.003408    	0.001637    
1           	10          	18.82       	0.004235    	0.004513    	0.0006336   
1           	15          	18.1        	0.00654     	0.005617    	0.004922    
1           	20          	18.12       	0.004113    	0.007738    	0.002258    
1           	25          	17.85       	0.002957    	0.00607     	0.001294    
1           	30          	17.77       	0.003632    	0.007963    	0.003476    
1           	35          	17.43       	0.004574    	0.009892    	0.006265    
1           	40          	17.83       	0.002389    	0.004868    	-7.357e-05  
1           	45          	17.27       	0.002364    	0.009028    	0.005045    
1           	50          	17.2        	0.00181     	0.008568    	0.002722    
1           	55          	16.98       	0.004998    	0.01009     	0.004398    
1           	60          	16.7        	0.005613    	0.01065     	0.003953    
1           	65          	16.62       	0.008723    	0.01311     	0.003688    
1           	70          	16.52       	0.00313     	0.01379     	0.007828    
1           	75          	15.95       	0.004749    	0.01172     	0.006789    
1           	80          	15.92       	0.005831    	0.008802    	0.002381    
1           	85          	15.8        	0.003622    	0.006368    	0.004705    
1           	90          	15.67       	0.002692    	0.004345    	1.768e-05   
1           	95          	15.7        	0.002378    	0.005555    	-0.0001036  
1           	100         	15.2        	0.001809    	0.007865    	0.002768    
1           	105         	15.25       	0.001781    	0.008259    	0.00428     
1           	110         	14.93       	0.004275    	0.006254    	-0.0002526  
1           	115         	14.98       	0.004893    	0.01594     	0.007717    
1           	120         	14.37       	0.00235     	0.01096     	0.0052      
1           	125         	14.75       	0.003436    	0.006215    	0.0006278   
1           	130         	14.2        	0.006649    	0.0113      	0.002228    
1           	135         	13.98       	0.007322    	0.01091     	0.001346    
1           	140         	14.45       	0.0015      	0.001066    	0.001208    
1           	145         	13.88       	0.009791    	0.01194     	0.004631    
1           	150         	14.13       	0.003229    	0.005953    	0.004227    
1           	155         	13.75       	0.003327    	0.01371     	0.005001    
1           	160         	13.92       	0.007281    	0.008495    	0.002867    
1           	165         	13.43       	0.003936    	0.008153    	0.004513    
1           	170         	13.35       	0.006391    	0.01144     	0.003833    
1           	175         	13.6        	0.003237    	0.007507    	0.0003901   
1           	180         	13.32       	0.005477    	0.01137     	0.005142    
1           	185         	13.22       	0.002807    	0.006151    	0.0001184   
1           	190         	13.08       	0.0004251   	0.009754    	0.0009403   
1           	195         	13.43       	0.003995    	0.01194     	0.002963    
1           	200         	13.22       	0.003415    	0.01479     	0.008451    
1           	205         	13          	0.004716    	0.01198     	0.005146    
1           	210         	12.92       	0.003448    	0.007473    	0.001503    
1           	215         	12.55       	0.004926    	0.01154     	0.001276    
1           	220         	12.42       	0.002183    	0.006534    	0.003366    
1           	225         	12.85       	0.003763    	0.00621     	0.002601    
1           	230         	12.4        	0.001178    	0.006721    	0.001246    
1           	235         	12.2        	0.007798    	0.01572     	0.004136    
1           	240         	12.4        	0.007001    	0.013       	0.001661    
1           	245         	12.3        	0.0065      	0.0164      	0.002967    
1           	250         	11.97       	0.00657     	0.007746    	0.002175    
1           	255         	12.33       	0.006827    	0.01778     	0.005848    
1           	260         	11.75       	0.00451     	0.01177     	0.009877    
1           	265         	12.02       	0.005466    	0.00709     	0.002256    
1           	270         	11.92       	0.0008266   	0.008305    	0.001661    
1           	275         	12.03       	0.002526    	0.007501    	0.002571    
1           	280         	11.97       	0.004978    	0.01001     	0.004996    
1           	285         	11.63       	0.004058    	0.01006     	0.008238    
1           	290         	11.6        	0.002926    	0.007746    	0.002013    
1           	295         	11.6        	0.003407    	0.011       	0.003398    
1           	300         	11.72       	0.00582     	0.00962     	0.002448    
1           	305         	11.27       	0.00936     	0.0107      	0.006       
1           	310         	11.62       	0.005409    	0.005526    	0.004392    
1           	315         	11.55       	0.001916    	0.005926    	0.00489     
1           	320         	11.43       	0.001718    	0.01553     	0.002202    
1           	325         	11.48       	0.006294    	0.01268     	0.01049     
1           	330         	11.45       	0.004323    	0.009535    	0.001279    
1           	335         	11.4        	0.006232    	0.005895    	0.007939    
1           	340         	11.12       	0.005441    	0.006803    	0.0005754   
1           	345         	11.02       	0.0009917   	0.01465     	0.004256    
1           	350         	10.95       	0.004524    	0.007516    	0.005791    
1           	355         	10.87       	0.003892    	0.01118     	0.003632    
1           	360         	10.53       	0.00269     	0.009889    	0.004935    
1           	365         	10.85       	0.00824     	0.01645     	0.002779    
1           	370         	10.9        	0.005076    	0.01044     	0.0008479   
1           	375         	10.83       	0.00291     	0.009617    	0.005298    
1           	380         	10.48       	0.00262     	0.008254    	-0.0006238  
1           	385         	10.95       	0.00135     	0.006722    	0.003894    
1           	390         	11.02       	0.002343    	0.01053     	0.00194     
1           	395         	10.63       	0.009124    	0.009464    	0.003352    
1           	400         	10.77       	0.004824    	0.01086     	0.00504     
1           	405         	10.53       	0.00388     	0.01363     	0.003316    
1           	410         	10.57       	0.01126     	0.01211     	0.004286    
1           	415         	10.7        	0.004222    	0.01397     	0.003465    
1           	420         	10.48       	0.004812    	0.01128     	0.003687    
1           	425         	10.33       	0.007138    	0.01008     	0.001918    
1           	430         	10.45       	0.005977    	0.01154     	0.001017    
1           	435         	10.52       	0.005433    	0.007948    	0.002336    
1           	440         	10.53       	0.009217    	0.00931     	0.005231    
1           	445         	10.55       	0.00466     	0.0063      	0.001319    
1           	450         	10.37       	0.001221    	0.004839    	0.002976    
1           	455         	10.13       	0.006994    	0.00546     	0.001834    
1           	460         	10.15       	0.006209    	0.01596     	0.008281    
1           	465         	10.22       	0.003113    	0.01217     	0.008763    
1           	470         	10.1        	0.003627    	0.01134     	0.005457    
1           	475         	10          	0.004894    	0.006176    	0.001778    
1           	480         	9.933       	0.004359    	0.006145    	0.002275    
1           	485         	9.817       	0.003578    	0.009287    	0.006939    
1           	490         	10.02       	0.004911    	0.01533     	0.006615    
1           	495         	9.9         	0.00905     	0.01659     	0.002004    
1           	500         	9.917       	0.003393    	0.006838    	-0.002215   
1           	505         	9.933       	0.00176     	0.001499    	0.001841    
1           	510         	9.817       	0.004861    	0.01254     	0.004213    
1           	515         	9.967       	0.001565    	0.009252    	0.004385    
1           	520         	9.817       	0.006681    	0.01239     	0.009423    
1           	525         	10          	0.002484    	0.009393    	0.002282    
1           	530         	9.817       	0.004119    	0.007384    	0.002151    
1           	535         	9.633       	0.00294     	0.00712     	0.002807    
1           	540         	9.45        	0.003659    	0.01413     	0.0009168   
1           	545         	9.833       	0.005764    	0.01552     	0.008153    
1           	550         	9.433       	0.007845    	0.007725    	0.006684    
1           	555         	9.633       	0.003931    	0.01164     	0.007308    
1           	560         	9.7         	0.00365     	0.01463     	0.004693    
1           	565         	9.367       	0.008234    	0.01552     	0.008018    
1           	570         	9.25        	0.00333     	0.005121    	0.004531    
1           	575         	9.4         	0.00315     	0.01358     	0.008978    
1           	580         	9.683       	-0.00115    	0.01134     	0.006181    
1           	585         	9.533       	0.005376    	0.007602    	0.003187    
1           	590         	9.35        	-0.001152   	0.00986     	0.004715    
1           	595         	9.183       	0.003253    	0.002587    	0.003158    
1           	600         	9.217       	0.001053    	0.004641    	0.008902    
1           	605         	9.317       	-0.001004   	0.003145    	0.003723    
1           	610         	9.133       	0.005057    	0.006788    	0.007845    
1           	615         	9.117       	0.003855    	0.007333    	0.01014     
1           	620         	8.967       	0.003791    	0.007203    	0.006694    
1           	625         	9.167       	0.005407    	0.01175     	0.0006124   
1           	630         	9.267       	0.004475    	0.01589     	0.007006    
1           	635         	9.067       	0.005245    	0.01291     	0.009415    
1           	640         	9.017       	0.005126    	0.005836    	0.00258     
1           	645         	8.933       	0.005794    	0.01116     	0.001114    
1           	650         	8.8         	0.005403    	0.008737    	0.0007404   
1           	655         	8.9         	0.001604    	0.002718    	-0.002237   
1           	660         	8.833       	0.005282    	0.0154      	0.0133      
1           	665         	8.7         	0.006496    	0.00683     	0.004283    
1           	670         	8.85        	0.002624    	0.004825    	-0.0006754  
1           	675         	8.65        	0.001532    	0.009888    	0.004119    
1           	680         	9.067       	0.004867    	0.01521     	0.004351    
1           	685         	8.667       	-0.0001907  	0.01228     	0.004719    
1           	690         	8.717       	0.006936    	0.01182     	0.004713    
1           	695         	8.667       	0.002655    	0.01446     	0.008141    
1           	700         	8.683       	0.001023    	0.01576     	0.00153     
1           	705         	8.817       	-0.0009417  	0.004611    	0.003293    
1           	710         	8.633       	0.006116    	0.01017     	0.006576    
1           	715         	8.367       	0.00806     	0.005701    	0.01041     
