generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	0.01711     	3.111e-06   	4.1e-06     	2.085e-06   
10          	10          	0.03757     	1.649e-06   	1.875e-06   	1.897e-06   
15          	10          	0.02643     	2.524e-06   	4.019e-06   	3.348e-06   
20          	10          	0.006844    	1.604e-06   	1.287e-06   	1.694e-06   
25          	10          	0.01734     	1.918e-06   	4.852e-06   	1.581e-06   
30          	10          	0.006892    	1.552e-06   	5.185e-06   	2.19e-06    
35          	10          	0.02089     	1.01e-06    	7.476e-06   	2.45e-06    
40          	10          	0.03825     	5.526e-06   	8.213e-06   	5.208e-06   
45          	10          	0.009456    	3.772e-06   	2.199e-06   	3.195e-06   
50          	10          	0.05257     	3.137e-06   	5.403e-06   	1.392e-06   
55          	10          	0.02193     	1.997e-06   	2.37e-06    	2.757e-06   
60          	10          	0.02256     	3.982e-07   	1.933e-06   	3.268e-06   
65          	10          	0.05879     	9.211e-06   	6.044e-06   	2.253e-06   
70          	10          	0.02843     	2.709e-06   	8.24e-06    	3.128e-06   
75          	10          	0.0294      	3.565e-06   	6.61e-06    	2.916e-06   
80          	10          	0.03358     	1.464e-06   	9.093e-06   	3.746e-06   
85          	10          	0.02722     	7.541e-07   	1.348e-06   	2.166e-06   
90          	10          	0.06999     	2.023e-06   	9.176e-06   	3.754e-06   
95          	10          	0.03958     	3.081e-06   	6.133e-06   	5.032e-06   
100         	10          	0.04058     	2.853e-06   	1.807e-06   	1.815e-06   
105         	10          	0.0321      	1.771e-06   	5.22e-06    	3.257e-06   
110         	10          	0.04389     	2.618e-06   	6.286e-06   	4.171e-06   
115         	10          	0.02812     	3.497e-06   	8.408e-06   	4.494e-06   
120         	10          	0.07069     	3.171e-06   	5.085e-06   	2.511e-06   
125         	10          	0.04057     	3.837e-06   	7.152e-06   	3.727e-06   
130         	10          	0.09929     	1.053e-05   	6.41e-06    	2.958e-06   
135         	10          	0.07894     	5.307e-06   	3.983e-06   	3.543e-06   
140         	10          	0.02634     	3.923e-06   	7.418e-06   	7.479e-06   
145         	10          	0.08118     	4.482e-06   	6.501e-06   	2.689e-06   
150         	10          	0.03718     	1.42e-06    	7.925e-06   	4.959e-06   
155         	10          	0.05134     	1.869e-06   	8.623e-06   	4.419e-06   
160         	10          	0.06977     	3.383e-06   	5.168e-06   	9.361e-07   
165         	10          	0.07689     	6.517e-06   	5.749e-06   	1.759e-06   
170         	10          	0.1051      	4.363e-06   	5.241e-06   	3.786e-06   
175         	10          	0.06971     	8.825e-06   	3.739e-06   	9.501e-06   
180         	10          	0.04439     	3.4e-06     	4.447e-06   	2.226e-06   
185         	10          	0.08325     	3.32e-06    	5.387e-06   	4.09e-06    
190         	10          	0.09593     	8.549e-06   	2.848e-06   	4.719e-06   
195         	10          	0.04418     	1.726e-06   	6.794e-06   	6.107e-06   
200         	10          	0.06008     	3.721e-06   	7.473e-06   	6.832e-06   
205         	10          	0.04418     	4.668e-06   	3.56e-06    	3.986e-06   
210         	10          	0.08961     	2.081e-06   	1.035e-05   	1.5e-06     
215         	10          	0.07767     	2.128e-06   	6.633e-06   	7.968e-06   
220         	10          	0.08677     	6.561e-06   	5.626e-06   	3.423e-06   
225         	10          	0.06749     	7.094e-06   	3.502e-06   	8.567e-06   
230         	10          	0.08312     	1.967e-06   	8.195e-06   	3.961e-06   
235         	10          	0.1178      	3.549e-06   	1.191e-05   	3.869e-06   
240         	10          	0.1114      	5.589e-06   	8.528e-06   	3.161e-06   
245         	10          	0.05401     	3.743e-06   	9.325e-06   	3.318e-06   
250         	10          	0.1032      	1.908e-06   	5.618e-06   	4.485e-06   
255         	10          	0.1047      	7.883e-06   	1.239e-05   	1.261e-05   
260         	10          	0.1385      	8.49e-06    	1.318e-05   	6.243e-06   
265         	10          	0.06823     	3.217e-06   	8.636e-06   	1.178e-06   
270         	10          	0.08682     	9.244e-06   	6.899e-06   	7.215e-06   
275         	10          	0.07238     	3.542e-06   	4.913e-06   	2.936e-06   
280         	10          	0.08771     	3.027e-06   	5.262e-06   	7.232e-06   
285         	10          	0.1061      	4.054e-06   	1.059e-05   	4.152e-06   
290         	10          	0.108       	4.814e-06   	1.091e-05   	3.801e-06   
295         	10          	0.06354     	6.389e-06   	4.002e-06   	1.74e-05    
300         	10          	0.1716      	2.904e-06   	1.004e-05   	5.046e-06   
305         	10          	0.07857     	7.517e-06   	9.201e-06   	2.64e-06    
310         	10          	0.07299     	2.041e-06   	7.625e-06   	1.635e-06   
315         	10          	0.0955      	4.235e-06   	3.14e-06    	8.902e-06   
320         	10          	0.1774      	9.207e-06   	7.431e-06   	1.348e-05   
325         	10          	0.06156     	5.053e-06   	2.589e-06   	6.893e-06   
330         	10          	0.0915      	3.171e-06   	5.99e-06    	7.495e-06   
335         	10          	0.085       	5.227e-06   	7.119e-06   	5.85e-06    
340         	10          	0.1465      	6.605e-06   	4.641e-06   	9.51e-06    
345         	10          	0.1664      	7.833e-06   	6.102e-06   	9.763e-06   
350         	10          	0.1501      	3.504e-06   	8.56e-06    	7.834e-06   
355         	10          	0.1054      	3.633e-06   	8.374e-06   	3.34e-06    
360         	10          	0.09528     	8.435e-06   	1.117e-05   	8.467e-06   
365         	10          	0.1421      	1.648e-05   	1.543e-05   	1.002e-05   
370         	10          	0.08357     	8.202e-06   	1.688e-05   	8.473e-06   
375         	10          	0.1148      	9.726e-06   	1.092e-05   	4.309e-06   
380         	10          	0.1265      	2.181e-06   	2.323e-06   	8.011e-06   
385         	10          	0.05754     	5.22e-06    	5.407e-06   	7.24e-06    
390         	10          	0.113       	7.348e-06   	8.661e-06   	4.929e-06   
395         	10          	0.1253      	3.536e-06   	7.177e-06   	3.218e-06   
400         	10          	0.08457     	9.532e-06   	1.376e-05   	4.65e-06    
405         	10          	0.1049      	3.896e-06   	1.393e-05   	9.096e-06   
410         	10          	0.1406      	1.232e-05   	4.379e-06   	3.185e-06   
415         	10          	0.1402      	1.129e-05   	7.764e-06   	1.485e-05   
420         	10          	0.1233      	4.498e-06   	9.397e-06   	2.751e-06   
425         	10          	0.1276      	4.878e-06   	8.134e-06   	9.113e-06   
430         	10          	0.1248      	1.116e-05   	1.239e-05   	4.846e-06   
435         	10          	0.07904     	5.543e-06   	7.567e-06   	3.344e-06   
440         	10          	0.1601      	8.124e-06   	7.745e-06   	7.939e-06   
445         	10          	0.09724     	4.203e-06   	7.222e-06   	6.308e-06   
450         	10          	0.1198      	8.029e-06   	7.314e-06   	1.37e-05    
455         	10          	0.1144      	1.297e-05   	8.302e-06   	1.407e-05   
460         	10          	0.1052      	3.58e-06    	1.801e-05   	9.269e-06   
465         	10          	0.1263      	9.587e-06   	1.456e-05   	5.339e-06   
470         	10          	0.1614      	6.441e-06   	1.024e-05   	6.757e-06   
475         	10          	0.1852      	1.723e-05   	1.74e-05    	5.822e-06   
480         	10          	0.1334      	4.203e-06   	2.817e-06   	3.282e-06   
485         	10          	0.1499      	1.331e-05   	1.629e-05   	1.076e-05   
490         	10          	0.1527      	3.738e-06   	1.102e-05   	3.776e-06   
495         	10          	0.1511      	2.011e-05   	9.315e-06   	5.44e-06    
500         	10          	0.1032      	6.406e-06   	6.029e-06   	6.913e-06   
505         	10          	0.08844     	2.181e-06   	1.17e-05    	3.847e-06   
510         	10          	0.09356     	5.115e-06   	8.839e-06   	9.087e-06   
515         	10          	0.1184      	8.55e-06    	2.015e-06   	4.912e-06   
520         	10          	0.1127      	7.753e-06   	1.024e-05   	1.036e-05   
525         	10          	0.09929     	4.738e-06   	8.563e-06   	1.439e-05   
530         	10          	0.05286     	6.713e-06   	1.194e-05   	1.313e-05   
535         	10          	0.08434     	9.849e-06   	2.448e-05   	1.393e-05   
540         	10          	0.07884     	2.152e-06   	1.042e-05   	8.19e-06    
545         	10          	0.1336      	4.635e-06   	1.306e-05   	9.153e-06   
550         	10          	0.09251     	1.969e-05   	1.114e-05   	1.036e-05   
555         	10          	0.07078     	1.228e-05   	8.23e-06    	1.045e-05   
