generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	17.54       	0.01087     	0.0158      	0.01143     
10          	10          	16.18       	0.01827     	0.02795     	0.0153      
15          	10          	15.16       	0.02008     	0.03889     	0.0217      
20          	10          	14.26       	0.01984     	0.04077     	0.0236      
25          	10          	13.64       	0.02095     	0.04151     	0.02082     
30          	10          	12.88       	0.02138     	0.04786     	0.02187     
35          	10          	12.31       	0.02312     	0.04469     	0.02183     
40          	10          	11.9        	0.01883     	0.04188     	0.02027     
45          	10          	11.34       	0.01886     	0.04282     	0.02032     
50          	10          	10.92       	0.02052     	0.04601     	0.02041     
55          	10          	10.37       	0.02174     	0.04711     	0.02187     
60          	10          	10.05       	0.02438     	0.04691     	0.02103     
65          	10          	9.747       	0.02363     	0.04409     	0.02043     
70          	10          	9.463       	0.02152     	0.04412     	0.02273     
75          	10          	9.178       	0.02177     	0.04541     	0.02212     
80          	10          	9.062       	0.02089     	0.04371     	0.02154     
85          	10          	8.762       	0.01954     	0.04395     	0.01903     
90          	10          	8.477       	0.02068     	0.04442     	0.0232      
95          	10          	8.218       	0.02145     	0.04238     	0.02309     
100         	10          	8.042       	0.02195     	0.04396     	0.02131     
105         	10          	7.867       	0.0231      	0.04853     	0.02367     
110         	10          	7.732       	0.01899     	0.0443      	0.02119     
115         	10          	7.447       	0.02602     	0.04599     	0.01977     
120         	10          	7.385       	0.0207      	0.05065     	0.02798     
125         	10          	7.215       	0.02017     	0.04563     	0.02044     
130         	10          	7.123       	0.02636     	0.04623     	0.0198      
135         	10          	7.022       	0.0205      	0.04172     	0.02054     
140         	10          	6.855       	0.02311     	0.04676     	0.02047     
145         	10          	6.687       	0.02178     	0.04352     	0.01795     
150         	10          	6.557       	0.0198      	0.04867     	0.02324     
155         	10          	6.408       	0.023       	0.04699     	0.02265     
160         	10          	6.353       	0.01846     	0.04077     	0.02252     
165         	10          	6.227       	0.02107     	0.04394     	0.02047     
170         	10          	6.103       	0.02144     	0.04726     	0.02297     
175         	10          	5.972       	0.01823     	0.04607     	0.02176     
180         	10          	5.863       	0.02085     	0.05443     	0.02464     
185         	10          	5.8         	0.02434     	0.04902     	0.02136     
190         	10          	5.667       	0.02552     	0.05229     	0.02032     
195         	10          	5.615       	0.02799     	0.05864     	0.02437     
200         	10          	5.535       	0.02468     	0.05014     	0.02335     
205         	10          	5.457       	0.0216      	0.04643     	0.02161     
210         	10          	5.418       	0.02387     	0.04715     	0.02066     
215         	10          	5.362       	0.02039     	0.04271     	0.02088     
220         	10          	5.187       	0.02142     	0.04968     	0.02338     
225         	10          	5.048       	0.02451     	0.05314     	0.0221      
230         	10          	5.078       	0.02252     	0.05288     	0.02476     
235         	10          	4.988       	0.0251      	0.05157     	0.02539     
240         	10          	4.965       	0.02052     	0.04127     	0.0257      
245         	10          	4.883       	0.02088     	0.04604     	0.02224     
250         	10          	4.85        	0.02114     	0.03644     	0.02062     
255         	10          	4.813       	0.02259     	0.04792     	0.02453     
260         	10          	4.758       	0.01906     	0.0415      	0.0215      
265         	10          	4.707       	0.02065     	0.04235     	0.02335     
270         	10          	4.687       	0.02395     	0.0466      	0.02575     
275         	10          	4.725       	0.02306     	0.05361     	0.02673     
280         	10          	4.638       	0.01925     	0.05265     	0.02338     
285         	10          	4.635       	0.0247      	0.05124     	0.02417     
290         	10          	4.56        	0.02823     	0.05755     	0.02164     
295         	10          	4.487       	0.02336     	0.04992     	0.023       
300         	10          	4.487       	0.02119     	0.04878     	0.02247     
305         	10          	4.465       	0.02493     	0.04358     	0.01853     
310         	10          	4.457       	0.01754     	0.03732     	0.02034     
315         	10          	4.43        	0.02155     	0.04151     	0.02136     
320         	10          	4.347       	0.01772     	0.04211     	0.0257      
325         	10          	4.337       	0.0239      	0.04832     	0.02513     
330         	10          	4.255       	0.02014     	0.05044     	0.02435     
335         	10          	4.268       	0.0217      	0.04463     	0.01873     
340         	10          	4.227       	0.01959     	0.04473     	0.02124     
345         	10          	4.193       	0.0209      	0.04443     	0.01994     
350         	10          	4.162       	0.01927     	0.04309     	0.02002     
355         	10          	4.113       	0.02286     	0.04655     	0.01885     
360         	10          	4.092       	0.01583     	0.0422      	0.02096     
365         	10          	4.055       	0.02361     	0.04555     	0.01932     
370         	10          	3.995       	0.02281     	0.03878     	0.02111     
375         	10          	3.978       	0.02361     	0.04586     	0.01957     
380         	10          	3.957       	0.03036     	0.04993     	0.02204     
385         	10          	3.91        	0.01848     	0.05177     	0.02591     
390         	10          	3.908       	0.01596     	0.04368     	0.02579     
395         	10          	3.935       	0.01825     	0.04224     	0.01898     
400         	10          	3.862       	0.0182      	0.04306     	0.01899     
405         	10          	3.835       	0.02426     	0.04939     	0.02139     
410         	10          	3.823       	0.02755     	0.05166     	0.01907     
415         	10          	3.757       	0.01882     	0.0464      	0.01943     
420         	10          	3.8         	0.01858     	0.04651     	0.02186     
425         	10          	3.743       	0.02028     	0.04151     	0.01724     
430         	10          	3.775       	0.01931     	0.03706     	0.01997     
435         	10          	3.755       	0.02317     	0.04725     	0.02462     
440         	10          	3.702       	0.01988     	0.05036     	0.02404     
445         	10          	3.66        	0.02014     	0.04526     	0.02612     
450         	10          	3.683       	0.0181      	0.04413     	0.022       
455         	10          	3.677       	0.0216      	0.04499     	0.01992     
460         	10          	3.657       	0.02019     	0.04093     	0.02147     
465         	10          	3.682       	0.02217     	0.04727     	0.02146     
470         	10          	3.677       	0.02416     	0.04539     	0.01722     
475         	10          	3.667       	0.0226      	0.04351     	0.01821     
480         	10          	3.645       	0.01958     	0.03947     	0.01748     
485         	10          	3.687       	0.02654     	0.05103     	0.02014     
490         	10          	3.632       	0.02336     	0.04571     	0.0213      
495         	10          	3.633       	0.02234     	0.04741     	0.0257      
500         	10          	3.602       	0.0204      	0.05208     	0.02469     
505         	10          	3.595       	0.0144      	0.04024     	0.01994     
510         	10          	3.573       	0.02368     	0.04464     	0.02311     
515         	10          	3.575       	0.02544     	0.04385     	0.017       
520         	10          	3.5         	0.0215      	0.04508     	0.02445     
525         	10          	3.51        	0.0221      	0.04681     	0.01998     
530         	10          	3.49        	0.02604     	0.04233     	0.01882     
535         	10          	3.487       	0.01918     	0.03489     	0.01837     
540         	10          	3.448       	0.01884     	0.0435      	0.01973     
545         	10          	3.477       	0.01551     	0.03774     	0.02333     
550         	10          	3.435       	0.0223      	0.04095     	0.01613     
555         	10          	3.388       	0.02096     	0.05077     	0.02347     
560         	10          	3.345       	0.02093     	0.05569     	0.02473     
565         	10          	3.343       	0.02188     	0.04811     	0.02303     
570         	10          	3.3         	0.02969     	0.04961     	0.02437     
575         	10          	3.308       	0.01987     	0.04104     	0.02302     
580         	10          	3.273       	0.02052     	0.04906     	0.02047     
585         	10          	3.287       	0.02122     	0.04442     	0.01775     
590         	10          	3.297       	0.02827     	0.0454      	0.01513     
595         	10          	3.29        	0.0246      	0.04783     	0.02284     
600         	10          	3.275       	0.02138     	0.03987     	0.01916     
605         	10          	3.258       	0.01795     	0.04052     	0.01928     
610         	10          	3.282       	0.01337     	0.0377      	0.02002     
615         	10          	3.237       	0.02129     	0.04713     	0.01893     
620         	10          	3.267       	0.0229      	0.05035     	0.01837     
625         	10          	3.213       	0.01953     	0.05575     	0.02431     
630         	10          	3.242       	0.02452     	0.05345     	0.02435     
635         	10          	3.22        	0.02314     	0.04994     	0.01465     
640         	10          	3.245       	0.01595     	0.03753     	0.01531     
645         	10          	3.225       	0.01955     	0.04168     	0.0201      
650         	10          	3.24        	0.0186      	0.04241     	0.0174      
655         	10          	3.21        	0.02061     	0.03642     	0.01895     
660         	10          	3.213       	0.01829     	0.03957     	0.01916     
665         	10          	3.187       	0.01799     	0.03515     	0.02266     
670         	10          	3.165       	0.0223      	0.03845     	0.02839     
675         	10          	3.183       	0.02266     	0.04322     	0.02158     
680         	10          	3.152       	0.02513     	0.04933     	0.02392     
685         	10          	3.157       	0.01799     	0.04393     	0.02129     
690         	10          	3.16        	0.01993     	0.0421      	0.03016     
695         	10          	3.108       	0.0216      	0.04437     	0.02197     
700         	10          	3.095       	0.02201     	0.05128     	0.02692     
705         	10          	3.067       	0.02464     	0.0453      	0.02619     
710         	10          	3.085       	0.01824     	0.03729     	0.01614     
715         	10          	3.107       	0.02401     	0.03727     	0.0122      
720         	10          	3.057       	0.02474     	0.03869     	0.01183     
725         	10          	3.023       	0.02104     	0.04675     	0.01675     
730         	10          	2.985       	0.02358     	0.04996     	0.02559     
735         	10          	3.023       	0.02124     	0.04242     	0.01969     
740         	10          	2.948       	0.02242     	0.04706     	0.02118     
745         	10          	2.955       	0.01999     	0.04356     	0.02333     
750         	10          	2.947       	0.02835     	0.04866     	0.02533     
755         	10          	2.935       	0.02177     	0.0387      	0.01701     
760         	10          	2.923       	0.0281      	0.04747     	0.01835     
765         	10          	2.928       	0.0248      	0.04709     	0.01885     
770         	10          	2.932       	0.0238      	0.05229     	0.02322     
