replicate   	generation  	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
1           	5           	17.32       	0.01086     	0.01965     	0.01281     
1           	10          	15.9        	0.0232      	0.03072     	0.01668     
1           	15          	14.53       	0.03107     	0.04834     	0.02423     
1           	20          	14.2        	0.01567     	0.04311     	0.02267     
1           	25          	13.53       	0.02061     	0.03522     	0.01518     
1           	30          	12.13       	0.02825     	0.05524     	0.02385     
1           	35          	12          	0.01588     	0.03735     	0.01955     
1           	40          	11.35       	0.03461     	0.05264     	0.02693     
1           	45          	11.02       	0.0194      	0.06028     	0.0293      
1           	50          	10.92       	0.02147     	0.04814     	0.013       
1           	55          	10.18       	0.01951     	0.04449     	0.02063     
1           	60          	9.917       	0.02252     	0.04487     	0.01729     
1           	65          	9.633       	0.01984     	0.03192     	0.02005     
1           	70          	9.317       	0.01431     	0.03098     	0.01549     
1           	75          	9.267       	0.009062    	0.03074     	0.01093     
1           	80          	8.833       	0.02926     	0.04383     	0.02224     
1           	85          	8.7         	0.0215      	0.03788     	0.01983     
1           	90          	8.25        	0.01821     	0.03832     	0.02265     
1           	95          	7.967       	0.02153     	0.03599     	0.02324     
1           	100         	7.6         	0.02184     	0.03427     	0.0286      
1           	105         	7.517       	0.01158     	0.04048     	0.03085     
1           	110         	7.367       	0.0278      	0.04494     	0.02874     
1           	115         	7.283       	0.02587     	0.05335     	0.02094     
1           	120         	7.2         	0.01444     	0.05523     	0.03509     
1           	125         	7.017       	0.02286     	0.05623     	0.0276      
1           	130         	6.8         	0.03414     	0.05023     	0.02231     
1           	135         	6.867       	0.02593     	0.03025     	0.02273     
1           	140         	6.533       	0.02407     	0.07091     	0.02432     
1           	145         	6.033       	0.03122     	0.06782     	0.01958     
1           	150         	5.933       	0.03079     	0.06833     	0.01361     
1           	155         	5.733       	0.03899     	0.07421     	0.02483     
1           	160         	5.783       	0.02242     	0.0543      	0.0233      
1           	165         	5.517       	0.02222     	0.05403     	0.02567     
1           	170         	5.517       	0.02756     	0.06858     	0.04073     
1           	175         	5.2         	0.02323     	0.05762     	0.02093     
1           	180         	5.167       	0.01589     	0.05535     	0.03743     
1           	185         	5.183       	0.02391     	0.0449      	0.02388     
1           	190         	5.2         	0.01846     	0.05255     	0.03165     
1           	195         	5.167       	0.02089     	0.05516     	0.02483     
1           	200         	5.017       	0.02037     	0.0381      	0.02369     
1           	205         	4.833       	0.02791     	0.04093     	0.03038     
1           	210         	4.817       	0.0248      	0.03971     	0.01878     
1           	215         	4.65        	0.02314     	0.02653     	0.01593     
1           	220         	4.367       	0.01546     	0.0416      	0.02589     
1           	225         	4.417       	0.01727     	0.05025     	0.02724     
1           	230         	4.55        	0.01638     	0.04279     	0.0169      
1           	235         	4.467       	0.02116     	0.04616     	0.02427     
1           	240         	4.467       	0.02314     	0.008548    	0.01562     
1           	245         	4.3         	0.03238     	0.05548     	0.01241     
1           	250         	4.3         	0.02103     	0.02904     	0.01726     
1           	255         	4.233       	0.01579     	0.03787     	0.02792     
1           	260         	4.15        	0.01252     	0.0384      	0.01311     
1           	265         	4.133       	0.02434     	0.03976     	0.022       
1           	270         	4.017       	0.02292     	0.06005     	0.02512     
1           	275         	4.117       	0.02489     	0.05927     	0.0315      
1           	280         	3.983       	0.0137      	0.05231     	0.02497     
1           	285         	4.033       	0.02212     	0.04198     	0.02193     
1           	290         	4.017       	0.01755     	0.03112     	0.0203      
1           	295         	4.117       	0.01723     	0.04707     	0.02829     
1           	300         	4.067       	0.01284     	0.03739     	0.01016     
1           	305         	3.933       	0.03072     	0.05377     	0.01402     
1           	310         	4.267       	0.02655     	0.04517     	0.01521     
1           	315         	4.017       	0.02799     	0.05473     	0.02689     
1           	320         	3.983       	0.02025     	0.05894     	0.02706     
1           	325         	3.917       	0.02567     	0.06358     	0.03296     
1           	330         	3.85        	0.02234     	0.06202     	0.03688     
1           	335         	3.783       	0.02759     	0.05928     	0.0183      
1           	340         	3.833       	0.01747     	0.03011     	0.004831    
1           	345         	3.75        	0.02135     	0.0499      	0.01484     
1           	350         	3.817       	0.01009     	0.02771     	0.01776     
1           	355         	3.667       	0.02693     	0.04953     	0.02575     
1           	360         	3.517       	0.01659     	0.02836     	0.01998     
1           	365         	3.717       	0.00668     	0.0339      	0.0163      
1           	370         	3.6         	0.03516     	0.0431      	0.01751     
1           	375         	3.417       	0.04111     	0.04722     	0.009258    
1           	380         	3.5         	0.02858     	0.04005     	0.01844     
1           	385         	3.433       	0.02462     	0.07807     	0.02761     
1           	390         	3.35        	0.01295     	0.05211     	0.01959     
1           	395         	3.517       	0.01628     	0.0337      	0.008281    
1           	400         	3.367       	0.02032     	0.04551     	0.01349     
1           	405         	3.517       	0.02311     	0.03939     	0.01897     
1           	410         	3.55        	0.02912     	0.03201     	0.0112      
1           	415         	3.55        	0.03784     	0.02878     	0.001168    
1           	420         	3.583       	0.01705     	0.03558     	0.006995    
1           	425         	3.617       	0.01519     	0.02559     	0.004386    
1           	430         	3.667       	0.01449     	0.02869     	0.007686    
1           	435         	3.467       	0.04457     	0.05105     	0.02452     
1           	440         	3.333       	0.02746     	0.04456     	0.01459     
1           	445         	3.45        	0.02907     	0.02667     	0.01216     
1           	450         	3.367       	0.02418     	0.04144     	0.02092     
