generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	0.01901     	9.487e-06   	6.252e-06   	4.306e-06   
10          	10          	0.08499     	3.19e-05    	1.552e-05   	1.275e-05   
15          	10          	0.1025      	2.296e-05   	2.611e-05   	2.016e-05   
20          	10          	0.1069      	2.184e-05   	2.258e-05   	1.208e-05   
25          	10          	0.06801     	4.261e-05   	3.556e-05   	3.906e-05   
30          	10          	0.1379      	4.523e-05   	5.035e-05   	7.506e-06   
35          	10          	0.05538     	3.767e-05   	4.307e-05   	2.006e-05   
40          	10          	0.1206      	4.902e-05   	3.295e-05   	2.839e-05   
45          	10          	0.06662     	1.345e-05   	8.142e-05   	4.249e-05   
50          	10          	0.06006     	3.58e-05    	5.566e-05   	2.633e-05   
55          	10          	0.02673     	3.372e-05   	4.638e-05   	5.958e-06   
60          	10          	0.04634     	2.742e-05   	9.574e-05   	6.233e-05   
65          	10          	0.01604     	7.986e-05   	0.0001028   	4.335e-05   
70          	10          	0.02338     	4.246e-05   	7.564e-05   	4.35e-05    
75          	10          	0.06867     	7.149e-05   	9.523e-05   	3.934e-05   
80          	10          	0.05006     	2.999e-05   	3.451e-05   	1.694e-05   
85          	10          	0.01406     	2.092e-05   	5.579e-05   	2.666e-05   
90          	10          	0.0474      	1.572e-05   	4.03e-05    	7.313e-05   
95          	10          	0.05297     	4.589e-05   	6.67e-05    	1.15e-05    
100         	10          	0.0704      	7.165e-06   	8.899e-05   	2.46e-05    
105         	10          	0.05294     	4.304e-05   	6.496e-05   	6.587e-05   
110         	10          	0.05253     	4.421e-05   	0.0001187   	5.274e-05   
115         	10          	0.04582     	8.09e-05    	7.577e-05   	7.903e-06   
120         	10          	0.03919     	7.368e-05   	7.657e-05   	3.177e-05   
125         	10          	0.05641     	5.126e-05   	7.522e-05   	2.312e-05   
130         	10          	0.03151     	7.766e-05   	4.261e-05   	4.658e-05   
135         	10          	0.01789     	3.363e-05   	4.773e-05   	4.761e-05   
140         	10          	0.02739     	6.116e-05   	0.0001105   	4.079e-05   
145         	10          	0.06693     	2.487e-05   	9.133e-05   	2.922e-05   
150         	10          	0.07646     	8.112e-05   	0.0001258   	9.222e-05   
155         	10          	0.1215      	0.0001147   	0.000268    	4.644e-05   
160         	10          	0.08888     	1.582e-05   	5.051e-05   	2.016e-05   
165         	10          	0.1277      	2.364e-05   	7.046e-05   	3.073e-05   
170         	10          	0.09721     	4.268e-05   	0.0001046   	6.017e-05   
175         	10          	0.1291      	6.124e-05   	0.0001736   	1.841e-05   
180         	10          	0.1215      	5.354e-05   	0.0001302   	5.043e-05   
185         	10          	0.08439     	7.352e-05   	8.953e-05   	0.0001171   
190         	10          	0.06222     	3.182e-05   	7.386e-05   	4.097e-05   
