generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	18.21       	0.00798     	0.009479    	0.008185    
10          	10          	17.16       	0.01471     	0.01857     	0.0159      
15          	10          	16.39       	0.01844     	0.0265      	0.02057     
20          	10          	15.73       	0.02121     	0.03186     	0.02147     
25          	10          	15.34       	0.02458     	0.0393      	0.02316     
30          	10          	14.94       	0.02264     	0.0416      	0.02453     
35          	10          	14.58       	0.02454     	0.04473     	0.02403     
40          	10          	14.06       	0.02521     	0.04875     	0.02731     
45          	10          	13.62       	0.0274      	0.05168     	0.0258      
50          	10          	13.36       	0.0267      	0.05346     	0.02779     
55          	10          	13.13       	0.02607     	0.05405     	0.02795     
60          	10          	12.76       	0.02889     	0.05478     	0.02736     
65          	10          	12.34       	0.02714     	0.05582     	0.03041     
70          	10          	12.18       	0.02786     	0.05496     	0.02776     
75          	10          	11.85       	0.02613     	0.05598     	0.02985     
80          	10          	11.68       	0.02693     	0.05722     	0.03078     
85          	10          	11.45       	0.02449     	0.05663     	0.0299      
90          	10          	11.27       	0.02604     	0.05959     	0.03225     
95          	10          	11.13       	0.02869     	0.0598      	0.02876     
100         	10          	10.88       	0.02803     	0.061       	0.03116     
105         	10          	10.74       	0.03052     	0.05934     	0.02598     
110         	10          	10.57       	0.02669     	0.05794     	0.02952     
115         	10          	10.31       	0.02774     	0.06096     	0.03078     
120         	10          	10.21       	0.03356     	0.06447     	0.03093     
125         	10          	10.11       	0.02992     	0.06253     	0.0297      
130         	10          	9.913       	0.03184     	0.06455     	0.02958     
135         	10          	9.743       	0.03452     	0.06363     	0.02988     
140         	10          	9.693       	0.03056     	0.0609      	0.02929     
145         	10          	9.548       	0.02678     	0.06206     	0.03046     
150         	10          	9.338       	0.02793     	0.06381     	0.03183     
155         	10          	9.212       	0.03263     	0.06431     	0.03133     
160         	10          	9.13        	0.03174     	0.06204     	0.02613     
165         	10          	9.107       	0.0295      	0.06073     	0.02889     
170         	10          	8.94        	0.02938     	0.05828     	0.03023     
175         	10          	8.868       	0.02761     	0.05523     	0.02863     
180         	10          	8.738       	0.03089     	0.06033     	0.02944     
185         	10          	8.558       	0.03256     	0.05692     	0.02746     
190         	10          	8.572       	0.0283      	0.05682     	0.02957     
195         	10          	8.443       	0.02852     	0.06339     	0.03122     
200         	10          	8.372       	0.02563     	0.0586      	0.02881     
205         	10          	8.282       	0.02838     	0.05633     	0.02992     
210         	10          	8.115       	0.02724     	0.05733     	0.03086     
215         	10          	8.028       	0.02769     	0.0607      	0.03139     
220         	10          	7.952       	0.0294      	0.06102     	0.03124     
225         	10          	7.888       	0.02389     	0.06071     	0.02895     
230         	10          	7.808       	0.02508     	0.05981     	0.03238     
235         	10          	7.713       	0.03208     	0.06115     	0.03362     
240         	10          	7.618       	0.02948     	0.05617     	0.02889     
245         	10          	7.527       	0.03083     	0.05646     	0.02698     
250         	10          	7.377       	0.03078     	0.05823     	0.02858     
255         	10          	7.313       	0.03051     	0.06244     	0.02991     
260         	10          	7.305       	0.03047     	0.05933     	0.02935     
265         	10          	7.273       	0.03382     	0.06381     	0.02676     
270         	10          	7.225       	0.02952     	0.06176     	0.03191     
275         	10          	7.213       	0.02466     	0.05563     	0.03063     
280         	10          	7.138       	0.02961     	0.06129     	0.02786     
285         	10          	7.103       	0.02562     	0.05113     	0.02388     
290         	10          	7.118       	0.02336     	0.05233     	0.02641     
295         	10          	6.988       	0.03141     	0.05714     	0.02483     
300         	10          	6.973       	0.02706     	0.05443     	0.03022     
305         	10          	6.865       	0.02827     	0.05608     	0.03246     
310         	10          	6.813       	0.0284      	0.05205     	0.02992     
315         	10          	6.803       	0.02404     	0.0535      	0.03453     
320         	10          	6.702       	0.02541     	0.05507     	0.03109     
325         	10          	6.698       	0.02702     	0.05586     	0.03035     
330         	10          	6.672       	0.02555     	0.05115     	0.02912     
335         	10          	6.618       	0.02682     	0.05778     	0.0311      
340         	10          	6.577       	0.0271      	0.05557     	0.03312     
345         	10          	6.543       	0.0276      	0.05457     	0.02733     
350         	10          	6.535       	0.02495     	0.0491      	0.02433     
355         	10          	6.42        	0.02183     	0.05325     	0.02977     
360         	10          	6.353       	0.03051     	0.05649     	0.02902     
365         	10          	6.362       	0.02297     	0.05414     	0.02964     
370         	10          	6.287       	0.02521     	0.05603     	0.03146     
375         	10          	6.3         	0.02724     	0.05627     	0.02727     
380         	10          	6.255       	0.02566     	0.05087     	0.02923     
385         	10          	6.198       	0.02422     	0.05934     	0.03059     
390         	10          	6.185       	0.02907     	0.06293     	0.03034     
395         	10          	6.15        	0.02896     	0.05446     	0.02702     
400         	10          	6.075       	0.02754     	0.06063     	0.02585     
405         	10          	6.077       	0.03045     	0.06046     	0.02693     
410         	10          	6.043       	0.03266     	0.06169     	0.02806     
415         	10          	6.025       	0.03502     	0.05993     	0.02384     
420         	10          	5.977       	0.03128     	0.06672     	0.03092     
425         	10          	5.882       	0.02968     	0.06151     	0.0349      
430         	10          	5.92        	0.02759     	0.05941     	0.02877     
435         	10          	5.848       	0.02769     	0.05805     	0.02984     
440         	10          	5.827       	0.0258      	0.05526     	0.02707     
445         	10          	5.83        	0.02635     	0.05291     	0.02684     
450         	10          	5.803       	0.02296     	0.05042     	0.0273      
455         	10          	5.727       	0.02945     	0.05828     	0.03059     
460         	10          	5.71        	0.02948     	0.06269     	0.03032     
465         	10          	5.677       	0.02757     	0.05398     	0.02329     
