replicate   	generation  	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
1           	5           	18.27       	0.005851    	0.007324    	0.00615     
1           	10          	17.22       	0.01576     	0.01385     	0.01712     
1           	15          	16.45       	0.01794     	0.02452     	0.0205      
1           	20          	15.53       	0.02333     	0.03793     	0.02293     
1           	25          	15.62       	0.02161     	0.03304     	0.02086     
1           	30          	15.22       	0.02546     	0.04229     	0.02301     
1           	35          	14.42       	0.03604     	0.0601      	0.02633     
1           	40          	13.72       	0.03622     	0.06975     	0.03836     
1           	45          	13.15       	0.03582     	0.06499     	0.02963     
1           	50          	13.85       	0.01575     	0.0618      	0.02989     
1           	55          	13.15       	0.0241      	0.0625      	0.03353     
1           	60          	12.78       	0.02724     	0.05659     	0.02851     
1           	65          	12.6        	0.02354     	0.05973     	0.03606     
1           	70          	12.4        	0.01971     	0.06539     	0.03744     
1           	75          	12.2        	0.02353     	0.05566     	0.03529     
1           	80          	11.85       	0.03005     	0.06092     	0.03926     
1           	85          	11.57       	0.02136     	0.06275     	0.0362      
1           	90          	11.43       	0.02713     	0.06344     	0.04122     
1           	95          	11.28       	0.03372     	0.06431     	0.03425     
1           	100         	11.18       	0.02932     	0.0572      	0.02488     
1           	105         	10.87       	0.02638     	0.05825     	0.03007     
1           	110         	10.42       	0.02539     	0.0599      	0.03069     
1           	115         	9.933       	0.02659     	0.06895     	0.03525     
1           	120         	10.43       	0.0329      	0.06258     	0.02807     
1           	125         	10.05       	0.03184     	0.07574     	0.03085     
1           	130         	10.03       	0.02146     	0.04532     	0.02111     
1           	135         	9.8         	0.03761     	0.05719     	0.01482     
1           	140         	9.783       	0.02006     	0.05107     	0.02175     
1           	145         	9.383       	0.02284     	0.04657     	0.02065     
1           	150         	9.45        	0.03635     	0.0507      	0.01967     
1           	155         	9.183       	0.02571     	0.0533      	0.03695     
1           	160         	9.117       	0.03029     	0.04671     	0.03108     
1           	165         	9.133       	0.03384     	0.06018     	0.03053     
1           	170         	9.333       	0.01759     	0.05706     	0.02951     
1           	175         	8.983       	0.02837     	0.0468      	0.02523     
1           	180         	8.967       	0.0272      	0.05568     	0.02378     
1           	185         	8.617       	0.03023     	0.06252     	0.02449     
1           	190         	8.767       	0.02894     	0.0438      	0.03493     
1           	195         	8.55        	0.01318     	0.05743     	0.03966     
1           	200         	8.5         	0.01716     	0.05625     	0.03787     
1           	205         	8.467       	0.01162     	0.04792     	0.04184     
1           	210         	8.433       	0.01695     	0.05905     	0.04769     
1           	215         	8.15        	0.01677     	0.05812     	0.05006     
1           	220         	8.15        	0.02362     	0.04615     	0.03152     
1           	225         	7.833       	0.0237      	0.07008     	0.03591     
1           	230         	7.633       	0.03048     	0.05275     	0.03052     
1           	235         	7.75        	0.02808     	0.06847     	0.03589     
1           	240         	7.4         	0.03765     	0.05997     	0.02799     
1           	245         	7.417       	0.0319      	0.05602     	0.0306      
1           	250         	7.467       	0.03152     	0.05535     	0.01652     
1           	255         	6.983       	0.03681     	0.05221     	0.02875     
1           	260         	7.167       	0.02561     	0.05691     	0.01961     
1           	265         	7.133       	0.03583     	0.05732     	0.01557     
1           	270         	6.883       	0.03329     	0.0689      	0.0337      
1           	275         	7.083       	0.03062     	0.04797     	0.0182      
