generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	0.0381      	5.341e-06   	6.981e-06   	1.035e-05   
10          	10          	0.06428     	1.625e-06   	6.818e-06   	2.993e-06   
15          	10          	0.0794      	9.111e-06   	5.997e-06   	9.164e-06   
20          	10          	0.03391     	1.857e-05   	1.034e-05   	1.244e-05   
25          	10          	0.06529     	3.16e-05    	3.534e-05   	2.024e-05   
30          	10          	0.0511      	9.3e-06     	1.427e-05   	1.533e-05   
35          	10          	0.09299     	5.059e-05   	5.828e-05   	1.362e-05   
40          	10          	0.04429     	3.015e-05   	6.917e-05   	4.73e-05    
45          	10          	0.06045     	1.856e-05   	3.317e-05   	1.292e-05   
50          	10          	0.1178      	3.834e-05   	2.804e-05   	1.268e-05   
55          	10          	0.06869     	1.249e-05   	3.569e-05   	3.205e-05   
60          	10          	0.095       	1.506e-05   	1.639e-05   	1.293e-05   
65          	10          	0.1569      	2.998e-05   	4.536e-05   	4.554e-05   
70          	10          	0.02967     	5.841e-05   	5.605e-05   	4.626e-05   
75          	10          	0.1292      	2.584e-05   	6.423e-05   	2.81e-05    
80          	10          	0.1051      	3.455e-05   	6.877e-05   	4.166e-05   
85          	10          	0.06461     	6.32e-06    	1.915e-05   	3.488e-05   
90          	10          	0.05464     	1.415e-05   	4.532e-05   	6.896e-05   
95          	10          	0.06099     	2.775e-05   	2.634e-05   	3.075e-05   
100         	10          	0.04401     	2.881e-05   	9.781e-05   	5.371e-05   
105         	10          	0.05649     	6.235e-05   	6.718e-05   	1.663e-05   
110         	10          	0.1006      	2.089e-05   	4.746e-05   	1.974e-05   
115         	10          	0.03534     	1.646e-05   	0.00015     	4.173e-05   
120         	10          	0.05107     	3.601e-05   	0.0001352   	3.667e-05   
125         	10          	0.05636     	4.431e-05   	5.514e-05   	2.339e-05   
130         	10          	0.1064      	7.279e-05   	0.000166    	2.243e-05   
135         	10          	0.04357     	1.621e-05   	7.556e-05   	5.915e-05   
140         	10          	0.06468     	4.003e-05   	7.67e-05    	7.913e-05   
145         	10          	0.07408     	3.353e-05   	0.0001066   	9.1e-05     
150         	10          	0.08778     	4.023e-05   	0.0001022   	6.523e-05   
155         	10          	0.02711     	7.863e-05   	0.0001029   	3.896e-05   
160         	10          	0.0641      	5.512e-05   	7.94e-05    	2.009e-05   
165         	10          	0.04712     	4.271e-05   	5.688e-05   	1.184e-05   
170         	10          	0.09329     	8.709e-05   	8.669e-05   	2.48e-05    
175         	10          	0.08052     	2.414e-05   	1.923e-05   	3.69e-05    
180         	10          	0.08511     	2.655e-05   	7.813e-05   	6.04e-05    
185         	10          	0.02496     	6.275e-05   	4.057e-05   	5.083e-05   
190         	10          	0.06395     	3.131e-05   	7.53e-05    	1.329e-05   
195         	10          	0.04896     	7.951e-05   	9.728e-05   	4.712e-05   
200         	10          	0.06173     	7.14e-05    	5.041e-05   	7.071e-05   
205         	10          	0.0683      	6.789e-05   	4.108e-05   	7.293e-05   
210         	10          	0.0643      	6.54e-05    	1.731e-05   	4.568e-05   
215         	10          	0.07095     	5.45e-05    	8.17e-05    	5.615e-05   
220         	10          	0.05047     	3.686e-05   	0.0001244   	3.374e-05   
225         	10          	0.03028     	1.934e-05   	0.0001237   	6.935e-05   
230         	10          	0.06524     	2.737e-05   	0.0001635   	4.686e-05   
235         	10          	0.1029      	6.141e-05   	0.0001322   	6.371e-05   
240         	10          	0.05852     	4.62e-05    	0.0001556   	7.798e-05   
245         	10          	0.1018      	2.762e-05   	0.0001327   	5.284e-05   
250         	10          	0.08034     	3.2e-05     	0.0001292   	9.988e-05   
255         	10          	0.09666     	2.986e-05   	0.0001003   	5.811e-05   
260         	10          	0.07689     	8.244e-05   	7.7e-05     	5.231e-05   
265         	10          	0.07557     	7.082e-05   	8.964e-05   	6.066e-05   
270         	10          	0.08801     	6.036e-05   	0.0001575   	8.732e-05   
275         	10          	0.03699     	5.679e-05   	4.411e-05   	6.559e-05   
280         	10          	0.05634     	3.529e-05   	0.0001204   	7.728e-05   
285         	10          	0.03693     	3.646e-05   	0.0001058   	6.422e-05   
