generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	18.84       	0.001791    	0.003025    	0.001841    
10          	10          	18.57       	0.003028    	0.005187    	0.003119    
15          	10          	18.33       	0.004439    	0.006984    	0.003481    
20          	10          	18.28       	0.003939    	0.007657    	0.00322     
25          	10          	17.94       	0.003275    	0.008009    	0.004571    
30          	10          	17.8        	0.004741    	0.008122    	0.004356    
35          	10          	17.63       	0.003932    	0.008981    	0.003466    
40          	10          	17.48       	0.00436     	0.008608    	0.005382    
45          	10          	17.28       	0.003693    	0.008649    	0.003509    
50          	10          	17.07       	0.004366    	0.008157    	0.004766    
55          	10          	16.9        	0.004144    	0.008309    	0.004424    
60          	10          	16.73       	0.005708    	0.008975    	0.003971    
65          	10          	16.66       	0.004361    	0.0101      	0.004086    
70          	10          	16.41       	0.005132    	0.008125    	0.00353     
75          	10          	16.29       	0.004432    	0.008934    	0.004586    
80          	10          	16.07       	0.003558    	0.009936    	0.004126    
85          	10          	15.86       	0.004042    	0.009037    	0.004123    
90          	10          	15.84       	0.003156    	0.008647    	0.003776    
95          	10          	15.53       	0.004029    	0.008246    	0.003109    
100         	10          	15.44       	0.004976    	0.009139    	0.004474    
105         	10          	15.34       	0.00405     	0.008844    	0.004471    
110         	10          	15.22       	0.003521    	0.00818     	0.004694    
115         	10          	14.93       	0.005091    	0.009514    	0.005094    
120         	10          	14.94       	0.0043      	0.008946    	0.005128    
125         	10          	14.76       	0.004592    	0.009118    	0.003979    
130         	10          	14.68       	0.003814    	0.01027     	0.003184    
135         	10          	14.48       	0.004389    	0.008156    	0.003006    
140         	10          	14.43       	0.003962    	0.009887    	0.004056    
145         	10          	14.37       	0.005133    	0.008708    	0.003518    
150         	10          	14.19       	0.003678    	0.009448    	0.003697    
155         	10          	14.2        	0.004215    	0.008001    	0.003478    
160         	10          	13.94       	0.002901    	0.007861    	0.004208    
165         	10          	13.87       	0.004002    	0.009701    	0.004281    
170         	10          	13.72       	0.004412    	0.00978     	0.004242    
175         	10          	13.67       	0.005428    	0.008084    	0.00424     
180         	10          	13.53       	0.005248    	0.009806    	0.004266    
185         	10          	13.43       	0.004076    	0.00886     	0.004136    
190         	10          	13.42       	0.003352    	0.008683    	0.005338    
195         	10          	13.21       	0.004916    	0.007904    	0.004885    
200         	10          	13.12       	0.003684    	0.009323    	0.004499    
205         	10          	13.11       	0.002782    	0.009132    	0.004936    
210         	10          	12.89       	0.004073    	0.009079    	0.004793    
215         	10          	12.83       	0.004803    	0.01156     	0.007379    
220         	10          	12.83       	0.003272    	0.00855     	0.004532    
225         	10          	12.68       	0.004907    	0.008618    	0.003861    
230         	10          	12.63       	0.003734    	0.009264    	0.004015    
235         	10          	12.57       	0.004747    	0.008739    	0.003737    
240         	10          	12.53       	0.00502     	0.01014     	0.004094    
245         	10          	12.38       	0.003728    	0.01029     	0.004986    
250         	10          	12.38       	0.004108    	0.009184    	0.00207     
255         	10          	12.31       	0.005693    	0.009802    	0.004438    
260         	10          	12.22       	0.004981    	0.01017     	0.003369    
265         	10          	12.2        	0.005029    	0.01047     	0.005191    
270         	10          	12.13       	0.005516    	0.01059     	0.002978    
275         	10          	12.09       	0.005314    	0.008588    	0.004378    
280         	10          	11.96       	0.004124    	0.01045     	0.00413     
285         	10          	11.91       	0.003449    	0.008194    	0.00427     
290         	10          	11.93       	0.003731    	0.01209     	0.00562     
295         	10          	11.69       	0.004697    	0.007478    	0.002685    
300         	10          	11.76       	0.006492    	0.008777    	0.003944    
305         	10          	11.69       	0.006011    	0.0098      	0.003661    
310         	10          	11.59       	0.00367     	0.009637    	0.003338    
315         	10          	11.58       	0.004537    	0.008669    	0.004551    
320         	10          	11.52       	0.003847    	0.008717    	0.004911    
325         	10          	11.38       	0.00304     	0.009625    	0.00507     
330         	10          	11.29       	0.003497    	0.009486    	0.004916    
335         	10          	11.38       	0.003406    	0.00866     	0.004356    
340         	10          	11.23       	0.002678    	0.007748    	0.003923    
345         	10          	11.12       	0.005005    	0.008519    	0.003874    
350         	10          	11.18       	0.004202    	0.008365    	0.004329    
355         	10          	11.04       	0.004378    	0.009731    	0.004757    
360         	10          	11.03       	0.002528    	0.008674    	0.003732    
365         	10          	11.01       	0.004629    	0.009176    	0.004562    
370         	10          	10.83       	0.003004    	0.008435    	0.003659    
375         	10          	10.7        	0.004103    	0.01127     	0.003515    
380         	10          	10.66       	0.004673    	0.0088      	0.005003    
385         	10          	10.74       	0.003936    	0.0103      	0.004414    
390         	10          	10.64       	0.004365    	0.007454    	0.004287    
395         	10          	10.6        	0.003464    	0.008723    	0.004159    
400         	10          	10.5        	0.004376    	0.008901    	0.003729    
405         	10          	10.48       	0.004425    	0.009274    	0.005216    
410         	10          	10.41       	0.004624    	0.009243    	0.004653    
415         	10          	10.41       	0.004647    	0.009972    	0.005394    
420         	10          	10.36       	0.004649    	0.009633    	0.003953    
425         	10          	10.24       	0.005683    	0.01186     	0.005913    
430         	10          	10.19       	0.003993    	0.00961     	0.00349     
435         	10          	10.19       	0.00363     	0.008391    	0.005319    
440         	10          	10.21       	0.00367     	0.008253    	0.002928    
445         	10          	10.07       	0.005546    	0.009765    	0.005967    
450         	10          	10.05       	0.004908    	0.01089     	0.005052    
455         	10          	10.12       	0.003958    	0.00874     	0.004242    
460         	10          	9.993       	0.003877    	0.009029    	0.004869    
465         	10          	9.925       	0.005229    	0.01091     	0.004444    
470         	10          	9.958       	0.006462    	0.01092     	0.003686    
475         	10          	9.848       	0.005909    	0.009625    	0.003418    
480         	10          	9.84        	0.003193    	0.007961    	0.004228    
485         	10          	9.817       	0.004452    	0.008157    	0.003177    
490         	10          	9.853       	0.003489    	0.008389    	0.003645    
495         	10          	9.758       	0.00458     	0.008954    	0.005792    
500         	10          	9.695       	0.003576    	0.008264    	0.004517    
505         	10          	9.615       	0.003318    	0.008839    	0.003821    
510         	10          	9.618       	0.003648    	0.009011    	0.004051    
515         	10          	9.533       	0.005902    	0.01054     	0.003771    
520         	10          	9.502       	0.003825    	0.008786    	0.0043      
525         	10          	9.482       	0.004809    	0.00678     	0.002475    
530         	10          	9.532       	0.004221    	0.00994     	0.004062    
535         	10          	9.455       	0.005698    	0.009941    	0.003154    
540         	10          	9.453       	0.004663    	0.01113     	0.004388    
545         	10          	9.45        	0.003743    	0.007547    	0.003868    
550         	10          	9.447       	0.004629    	0.01098     	0.006396    
555         	10          	9.4         	0.003974    	0.009035    	0.005105    
560         	10          	9.41        	0.002421    	0.007704    	0.005057    
565         	10          	9.395       	0.005243    	0.009453    	0.004419    
570         	10          	9.323       	0.004572    	0.008589    	0.004609    
575         	10          	9.3         	0.003779    	0.009986    	0.003875    
580         	10          	9.273       	0.003978    	0.008428    	0.003807    
585         	10          	9.348       	0.00436     	0.009221    	0.003458    
590         	10          	9.267       	0.003412    	0.008916    	0.005121    
595         	10          	9.272       	0.004199    	0.01122     	0.004441    
600         	10          	9.197       	0.003712    	0.008797    	0.004459    
605         	10          	9.208       	0.004709    	0.009188    	0.003595    
610         	10          	9.128       	0.005351    	0.0103      	0.003367    
615         	10          	9.128       	0.005238    	0.01009     	0.006423    
620         	10          	9.122       	0.001992    	0.007354    	0.00379     
625         	10          	9.097       	0.004015    	0.008642    	0.005097    
630         	10          	9.053       	0.003771    	0.009404    	0.003598    
635         	10          	8.992       	0.005093    	0.01015     	0.004143    
640         	10          	8.977       	0.004615    	0.008694    	0.00529     
645         	10          	8.9         	0.003674    	0.008016    	0.002957    
650         	10          	8.942       	0.002742    	0.008071    	0.003259    
655         	10          	8.897       	0.004686    	0.008865    	0.005323    
660         	10          	8.837       	0.005179    	0.01173     	0.007022    
665         	10          	8.843       	0.002891    	0.007714    	0.003754    
670         	10          	8.79        	0.004414    	0.009823    	0.004514    
675         	10          	8.75        	0.005052    	0.00882     	0.004431    
680         	10          	8.668       	0.005737    	0.01046     	0.006238    
685         	10          	8.675       	0.004281    	0.009814    	0.006341    
690         	10          	8.657       	0.003643    	0.009338    	0.002809    
695         	10          	8.678       	0.002428    	0.01001     	0.006413    
700         	10          	8.675       	0.005462    	0.009649    	0.004932    
705         	10          	8.593       	0.002695    	0.01012     	0.00478     
710         	10          	8.605       	0.003362    	0.009919    	0.005229    
715         	10          	8.522       	0.004258    	0.0111      	0.004715    
720         	10          	8.487       	0.005114    	0.01154     	0.004204    
725         	10          	8.477       	0.004064    	0.00799     	0.003154    
730         	10          	8.397       	0.003182    	0.007091    	0.004462    
735         	10          	8.423       	0.004613    	0.01056     	0.003794    
740         	10          	8.403       	0.004257    	0.01003     	0.005152    
745         	10          	8.323       	0.002625    	0.008383    	0.004376    
750         	10          	8.442       	0.004101    	0.007726    	0.002726    
755         	10          	8.36        	0.005933    	0.009591    	0.004735    
760         	10          	8.288       	0.004057    	0.006518    	0.005521    
765         	10          	8.267       	0.003523    	0.00934     	0.004569    
770         	10          	8.283       	0.005225    	0.00828     	0.003268    
775         	10          	8.282       	0.005122    	0.01059     	0.005375    
780         	10          	8.262       	0.00405     	0.01102     	0.004997    
785         	10          	8.23        	0.006331    	0.008117    	0.003245    
790         	10          	8.162       	0.00578     	0.008237    	0.00446     
795         	10          	8.185       	0.004539    	0.01121     	0.004564    
800         	10          	8.217       	0.00357     	0.009767    	0.003722    
805         	10          	8.128       	0.004573    	0.0095      	0.004643    
