replicate   	generation  	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
1           	5           	18.78       	0.00145     	0.004897    	0.002213    
1           	10          	18.52       	0.002164    	0.004934    	0.00474     
1           	15          	18.68       	0.004176    	0.005264    	0.003206    
1           	20          	18.3        	0.004208    	0.00479     	0.006411    
1           	25          	17.85       	0.003004    	0.006104    	0.003246    
1           	30          	17.68       	0.005563    	0.01095     	0.005846    
1           	35          	17.8        	0.002541    	0.00854     	0.003851    
1           	40          	17.85       	0.002512    	0.006328    	0.004266    
1           	45          	17.38       	0.003712    	0.008661    	0.002273    
1           	50          	17.05       	0.004587    	0.009818    	0.003994    
1           	55          	17.13       	0.005132    	0.006524    	0.003966    
1           	60          	16.82       	0.006556    	0.008885    	0.003299    
1           	65          	16.75       	0.004876    	0.01044     	0.005534    
1           	70          	16.42       	0.00794     	0.01142     	0.004692    
1           	75          	16.42       	0.003925    	0.00469     	0.005295    
1           	80          	15.8        	0.007231    	0.01428     	0.007377    
1           	85          	15.47       	0.002655    	0.01256     	0.004848    
1           	90          	15.67       	0.002361    	0.007073    	0.003761    
1           	95          	15.75       	0.003271    	0.00603     	-0.0006581  
1           	100         	15.57       	0.004321    	0.008395    	0.003569    
1           	105         	15.45       	0.004287    	0.01291     	0.004907    
1           	110         	15.5        	0.0007011   	0.007642    	0.003958    
1           	115         	15.23       	0.002901    	0.006581    	0.001878    
1           	120         	15.18       	0.006124    	0.0121      	0.01073     
1           	125         	15.05       	0.004899    	0.009991    	0.003082    
1           	130         	14.82       	0.002764    	0.01109     	0.003273    
1           	135         	14.82       	0.00396     	0.003902    	0.0003003   
1           	140         	14.18       	0.005118    	0.01082     	0.002743    
1           	145         	14.58       	0.003008    	0.008501    	0.002483    
1           	150         	14.37       	0.003418    	0.01301     	0.00579     
1           	155         	14.48       	0.004884    	0.005991    	0.003301    
1           	160         	13.75       	0.003501    	0.01004     	0.004615    
1           	165         	14.12       	0.003335    	0.007628    	0.00212     
1           	170         	14.15       	0.004844    	0.01072     	0.004926    
1           	175         	13.7        	0.006744    	0.01105     	0.005672    
1           	180         	13.72       	0.005461    	0.011       	0.005372    
1           	185         	13.52       	0.004925    	0.01445     	0.004969    
1           	190         	13.67       	0.002913    	0.007699    	0.002806    
1           	195         	13.22       	0.01069     	0.0123      	0.003896    
1           	200         	13.18       	0.005649    	0.01158     	0.003686    
1           	205         	13.15       	0.003799    	0.004621    	0.002972    
1           	210         	12.98       	0.005275    	0.004661    	0.0004405   
1           	215         	12.92       	0.004829    	0.006201    	0.004342    
1           	220         	12.75       	0.003617    	0.00811     	0.0001301   
1           	225         	12.6        	0.003312    	0.007484    	0.004353    
1           	230         	12.65       	0.003558    	0.008742    	0.007781    
