generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	0.009178    	6.287e-07   	1.975e-06   	1.102e-06   
10          	10          	0.01501     	2.908e-06   	1.022e-06   	1.284e-06   
15          	10          	0.01986     	2.187e-06   	4.357e-06   	1.624e-06   
20          	10          	0.01011     	2.538e-06   	2.8e-06     	3.221e-06   
25          	10          	0.03729     	1.417e-06   	3.649e-06   	3.341e-06   
30          	10          	0.02041     	5.782e-06   	6.828e-06   	6.735e-07   
35          	10          	0.02897     	8.002e-06   	4.942e-06   	2.112e-06   
40          	10          	0.03319     	4.299e-06   	6.333e-06   	5.488e-06   
45          	10          	0.03588     	1.543e-06   	5.357e-06   	4.235e-06   
50          	10          	0.01254     	4.344e-06   	2.911e-06   	5.607e-06   
55          	10          	0.04227     	7.441e-07   	7.027e-06   	4.388e-06   
60          	10          	0.04172     	3.5e-06     	3.611e-06   	1.206e-06   
65          	10          	0.02743     	1.272e-06   	8.353e-06   	2.978e-06   
70          	10          	0.07707     	7.005e-06   	2.704e-06   	3.807e-06   
75          	10          	0.07618     	1.013e-06   	9.081e-06   	2.872e-06   
80          	10          	0.05521     	3.387e-06   	1.292e-05   	5.736e-06   
85          	10          	0.05174     	3.63e-06    	6.031e-06   	2.493e-06   
90          	10          	0.113       	3.403e-06   	3.88e-06    	2.909e-06   
95          	10          	0.05641     	2.45e-06    	3.929e-06   	4.042e-06   
100         	10          	0.0284      	2.931e-06   	2.461e-06   	1.244e-06   
105         	10          	0.04928     	3.273e-06   	7.396e-06   	2.08e-06    
110         	10          	0.05112     	8.6e-06     	3.756e-06   	7.178e-06   
115         	10          	0.04539     	4.211e-06   	4.771e-06   	6.97e-06    
120         	10          	0.04695     	5.664e-06   	6.519e-06   	5.486e-06   
125         	10          	0.05413     	5.17e-06    	4.496e-06   	2.842e-06   
130         	10          	0.03273     	4.639e-06   	6.104e-06   	5.156e-06   
135         	10          	0.05373     	2.249e-06   	1.2e-05     	3.627e-06   
140         	10          	0.04479     	3.388e-06   	6.514e-06   	2.449e-06   
145         	10          	0.05218     	5.446e-06   	6.838e-06   	1.721e-06   
150         	10          	0.02017     	1.723e-06   	3.353e-06   	5.137e-06   
155         	10          	0.093       	7.792e-06   	8.58e-06    	2.269e-06   
160         	10          	0.06354     	4.565e-06   	4.642e-06   	3.056e-06   
165         	10          	0.03294     	3.362e-06   	4.822e-06   	3.678e-06   
170         	10          	0.1073      	2.059e-06   	2.457e-06   	5.143e-06   
175         	10          	0.06967     	2.711e-06   	3.455e-06   	6.025e-06   
180         	10          	0.08125     	1.594e-06   	3.471e-06   	5.812e-06   
185         	10          	0.1434      	7.682e-06   	6.927e-06   	7.6e-06     
190         	10          	0.09252     	2.709e-06   	8.481e-06   	4.049e-06   
195         	10          	0.06404     	1.063e-05   	4.364e-06   	7.164e-06   
200         	10          	0.03446     	5.156e-06   	1.504e-05   	8.144e-06   
205         	10          	0.08468     	3.221e-06   	8.943e-06   	8.34e-06    
210         	10          	0.09646     	3.118e-06   	6.939e-06   	5.984e-06   
215         	10          	0.1067      	1.483e-06   	1.928e-05   	4.721e-06   
220         	10          	0.05919     	2.078e-06   	1.604e-06   	5.566e-06   
225         	10          	0.1129      	5.245e-06   	6.952e-06   	3.158e-06   
230         	10          	0.08311     	1.183e-05   	7.682e-06   	8.324e-06   
235         	10          	0.09941     	9.54e-07    	6.742e-06   	6.601e-06   
240         	10          	0.05466     	4.871e-06   	8.706e-06   	5.323e-06   
245         	10          	0.0856      	7.199e-06   	2.572e-06   	1.018e-05   
250         	10          	0.08956     	8.145e-06   	5.543e-06   	5.234e-06   
255         	10          	0.1386      	1.036e-05   	9.015e-06   	2.817e-06   
260         	10          	0.08266     	7.575e-06   	2.365e-06   	5.195e-06   
265         	10          	0.06004     	5.221e-06   	1.564e-05   	5.247e-06   
270         	10          	0.02606     	7.199e-06   	1.135e-05   	1.496e-06   
275         	10          	0.1192      	4.612e-06   	1.546e-05   	8.111e-06   
280         	10          	0.08751     	5.702e-06   	6.788e-06   	4.334e-06   
285         	10          	0.05767     	5.774e-06   	1.287e-05   	1.273e-05   
290         	10          	0.07806     	3.732e-06   	1.033e-05   	9.083e-06   
295         	10          	0.1117      	7.394e-06   	3.67e-06    	3.627e-06   
300         	10          	0.1297      	6.944e-06   	7.329e-06   	1.273e-06   
305         	10          	0.1142      	2.626e-06   	7.919e-06   	2.205e-06   
310         	10          	0.1367      	4.474e-06   	8.989e-06   	6.194e-06   
315         	10          	0.09561     	1.532e-06   	1.381e-05   	2.379e-06   
320         	10          	0.08645     	7.87e-06    	1.184e-05   	5.567e-06   
325         	10          	0.1244      	4.813e-06   	1.336e-05   	4.415e-06   
330         	10          	0.07296     	6.095e-06   	1.413e-05   	1.055e-05   
335         	10          	0.107       	3.97e-06    	7.463e-06   	1.562e-06   
340         	10          	0.1127      	2.282e-06   	4.09e-06    	3.115e-06   
345         	10          	0.1196      	8.998e-06   	1.401e-05   	1.809e-06   
350         	10          	0.1314      	7.117e-06   	6.53e-06    	1.419e-05   
355         	10          	0.1172      	2.757e-06   	9.13e-06    	6.935e-06   
360         	10          	0.0575      	1.698e-06   	6.093e-06   	5.286e-06   
365         	10          	0.1556      	7.393e-06   	1.448e-05   	1.959e-06   
370         	10          	0.1868      	4.239e-06   	9.983e-06   	7.623e-06   
375         	10          	0.09578     	7.453e-07   	7.021e-06   	1.397e-05   
380         	10          	0.1117      	3.307e-06   	1.216e-05   	1.211e-05   
385         	10          	0.1041      	6.463e-06   	5.191e-06   	4.063e-06   
390         	10          	0.06401     	3.328e-06   	8.486e-06   	7.308e-06   
395         	10          	0.07793     	7.858e-06   	5.793e-06   	1.705e-06   
400         	10          	0.08111     	3.096e-06   	1.118e-05   	2.22e-06    
405         	10          	0.0735      	2.617e-06   	4.846e-06   	6.81e-06    
410         	10          	0.06927     	2.843e-06   	9.758e-06   	4.553e-06   
415         	10          	0.05769     	9.921e-06   	6.092e-06   	7.455e-06   
420         	10          	0.08812     	8.132e-06   	1.355e-05   	4.437e-06   
425         	10          	0.09172     	5.546e-06   	9.122e-06   	5.831e-06   
430         	10          	0.09036     	1.026e-05   	1.085e-05   	2.075e-05   
435         	10          	0.1185      	7.171e-06   	2.171e-05   	5.62e-06    
440         	10          	0.1045      	1.816e-05   	1.573e-05   	4.403e-06   
445         	10          	0.1066      	1.194e-05   	8.123e-06   	9.741e-06   
450         	10          	0.08449     	1.231e-05   	2.309e-05   	6.288e-06   
455         	10          	0.1243      	6.663e-06   	8.015e-06   	4.555e-06   
460         	10          	0.04579     	2.266e-06   	1.117e-05   	1.211e-06   
465         	10          	0.0639      	5.073e-06   	1.267e-05   	7.285e-06   
470         	10          	0.08529     	1.279e-05   	1.013e-05   	4.938e-06   
475         	10          	0.0718      	7.126e-06   	1.008e-05   	3.735e-06   
480         	10          	0.06529     	4.229e-06   	1.038e-05   	3.917e-06   
485         	10          	0.08961     	5.255e-06   	1.379e-05   	1.536e-05   
490         	10          	0.06516     	5.796e-06   	8.128e-06   	5.444e-06   
495         	10          	0.05051     	6.618e-06   	4.855e-06   	7.595e-06   
500         	10          	0.06745     	6.778e-06   	4.036e-06   	5.301e-06   
505         	10          	0.06069     	8.221e-06   	4.412e-06   	8.749e-06   
510         	10          	0.05191     	6.349e-06   	2.139e-05   	6.843e-06   
515         	10          	0.04617     	1.341e-05   	1.631e-05   	1.218e-05   
520         	10          	0.05069     	4.139e-06   	1.018e-05   	2.024e-05   
525         	10          	0.06308     	5.588e-06   	8.083e-06   	4.972e-06   
530         	10          	0.08286     	7.176e-06   	8.802e-06   	3.713e-06   
535         	10          	0.05472     	9.324e-06   	9.819e-06   	5.298e-06   
540         	10          	0.0376      	1.568e-05   	8.744e-06   	8.431e-06   
545         	10          	0.063       	2.221e-06   	5.361e-06   	1.202e-05   
550         	10          	0.07016     	6.53e-06    	1.756e-05   	1.104e-05   
555         	10          	0.03944     	3.87e-06    	1.09e-05    	1.439e-05   
560         	10          	0.09479     	6.783e-06   	1.686e-06   	3.918e-06   
565         	10          	0.063       	6.053e-06   	8.047e-06   	7.338e-06   
570         	10          	0.06568     	8.644e-06   	1.058e-05   	8.203e-06   
575         	10          	0.05617     	1.4e-05     	8.703e-06   	8.956e-06   
580         	10          	0.04323     	2.379e-05   	8.173e-06   	8.281e-06   
585         	10          	0.1026      	6.742e-06   	6.177e-06   	7.53e-06    
590         	10          	0.0525      	6.677e-06   	1.115e-05   	1.033e-05   
595         	10          	0.049       	2.029e-05   	8.256e-06   	4.807e-06   
600         	10          	0.04366     	6.104e-06   	1.076e-05   	5.969e-06   
