generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	17.55       	0.01166     	0.01443     	0.01178     
10          	10          	16.2        	0.01683     	0.02795     	0.01691     
15          	10          	15.13       	0.02025     	0.03584     	0.01949     
20          	10          	14.25       	0.02096     	0.04234     	0.01993     
25          	10          	13.39       	0.02172     	0.04426     	0.02377     
30          	10          	12.9        	0.02293     	0.04826     	0.01894     
35          	10          	12.31       	0.02436     	0.04763     	0.01985     
40          	10          	11.84       	0.02339     	0.04429     	0.02079     
45          	10          	11.39       	0.0212      	0.04205     	0.02144     
50          	10          	10.94       	0.01873     	0.04839     	0.02196     
55          	10          	10.5        	0.02278     	0.04603     	0.0242      
60          	10          	10.15       	0.02233     	0.04797     	0.0205      
65          	10          	9.823       	0.0213      	0.04752     	0.02435     
70          	10          	9.537       	0.0212      	0.04594     	0.02265     
75          	10          	9.203       	0.02325     	0.0447      	0.02312     
80          	10          	8.927       	0.02059     	0.04537     	0.02099     
85          	10          	8.715       	0.0185      	0.04338     	0.0187      
90          	10          	8.465       	0.0211      	0.04653     	0.02176     
95          	10          	8.253       	0.01941     	0.04325     	0.01898     
100         	10          	7.978       	0.02045     	0.04089     	0.01971     
105         	10          	7.827       	0.01963     	0.0438      	0.01818     
110         	10          	7.555       	0.02345     	0.04453     	0.02112     
115         	10          	7.455       	0.01908     	0.0409      	0.02044     
120         	10          	7.21        	0.01615     	0.04088     	0.02051     
125         	10          	7.16        	0.01743     	0.04019     	0.01702     
130         	10          	7.033       	0.02382     	0.04731     	0.01841     
135         	10          	6.818       	0.01936     	0.04964     	0.02311     
140         	10          	6.762       	0.02085     	0.04733     	0.02164     
145         	10          	6.593       	0.02044     	0.04739     	0.02544     
150         	10          	6.43        	0.0218      	0.04529     	0.02079     
155         	10          	6.275       	0.02366     	0.05104     	0.02607     
160         	10          	6.18        	0.02293     	0.04957     	0.02309     
165         	10          	6.072       	0.02361     	0.05072     	0.02481     
170         	10          	6.01        	0.02474     	0.05139     	0.02246     
175         	10          	5.84        	0.02995     	0.05339     	0.02078     
180         	10          	5.722       	0.01868     	0.04694     	0.02575     
185         	10          	5.582       	0.02097     	0.04575     	0.02065     
190         	10          	5.54        	0.02048     	0.04618     	0.02118     
195         	10          	5.455       	0.02836     	0.04456     	0.0241      
200         	10          	5.402       	0.02272     	0.04245     	0.02148     
205         	10          	5.31        	0.02303     	0.04333     	0.02177     
210         	10          	5.218       	0.02244     	0.03906     	0.01997     
215         	10          	5.188       	0.01972     	0.04432     	0.02145     
220         	10          	5.065       	0.01875     	0.04595     	0.02598     
225         	10          	5.062       	0.01833     	0.04018     	0.0176      
230         	10          	4.99        	0.02283     	0.04965     	0.02145     
235         	10          	4.935       	0.02717     	0.05179     	0.0196      
240         	10          	4.873       	0.02114     	0.05287     	0.02539     
245         	10          	4.85        	0.02462     	0.04761     	0.02108     
250         	10          	4.818       	0.02371     	0.05403     	0.02309     
