replicate   	generation  	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
1           	5           	17.45       	0.02051     	0.02078     	0.008174    
1           	10          	16.45       	0.01457     	0.0219      	0.01302     
1           	15          	15.02       	0.02599     	0.04165     	0.02372     
1           	20          	13.57       	0.03158     	0.06053     	0.02839     
1           	25          	13.15       	0.01742     	0.04724     	0.02207     
1           	30          	12.85       	0.02264     	0.05267     	0.01371     
1           	35          	11.87       	0.0213      	0.05267     	0.01788     
1           	40          	11.73       	0.01989     	0.0465      	0.01657     
1           	45          	11.65       	0.02223     	0.03482     	0.01626     
1           	50          	10.45       	0.02099     	0.04913     	0.02594     
1           	55          	10.27       	0.02333     	0.04997     	0.02477     
1           	60          	9.933       	0.02758     	0.05057     	0.01166     
1           	65          	9.417       	0.03115     	0.06928     	0.0324      
1           	70          	9.2         	0.02535     	0.06199     	0.02717     
1           	75          	8.617       	0.02424     	0.05937     	0.03333     
1           	80          	8.25        	0.02804     	0.04994     	0.02231     
1           	85          	8.133       	0.008192    	0.03226     	0.01187     
1           	90          	7.967       	0.0216      	0.04165     	0.01208     
1           	95          	7.833       	0.01695     	0.03785     	0.008214    
1           	100         	7.75        	0.01718     	0.02527     	0.01482     
1           	105         	7.317       	0.01081     	0.03506     	0.01951     
1           	110         	7.05        	0.0266      	0.04005     	0.02489     
1           	115         	7.017       	0.0348      	0.04887     	0.03611     
1           	120         	6.867       	0.01073     	0.03412     	0.02783     
1           	125         	6.833       	0.007836    	0.03953     	0.02917     
1           	130         	6.65        	0.01688     	0.03933     	0.02049     
1           	135         	6.617       	0.02037     	0.04008     	0.02066     
1           	140         	6.633       	0.02337     	0.0406      	0.03088     
1           	145         	6.3         	0.01883     	0.04537     	0.02491     
1           	150         	6.217       	0.02336     	0.04567     	0.01677     
1           	155         	6.133       	0.01383     	0.03833     	0.0242      
1           	160         	5.883       	0.0178      	0.03553     	0.01997     
1           	165         	5.967       	0.0225      	0.04418     	0.02373     
1           	170         	5.833       	0.01805     	0.05052     	0.02912     
1           	175         	5.633       	0.04019     	0.05351     	0.01744     
1           	180         	5.517       	0.01218     	0.04862     	0.02753     
1           	185         	5.433       	0.008725    	0.04264     	0.02255     
1           	190         	5.517       	0.03062     	0.05254     	0.02219     
1           	195         	5.467       	0.02409     	0.05759     	0.02054     
1           	200         	5.467       	0.02453     	0.03685     	0.01789     
1           	205         	5.2         	0.02512     	0.04915     	0.02273     
1           	210         	5.3         	0.03364     	0.05245     	0.02564     
1           	215         	5.15        	0.0232      	0.04075     	0.009355    
1           	220         	4.967       	0.02513     	0.05417     	0.03424     
1           	225         	5.133       	0.01937     	0.06361     	0.02245     
1           	230         	5           	0.0184      	0.05366     	0.01858     
1           	235         	4.95        	0.01893     	0.04378     	0.03052     
1           	240         	5.067       	0.02713     	0.04789     	0.03475     
1           	245         	4.967       	0.02465     	0.03728     	0.01557     
1           	250         	5           	0.02949     	0.06511     	0.0281      
1           	255         	4.983       	0.009981    	0.04376     	0.02355     
1           	260         	4.733       	0.02539     	0.0657      	0.02039     
1           	265         	4.617       	0.04537     	0.0776      	0.02396     
1           	270         	4.85        	0.0273      	0.04831     	0.0164      
1           	275         	4.85        	0.02509     	0.05107     	0.03132     
1           	280         	4.617       	0.02494     	0.03079     	0.02745     
1           	285         	4.45        	0.01272     	0.04304     	0.03232     
1           	290         	4.6         	0.0316      	0.06212     	0.02702     
1           	295         	4.467       	0.01386     	0.02735     	0.01757     
1           	300         	4.55        	0.02776     	0.04208     	0.01628     
1           	305         	4.617       	0.02134     	0.02795     	0.01863     
1           	310         	4.467       	0.01135     	0.02617     	0.01107     
1           	315         	4.417       	0.02154     	0.04044     	0.0224      
1           	320         	4.45        	0.02275     	0.04406     	0.008496    
1           	325         	4.483       	0.01383     	0.03902     	0.01808     
1           	330         	4.4         	0.03234     	0.04763     	0.0234      
1           	335         	4.333       	0.02275     	0.05517     	0.01421     
1           	340         	4.267       	0.02652     	0.0697      	0.02571     
1           	345         	4.2         	0.03287     	0.06396     	0.0245      
1           	350         	4.233       	0.03095     	0.0458      	0.006494    
1           	355         	4.133       	0.02107     	0.04626     	0.0118      
1           	360         	4.183       	0.03081     	0.03986     	0.01745     
1           	365         	4.183       	0.0165      	0.0377      	0.02228     
1           	370         	4.183       	0.01257     	0.04214     	0.0261      
1           	375         	4.233       	0.01559     	0.0446      	0.02851     
1           	380         	4.167       	0.01285     	0.03783     	0.01938     
1           	385         	4.15        	0.02737     	0.05774     	0.01765     
1           	390         	4.083       	0.0263      	0.05799     	0.03634     
1           	395         	4.083       	0.01307     	0.04852     	0.01783     
1           	400         	3.967       	0.02104     	0.03463     	0.02866     
1           	405         	3.95        	0.01469     	0.03546     	0.01375     
1           	410         	4.067       	0.01445     	0.04036     	0.01634     
1           	415         	4.067       	0.02136     	0.04041     	0.01672     
1           	420         	4.017       	0.04279     	0.05265     	0.02821     
1           	425         	4.017       	0.0176      	0.05312     	0.0282      
1           	430         	4.117       	0.02373     	0.0395      	0.008218    
1           	435         	3.983       	0.02806     	0.0327      	0.04898     
1           	440         	3.9         	0.01721     	0.0428      	0.02264     
1           	445         	3.95        	0.02423     	0.03512     	0.01304     
1           	450         	3.867       	0.03559     	0.05377     	0.03644     
1           	455         	3.867       	0.01752     	0.04054     	0.02971     
1           	460         	3.85        	0.01397     	0.0314      	0.03166     
1           	465         	4.017       	0.02459     	0.03519     	0.03082     
1           	470         	4.133       	0.01772     	0.03833     	0.02742     
1           	475         	4.05        	0.01468     	0.02316     	0.01472     
1           	480         	3.917       	0.01175     	0.0458      	0.02773     
1           	485         	3.833       	0.02096     	0.03089     	0.02895     
1           	490         	4.033       	0.02117     	0.02882     	0.01546     
1           	495         	3.7         	0.03656     	0.07618     	0.01914     
1           	500         	3.95        	0.02069     	0.06701     	0.04066     
1           	505         	3.8         	0.01298     	0.05711     	0.02973     
1           	510         	3.933       	0.01821     	0.07183     	0.0356      
1           	515         	3.817       	0.01536     	0.05141     	0.02291     
1           	520         	3.983       	0.02152     	0.07897     	0.04993     
1           	525         	3.817       	0.02119     	0.05919     	0.02545     
1           	530         	3.75        	0.02644     	0.07202     	0.02772     
1           	535         	3.717       	0.009866    	0.04304     	0.01545     
1           	540         	3.733       	0.03062     	0.05105     	0.01309     
1           	545         	3.717       	0.01921     	0.04059     	0.01773     
1           	550         	3.65        	0.02479     	0.04092     	0.01708     
1           	555         	3.667       	0.01527     	0.03011     	0.02654     
1           	560         	3.633       	0.02866     	0.05287     	0.01454     
1           	565         	3.633       	0.04654     	0.06364     	0.03329     
1           	570         	3.633       	0.02156     	0.041       	0.01735     
1           	575         	3.683       	0.01358     	0.04253     	0.02799     
1           	580         	3.683       	0.02022     	0.0178      	0.01775     
1           	585         	3.633       	0.02245     	0.04048     	0.01753     
1           	590         	3.55        	0.01653     	0.02853     	0.02179     
1           	595         	3.633       	0.01891     	0.05073     	0.02221     
1           	600         	3.5         	0.0218      	0.04782     	0.01897     
1           	605         	3.65        	0.01752     	0.05643     	0.02404     
1           	610         	3.517       	0.02237     	0.05335     	0.01245     
1           	615         	3.567       	0.03524     	0.05984     	0.02275     
1           	620         	3.367       	0.03446     	0.04808     	0.02703     
1           	625         	3.467       	0.01549     	0.04759     	0.03064     
1           	630         	3.45        	0.0185      	0.06958     	0.02424     
1           	635         	3.3         	0.02267     	0.0344      	0.01045     
1           	640         	3.367       	0.02503     	0.0525      	0.01025     
1           	645         	3.367       	0.01816     	0.04892     	0.0221      
1           	650         	3.233       	0.03125     	0.08524     	0.04529     
1           	655         	3.233       	0.03206     	0.06764     	0.0362      
1           	660         	3.3         	0.01409     	0.04586     	0.0306      
1           	665         	3.233       	0.02709     	0.0429      	0.03337     
1           	670         	3.167       	0.02756     	0.02448     	0.002062    
1           	675         	3.283       	0.04063     	0.06015     	0.03104     
1           	680         	3.35        	0.02015     	0.0495      	0.01637     
1           	685         	3.267       	0.012       	0.02512     	0.008889    
1           	690         	3.317       	0.02213     	0.04323     	0.02466     
1           	695         	3.317       	0.01645     	0.03205     	0.01556     
1           	700         	3.333       	0.0123      	0.04433     	0.0371      
1           	705         	3.25        	0.02456     	0.03483     	0.02297     
1           	710         	3.317       	0.03638     	0.05269     	0.02048     
1           	715         	3.25        	0.04105     	0.04533     	0.01973     
1           	720         	3.233       	0.03854     	0.04859     	0.01352     
1           	725         	3.317       	0.02161     	0.04342     	0.01793     
1           	730         	3.333       	0.01655     	0.02886     	0.01583     
1           	735         	3.2         	0.02906     	0.04504     	0.02955     
1           	740         	3.217       	0.03188     	0.06477     	0.02625     
1           	745         	3.233       	0.03094     	0.03454     	0.01251     
1           	750         	3.333       	0.03191     	0.04976     	0.009852    
1           	755         	3.267       	0.02758     	0.04891     	0.01993     
1           	760         	3.3         	0.02253     	0.03233     	0.0264      
1           	765         	3.333       	0.0444      	0.04453     	0.02025     
1           	770         	3.317       	0.03166     	0.06075     	0.008912    
1           	775         	3.317       	0.01548     	0.04165     	0.01658     
1           	780         	3.35        	0.01386     	0.04268     	0.0304      
1           	785         	3.35        	0.02463     	0.02552     	0.02813     
1           	790         	3.45        	0.00538     	0.0194      	0.009168    
1           	795         	3.517       	0.02454     	0.02243     	0.001446    
1           	800         	3.317       	0.0224      	0.04281     	0.01531     
1           	805         	3.45        	0.03115     	0.03445     	0.03382     
1           	810         	3.4         	0.03069     	0.05428     	0.01775     
1           	815         	3.317       	0.01932     	0.04185     	0.01948     
1           	820         	3.467       	0.02442     	0.06226     	0.02244     
1           	825         	3.4         	0.03999     	0.06407     	0.02241     
1           	830         	3.433       	0.03069     	0.06574     	0.02888     
1           	835         	3.233       	0.02763     	0.05762     	0.05106     
1           	840         	3.233       	0.01596     	0.04748     	0.03009     
1           	845         	3.417       	0.03116     	0.04745     	0.01035     
1           	850         	3.4         	0.0234      	0.05406     	0.02157     
1           	855         	3.367       	0.02587     	0.04261     	0.02048     
1           	860         	3.383       	0.02098     	0.02129     	0.01339     
1           	865         	3.267       	0.02496     	0.04675     	0.01374     
1           	870         	3.283       	0.01132     	0.02357     	0.001679    
1           	875         	3.167       	0.02814     	0.04984     	0.02172     
1           	880         	3.283       	0.02727     	0.04728     	0.04069     
1           	885         	3.217       	0.02655     	0.04698     	0.03077     
1           	890         	3.2         	0.01792     	0.03194     	0.02932     
1           	895         	3.217       	0.03285     	0.04238     	0.01938     
1           	900         	3.25        	0.02818     	0.04191     	0.01132     
1           	905         	3.2         	0.01519     	0.01809     	0.01343     
1           	910         	3.233       	0.01595     	0.04823     	0.01595     
1           	915         	3.217       	0.0172      	0.03274     	0.01192     
1           	920         	3.317       	0.01633     	0.0596      	0.03051     
1           	925         	3.283       	0.02304     	0.05941     	0.00707     
1           	930         	3.383       	0.02811     	0.05543     	0.02878     
1           	935         	3.4         	0.02426     	0.05869     	0.01395     
1           	940         	3.383       	0.02604     	0.06101     	0.01421     
1           	945         	3.483       	0.02266     	0.02651     	0.008686    
1           	950         	3.5         	0.01484     	0.04015     	0.02256     
1           	955         	3.383       	0.02482     	0.03782     	0.01852     
1           	960         	3.517       	0.01924     	0.01684     	0.0081      
1           	965         	3.433       	0.02427     	0.02901     	0.01159     
1           	970         	3.317       	0.01302     	0.03682     	0.03726     
1           	975         	3.483       	0.01307     	0.03075     	0.007241    
1           	980         	3.3         	0.007189    	0.03797     	0.02213     
1           	985         	3.25        	0.008841    	0.06654     	0.03166     
1           	990         	3.25        	0.00784     	0.04611     	0.03181     
1           	995         	3.133       	0.02305     	0.03585     	0.02616     
1           	1000        	3.233       	0.02667     	0.03182     	0.00388     
1           	1005        	3.283       	0.01874     	0.02521     	0.007095    
1           	1010        	3.217       	0.03407     	0.05416     	0.0299      
1           	1015        	3.2         	0.01058     	0.03353     	0.02806     
1           	1020        	3.283       	0.02345     	0.02921     	0.003771    
1           	1025        	3.217       	0.002705    	0.03306     	0.0251      
1           	1030        	3.117       	0.02962     	0.06809     	0.02428     
1           	1035        	3.083       	0.01314     	0.04058     	0.004203    
1           	1040        	3.083       	0.02336     	0.05073     	0.02721     
1           	1045        	3.117       	0.02554     	0.03883     	0.01868     
1           	1050        	3.15        	0.02324     	0.03097     	0.01828     
1           	1055        	3.2         	0.02647     	0.03947     	0.01075     
1           	1060        	3.267       	0.03905     	0.04966     	0.03242     
1           	1065        	3.283       	0.005309    	0.04066     	0.02186     
1           	1070        	3.217       	0.03147     	0.07492     	0.02306     
1           	1075        	3.183       	0.01878     	0.04262     	0.01843     
1           	1080        	3.15        	0.03275     	0.05715     	0.01762     
1           	1085        	3.133       	0.02785     	0.04496     	0.0105      
1           	1090        	3.1         	0.02704     	0.04491     	0.02102     
1           	1095        	3.167       	0.02915     	0.03796     	0.01151     
1           	1100        	3.05        	0.03884     	0.07216     	0.04054     
1           	1105        	3.117       	0.01783     	0.06593     	0.02153     
1           	1110        	3.067       	0.01016     	0.04474     	0.0348      
1           	1115        	2.95        	0.02016     	0.05514     	0.05261     
1           	1120        	3.033       	0.01809     	0.03514     	0.04697     
1           	1125        	3.183       	0.01482     	0.05015     	0.03078     
1           	1130        	3.183       	0.0262      	0.05634     	0.02557     
1           	1135        	2.983       	0.01549     	0.04584     	0.0202      
1           	1140        	3.017       	0.008969    	0.05006     	0.01675     
1           	1145        	3           	0.02431     	0.06024     	0.02691     
1           	1150        	2.967       	0.0202      	0.03701     	0.01614     
1           	1155        	2.967       	0.02406     	0.04124     	0.02176     
1           	1160        	3           	0.0272      	0.04148     	0.02733     
1           	1165        	3           	0.01841     	0.04847     	0.02748     
1           	1170        	2.967       	0.01671     	0.05141     	0.03302     
1           	1175        	3.15        	0.007027    	0.03742     	0.02122     
1           	1180        	3.183       	0.01437     	0.03626     	0.02574     
1           	1185        	2.917       	0.03217     	0.0444      	0.001414    
1           	1190        	2.933       	0.02575     	0.04384     	0.01299     
1           	1195        	3.017       	0.008622    	0.03117     	0.01394     
1           	1200        	2.967       	0.02756     	0.04415     	0.01944     
1           	1205        	2.817       	0.01213     	0.05566     	0.03921     
1           	1210        	2.883       	0.0127      	0.06244     	0.04338     
1           	1215        	2.95        	0.01934     	0.05351     	0.03552     
1           	1220        	3           	0.01689     	0.0366      	0.03159     
1           	1225        	2.95        	0.009937    	0.03872     	0.02436     
1           	1230        	2.867       	0.03294     	0.03847     	0.00561     
1           	1235        	2.817       	0.03342     	0.03815     	0.006142    
1           	1240        	2.783       	0.02243     	0.04948     	0.02211     
1           	1245        	2.65        	0.007331    	0.03118     	0.01211     
1           	1250        	2.65        	0.02558     	0.04294     	0.01035     
1           	1255        	2.767       	0.03901     	0.03423     	0.004458    
1           	1260        	2.733       	0.01033     	0.03032     	0.01515     
1           	1265        	2.683       	0.03568     	0.03974     	0.03528     
1           	1270        	2.683       	0.03935     	0.0773      	0.03089     
1           	1275        	2.683       	0.04768     	0.03483     	0.04024     
1           	1280        	2.683       	0.01728     	0.03842     	0.01219     
1           	1285        	2.667       	0.02426     	0.059       	0.04266     
1           	1290        	2.8         	0.01965     	0.05152     	0.01814     
