generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	0.01536     	1.226e-05   	1.391e-05   	9.265e-06   
10          	10          	0.06883     	1.112e-05   	1.61e-05    	9.035e-06   
15          	10          	0.08245     	2.378e-05   	5.031e-05   	2.467e-05   
20          	10          	0.1079      	2.591e-05   	7.67e-05    	2.94e-05    
25          	10          	0.08279     	4.717e-05   	0.0001138   	2.304e-05   
30          	10          	0.09193     	2.229e-05   	4.667e-05   	5.36e-05    
35          	10          	0.1275      	5.201e-05   	3.614e-05   	1.941e-05   
40          	10          	0.1772      	6.165e-05   	5.806e-05   	1.703e-05   
45          	10          	0.139       	1.152e-05   	4.266e-05   	4.513e-05   
50          	10          	0.1203      	2.13e-05    	9.875e-05   	2.76e-05    
55          	10          	0.1414      	3.588e-05   	3.833e-05   	4.214e-05   
60          	10          	0.0591      	3.556e-05   	4.207e-05   	6.293e-05   
65          	10          	0.1611      	6.554e-05   	8.184e-05   	2.506e-05   
70          	10          	0.104       	3.049e-05   	8.155e-05   	2.625e-05   
75          	10          	0.1508      	5.996e-05   	7.495e-05   	2.778e-05   
80          	10          	0.2223      	2.219e-05   	4.233e-05   	2.824e-05   
85          	10          	0.1654      	3.546e-05   	6.676e-05   	1.451e-05   
90          	10          	0.1805      	1.813e-05   	8.589e-05   	4.759e-05   
95          	10          	0.1542      	2.868e-05   	9.481e-05   	5.418e-05   
100         	10          	0.1425      	4.369e-05   	5.909e-05   	3.609e-05   
105         	10          	0.09768     	8.648e-05   	0.0001358   	4.187e-05   
110         	10          	0.1278      	6.128e-05   	4.479e-05   	2.293e-05   
115         	10          	0.1862      	7.945e-05   	6.407e-05   	6.78e-05    
120         	10          	0.1671      	1.901e-05   	6.102e-05   	3.709e-05   
125         	10          	0.09462     	2.556e-05   	5.905e-05   	2.259e-05   
130         	10          	0.1325      	4.236e-05   	0.0001004   	1.448e-05   
135         	10          	0.09958     	4.41e-05    	0.0003335   	7.714e-05   
140         	10          	0.1101      	2.081e-05   	0.0002749   	2.958e-05   
145         	10          	0.0864      	2.771e-05   	0.0001211   	3.712e-05   
150         	10          	0.1271      	0.0001226   	0.0001125   	0.0001033   
155         	10          	0.08251     	4.576e-05   	0.0001871   	8.526e-05   
160         	10          	0.04677     	4.603e-05   	0.0001346   	6.572e-05   
165         	10          	0.06367     	6.731e-05   	6.462e-05   	4.762e-05   
170         	10          	0.04979     	9.917e-05   	0.000174    	6.427e-05   
175         	10          	0.07257     	0.0001387   	0.0003008   	6.833e-05   
180         	10          	0.06967     	9.904e-05   	0.0001812   	5.957e-05   
185         	10          	0.06786     	4.056e-05   	2.632e-05   	1.863e-05   
190         	10          	0.04184     	2.976e-05   	2.624e-05   	1.636e-05   
195         	10          	0.04178     	5.667e-05   	8e-05       	2.851e-05   
200         	10          	0.03125     	7.615e-05   	0.0001153   	7.122e-05   
205         	10          	0.04229     	3.48e-05    	0.000157    	0.0001082   
210         	10          	0.05241     	4.57e-05    	0.000115    	1.261e-05   
215         	10          	0.07456     	2.761e-05   	8.353e-05   	2.513e-05   
220         	10          	0.07114     	3.624e-05   	0.0001473   	0.0001393   
225         	10          	0.08        	1.55e-05    	0.0002145   	2.242e-05   
230         	10          	0.06901     	0.0001169   	0.0001372   	3.553e-05   
235         	10          	0.07897     	9.535e-05   	0.0001697   	4.601e-05   
240         	10          	0.07907     	5.437e-05   	0.0001273   	0.000128    
245         	10          	0.0705      	3.977e-05   	0.0002306   	9.366e-05   
250         	10          	0.04991     	3.374e-05   	8.801e-05   	4.273e-05   
255         	10          	0.08736     	8.91e-05    	0.0001082   	4.135e-05   
260         	10          	0.04597     	3.527e-05   	0.0001629   	4.948e-05   
265         	10          	0.0715      	0.000145    	0.0003251   	6.251e-05   
270         	10          	0.06968     	3.462e-05   	3.16e-05    	3.281e-05   
275         	10          	0.04262     	3.489e-05   	6.464e-05   	8.604e-05   
280         	10          	0.04863     	2.259e-05   	8.771e-05   	4.28e-05    
285         	10          	0.0343      	0.0001764   	8.703e-05   	9.721e-05   
290         	10          	0.04672     	9.419e-05   	0.0002331   	0.0002162   
295         	10          	0.03658     	6.302e-05   	0.0001215   	7.174e-05   
300         	10          	0.03268     	6.343e-05   	9.897e-05   	1.83e-05    
305         	10          	0.05573     	4.196e-05   	0.0001728   	7.985e-05   
310         	10          	0.04157     	9.279e-05   	6.015e-05   	5.773e-05   
315         	10          	0.04502     	5.99e-05    	4.965e-05   	7.22e-05    
320         	10          	0.07814     	4.465e-05   	0.000104    	3.837e-05   
325         	10          	0.06377     	3.504e-05   	0.0001608   	0.0001196   
330         	10          	0.05384     	6.222e-05   	9.166e-05   	0.0001453   
