generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
4           	10          	18.42       	0.005562    	0.007274    	0.006013    
8           	10          	17.77       	0.01205     	0.0146      	0.01126     
12          	10          	16.94       	0.01724     	0.02244     	0.01666     
16          	10          	16.28       	0.02117     	0.0297      	0.02062     
20          	10          	15.73       	0.02279     	0.03476     	0.02352     
24          	10          	15.54       	0.02188     	0.03662     	0.0232      
28          	10          	15.18       	0.02423     	0.03895     	0.02475     
32          	10          	14.63       	0.02544     	0.04297     	0.02623     
36          	10          	14.34       	0.02491     	0.04606     	0.02957     
40          	10          	14.09       	0.02641     	0.046       	0.02619     
44          	10          	13.78       	0.02635     	0.04874     	0.02686     
48          	10          	13.49       	0.02738     	0.05032     	0.0266      
52          	10          	13.31       	0.02718     	0.049       	0.02464     
56          	10          	13.06       	0.029       	0.05243     	0.02955     
60          	10          	12.95       	0.02667     	0.05425     	0.02843     
64          	10          	12.59       	0.02902     	0.05787     	0.02997     
68          	10          	12.49       	0.02751     	0.05477     	0.02753     
72          	10          	12.17       	0.03061     	0.0542      	0.02918     
76          	10          	12.09       	0.02866     	0.05697     	0.0306      
80          	10          	11.88       	0.02818     	0.05756     	0.03001     
84          	10          	11.67       	0.02653     	0.05488     	0.02909     
88          	10          	11.45       	0.02725     	0.05995     	0.03029     
92          	10          	11.24       	0.02898     	0.05917     	0.03425     
96          	10          	11.15       	0.02944     	0.05874     	0.0274      
100         	10          	10.99       	0.02698     	0.05675     	0.02985     
104         	10          	10.83       	0.03117     	0.05447     	0.02821     
108         	10          	10.58       	0.03125     	0.05816     	0.02839     
112         	10          	10.45       	0.0302      	0.06104     	0.02833     
116         	10          	10.33       	0.03121     	0.06119     	0.02884     
120         	10          	10.24       	0.03031     	0.05778     	0.02821     
124         	10          	9.983       	0.03089     	0.05898     	0.03018     
128         	10          	9.817       	0.03271     	0.05952     	0.02712     
132         	10          	9.792       	0.03266     	0.05885     	0.03096     
136         	10          	9.645       	0.03189     	0.06377     	0.02995     
140         	10          	9.655       	0.03157     	0.05946     	0.02967     
144         	10          	9.475       	0.02915     	0.05965     	0.03193     
148         	10          	9.358       	0.02752     	0.05577     	0.02898     
152         	10          	9.185       	0.03233     	0.0608      	0.03219     
156         	10          	9.193       	0.02931     	0.05717     	0.02821     
160         	10          	9.12        	0.02866     	0.05442     	0.0283      
164         	10          	8.955       	0.02823     	0.05687     	0.03004     
168         	10          	8.855       	0.02842     	0.05383     	0.0266      
172         	10          	8.788       	0.03062     	0.05391     	0.0273      
176         	10          	8.705       	0.0247      	0.05303     	0.03018     
180         	10          	8.533       	0.02728     	0.05424     	0.02937     
184         	10          	8.435       	0.02826     	0.05721     	0.03104     
188         	10          	8.403       	0.02886     	0.06        	0.03244     
192         	10          	8.305       	0.02919     	0.06094     	0.03245     
196         	10          	8.215       	0.03318     	0.06294     	0.03029     
200         	10          	8.265       	0.0279      	0.06295     	0.03124     
204         	10          	8.093       	0.02736     	0.06136     	0.03052     
208         	10          	8.03        	0.0276      	0.0613      	0.0284      
212         	10          	8.105       	0.02604     	0.06292     	0.03174     
216         	10          	7.965       	0.03033     	0.06763     	0.0339      
220         	10          	7.912       	0.0305      	0.05918     	0.03017     
224         	10          	7.902       	0.02836     	0.05956     	0.03246     
228         	10          	7.84        	0.02798     	0.05279     	0.02976     
232         	10          	7.768       	0.02779     	0.05345     	0.02701     
236         	10          	7.705       	0.02812     	0.05664     	0.02761     
240         	10          	7.595       	0.03072     	0.05788     	0.02892     
244         	10          	7.57        	0.02815     	0.05396     	0.02925     
248         	10          	7.488       	0.02863     	0.05686     	0.02489     
252         	10          	7.452       	0.0285      	0.05542     	0.03016     
256         	10          	7.423       	0.02746     	0.05508     	0.02807     
260         	10          	7.472       	0.02601     	0.05557     	0.02546     
264         	10          	7.322       	0.02958     	0.05622     	0.02548     
268         	10          	7.245       	0.03542     	0.05952     	0.02697     
272         	10          	7.235       	0.02958     	0.0581      	0.03153     
276         	10          	7.215       	0.02961     	0.05363     	0.02711     
280         	10          	7.017       	0.02899     	0.05875     	0.02844     
284         	10          	7.097       	0.02128     	0.05117     	0.02393     
288         	10          	7.087       	0.02995     	0.05889     	0.02541     
292         	10          	7.07        	0.0235      	0.05321     	0.03035     
296         	10          	6.98        	0.02806     	0.05531     	0.02889     
300         	10          	6.987       	0.03033     	0.06025     	0.02926     
304         	10          	6.91        	0.02848     	0.05861     	0.02902     
308         	10          	6.84        	0.02724     	0.05674     	0.02933     
312         	10          	6.855       	0.02516     	0.05236     	0.0261      
316         	10          	6.817       	0.02909     	0.0564      	0.02871     
320         	10          	6.758       	0.02675     	0.05732     	0.02884     
324         	10          	6.77        	0.02711     	0.05823     	0.03223     
328         	10          	6.683       	0.02905     	0.06026     	0.03044     
332         	10          	6.692       	0.02513     	0.05996     	0.03204     
336         	10          	6.672       	0.02741     	0.05232     	0.03017     
340         	10          	6.615       	0.03114     	0.06007     	0.02736     
344         	10          	6.572       	0.02913     	0.05959     	0.03043     
348         	10          	6.507       	0.02965     	0.05534     	0.02534     
352         	10          	6.457       	0.03006     	0.05888     	0.02624     
356         	10          	6.415       	0.0315      	0.06067     	0.02981     
360         	10          	6.487       	0.02494     	0.05321     	0.02543     
364         	10          	6.34        	0.03038     	0.05323     	0.0249      
368         	10          	6.308       	0.02902     	0.06034     	0.02927     
372         	10          	6.263       	0.03025     	0.05725     	0.02672     
376         	10          	6.23        	0.03047     	0.06468     	0.03008     
380         	10          	6.218       	0.03118     	0.06144     	0.03125     
384         	10          	6.175       	0.02958     	0.06339     	0.02691     
388         	10          	6.14        	0.03        	0.05969     	0.03314     
392         	10          	6.097       	0.03211     	0.05994     	0.03248     
396         	10          	6.062       	0.03108     	0.06302     	0.0339      
400         	10          	5.998       	0.02902     	0.06236     	0.03239     
404         	10          	5.992       	0.03328     	0.06684     	0.03452     
408         	10          	5.972       	0.0285      	0.05841     	0.03053     
412         	10          	5.93        	0.0279      	0.06044     	0.03258     
416         	10          	5.998       	0.02523     	0.05574     	0.02521     
420         	10          	5.967       	0.03231     	0.06327     	0.03109     
424         	10          	5.963       	0.02617     	0.05718     	0.03024     
428         	10          	5.89        	0.03271     	0.05542     	0.02917     
432         	10          	5.885       	0.03234     	0.05881     	0.02792     
436         	10          	5.885       	0.0298      	0.05776     	0.02557     
440         	10          	5.793       	0.03093     	0.05963     	0.02931     
444         	10          	5.758       	0.03033     	0.05564     	0.0304      
448         	10          	5.812       	0.03236     	0.05867     	0.03016     
452         	10          	5.827       	0.02944     	0.05391     	0.032       
456         	10          	5.702       	0.03125     	0.05741     	0.02767     
460         	10          	5.705       	0.02729     	0.05901     	0.02913     
464         	10          	5.712       	0.02568     	0.05696     	0.02769     
468         	10          	5.66        	0.02673     	0.05249     	0.02707     
472         	10          	5.62        	0.02764     	0.0592      	0.02847     
476         	10          	5.673       	0.02753     	0.05718     	0.02748     
480         	10          	5.652       	0.03032     	0.05436     	0.02455     
484         	10          	5.612       	0.03105     	0.05844     	0.02908     
488         	10          	5.567       	0.02974     	0.05774     	0.02739     
492         	10          	5.542       	0.03379     	0.05791     	0.02766     
496         	10          	5.563       	0.02511     	0.05283     	0.02489     
500         	10          	5.462       	0.03101     	0.05737     	0.02796     
504         	10          	5.472       	0.02992     	0.05773     	0.03045     
508         	10          	5.465       	0.03254     	0.05743     	0.03236     
512         	10          	5.455       	0.03139     	0.05682     	0.03135     
