replicate   	generation  	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
1           	5           	18.12       	0.008259    	0.0106      	0.008659    
1           	10          	17.3        	0.01565     	0.01502     	0.0166      
1           	15          	16.82       	0.01169     	0.02141     	0.01662     
1           	20          	15.78       	0.02153     	0.03359     	0.02287     
1           	25          	15.43       	0.02191     	0.03359     	0.02075     
1           	30          	14.87       	0.02165     	0.04254     	0.02133     
1           	35          	14.17       	0.0354      	0.05379     	0.02928     
1           	40          	14.22       	0.02288     	0.04739     	0.026       
1           	45          	13.82       	0.02423     	0.03878     	0.02033     
1           	50          	13.48       	0.02327     	0.04593     	0.02913     
1           	55          	13.22       	0.03632     	0.04734     	0.02249     
1           	60          	13.18       	0.02144     	0.05186     	0.02085     
1           	65          	12.73       	0.03365     	0.04894     	0.02902     
1           	70          	12.47       	0.02993     	0.06803     	0.02717     
1           	75          	12          	0.02992     	0.04731     	0.02732     
1           	80          	11.83       	0.03601     	0.05519     	0.03049     
1           	85          	11.2        	0.03579     	0.05447     	0.02934     
1           	90          	11.05       	0.03317     	0.05468     	0.02421     
1           	95          	11.17       	0.02182     	0.0496      	0.0206      
1           	100         	10.73       	0.03086     	0.05573     	0.02783     
1           	105         	11.03       	0.02865     	0.06679     	0.03286     
1           	110         	10.47       	0.03319     	0.05998     	0.03631     
1           	115         	10.53       	0.03025     	0.06528     	0.02897     
1           	120         	10.15       	0.03959     	0.06153     	0.03951     
1           	125         	10.15       	0.03249     	0.06528     	0.02749     
1           	130         	10.18       	0.03068     	0.06119     	0.02883     
1           	135         	9.883       	0.0373      	0.05694     	0.0306      
1           	140         	9.617       	0.02815     	0.06398     	0.03145     
1           	145         	9.683       	0.01937     	0.05454     	0.01817     
1           	150         	9.267       	0.02869     	0.06562     	0.02652     
1           	155         	9.117       	0.03734     	0.07533     	0.0324      
1           	160         	9.167       	0.02793     	0.05192     	0.0274      
1           	165         	9.317       	0.01942     	0.05136     	0.03641     
1           	170         	8.883       	0.04577     	0.08332     	0.0345      
1           	175         	8.983       	0.04371     	0.09491     	0.02803     
1           	180         	8.717       	0.04251     	0.08494     	0.02896     
1           	185         	8.633       	0.04818     	0.0723      	0.01962     
1           	190         	8.483       	0.04688     	0.07893     	0.03145     
1           	195         	8.333       	0.04005     	0.07778     	0.03896     
1           	200         	8.417       	0.0283      	0.08174     	0.04095     
1           	205         	7.967       	0.03709     	0.09402     	0.05541     
1           	210         	8.05        	0.04504     	0.07362     	0.02387     
1           	215         	7.783       	0.01683     	0.04647     	0.02924     
1           	220         	7.567       	0.03702     	0.06564     	0.03117     
1           	225         	7.533       	0.01597     	0.0543      	0.03913     
1           	230         	7.85        	0.02121     	0.04266     	0.02794     
1           	235         	7.317       	0.03479     	0.05263     	0.04245     
1           	240         	7.4         	0.01841     	0.06055     	0.03067     
1           	245         	7.517       	0.02464     	0.06072     	0.02247     
1           	250         	7.417       	0.02571     	0.0552      	0.02514     
1           	255         	7.15        	0.02887     	0.05805     	0.03143     
1           	260         	7.133       	0.03077     	0.05688     	0.03171     
1           	265         	7.1         	0.02964     	0.04943     	0.04631     
1           	270         	7.267       	0.03147     	0.05955     	0.03463     
1           	275         	7.167       	0.02452     	0.05085     	0.02976     
1           	280         	7.017       	0.02428     	0.06049     	0.03044     
1           	285         	7.117       	0.02527     	0.06532     	0.04008     
1           	290         	6.9         	0.03015     	0.05363     	0.0307      
1           	295         	6.933       	0.02819     	0.04997     	0.02652     
1           	300         	6.867       	0.03136     	0.05526     	0.0203      
1           	305         	6.833       	0.03251     	0.06084     	0.03306     
1           	310         	6.9         	0.03881     	0.06198     	0.02537     
1           	315         	6.9         	0.0371      	0.06125     	0.01803     
1           	320         	6.8         	0.03741     	0.05473     	0.02437     
1           	325         	6.767       	0.02268     	0.04552     	0.01884     
1           	330         	6.5         	0.03029     	0.07148     	0.0423      
1           	335         	6.8         	0.02686     	0.06094     	0.02662     
1           	340         	6.45        	0.02127     	0.045       	0.02359     
1           	345         	6.367       	0.02227     	0.04615     	0.03539     
1           	350         	6.483       	0.04205     	0.06338     	0.04149     
