generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	0.009767    	4.877e-06   	2.718e-06   	3.625e-06   
10          	10          	0.01879     	2.717e-06   	6.749e-06   	4.802e-06   
15          	10          	0.0376      	2.251e-05   	1.925e-05   	1.165e-05   
20          	10          	0.05399     	1.397e-05   	1.719e-05   	2.271e-05   
25          	10          	0.03357     	1.634e-05   	6.986e-06   	1.051e-05   
30          	10          	0.02741     	3.565e-05   	3.941e-05   	1.495e-05   
35          	10          	0.05256     	3.621e-05   	3.383e-05   	2.404e-05   
40          	10          	0.0498      	1.484e-05   	2.517e-05   	2.553e-05   
45          	10          	0.03407     	1.209e-05   	2.409e-05   	8.767e-06   
50          	10          	0.04807     	3.785e-05   	2.983e-05   	1.376e-05   
55          	10          	0.04539     	3.047e-05   	3.917e-05   	2.183e-05   
60          	10          	0.09529     	3.079e-05   	1.448e-05   	2.483e-05   
65          	10          	0.1332      	1.596e-05   	2.144e-05   	1.126e-05   
70          	10          	0.09264     	1.415e-05   	3.748e-05   	2.186e-05   
75          	10          	0.1713      	2.197e-05   	2.606e-05   	3.174e-05   
80          	10          	0.09267     	5.909e-05   	7.821e-05   	5.19e-05    
85          	10          	0.104       	5.094e-05   	5.046e-05   	1.72e-05    
90          	10          	0.1279      	2.326e-05   	7.275e-05   	4.172e-05   
95          	10          	0.09762     	1.419e-05   	5.402e-05   	3.496e-05   
100         	10          	0.1051      	3.162e-05   	4.111e-05   	1.896e-05   
105         	10          	0.1673      	4.05e-05    	6.779e-05   	1.025e-05   
110         	10          	0.08906     	3.313e-05   	8.101e-05   	4.212e-05   
115         	10          	0.03758     	2.717e-05   	0.0001294   	3.759e-05   
120         	10          	0.1093      	5.318e-05   	4.479e-05   	5.572e-05   
125         	10          	0.1916      	2.473e-05   	7.124e-05   	4.328e-05   
130         	10          	0.1502      	5.219e-05   	8.282e-05   	5.829e-05   
135         	10          	0.1091      	3.84e-05    	0.0001086   	2.804e-05   
140         	10          	0.08339     	4.487e-05   	6.67e-05    	2.812e-05   
145         	10          	0.05528     	2.363e-05   	8.533e-05   	7.188e-05   
150         	10          	0.05851     	4.168e-05   	0.000133    	3.707e-05   
155         	10          	0.06588     	6.851e-05   	7.118e-05   	3.866e-05   
160         	10          	0.04984     	7.739e-05   	0.0001328   	5.18e-05    
165         	10          	0.05632     	5.226e-05   	7.743e-05   	3.327e-05   
170         	10          	0.0454      	6.678e-05   	0.0001134   	2.962e-05   
175         	10          	0.03489     	5.173e-05   	0.0001732   	5.324e-05   
180         	10          	0.02328     	5.855e-05   	0.0001292   	7.652e-05   
185         	10          	0.01744     	8.732e-05   	3.614e-05   	4.416e-05   
190         	10          	0.03146     	0.0001029   	9.662e-05   	1.257e-05   
195         	10          	0.04604     	4.303e-05   	0.0001558   	3.212e-05   
