generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	18.75       	0.003219    	0.003705    	0.002472    
10          	10          	18.57       	0.003558    	0.00616     	0.003321    
15          	10          	18.33       	0.003903    	0.006818    	0.0039      
20          	10          	18.07       	0.004411    	0.007612    	0.00441     
25          	10          	17.93       	0.004363    	0.009084    	0.004376    
30          	10          	17.8        	0.003357    	0.008377    	0.004411    
35          	10          	17.61       	0.003905    	0.009819    	0.003988    
40          	10          	17.52       	0.003567    	0.009371    	0.004448    
45          	10          	17.27       	0.005262    	0.009871    	0.004402    
50          	10          	17.15       	0.004035    	0.009938    	0.003547    
55          	10          	16.93       	0.003925    	0.0081      	0.004269    
60          	10          	16.7        	0.003097    	0.009523    	0.003746    
65          	10          	16.62       	0.00391     	0.008201    	0.002932    
70          	10          	16.49       	0.003436    	0.008347    	0.003595    
75          	10          	16.21       	0.004178    	0.008691    	0.004864    
80          	10          	16.11       	0.004179    	0.008919    	0.00447     
85          	10          	15.97       	0.003615    	0.00753     	0.004445    
90          	10          	15.86       	0.004551    	0.009007    	0.004426    
95          	10          	15.65       	0.004401    	0.009734    	0.004452    
100         	10          	15.55       	0.004561    	0.009845    	0.004034    
105         	10          	15.39       	0.00306     	0.008999    	0.004424    
110         	10          	15.25       	0.004656    	0.01031     	0.004398    
115         	10          	15.16       	0.004327    	0.009523    	0.003209    
120         	10          	15.06       	0.005011    	0.008531    	0.003362    
125         	10          	14.8        	0.003709    	0.009841    	0.003465    
130         	10          	14.76       	0.004858    	0.008934    	0.005063    
135         	10          	14.67       	0.005499    	0.009891    	0.004663    
140         	10          	14.62       	0.003282    	0.009125    	0.004077    
145         	10          	14.52       	0.004015    	0.008594    	0.003098    
150         	10          	14.33       	0.004009    	0.01024     	0.004314    
155         	10          	14.22       	0.005138    	0.009716    	0.004591    
160         	10          	14.12       	0.003997    	0.009569    	0.005253    
165         	10          	13.98       	0.004464    	0.009257    	0.004635    
170         	10          	13.79       	0.003752    	0.009208    	0.003875    
175         	10          	13.67       	0.005468    	0.01028     	0.00379     
180         	10          	13.66       	0.003795    	0.00811     	0.00414     
185         	10          	13.5        	0.004443    	0.01047     	0.004228    
190         	10          	13.45       	0.004092    	0.008882    	0.005859    
195         	10          	13.32       	0.004023    	0.009874    	0.005086    
200         	10          	13.18       	0.004699    	0.01037     	0.004252    
205         	10          	13.18       	0.00287     	0.009189    	0.004505    
210         	10          	13.15       	0.003606    	0.007874    	0.004909    
215         	10          	13          	0.003513    	0.009033    	0.004014    
220         	10          	12.83       	0.003941    	0.01051     	0.004497    
225         	10          	12.77       	0.004694    	0.009049    	0.004417    
230         	10          	12.65       	0.003945    	0.009068    	0.004818    
235         	10          	12.64       	0.003514    	0.008762    	0.004616    
240         	10          	12.5        	0.004144    	0.01026     	0.002846    
245         	10          	12.46       	0.004346    	0.009371    	0.004814    
250         	10          	12.37       	0.005772    	0.009171    	0.003857    
255         	10          	12.32       	0.003121    	0.01071     	0.004663    
260         	10          	12.22       	0.004322    	0.01027     	0.003733    
265         	10          	12.05       	0.003359    	0.009       	0.004612    
270         	10          	12.16       	0.00299     	0.008372    	0.004394    
275         	10          	12.02       	0.003134    	0.009082    	0.005297    
280         	10          	12.01       	0.004496    	0.008249    	0.003932    
285         	10          	11.94       	0.003474    	0.008904    	0.004605    
290         	10          	11.81       	0.004467    	0.01014     	0.004387    
295         	10          	11.73       	0.004203    	0.009306    	0.004078    
300         	10          	11.71       	0.003366    	0.008735    	0.004303    
305         	10          	11.58       	0.005236    	0.009286    	0.003022    
310         	10          	11.56       	0.00433     	0.007903    	0.004004    
315         	10          	11.45       	0.004072    	0.007992    	0.002958    
320         	10          	11.31       	0.002293    	0.008147    	0.004227    
325         	10          	11.24       	0.003617    	0.006711    	0.004201    
330         	10          	11.18       	0.004213    	0.01008     	0.004364    
335         	10          	11.07       	0.004485    	0.008553    	0.002461    
340         	10          	11.13       	0.004646    	0.008406    	0.003622    
345         	10          	10.96       	0.005595    	0.009816    	0.003916    
350         	10          	10.97       	0.00417     	0.01079     	0.005339    
355         	10          	10.92       	0.003841    	0.008821    	0.003665    
360         	10          	10.9        	0.003724    	0.00761     	0.002426    
365         	10          	10.82       	0.003608    	0.008615    	0.004405    
370         	10          	10.78       	0.005131    	0.009919    	0.00386     
375         	10          	10.74       	0.00484     	0.009671    	0.00412     
380         	10          	10.66       	0.004242    	0.009888    	0.003947    
385         	10          	10.51       	0.003509    	0.00866     	0.004452    
390         	10          	10.6        	0.004455    	0.008165    	0.004606    
395         	10          	10.57       	0.002776    	0.009034    	0.004386    
400         	10          	10.37       	0.005187    	0.008391    	0.00457     
405         	10          	10.34       	0.005356    	0.009454    	0.003185    
410         	10          	10.28       	0.004382    	0.009686    	0.00291     
415         	10          	10.32       	0.003552    	0.007859    	0.003294    
420         	10          	10.28       	0.003825    	0.008586    	0.005256    
425         	10          	10.2        	0.004461    	0.009812    	0.003915    
430         	10          	10.15       	0.004665    	0.009695    	0.003943    
435         	10          	10.11       	0.004716    	0.009237    	0.004731    
440         	10          	10.12       	0.005406    	0.01009     	0.004598    
445         	10          	10.08       	0.005494    	0.009728    	0.004399    
450         	10          	10.07       	0.0046      	0.009893    	0.004732    
455         	10          	9.985       	0.005512    	0.01074     	0.004773    
460         	10          	10.03       	0.005369    	0.009768    	0.004431    
465         	10          	9.927       	0.003717    	0.01055     	0.005448    
470         	10          	9.898       	0.003132    	0.007749    	0.004532    
475         	10          	9.867       	0.003612    	0.007981    	0.004299    
480         	10          	9.84        	0.003917    	0.009089    	0.003186    
485         	10          	9.753       	0.004546    	0.01109     	0.005679    
490         	10          	9.788       	0.002551    	0.005832    	0.002048    
495         	10          	9.657       	0.004341    	0.008437    	0.00462     
500         	10          	9.722       	0.004338    	0.009853    	0.004637    
505         	10          	9.695       	0.005581    	0.01001     	0.004405    
510         	10          	9.675       	0.005326    	0.008423    	0.005464    
515         	10          	9.587       	0.00324     	0.009607    	0.005173    
520         	10          	9.543       	0.004441    	0.007869    	0.004194    
525         	10          	9.49        	0.005443    	0.009599    	0.0037      
530         	10          	9.45        	0.005256    	0.01043     	0.005842    
535         	10          	9.522       	0.005       	0.009394    	0.004424    
540         	10          	9.412       	0.003354    	0.01035     	0.005116    
545         	10          	9.38        	0.002424    	0.00852     	0.005025    
550         	10          	9.418       	0.004696    	0.009236    	0.005812    
555         	10          	9.248       	0.005476    	0.01048     	0.003441    
560         	10          	9.265       	0.002301    	0.007203    	0.003106    
565         	10          	9.205       	0.004866    	0.009513    	0.0046      
570         	10          	9.15        	0.004206    	0.009498    	0.003683    
575         	10          	9.12        	0.004407    	0.009255    	0.004411    
580         	10          	9.052       	0.003446    	0.007592    	0.001714    
585         	10          	9.092       	0.004226    	0.01023     	0.003745    
590         	10          	9.01        	0.004033    	0.009981    	0.005313    
595         	10          	8.96        	0.004259    	0.009717    	0.005737    
600         	10          	9.015       	0.003055    	0.008011    	0.004262    
605         	10          	8.84        	0.004313    	0.0118      	0.00578     
610         	10          	8.833       	0.003416    	0.00867     	0.004121    
615         	10          	8.772       	0.0041      	0.009051    	0.003608    
620         	10          	8.8         	0.004494    	0.009931    	0.0054      
625         	10          	8.837       	0.004364    	0.01042     	0.002582    
630         	10          	8.787       	0.004806    	0.009535    	0.005634    
635         	10          	8.755       	0.004072    	0.01043     	0.004162    
640         	10          	8.773       	0.002839    	0.01045     	0.003087    
645         	10          	8.797       	0.004008    	0.009773    	0.004399    
650         	10          	8.623       	0.004744    	0.0106      	0.004146    
655         	10          	8.643       	0.004834    	0.0109      	0.002929    
660         	10          	8.61        	0.00314     	0.01055     	0.006056    
665         	10          	8.625       	0.005185    	0.01001     	0.004003    
670         	10          	8.615       	0.002983    	0.01028     	0.004086    
675         	10          	8.638       	0.00294     	0.009282    	0.004745    
680         	10          	8.572       	0.004541    	0.008115    	0.003516    
685         	10          	8.622       	0.003936    	0.008057    	0.002853    
690         	10          	8.613       	0.004821    	0.01018     	0.003977    
695         	10          	8.632       	0.002782    	0.00935     	0.00343     
700         	10          	8.508       	0.00426     	0.007937    	0.004721    
705         	10          	8.588       	0.004245    	0.009029    	0.003893    
710         	10          	8.588       	0.004198    	0.008498    	0.003703    
