replicate   	generation  	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
1           	4           	18.92       	0.001335    	0.002773    	0.001522    
1           	8           	18.55       	0.00159     	0.004077    	0.003833    
1           	12          	18.62       	0.004869    	0.005752    	0.003459    
1           	16          	18.48       	-0.0003273  	0.005499    	0.001573    
1           	20          	18.22       	0.00433     	0.00843     	0.003676    
1           	24          	18.08       	0.003003    	0.006585    	0.002155    
1           	28          	17.8        	0.00324     	0.01153     	0.003869    
1           	32          	17.45       	0.007847    	0.01199     	0.008619    
1           	36          	17.3        	0.00386     	0.007919    	0.007238    
1           	40          	17.3        	0.003613    	0.006492    	0.004376    
1           	44          	17.12       	0.005073    	0.007822    	0.003475    
1           	48          	17          	0.006242    	0.009276    	0.005987    
1           	52          	16.87       	0.008071    	0.01157     	0.003028    
1           	56          	16.92       	0.004323    	0.008146    	0.001522    
1           	60          	16.6        	0.005868    	0.007546    	0.001252    
1           	64          	16.43       	0.002695    	0.007887    	0.0009366   
1           	68          	16.37       	0.00194     	0.008193    	0.003249    
1           	72          	16.52       	0.003673    	0.008555    	0.004143    
1           	76          	16.17       	0.006702    	0.007871    	0.003267    
1           	80          	16.03       	0.007873    	0.01266     	0.009613    
1           	84          	15.82       	0.008386    	0.01211     	0.005298    
1           	88          	15.72       	0.0006035   	0.008192    	0.004343    
1           	92          	15.9        	0.00625     	0.007656    	0.007719    
1           	96          	16          	0.004097    	0.007205    	0.00358     
1           	100         	15.48       	0.002274    	0.009297    	0.005222    
1           	104         	15.07       	0.004114    	0.009413    	0.002208    
1           	108         	15.23       	0.003473    	0.007278    	0.003837    
1           	112         	15.23       	0.004234    	0.01056     	0.007727    
1           	116         	15.1        	0.005675    	0.007077    	0.002912    
1           	120         	14.72       	0.004285    	0.01059     	0.004375    
1           	124         	14.55       	0.007031    	0.01268     	0.003344    
1           	128         	14.87       	0.006644    	0.01055     	0.006103    
1           	132         	14.5        	0.002205    	0.0115      	0.004226    
1           	136         	14.35       	0.00446     	0.009685    	0.003277    
1           	140         	14.22       	0.005682    	0.008281    	0.00449     
1           	144         	14.12       	0.004761    	0.0109      	0.003644    
1           	148         	14.12       	0.001418    	0.008095    	0.002487    
1           	152         	14.33       	0.00699     	0.01024     	0.004539    
1           	156         	14.15       	0.005906    	0.01219     	0.002274    
1           	160         	14.38       	0.0034      	0.01107     	0.007194    
1           	164         	13.97       	0.0005334   	0.004507    	-0.0001399  
1           	168         	13.82       	0.01036     	0.01151     	0.006039    
1           	172         	13.7        	0.006155    	0.01159     	-9.628e-05  
1           	176         	13.77       	0.001683    	0.006978    	4.258e-06   
1           	180         	13.53       	0.004135    	0.01025     	0.005758    
1           	184         	13.72       	0.004202    	0.009938    	0.003302    
1           	188         	13.62       	0.003914    	0.006631    	0.005906    
1           	192         	13.22       	0.004308    	0.01246     	0.005425    
1           	196         	13.45       	0.01009     	0.01265     	0.006188    
1           	200         	13.05       	0.004908    	0.0116      	0.002578    
1           	204         	12.55       	0.00685     	0.01466     	0.00886     
1           	208         	13.05       	0.00624     	0.01074     	0.002993    
1           	212         	12.83       	0.006821    	0.01474     	0.003168    
1           	216         	12.98       	0.0005623   	0.008306    	0.003479    
1           	220         	12.57       	0.003125    	0.01009     	0.004805    
1           	224         	12.7        	0.001686    	0.003951    	0.001067    
1           	228         	12.45       	-0.0006091  	0.009013    	0.005029    
1           	232         	12.78       	0.001103    	0.005445    	0.003579    
1           	236         	12.23       	0.005814    	0.009671    	0.001339    
1           	240         	12.48       	0.003358    	0.01047     	0.002489    
1           	244         	12.27       	0.007589    	0.007252    	0.001747    
1           	248         	12.15       	0.004718    	0.006487    	0.003397    
1           	252         	11.97       	0.004665    	0.01212     	0.006585    
1           	256         	12          	0.004245    	0.004272    	0.00119     
1           	260         	11.75       	0.005796    	0.008036    	0.001351    
1           	264         	11.7        	0.0002852   	0.004224    	0.00146     
1           	268         	12.05       	0.0006175   	0.006438    	0.001027    
1           	272         	12.13       	0.002008    	0.004633    	0.0006376   
1           	276         	12.03       	0.003607    	0.00874     	0.003902    
1           	280         	11.53       	0.007341    	0.01572     	0.007916    
1           	284         	11.83       	0.004799    	0.005693    	0.002194    
1           	288         	11.7        	0.000385    	0.009949    	0.002985    
1           	292         	11.75       	0.0008795   	0.006136    	0.003476    
1           	296         	11.63       	0.006054    	0.00846     	0.006144    
1           	300         	11.47       	0.003449    	0.007804    	0.0001594   
1           	304         	11.37       	0.004566    	0.008781    	0.006485    
1           	308         	11.22       	0.00766     	0.01485     	0.008283    
1           	312         	11.17       	0.006876    	0.009236    	0.003005    
1           	316         	11.48       	0.003604    	0.0121      	0.01011     
1           	320         	11.13       	-0.0006485  	0.006022    	0.004768    
1           	324         	10.88       	0.003287    	0.01294     	0.009037    
1           	328         	11.03       	0.004893    	0.009373    	0.001252    
1           	332         	10.98       	0.006402    	0.01043     	0.004332    
1           	336         	10.73       	0.001323    	0.01529     	0.007939    
1           	340         	10.93       	0.00318     	0.009581    	0.005877    
1           	344         	10.48       	0.005478    	0.007378    	0.001105    
1           	348         	10.73       	0.006308    	0.008229    	0.002097    
1           	352         	10.57       	0.005628    	0.01117     	0.006345    
1           	356         	10.73       	0.006414    	0.01569     	0.009139    
1           	360         	10.73       	-0.001917   	0.01282     	0.003942    
1           	364         	10.6        	0.001732    	0.007396    	0.005512    
1           	368         	10.42       	0.002921    	0.007405    	0.008487    
1           	372         	10.5        	0.003537    	0.01089     	0.002244    
1           	376         	10.35       	0.003137    	0.01264     	0.003569    
1           	380         	10.43       	0.00307     	0.008508    	0.004056    
1           	384         	10.37       	0.002679    	0.007266    	0.005842    
1           	388         	10.55       	0.01041     	0.007532    	0.004707    
1           	392         	10.32       	0.005945    	0.008738    	0.004518    
1           	396         	10.38       	0.00407     	0.007974    	0.003144    
1           	400         	10.2        	0.008391    	0.01048     	0.007086    
1           	404         	9.983       	0.007394    	0.01892     	0.004218    
1           	408         	10.28       	0.002253    	0.01323     	0.004126    
1           	412         	10.25       	0.01235     	0.01513     	-0.0007468  
1           	416         	9.833       	0.003863    	0.007782    	0.00419     
1           	420         	10.12       	0.009819    	0.01201     	0.006843    
1           	424         	9.85        	0.004508    	0.009173    	0.001122    
1           	428         	9.95        	0.007736    	0.01349     	0.007901    
1           	432         	9.733       	0.001407    	0.01163     	0.004232    
1           	436         	9.7         	0.004678    	0.01426     	0.01301     
1           	440         	9.917       	0.001791    	0.0129      	0.00732     
1           	444         	9.783       	0.00142     	0.009721    	-0.0004013  
1           	448         	9.617       	0.006633    	0.01584     	0.004109    
1           	452         	9.633       	0.003553    	0.01457     	0.00368     
1           	456         	9.533       	0.00664     	0.01211     	0.003408    
1           	460         	9.567       	0.001737    	0.001992    	0.001903    
1           	464         	9.5         	0.004209    	0.002658    	0.0006019   
1           	468         	9.75        	0.009751    	0.009262    	0.00145     
1           	472         	9.4         	-0.0003503  	0.005396    	0.006323    
1           	476         	9.533       	0.00567     	0.0104      	0.008065    
1           	480         	9.183       	0.00544     	0.00702     	0.002608    
1           	484         	9.417       	0.009861    	0.003254    	0.001023    
1           	488         	9.35        	0.004051    	0.005484    	0.006802    
1           	492         	9.317       	0.002674    	0.01386     	0.000517    
1           	496         	9.1         	0.003053    	0.01188     	0.0128      
1           	500         	9.167       	0.00277     	0.007926    	0.0005617   
1           	504         	9.183       	0.00416     	0.009639    	0.003732    
1           	508         	9.267       	-0.001564   	0.004387    	0.001641    
1           	512         	9.383       	0.00314     	0.007417    	0.004153    
1           	516         	9.067       	0.004806    	0.009784    	0.004048    
1           	520         	9.55        	0.00953     	0.007745    	0.004923    
1           	524         	9.033       	0.003048    	0.004179    	0.003742    
1           	528         	9.167       	0.003932    	0.007237    	0.002894    
1           	532         	9.25        	0.001978    	0.004576    	0.005522    
1           	536         	8.883       	0.007376    	0.01432     	0.00418     
1           	540         	8.967       	0.003821    	0.007043    	0.003412    
1           	544         	8.867       	0.008103    	0.01077     	0.006751    
1           	548         	8.9         	0.0066      	0.01625     	0.00754     
1           	552         	8.933       	0.008118    	0.01901     	0.00249     
1           	556         	8.617       	0.007071    	0.01394     	0.002737    
1           	560         	8.883       	0.002503    	0.008904    	0.001982    
1           	564         	8.883       	0.005079    	0.009139    	-0.0003702  
1           	568         	8.9         	0.002649    	0.00281     	0.006521    
1           	572         	8.783       	0.006397    	0.002724    	0.004939    
1           	576         	8.767       	0.004029    	0.006979    	-6.724e-05  
1           	580         	8.983       	0.003354    	0.006789    	0.003594    
1           	584         	8.75        	0.006667    	0.01396     	0.009996    
1           	588         	8.883       	0.001285    	0.01148     	0.004128    
1           	592         	8.7         	0.005874    	0.007124    	0.008368    
1           	596         	8.767       	0.003793    	0.007217    	-0.0002342  
1           	600         	8.783       	-0.0001033  	0.007596    	0.004298    
1           	604         	8.833       	0.002677    	0.01249     	0.0001954   
1           	608         	8.617       	0.002769    	0.005201    	0.003395    
1           	612         	8.783       	-0.0002689  	0.01085     	0.005439    
1           	616         	8.917       	0.001581    	0.006746    	-0.001835   
1           	620         	8.667       	-0.002053   	0.007371    	0.008679    
1           	624         	8.85        	4.468e-05   	0.01133     	0.007719    
1           	628         	8.617       	0.000882    	0.00515     	0.006818    
1           	632         	8.883       	0.005496    	0.005991    	0.004351    
1           	636         	8.75        	0.0007249   	0.0009564   	-0.0005031  
1           	640         	8.55        	0.005867    	0.01173     	0.001622    
1           	644         	8.817       	0.003588    	0.009502    	0.008692    
1           	648         	8.767       	0.0107      	0.01545     	0.007634    
1           	652         	8.633       	0.005222    	0.01015     	0.00572     
1           	656         	9.017       	0.00236     	0.006786    	0.0004026   
1           	660         	8.783       	0.003732    	0.01104     	0.008353    
1           	664         	8.783       	0.008357    	0.01456     	0.01077     
1           	668         	8.783       	0.002517    	0.008565    	0.002029    
1           	672         	8.717       	0.003376    	0.006346    	0.003535    
1           	676         	8.85        	0.001863    	0.005437    	0.01089     
1           	680         	8.9         	0.001224    	0.008073    	0.004757    
1           	684         	8.867       	0.001905    	0.01057     	0.005024    
1           	688         	8.967       	0.005281    	0.008472    	0.004898    
1           	692         	8.883       	0.00781     	0.003108    	0.001832    
1           	696         	8.7         	0.001556    	0.01299     	0.00118     
1           	700         	8.633       	0.007485    	0.008389    	0.0058      
1           	704         	8.9         	0.003354    	0.00857     	-0.0008358  
1           	708         	8.683       	0.0003669   	0.01385     	0.002824    
1           	712         	8.7         	0.000993    	0.009281    	0.003547    
1           	716         	8.667       	0.007462    	0.006893    	0.008234    
1           	720         	8.867       	0.002641    	0.01005     	0.006029    
1           	724         	8.7         	0.007596    	0.01305     	0.003932    
1           	728         	8.8         	0.001465    	0.01109     	0.001628    
1           	732         	8.633       	0.003101    	0.007226    	0.002757    
1           	736         	8.383       	0.007933    	0.0158      	0.0007726   
1           	740         	8.617       	0.005988    	0.008331    	0.003714    
1           	744         	8.733       	-0.0002792  	0.0114      	0.002596    
1           	748         	8.383       	0.008468    	0.01903     	0.01501     
1           	752         	8.45        	0.001346    	0.01219     	0.004341    
1           	756         	8.283       	0.00731     	0.01837     	0.007549    
1           	760         	8.35        	0.007299    	0.009748    	0.004661    
1           	764         	8.267       	0.00536     	0.009148    	0.001746    
1           	768         	8.317       	0.005647    	0.01292     	0.004553    
1           	772         	8.517       	0.001586    	0.00834     	2.533e-05   
1           	776         	8.467       	0.01112     	0.01075     	0.005202    
1           	780         	8.267       	0.007896    	0.01216     	0.006033    
1           	784         	8.2         	0.007374    	0.008997    	0.0104      
1           	788         	8.267       	0.005191    	0.005035    	0.003131    
1           	792         	8.417       	0.006934    	0.01032     	-0.0005886  
1           	796         	8.533       	0.00501     	0.01064     	0.004653    
1           	800         	8.483       	0.01039     	0.01054     	0.003817    
1           	804         	8.417       	0.001165    	0.01009     	0.008431    
1           	808         	8.533       	0.00339     	0.008111    	0.003892    
1           	812         	8.283       	0.004055    	0.01048     	0.0004164   
1           	816         	8.533       	0.00624     	0.008979    	0.005935    
1           	820         	8.4         	0.002297    	0.007254    	0.006123    
1           	824         	8.65        	0.005913    	0.004645    	0.002752    
1           	828         	8.467       	0.008381    	0.005569    	0.004905    
1           	832         	8.533       	0.004822    	0.004686    	0.0003694   
1           	836         	8.533       	-0.001492   	0.005746    	0.002448    
1           	840         	8.333       	0.008882    	0.002287    	0.00255     
1           	844         	8.417       	0.006982    	0.01005     	0.007288    
1           	848         	8.35        	0.007977    	0.01277     	0.005974    
1           	852         	8.433       	0.001277    	0.003142    	-9.481e-05  
1           	856         	8.4         	0.01119     	0.01315     	0.003847    
1           	860         	8.133       	0.002896    	0.007294    	0.003348    
