generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	0.007678    	1.012e-06   	4.998e-06   	2.121e-06   
10          	10          	0.01284     	3.308e-06   	1.437e-06   	2.696e-06   
15          	10          	0.0534      	2.792e-06   	6.527e-06   	3.208e-06   
20          	10          	0.01866     	9.408e-07   	6.647e-06   	3.696e-06   
25          	10          	0.03302     	3.065e-06   	3.831e-06   	2.783e-06   
30          	10          	0.06401     	8.241e-07   	5.445e-06   	3.58e-06    
35          	10          	0.007058    	2.176e-06   	5.293e-06   	7.262e-06   
40          	10          	0.04329     	4.867e-06   	4.47e-06    	3.457e-06   
45          	10          	0.03057     	4.014e-06   	3.279e-06   	4.301e-06   
50          	10          	0.02971     	1.03e-06    	3.531e-06   	5.609e-06   
55          	10          	0.02703     	3.084e-06   	4.912e-06   	3.048e-06   
60          	10          	0.01825     	1.435e-06   	2.543e-06   	1.723e-06   
65          	10          	0.05934     	2.849e-06   	1.326e-05   	4.589e-06   
70          	10          	0.06        	3.225e-06   	8.742e-06   	4.15e-06    
75          	10          	0.06539     	4.021e-06   	3.617e-06   	5.093e-06   
80          	10          	0.04884     	2.073e-06   	5.352e-06   	2.334e-06   
85          	10          	0.05517     	2.937e-06   	4.191e-06   	3.179e-06   
90          	10          	0.04622     	5.597e-06   	7.599e-06   	1.958e-06   
95          	10          	0.04569     	2.712e-06   	2.74e-06    	3.507e-06   
100         	10          	0.07032     	2.649e-06   	1.224e-05   	4.529e-06   
105         	10          	0.09796     	7.503e-06   	7.301e-06   	3.423e-06   
110         	10          	0.09639     	1.494e-06   	1.448e-06   	2.206e-06   
115         	10          	0.1209      	4.566e-06   	6.172e-06   	3.944e-06   
120         	10          	0.08797     	3.039e-06   	6.959e-06   	3.736e-06   
125         	10          	0.06575     	2.837e-06   	7.604e-06   	6.618e-06   
130         	10          	0.09936     	5.346e-06   	8.673e-06   	5.722e-06   
135         	10          	0.1004      	8.066e-06   	1.295e-05   	2.474e-06   
140         	10          	0.1016      	4.9e-06     	5.434e-06   	3.959e-06   
145         	10          	0.06217     	3.536e-06   	5.96e-06    	3.215e-06   
150         	10          	0.1048      	3.419e-06   	8.815e-06   	4.156e-06   
155         	10          	0.1098      	9.493e-06   	7.948e-06   	2.59e-06    
160         	10          	0.03734     	4.661e-06   	1.405e-06   	2.594e-06   
165         	10          	0.07238     	3.706e-06   	8.342e-06   	6.195e-06   
170         	10          	0.0833      	2.047e-06   	5.001e-06   	3.841e-06   
175         	10          	0.06891     	4.102e-06   	1.303e-05   	2.603e-06   
180         	10          	0.1512      	6.613e-06   	4.76e-06    	3.178e-06   
185         	10          	0.05752     	3.378e-06   	5.988e-06   	6.759e-06   
190         	10          	0.05379     	6.501e-06   	9.023e-06   	3.76e-06    
195         	10          	0.0731      	6.361e-06   	1.324e-05   	2.928e-06   
200         	10          	0.05469     	6.403e-06   	9.782e-06   	4.573e-06   
205         	10          	0.08556     	5.707e-06   	1.93e-06    	5.452e-06   
210         	10          	0.04061     	7.59e-06    	7.747e-06   	2.958e-06   
215         	10          	0.05221     	2.527e-06   	1.116e-05   	5.716e-06   
220         	10          	0.05863     	3.33e-06    	4.84e-06    	4.652e-06   
225         	10          	0.05211     	6.109e-06   	4.409e-06   	5.137e-06   
230         	10          	0.04875     	8.298e-06   	9.419e-06   	5.155e-06   
235         	10          	0.07301     	3.232e-06   	6.092e-06   	5.595e-06   
240         	10          	0.06999     	3.251e-06   	9.397e-06   	4.028e-06   
245         	10          	0.05179     	2.194e-06   	9.564e-06   	4.61e-06    
250         	10          	0.04902     	2.748e-06   	4.873e-06   	4.769e-06   
255         	10          	0.04767     	1.013e-05   	5.457e-06   	6.272e-06   
260         	10          	0.06507     	4.347e-06   	1.323e-05   	6.319e-06   
265         	10          	0.1112      	9.522e-06   	2.344e-06   	5.953e-06   
270         	10          	0.07896     	3.536e-06   	1.142e-05   	4.364e-06   
275         	10          	0.06593     	1.205e-05   	1.563e-05   	9.107e-06   
280         	10          	0.09661     	5.729e-06   	7.064e-06   	5.854e-06   
285         	10          	0.07738     	5.294e-06   	1.484e-05   	2.081e-06   
290         	10          	0.08106     	2.487e-06   	2.567e-05   	3.755e-06   
295         	10          	0.06434     	2.776e-06   	1.759e-06   	4.653e-06   
300         	10          	0.05711     	3.445e-06   	7.448e-06   	6.777e-06   
305         	10          	0.05399     	6.006e-06   	6.512e-06   	1.934e-06   
310         	10          	0.04899     	6.451e-06   	1.434e-05   	1.058e-05   
315         	10          	0.07182     	2.613e-06   	4.679e-06   	8.466e-06   
320         	10          	0.03568     	6.587e-06   	4.42e-06    	5.823e-06   
325         	10          	0.07832     	3.232e-06   	1.18e-05    	1.502e-05   
330         	10          	0.05091     	1.236e-06   	1.008e-05   	6.7e-06     
335         	10          	0.05879     	2.176e-06   	5.493e-06   	3.739e-06   
340         	10          	0.07879     	7.836e-06   	1.08e-05    	4.964e-06   
345         	10          	0.06734     	6.151e-06   	8.908e-06   	7.695e-06   
350         	10          	0.08771     	1.096e-05   	1.211e-05   	8.851e-06   
355         	10          	0.07977     	4.03e-06    	7.178e-06   	6.107e-06   
360         	10          	0.04838     	3.236e-06   	7.529e-06   	6.053e-06   
365         	10          	0.05004     	3.435e-06   	6.95e-06    	1.369e-05   
370         	10          	0.05107     	2.291e-05   	9.081e-06   	2.562e-06   
375         	10          	0.08519     	6.053e-06   	1.994e-05   	6.119e-06   
380         	10          	0.05896     	8.362e-06   	1.251e-05   	5.277e-06   
385         	10          	0.09461     	4.979e-06   	7.114e-06   	1.184e-05   
390         	10          	0.05547     	5.17e-06    	8.028e-06   	7.861e-06   
395         	10          	0.03534     	7.003e-06   	5.048e-06   	5.358e-06   
400         	10          	0.04886     	6.035e-06   	9.87e-06    	8.856e-06   
405         	10          	0.1138      	3.035e-06   	6.494e-06   	4.674e-06   
410         	10          	0.06584     	1.263e-05   	6.38e-06    	9.186e-06   
415         	10          	0.06318     	5.902e-06   	2.299e-05   	2.736e-06   
420         	10          	0.05968     	1.218e-05   	9.53e-06    	8.225e-06   
425         	10          	0.06291     	6.216e-06   	1.624e-05   	3.911e-06   
430         	10          	0.08191     	5.852e-06   	1.146e-05   	7.934e-06   
435         	10          	0.08451     	1.665e-05   	4.156e-06   	3.918e-06   
440         	10          	0.04357     	6.204e-06   	1.44e-05    	2.355e-06   
445         	10          	0.08673     	3.941e-06   	1.325e-05   	4.882e-06   
450         	10          	0.05339     	3.025e-06   	2.535e-05   	3.492e-06   
455         	10          	0.07649     	9.487e-06   	9.612e-06   	6.047e-06   
460         	10          	0.08704     	7.233e-06   	1.582e-05   	1.09e-05    
465         	10          	0.06616     	4.321e-06   	8.898e-06   	1.269e-05   
470         	10          	0.0884      	3.91e-06    	8.972e-06   	3.396e-06   
475         	10          	0.07246     	8.74e-06    	4.44e-06    	1.011e-05   
480         	10          	0.06262     	9.412e-06   	6.852e-06   	7.251e-06   
485         	10          	0.09041     	8.914e-06   	5.488e-06   	6.896e-06   
490         	10          	0.0838      	4.608e-06   	1.046e-05   	4.298e-06   
495         	10          	0.05338     	2.345e-06   	6.726e-06   	6.121e-06   
500         	10          	0.04414     	5.016e-06   	1.125e-05   	4.125e-06   
505         	10          	0.073       	7.052e-06   	1.033e-05   	9.111e-06   
510         	10          	0.04934     	1.241e-05   	1.11e-05    	5.25e-06    
515         	10          	0.05933     	7.124e-06   	1.944e-05   	9.583e-06   
520         	10          	0.0458      	2.163e-06   	1.51e-05    	1.167e-05   
525         	10          	0.08062     	7.047e-06   	8.971e-06   	7.275e-06   
530         	10          	0.06793     	4.421e-06   	2.128e-05   	5.833e-06   
535         	10          	0.06718     	6.732e-06   	6.85e-06    	5.631e-06   
540         	10          	0.06045     	3.343e-06   	1.199e-05   	6.143e-06   
545         	10          	0.08223     	8.227e-06   	5.199e-06   	5.354e-06   
