generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
4           	10          	17.96       	0.009377    	0.01236     	0.009348    
8           	10          	16.7        	0.01564     	0.0225      	0.01478     
12          	10          	15.73       	0.01817     	0.03116     	0.01698     
16          	10          	14.95       	0.02066     	0.03784     	0.01791     
20          	10          	14.35       	0.02139     	0.04036     	0.01881     
24          	10          	13.8        	0.02092     	0.04089     	0.01709     
28          	10          	13.4        	0.01974     	0.04139     	0.01978     
32          	10          	12.7        	0.02252     	0.0419      	0.01888     
36          	10          	12.42       	0.02366     	0.04167     	0.01837     
40          	10          	11.89       	0.0245      	0.04699     	0.02113     
44          	10          	11.51       	0.0223      	0.04607     	0.02099     
48          	10          	11.12       	0.02458     	0.04789     	0.02027     
52          	10          	10.81       	0.02525     	0.04744     	0.01887     
56          	10          	10.43       	0.02216     	0.04683     	0.0261      
60          	10          	10.09       	0.0256      	0.04684     	0.02241     
64          	10          	9.74        	0.02642     	0.05001     	0.02418     
68          	10          	9.62        	0.02502     	0.0502      	0.01878     
72          	10          	9.35        	0.02323     	0.04773     	0.02081     
76          	10          	9.15        	0.02093     	0.04316     	0.02058     
80          	10          	8.857       	0.02136     	0.04402     	0.01938     
84          	10          	8.632       	0.02348     	0.04692     	0.02181     
88          	10          	8.41        	0.02599     	0.04764     	0.02193     
92          	10          	8.263       	0.02048     	0.04464     	0.02105     
96          	10          	8.075       	0.02044     	0.04563     	0.0212      
100         	10          	7.925       	0.0189      	0.04254     	0.0209      
104         	10          	7.853       	0.02015     	0.04123     	0.01904     
108         	10          	7.633       	0.0213      	0.04232     	0.01885     
112         	10          	7.49        	0.02327     	0.0429      	0.02044     
116         	10          	7.387       	0.02197     	0.0454      	0.02027     
120         	10          	7.218       	0.02394     	0.05057     	0.02756     
124         	10          	7.127       	0.02252     	0.04708     	0.02544     
128         	10          	6.992       	0.02116     	0.04946     	0.02561     
132         	10          	6.845       	0.0221      	0.05052     	0.02807     
136         	10          	6.872       	0.02173     	0.04565     	0.02308     
140         	10          	6.763       	0.01977     	0.04462     	0.02221     
144         	10          	6.68        	0.0203      	0.04172     	0.02101     
148         	10          	6.555       	0.01839     	0.04406     	0.02425     
152         	10          	6.435       	0.01772     	0.04504     	0.02383     
156         	10          	6.317       	0.01614     	0.04036     	0.0224      
160         	10          	6.19        	0.02187     	0.04842     	0.02496     
164         	10          	6.17        	0.0192      	0.04772     	0.02015     
168         	10          	6.153       	0.02138     	0.04277     	0.02054     
172         	10          	6.018       	0.02333     	0.04564     	0.02169     
176         	10          	5.958       	0.02499     	0.04826     	0.02026     
180         	10          	5.848       	0.02298     	0.04488     	0.01806     
184         	10          	5.78        	0.02276     	0.05036     	0.01819     
188         	10          	5.667       	0.02413     	0.04962     	0.01879     
192         	10          	5.572       	0.02226     	0.0523      	0.02431     
196         	10          	5.512       	0.0226      	0.0483      	0.02655     
200         	10          	5.463       	0.02535     	0.04807     	0.02246     
204         	10          	5.43        	0.02317     	0.04748     	0.02239     
208         	10          	5.445       	0.01967     	0.0461      	0.02172     
212         	10          	5.28        	0.02501     	0.04988     	0.02576     
216         	10          	5.24        	0.0177      	0.04141     	0.01999     
220         	10          	5.16        	0.02305     	0.04619     	0.02117     
224         	10          	5.11        	0.02209     	0.04278     	0.02231     
228         	10          	4.988       	0.02295     	0.04852     	0.0212      
232         	10          	5.012       	0.02131     	0.05102     	0.02044     
236         	10          	5.017       	0.0231      	0.04738     	0.02216     
240         	10          	4.89        	0.02315     	0.0461      	0.02215     
244         	10          	4.895       	0.016       	0.04415     	0.02726     
248         	10          	4.883       	0.01721     	0.0366      	0.01922     
252         	10          	4.805       	0.02023     	0.04566     	0.02243     
256         	10          	4.8         	0.02194     	0.04423     	0.01712     
260         	10          	4.732       	0.0196      	0.05004     	0.02375     
264         	10          	4.682       	0.0211      	0.04779     	0.02216     
268         	10          	4.618       	0.02212     	0.04261     	0.01709     
272         	10          	4.577       	0.02186     	0.04207     	0.02045     
276         	10          	4.635       	0.02283     	0.04522     	0.02054     
280         	10          	4.605       	0.0236      	0.04485     	0.02359     
284         	10          	4.558       	0.01879     	0.04179     	0.02139     
288         	10          	4.46        	0.02311     	0.04015     	0.01879     
292         	10          	4.467       	0.01889     	0.04012     	0.0166      
296         	10          	4.46        	0.01584     	0.04272     	0.01714     
300         	10          	4.44        	0.02317     	0.04326     	0.02228     
304         	10          	4.333       	0.02329     	0.05054     	0.02343     
308         	10          	4.337       	0.02057     	0.05517     	0.02978     
312         	10          	4.325       	0.02039     	0.04158     	0.02267     
316         	10          	4.258       	0.0221      	0.04306     	0.01827     
320         	10          	4.292       	0.02304     	0.03849     	0.01634     
324         	10          	4.335       	0.01868     	0.04136     	0.01806     
328         	10          	4.248       	0.023       	0.05349     	0.02361     
332         	10          	4.247       	0.02244     	0.05715     	0.02336     
336         	10          	4.215       	0.02643     	0.0479      	0.02691     
340         	10          	4.175       	0.02428     	0.05079     	0.02306     
344         	10          	4.17        	0.02475     	0.04933     	0.02628     
348         	10          	4.135       	0.02797     	0.04862     	0.02724     
352         	10          	4.128       	0.02218     	0.04427     	0.02248     
356         	10          	4.087       	0.02446     	0.0428      	0.01969     
360         	10          	4.063       	0.02544     	0.04425     	0.0215      
364         	10          	3.992       	0.02202     	0.04402     	0.02197     
368         	10          	3.94        	0.02238     	0.04386     	0.02486     
372         	10          	3.945       	0.02158     	0.04905     	0.02383     
376         	10          	3.94        	0.02522     	0.05247     	0.0244      
380         	10          	3.882       	0.02981     	0.05607     	0.02289     
384         	10          	3.895       	0.02448     	0.0486      	0.01926     
388         	10          	3.858       	0.0217      	0.05046     	0.02307     
392         	10          	3.828       	0.02105     	0.04823     	0.01892     
396         	10          	3.803       	0.02247     	0.04349     	0.02416     
400         	10          	3.758       	0.02329     	0.04753     	0.02406     
404         	10          	3.75        	0.02384     	0.04986     	0.01944     
408         	10          	3.727       	0.01757     	0.04666     	0.0259      
412         	10          	3.692       	0.01779     	0.04317     	0.02553     
416         	10          	3.683       	0.02345     	0.0495      	0.02468     
420         	10          	3.652       	0.02043     	0.04356     	0.022       
424         	10          	3.68        	0.02248     	0.04808     	0.0156      
428         	10          	3.702       	0.02177     	0.05544     	0.02154     
432         	10          	3.668       	0.02281     	0.04691     	0.02433     
436         	10          	3.64        	0.02283     	0.04305     	0.01899     
440         	10          	3.62        	0.0221      	0.04482     	0.02107     
444         	10          	3.592       	0.01927     	0.03956     	0.0216      
448         	10          	3.597       	0.01621     	0.04217     	0.02043     
452         	10          	3.605       	0.01896     	0.04262     	0.0218      
456         	10          	3.577       	0.02288     	0.04484     	0.02403     
460         	10          	3.567       	0.02287     	0.05237     	0.02141     
464         	10          	3.532       	0.02667     	0.04883     	0.02384     
468         	10          	3.513       	0.02381     	0.04766     	0.01577     
472         	10          	3.508       	0.02081     	0.04771     	0.02614     
476         	10          	3.517       	0.02264     	0.04304     	0.0216      
480         	10          	3.483       	0.02137     	0.04363     	0.0203      
484         	10          	3.5         	0.0168      	0.04459     	0.02622     
488         	10          	3.448       	0.01808     	0.04367     	0.02485     
492         	10          	3.438       	0.02022     	0.04111     	0.02129     
496         	10          	3.462       	0.02466     	0.04914     	0.02508     
500         	10          	3.455       	0.02743     	0.04822     	0.02233     
504         	10          	3.462       	0.02006     	0.04097     	0.02554     
508         	10          	3.397       	0.02408     	0.04256     	0.02937     
512         	10          	3.407       	0.02398     	0.0457      	0.0236      
516         	10          	3.375       	0.023       	0.04706     	0.02169     
520         	10          	3.357       	0.02356     	0.04435     	0.01785     
524         	10          	3.363       	0.0184      	0.04532     	0.02393     
528         	10          	3.337       	0.02369     	0.0464      	0.01956     
532         	10          	3.355       	0.019       	0.04196     	0.02426     
536         	10          	3.31        	0.02183     	0.05371     	0.02578     
540         	10          	3.313       	0.02478     	0.05267     	0.02318     
