replicate   	generation  	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
1           	4           	18.12       	0.01088     	0.01141     	0.005644    
1           	8           	16.78       	0.01736     	0.02395     	0.01213     
1           	12          	15.5        	0.0207      	0.03348     	0.01271     
1           	16          	14.77       	0.02137     	0.03668     	0.0163      
1           	20          	14.23       	0.02641     	0.04006     	0.01507     
1           	24          	13.72       	0.02521     	0.03826     	0.01546     
1           	28          	12.87       	0.01989     	0.05041     	0.029       
1           	32          	12.05       	0.02818     	0.05365     	0.02913     
1           	36          	11.52       	0.03409     	0.04348     	0.01554     
1           	40          	11.28       	0.03206     	0.0577      	0.02216     
1           	44          	10.55       	0.02713     	0.06069     	0.03604     
1           	48          	10.68       	0.02944     	0.05251     	0.01864     
1           	52          	9.967       	0.02767     	0.05652     	0.01785     
1           	56          	9.967       	0.02504     	0.0475      	0.01955     
1           	60          	9.467       	0.02182     	0.04558     	0.02103     
1           	64          	9.233       	0.02334     	0.0593      	0.02785     
1           	68          	8.7         	0.03427     	0.05513     	0.009635    
1           	72          	8.517       	0.02533     	0.05513     	0.02431     
1           	76          	8.267       	0.02051     	0.04715     	0.005954    
1           	80          	8.25        	0.02459     	0.04026     	0.01804     
1           	84          	7.967       	0.0213      	0.04159     	0.02138     
1           	88          	7.7         	0.02967     	0.05597     	0.0356      
1           	92          	7.717       	0.01856     	0.04378     	0.02481     
1           	96          	7.5         	0.01489     	0.04585     	0.02399     
1           	100         	7.517       	0.02759     	0.04791     	0.02963     
1           	104         	7.217       	0.03248     	0.04821     	0.02121     
1           	108         	7.133       	0.01427     	0.04934     	0.02627     
1           	112         	6.9         	0.02912     	0.05299     	0.03581     
1           	116         	7.017       	0.02489     	0.04561     	0.01959     
1           	120         	6.717       	0.02297     	0.07058     	0.03306     
1           	124         	6.55        	0.02149     	0.05089     	0.02035     
1           	128         	6.533       	0.02663     	0.06204     	0.02236     
1           	132         	6.217       	0.01458     	0.06394     	0.02875     
1           	136         	6.3         	0.01906     	0.04406     	0.02481     
1           	140         	6.183       	0.02143     	0.06205     	0.03393     
1           	144         	6.15        	0.03106     	0.04411     	0.01808     
1           	148         	6.217       	0.01243     	0.04237     	0.01564     
1           	152         	5.833       	0.02386     	0.04171     	0.02628     
1           	156         	5.767       	0.01859     	0.0473      	0.03393     
1           	160         	5.767       	0.03658     	0.05359     	0.04379     
1           	164         	5.7         	0.0298      	0.05423     	0.01839     
1           	168         	5.6         	0.0362      	0.06524     	0.02619     
1           	172         	5.617       	0.01499     	0.0372      	0.01221     
1           	176         	5.267       	0.0233      	0.04323     	0.02688     
1           	180         	5.367       	0.01973     	0.03536     	0.01616     
1           	184         	5.25        	0.03542     	0.07784     	0.01584     
1           	188         	5.167       	0.02463     	0.06567     	0.02124     
1           	192         	5.1         	0.01283     	0.04328     	0.02586     
1           	196         	4.967       	0.03078     	0.07416     	0.03098     
