generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	0.0208      	3.67e-06    	4.253e-06   	4.793e-06   
10          	10          	0.02478     	1.799e-05   	2.6e-05     	2.06e-05    
15          	10          	0.09414     	2.878e-05   	4.487e-05   	2.863e-05   
20          	10          	0.105       	1.074e-05   	2.363e-05   	4.395e-05   
25          	10          	0.11        	2.151e-05   	3.951e-05   	3.23e-05    
30          	10          	0.1131      	3.722e-05   	9.283e-05   	3.449e-05   
35          	10          	0.08474     	3.871e-05   	4.283e-05   	2.486e-05   
40          	10          	0.09099     	5.42e-05    	0.0001013   	2.339e-05   
45          	10          	0.113       	5.256e-05   	6.804e-05   	1.585e-05   
50          	10          	0.1387      	5.258e-05   	9.363e-05   	2.627e-05   
55          	10          	0.1254      	3.622e-05   	5.924e-05   	2.875e-05   
60          	10          	0.1116      	1.333e-05   	6.616e-05   	3.066e-05   
65          	10          	0.1489      	1.239e-05   	0.0001047   	3.478e-05   
70          	10          	0.2468      	4.804e-05   	8.644e-05   	2.907e-05   
75          	10          	0.1521      	2.865e-05   	0.0001684   	5.063e-05   
80          	10          	0.1456      	1.396e-05   	9.436e-05   	3.453e-05   
85          	10          	0.1388      	4.411e-05   	8.572e-05   	2.719e-05   
90          	10          	0.1381      	8.916e-05   	0.0001562   	5.866e-05   
95          	10          	0.1362      	9.232e-06   	6.841e-05   	3.399e-05   
100         	10          	0.2245      	4.3e-05     	5.987e-05   	1.843e-05   
105         	10          	0.1559      	2.007e-05   	3.8e-05     	4.649e-05   
110         	10          	0.1519      	4.528e-05   	7.918e-05   	3.62e-05    
115         	10          	0.1595      	5.363e-05   	4.964e-05   	0.0001076   
120         	10          	0.1587      	3.365e-05   	0.0001098   	3.978e-05   
125         	10          	0.1714      	3.834e-05   	7.161e-05   	4.055e-05   
130         	10          	0.1546      	6.875e-05   	5.691e-05   	9.71e-05    
135         	10          	0.1263      	3.914e-05   	9.1e-05     	6.467e-05   
140         	10          	0.07847     	5.003e-05   	7.716e-05   	3.152e-05   
145         	10          	0.09923     	5.356e-05   	4.244e-05   	4.776e-05   
150         	10          	0.09888     	2.892e-05   	4.916e-05   	5.728e-05   
155         	10          	0.07579     	5.265e-05   	0.0001277   	8.924e-05   
160         	10          	0.1159      	1.252e-05   	8.011e-05   	3.15e-05    
165         	10          	0.07424     	4.113e-05   	8.069e-05   	4.79e-05    
170         	10          	0.134       	3.557e-05   	5.233e-05   	3.848e-05   
175         	10          	0.1437      	6.491e-05   	0.0001396   	7.028e-05   
180         	10          	0.1137      	1.992e-05   	8.081e-05   	8.294e-05   
185         	10          	0.1089      	1.304e-05   	0.000209    	8.884e-05   
190         	10          	0.107       	2.808e-05   	0.0001578   	8.871e-05   
195         	10          	0.09244     	1.308e-05   	6.034e-05   	2.159e-05   
200         	10          	0.05561     	9.89e-05    	0.0001299   	7.163e-05   
205         	10          	0.05777     	5.881e-05   	0.0001837   	2.359e-05   
