generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
4           	10          	18.42       	0.007072    	0.007517    	0.005772    
8           	10          	17.62       	0.01243     	0.01601     	0.01216     
12          	10          	16.88       	0.01784     	0.0237      	0.01755     
16          	10          	16.44       	0.02078     	0.0279      	0.01972     
20          	10          	15.95       	0.02159     	0.03245     	0.02039     
24          	10          	15.55       	0.02043     	0.03604     	0.02262     
28          	10          	15.01       	0.02484     	0.04238     	0.02527     
32          	10          	14.65       	0.02692     	0.04503     	0.02533     
36          	10          	14.27       	0.02611     	0.04647     	0.02624     
40          	10          	14.2        	0.02531     	0.04757     	0.02652     
44          	10          	13.84       	0.02386     	0.04855     	0.02515     
48          	10          	13.64       	0.02463     	0.05096     	0.02912     
52          	10          	13.24       	0.02909     	0.05417     	0.02837     
56          	10          	13.04       	0.02784     	0.05366     	0.02799     
60          	10          	12.74       	0.02803     	0.05349     	0.02918     
64          	10          	12.57       	0.0269      	0.0538      	0.02996     
68          	10          	12.44       	0.02697     	0.05472     	0.02939     
72          	10          	12.23       	0.02695     	0.05349     	0.02927     
76          	10          	12.06       	0.02697     	0.05405     	0.02865     
80          	10          	11.81       	0.02962     	0.05473     	0.02832     
84          	10          	11.7        	0.02745     	0.0564      	0.02719     
88          	10          	11.47       	0.02795     	0.05547     	0.0298      
92          	10          	11.28       	0.03        	0.05642     	0.02785     
96          	10          	11.22       	0.02741     	0.05524     	0.02799     
100         	10          	11.09       	0.02871     	0.05454     	0.02936     
104         	10          	10.96       	0.02781     	0.05476     	0.02734     
108         	10          	10.83       	0.02653     	0.05332     	0.02743     
112         	10          	10.57       	0.02684     	0.05297     	0.0274      
116         	10          	10.4        	0.02926     	0.05544     	0.02794     
120         	10          	10.4        	0.02864     	0.05226     	0.02853     
124         	10          	10.18       	0.02894     	0.05313     	0.02514     
128         	10          	10.15       	0.02333     	0.05378     	0.02623     
132         	10          	9.935       	0.02967     	0.05652     	0.02507     
136         	10          	9.877       	0.03069     	0.05659     	0.02871     
140         	10          	9.805       	0.03014     	0.05769     	0.02914     
144         	10          	9.562       	0.02989     	0.0572      	0.02837     
148         	10          	9.497       	0.03021     	0.05536     	0.02745     
152         	10          	9.402       	0.02956     	0.05828     	0.03031     
156         	10          	9.345       	0.02714     	0.05516     	0.02734     
160         	10          	9.268       	0.03293     	0.05668     	0.02785     
164         	10          	9.147       	0.02875     	0.0584      	0.02849     
168         	10          	9.108       	0.03077     	0.06099     	0.02778     
172         	10          	9.032       	0.03085     	0.05994     	0.02865     
176         	10          	8.682       	0.02955     	0.0627      	0.03244     
180         	10          	8.745       	0.02866     	0.05827     	0.02833     
184         	10          	8.753       	0.02896     	0.0558      	0.02907     
188         	10          	8.588       	0.0298      	0.06066     	0.02758     
192         	10          	8.477       	0.03272     	0.06333     	0.02915     
196         	10          	8.348       	0.03092     	0.06444     	0.03252     
200         	10          	8.345       	0.03066     	0.0659      	0.03219     
204         	10          	8.242       	0.02678     	0.06849     	0.03529     
208         	10          	8.227       	0.03033     	0.06349     	0.03057     
212         	10          	8.162       	0.03195     	0.06469     	0.03191     
216         	10          	8.13        	0.03224     	0.0624      	0.02882     
220         	10          	8.032       	0.03313     	0.068       	0.03536     
224         	10          	8.02        	0.03026     	0.06333     	0.03155     
228         	10          	7.94        	0.02969     	0.0604      	0.03253     
232         	10          	7.845       	0.02928     	0.06655     	0.03618     
236         	10          	7.815       	0.03041     	0.06518     	0.03395     
