replicate   	generation  	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
1           	5           	18.22       	0.01139     	0.01172     	0.009192    
1           	10          	17.23       	0.009989    	0.02186     	0.01567     
1           	15          	16.5        	0.01565     	0.03025     	0.01892     
1           	20          	15.45       	0.02181     	0.03686     	0.02236     
1           	25          	15          	0.02621     	0.04175     	0.02513     
1           	30          	14.32       	0.02663     	0.04172     	0.01928     
1           	35          	13.92       	0.02622     	0.0593      	0.0368      
1           	40          	13.48       	0.03144     	0.06183     	0.03574     
1           	45          	13.58       	0.02149     	0.05326     	0.02782     
1           	50          	12.93       	0.03274     	0.06579     	0.02821     
1           	55          	13.13       	0.0291      	0.05183     	0.02025     
1           	60          	12.58       	0.02794     	0.05268     	0.03018     
1           	65          	12.4        	0.02735     	0.05784     	0.03623     
1           	70          	12.15       	0.02204     	0.04817     	0.02432     
1           	75          	11.75       	0.02327     	0.05436     	0.01991     
1           	80          	11.58       	0.0238      	0.05062     	0.02088     
1           	85          	10.87       	0.03759     	0.05866     	0.02456     
1           	90          	11.05       	0.03304     	0.04423     	0.03039     
1           	95          	10.57       	0.0305      	0.05062     	0.03853     
1           	100         	10.52       	0.03346     	0.05222     	0.02775     
1           	105         	10.52       	0.03569     	0.05278     	0.02211     
1           	110         	10.48       	0.03056     	0.04562     	0.01843     
1           	115         	10.3        	0.03883     	0.05221     	0.01871     
1           	120         	10.17       	0.03197     	0.05811     	0.02142     
1           	125         	9.933       	0.03147     	0.05625     	0.02777     
1           	130         	9.833       	0.03197     	0.06247     	0.02822     
1           	135         	9.983       	0.03728     	0.06589     	0.03292     
1           	140         	9.7         	0.02963     	0.06107     	0.02932     
1           	145         	9.45        	0.03038     	0.0644      	0.02939     
1           	150         	9.183       	0.02698     	0.06524     	0.02986     
1           	155         	9.133       	0.0237      	0.06398     	0.03814     
1           	160         	8.65        	0.03352     	0.06624     	0.04309     
1           	165         	8.8         	0.02693     	0.05197     	0.03803     
1           	170         	8.683       	0.0271      	0.05342     	0.0356      
1           	175         	8.483       	0.03493     	0.07404     	0.04488     
1           	180         	8.7         	0.01402     	0.0557      	0.03797     
1           	185         	8.333       	0.02879     	0.05545     	0.03672     
1           	190         	8.2         	0.01554     	0.04336     	0.02842     
1           	195         	8.033       	0.02277     	0.04284     	0.02349     
1           	200         	8.1         	0.02903     	0.03891     	0.01588     
1           	205         	7.717       	0.02306     	0.05309     	0.0298      
1           	210         	7.9         	0.01929     	0.03762     	0.01735     
1           	215         	7.417       	0.03289     	0.04737     	0.02393     
1           	220         	7.55        	0.02609     	0.04445     	0.01787     
1           	225         	7.733       	0.02404     	0.03082     	0.01759     
1           	230         	7.533       	0.02756     	0.05248     	0.04394     
1           	235         	7.3         	0.03054     	0.06007     	0.03408     
1           	240         	7.117       	0.03215     	0.04824     	0.02392     
1           	245         	7.35        	0.03629     	0.05617     	0.01575     
1           	250         	7.083       	0.02849     	0.06012     	0.02782     
1           	255         	6.767       	0.02341     	0.05391     	0.01907     
1           	260         	7.083       	0.04051     	0.05383     	0.0171      
1           	265         	7.1         	0.03852     	0.05971     	0.02644     
1           	270         	7           	0.01689     	0.04712     	0.01821     
1           	275         	7.083       	0.02269     	0.04527     	0.01486     
1           	280         	7.017       	0.0329      	0.03788     	0.02005     
1           	285         	6.95        	0.04037     	0.03917     	0.02721     
1           	290         	6.733       	0.02126     	0.04388     	0.01449     
1           	295         	6.55        	0.0335      	0.04987     	0.01096     
1           	300         	6.617       	0.02086     	0.0495      	0.02029     
1           	305         	6.55        	0.01875     	0.04467     	0.02329     
1           	310         	6.4         	0.02602     	0.0538      	0.02697     
1           	315         	6.45        	0.01583     	0.04717     	0.02179     
1           	320         	6.25        	0.01391     	0.04355     	0.021       
1           	325         	6.35        	0.01417     	0.04141     	0.03646     
1           	330         	6.083       	0.03046     	0.04508     	0.02194     
1           	335         	6.133       	0.02282     	0.03488     	0.02495     
1           	340         	6.117       	0.03336     	0.0531      	0.0384      
1           	345         	5.983       	0.03687     	0.05472     	0.03204     
1           	350         	6           	0.02667     	0.04174     	0.03099     
1           	355         	5.95        	0.03072     	0.03917     	0.03894     
1           	360         	6           	0.02645     	0.05815     	0.02738     
1           	365         	5.8         	0.03158     	0.03383     	0.02509     
1           	370         	5.733       	0.03505     	0.06523     	0.03515     
1           	375         	5.783       	0.02977     	0.06155     	0.03384     
1           	380         	5.8         	0.0302      	0.05191     	0.03069     
1           	385         	5.467       	0.0315      	0.05594     	0.03974     
1           	390         	5.65        	0.02046     	0.04184     	0.02106     
1           	395         	5.517       	0.0309      	0.05956     	0.02617     
1           	400         	5.5         	0.0229      	0.0369      	0.01566     
1           	405         	5.367       	0.0297      	0.06132     	0.03631     
1           	410         	5.433       	0.0356      	0.0597      	0.03566     
1           	415         	5.3         	0.036       	0.05305     	0.03075     
1           	420         	5.35        	0.02225     	0.05054     	0.02574     
1           	425         	5.25        	0.03833     	0.06634     	0.02774     
1           	430         	5.367       	0.04057     	0.06898     	0.02201     
1           	435         	5.333       	0.04765     	0.0727      	0.02309     
1           	440         	5.083       	0.04869     	0.05891     	0.01666     
1           	445         	4.967       	0.04795     	0.08054     	0.02129     
1           	450         	5.2         	0.04305     	0.06666     	0.0206      
1           	455         	5.3         	0.02071     	0.06643     	0.03679     
1           	460         	5.183       	0.03393     	0.07078     	0.02934     
1           	465         	5.217       	0.01994     	0.05691     	0.03635     
1           	470         	5.367       	0.03251     	0.04794     	0.01574     
1           	475         	5.267       	0.01923     	0.04682     	0.0231      
1           	480         	5.25        	0.0157      	0.05176     	0.03055     
1           	485         	5.133       	0.01969     	0.04954     	0.03926     
1           	490         	5.317       	0.02055     	0.05892     	0.03097     
1           	495         	5.45        	0.0229      	0.05835     	0.02551     
1           	500         	5.35        	0.01285     	0.06482     	0.0365      
1           	505         	5.333       	0.03092     	0.05872     	0.03142     
1           	510         	5.183       	0.02386     	0.07059     	0.0455      
1           	515         	5.25        	0.01998     	0.05548     	0.03394     
1           	520         	5.333       	0.0223      	0.06305     	0.03312     
1           	525         	5.35        	0.02337     	0.06168     	0.02423     
1           	530         	5.133       	0.02355     	0.06304     	0.0237      
1           	535         	5.2         	0.01497     	0.05446     	0.03338     
1           	540         	5.25        	0.0231      	0.05527     	0.03718     
1           	545         	5.083       	0.02859     	0.06492     	0.03058     
1           	550         	5.183       	0.01698     	0.0776      	0.05196     
1           	555         	5.317       	0.02484     	0.05954     	0.02411     
1           	560         	5.25        	0.01807     	0.04148     	0.02128     
1           	565         	5.3         	0.02174     	0.05621     	0.02522     
1           	570         	5.217       	0.01482     	0.04837     	0.0374      
