generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
4           	10          	0.03134     	9.715e-07   	3.918e-06   	3.521e-06   
8           	10          	0.04841     	7.338e-06   	7.634e-06   	7.96e-06    
12          	10          	0.04418     	1.202e-05   	2.452e-06   	8.003e-06   
16          	10          	0.06019     	2.021e-05   	1.107e-05   	2.858e-06   
20          	10          	0.05488     	2.439e-05   	1.481e-05   	1.343e-05   
24          	10          	0.03533     	1.648e-05   	1.955e-05   	2.783e-05   
28          	10          	0.03512     	1.348e-05   	5.44e-05    	1.452e-05   
32          	10          	0.02445     	3.229e-05   	2.279e-05   	2.136e-05   
36          	10          	0.08277     	4.459e-05   	6.067e-05   	8.706e-06   
40          	10          	0.04132     	2.062e-05   	4.372e-05   	3.099e-05   
44          	10          	0.0514      	1.395e-05   	3.524e-05   	3.037e-05   
48          	10          	0.0604      	3.014e-05   	2.491e-05   	2.409e-05   
52          	10          	0.06556     	3.04e-05    	5.036e-05   	2.871e-05   
56          	10          	0.03311     	1.605e-05   	6.181e-05   	2.395e-05   
60          	10          	0.05684     	1.82e-05    	8.887e-05   	2.676e-05   
64          	10          	0.07596     	2.868e-05   	7.697e-05   	2.18e-05    
68          	10          	0.04368     	3.146e-05   	0.0001383   	5.633e-05   
72          	10          	0.0488      	2.981e-05   	8.861e-05   	4.38e-05    
76          	10          	0.02206     	1.995e-05   	9.093e-05   	2.587e-05   
80          	10          	0.02712     	4.791e-05   	0.0001107   	4.371e-05   
84          	10          	0.07067     	3.69e-05    	0.0001056   	2.107e-05   
88          	10          	0.05651     	6.52e-05    	6.367e-05   	3.348e-05   
92          	10          	0.05979     	3.358e-05   	5.837e-05   	4.776e-05   
96          	10          	0.04399     	1.595e-05   	4.177e-05   	3.938e-05   
100         	10          	0.05756     	3.229e-05   	5.007e-05   	4.721e-05   
104         	10          	0.05534     	5.237e-05   	0.000141    	2.645e-05   
108         	10          	0.01978     	3.48e-05    	6.131e-05   	3.657e-05   
112         	10          	0.07207     	3.276e-05   	0.0001001   	2.358e-05   
116         	10          	0.04188     	3.481e-05   	5.924e-05   	2.426e-05   
120         	10          	0.04039     	3.875e-05   	4.215e-05   	5.279e-05   
124         	10          	0.07517     	1.401e-05   	3.411e-05   	5.283e-05   
128         	10          	0.084       	2.46e-05    	5.184e-05   	8.614e-06   
132         	10          	0.05958     	3.204e-05   	9.675e-05   	4.403e-05   
136         	10          	0.06823     	2.286e-05   	0.0001152   	5.39e-05    
140         	10          	0.07839     	7.33e-05    	7.096e-05   	5.455e-05   
144         	10          	0.04545     	2.596e-05   	0.0001209   	3.784e-05   
148         	10          	0.0376      	5.824e-05   	0.000132    	9.609e-05   
152         	10          	0.1026      	5.597e-05   	0.000123    	7.782e-05   
156         	10          	0.09267     	1.772e-05   	0.0001269   	4.254e-05   
