generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	18.69       	0.002474    	0.003413    	0.001832    
10          	10          	18.59       	0.002454    	0.005388    	0.003727    
15          	10          	18.45       	0.003424    	0.006376    	0.003348    
20          	10          	18.11       	0.004185    	0.007177    	0.002806    
25          	10          	17.98       	0.004603    	0.007574    	0.004273    
30          	10          	17.73       	0.004251    	0.008553    	0.003424    
35          	10          	17.57       	0.005574    	0.009527    	0.003046    
40          	10          	17.29       	0.005391    	0.009091    	0.004358    
45          	10          	17.27       	0.004215    	0.008238    	0.005247    
50          	10          	17.15       	0.00336     	0.009935    	0.00498     
55          	10          	16.94       	0.003633    	0.008971    	0.004657    
60          	10          	16.79       	0.00413     	0.009311    	0.004456    
65          	10          	16.64       	0.004221    	0.01051     	0.004533    
70          	10          	16.45       	0.003555    	0.009335    	0.003488    
75          	10          	16.31       	0.004668    	0.009512    	0.004453    
80          	10          	16.18       	0.004182    	0.009318    	0.005421    
85          	10          	15.9        	0.005248    	0.009584    	0.005628    
90          	10          	15.83       	0.005167    	0.009032    	0.003685    
95          	10          	15.63       	0.004467    	0.01132     	0.005546    
100         	10          	15.54       	0.004853    	0.009253    	0.005429    
105         	10          	15.33       	0.004065    	0.009265    	0.003849    
110         	10          	15.2        	0.004947    	0.009667    	0.003652    
115         	10          	15.08       	0.005522    	0.01012     	0.003743    
120         	10          	14.91       	0.005189    	0.009092    	0.004724    
125         	10          	14.91       	0.003814    	0.008057    	0.003689    
130         	10          	14.7        	0.001984    	0.008053    	0.004       
135         	10          	14.53       	0.003422    	0.007768    	0.004134    
140         	10          	14.51       	0.003111    	0.007909    	0.003102    
145         	10          	14.41       	0.002814    	0.007228    	0.003808    
150         	10          	14.14       	0.003369    	0.009479    	0.003918    
155         	10          	14.18       	0.003694    	0.008837    	0.00382     
160         	10          	13.99       	0.004298    	0.009484    	0.004201    
165         	10          	13.88       	0.004904    	0.008859    	0.004915    
170         	10          	13.76       	0.003902    	0.008578    	0.003812    
175         	10          	13.56       	0.004045    	0.009302    	0.003327    
180         	10          	13.55       	0.003635    	0.009878    	0.00554     
185         	10          	13.41       	0.004546    	0.00829     	0.003506    
190         	10          	13.28       	0.003418    	0.009869    	0.005284    
195         	10          	13.19       	0.004155    	0.009512    	0.004584    
200         	10          	13.05       	0.004144    	0.008534    	0.003416    
