replicate   	generation  	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
1           	5           	18.73       	0.001204    	0.002061    	0.0009858   
1           	10          	18.53       	0.00284     	0.001781    	0.005675    
1           	15          	18.68       	0.003478    	0.003926    	0.001565    
1           	20          	18.38       	0.003153    	0.003781    	0.0002673   
1           	25          	17.95       	0.006796    	0.008726    	0.002229    
1           	30          	17.65       	0.004618    	0.007107    	0.005518    
1           	35          	17.75       	0.005067    	0.008422    	0.003496    
1           	40          	17.12       	0.007313    	0.006174    	0.007226    
1           	45          	17.27       	0.007462    	0.008752    	0.005839    
1           	50          	17.05       	0.004096    	0.01232     	0.007574    
1           	55          	17.05       	0.004117    	0.01076     	0.006068    
1           	60          	16.75       	0.004639    	0.005912    	0.00198     
1           	65          	16.67       	0.00594     	0.01001     	0.006578    
1           	70          	16.55       	0.002704    	0.01038     	0.003542    
1           	75          	16.62       	0.003272    	0.008225    	0.006592    
1           	80          	16.42       	0.003981    	0.003117    	0.003994    
1           	85          	16.03       	0.005944    	0.00693     	0.00227     
1           	90          	15.87       	0.004554    	0.006741    	0.002677    
1           	95          	15.43       	0.01074     	0.01205     	0.00826     
1           	100         	15.33       	0.01004     	0.008076    	0.0002882   
1           	105         	15.47       	-0.0007496  	0.009265    	0.00703     
1           	110         	15          	0.007302    	0.01284     	0.005936    
1           	115         	14.8        	0.006663    	0.01223     	0.00451     
1           	120         	14.92       	0.004249    	0.01065     	-0.00021    
1           	125         	14.88       	0.002946    	0.008011    	-0.0001513  
1           	130         	14.65       	0.0005885   	0.01028     	0.001076    
1           	135         	14.42       	0.002295    	0.005854    	0.004583    
1           	140         	14.2        	0.004093    	0.008619    	0.003749    
1           	145         	14.43       	0.003735    	0.003947    	0.004011    
1           	150         	13.7        	0.001785    	0.01015     	0.003776    
1           	155         	13.95       	0.004786    	0.01156     	0.00145     
1           	160         	13.8        	0.004053    	0.006522    	0.004217    
1           	165         	13.6        	0.004041    	0.01166     	0.0101      
1           	170         	13.5        	0.000568    	0.005798    	0.001905    
1           	175         	13.6        	0.007121    	0.009549    	0.003497    
1           	180         	13.4        	0.0008399   	0.008005    	0.001695    
1           	185         	13.68       	0.003163    	0.01057     	0.004846    
1           	190         	13.18       	0.004538    	0.006575    	0.004957    
1           	195         	13.07       	0.004435    	0.005398    	0.001355    
1           	200         	12.87       	0.005146    	0.006155    	-0.0005764  
1           	205         	12.75       	9.506e-05   	0.007514    	0.002449    
1           	210         	13.05       	0.002653    	0.0116      	0.006696    
1           	215         	12.73       	0.007545    	0.01421     	0.01218     
1           	220         	12.72       	0.004538    	0.009449    	0.006261    
1           	225         	12.57       	0.006314    	0.008169    	0.006548    
1           	230         	12.52       	0.002484    	0.01122     	0.003148    
1           	235         	12.37       	0.009961    	0.009571    	0.006376    
1           	240         	12.52       	0.003641    	0.009519    	0.006352    
1           	245         	12.05       	0.002127    	0.009866    	0.004899    
1           	250         	12.08       	0.005961    	0.007413    	0.001274    
1           	255         	12.13       	0.0013      	0.007402    	0.002254    
1           	260         	12.37       	0.0002725   	0.004399    	0.001601    
1           	265         	12.12       	0.004465    	0.008216    	0.00149     
1           	270         	11.83       	0.00269     	0.008673    	0.004764    
1           	275         	12.03       	0.005023    	0.008498    	0.005142    
1           	280         	12.05       	0.001943    	0.007872    	0.006542    
1           	285         	11.85       	0.004366    	0.008392    	0.005575    
1           	290         	11.8        	0.005365    	0.005946    	0.003988    
1           	295         	11.85       	0.002335    	0.01273     	0.009004    
1           	300         	11.63       	0.004656    	0.006432    	0.0002909   
1           	305         	11.32       	0.007511    	0.01096     	0.005856    
1           	310         	11.48       	0.003502    	0.01059     	-0.0009893  
1           	315         	11.57       	0.004662    	0.007818    	0.0007999   
1           	320         	11.53       	0.009641    	0.006115    	0.001318    
1           	325         	11.43       	0.001745    	0.009713    	0.005013    
1           	330         	11.37       	0.003641    	0.004627    	0.004856    
