generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
4           	10          	0.008656    	2.925e-06   	3.414e-06   	7.086e-07   
8           	10          	0.005358    	1.716e-06   	1.487e-06   	1.635e-06   
12          	10          	0.02228     	2.582e-06   	1.855e-06   	1.285e-06   
16          	10          	0.007847    	2.144e-06   	2.259e-06   	2.169e-06   
20          	10          	0.01285     	5.187e-06   	1.873e-06   	2.318e-06   
24          	10          	0.008225    	2.709e-06   	1.617e-06   	4.285e-06   
28          	10          	0.03158     	4.175e-06   	3.202e-06   	1.876e-06   
32          	10          	0.04284     	2.497e-06   	3.181e-06   	5.393e-06   
36          	10          	0.03896     	9.737e-07   	6.316e-06   	1.222e-06   
40          	10          	0.02069     	2.05e-06    	1.253e-06   	1.676e-06   
44          	10          	0.02573     	2.231e-06   	5.427e-06   	1.472e-06   
48          	10          	0.02067     	3.437e-06   	2.26e-06    	4.583e-06   
52          	10          	0.09795     	3.287e-06   	1.983e-06   	4.68e-06    
56          	10          	0.09471     	3.946e-06   	3.382e-06   	1.594e-06   
60          	10          	0.0491      	5.025e-06   	7.758e-06   	3.526e-06   
64          	10          	0.06657     	2.209e-06   	9.213e-06   	4.76e-06    
68          	10          	0.0421      	4.012e-06   	6.799e-06   	4.309e-06   
72          	10          	0.05589     	6.961e-06   	6.847e-06   	3.641e-06   
76          	10          	0.03951     	6.879e-06   	5.008e-06   	1.866e-06   
80          	10          	0.02368     	4.195e-06   	6.06e-06    	3.954e-06   
84          	10          	0.04478     	5.036e-06   	7.862e-06   	8.269e-07   
88          	10          	0.05447     	6.398e-06   	5.077e-06   	4.44e-06    
92          	10          	0.09136     	3.174e-06   	3.607e-06   	4.429e-06   
96          	10          	0.07178     	3.324e-06   	4.684e-06   	3.415e-06   
100         	10          	0.04856     	8.222e-06   	7.061e-06   	5.187e-06   
104         	10          	0.09482     	3.117e-06   	8.008e-06   	5.046e-06   
108         	10          	0.07794     	4.349e-06   	4.872e-06   	4.314e-06   
112         	10          	0.09439     	4.309e-06   	3.884e-06   	6.078e-06   
116         	10          	0.0871      	6.994e-06   	8.7e-06     	5.428e-06   
120         	10          	0.05462     	2.611e-06   	4.66e-06    	8.732e-06   
124         	10          	0.06062     	6.769e-06   	1.887e-06   	3.798e-06   
128         	10          	0.04814     	8.027e-06   	6.366e-06   	1.977e-06   
132         	10          	0.08145     	2.182e-06   	4.382e-06   	3.628e-06   
136         	10          	0.08329     	2.799e-06   	1.97e-06    	3.961e-06   
140         	10          	0.03197     	6.27e-06    	8.631e-06   	5.527e-06   
144         	10          	0.0431      	2.77e-06    	3.449e-06   	2.341e-06   
148         	10          	0.03097     	1.092e-05   	7.411e-06   	1.732e-06   
152         	10          	0.07996     	3.549e-06   	5.735e-06   	6.397e-06   
156         	10          	0.03857     	4.596e-06   	3.73e-06    	1.185e-05   
160         	10          	0.0509      	4.253e-06   	7.865e-06   	3.639e-06   
164         	10          	0.08628     	1.384e-05   	6.52e-06    	5.731e-06   
168         	10          	0.1739      	9.721e-06   	5.868e-06   	4.725e-06   
172         	10          	0.1154      	3.127e-06   	2.74e-06    	2.571e-06   
176         	10          	0.05719     	2.558e-06   	2.924e-06   	4.699e-06   
180         	10          	0.08414     	7.044e-06   	5.018e-06   	6.096e-06   
184         	10          	0.07614     	2.956e-06   	4.53e-06    	6.626e-06   
188         	10          	0.1029      	3.716e-06   	6.169e-06   	5.684e-06   
192         	10          	0.06969     	8.477e-06   	1.184e-05   	3.29e-06    
196         	10          	0.05196     	3.665e-06   	7.196e-06   	3.119e-06   
200         	10          	0.1017      	1.318e-05   	1.07e-05    	4.563e-06   
204         	10          	0.1156      	9.799e-06   	5.304e-06   	5.212e-06   
208         	10          	0.0873      	2.794e-06   	1.187e-05   	5.465e-06   
212         	10          	0.127       	4.251e-06   	4.584e-06   	5.064e-06   
216         	10          	0.08639     	7.894e-06   	1.192e-05   	6.06e-06    
220         	10          	0.0934      	8.208e-06   	4.927e-06   	1.684e-06   
224         	10          	0.1095      	1.125e-05   	1.144e-05   	3.247e-06   
228         	10          	0.07288     	2.452e-06   	1.375e-05   	4.465e-06   
232         	10          	0.1451      	2.536e-06   	1.157e-05   	8.245e-06   
236         	10          	0.2129      	4.29e-06    	1.102e-05   	9.883e-06   
240         	10          	0.1103      	4.85e-06    	1.914e-06   	7.204e-06   
244         	10          	0.02761     	4.763e-06   	5.688e-06   	2.429e-06   
248         	10          	0.1013      	1.251e-06   	6.537e-06   	4.999e-06   
252         	10          	0.08977     	8.375e-06   	1.047e-05   	3.39e-06    
256         	10          	0.06666     	4.175e-06   	3.833e-06   	5.414e-06   
260         	10          	0.08411     	4.226e-06   	7.521e-06   	5.789e-06   
264         	10          	0.1221      	4.152e-06   	5.028e-06   	1.192e-06   
268         	10          	0.1579      	3.615e-06   	1.164e-05   	7.52e-06    
272         	10          	0.08817     	4.076e-06   	5.848e-06   	4.983e-06   
276         	10          	0.0943      	7.15e-06    	9.828e-06   	1.17e-05    
280         	10          	0.06643     	5.503e-06   	6.318e-06   	4.197e-06   
284         	10          	0.1777      	2.694e-06   	3.509e-06   	4.017e-06   
288         	10          	0.1407      	1.677e-06   	1.174e-05   	6.656e-06   
292         	10          	0.1008      	3.835e-06   	4.105e-06   	7.962e-06   
