generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	17.52       	0.01073     	0.01477     	0.01188     
10          	10          	16.16       	0.0167      	0.02783     	0.01885     
15          	10          	15.3        	0.01681     	0.0336      	0.01928     
20          	10          	14.44       	0.01954     	0.04065     	0.0205      
25          	10          	13.69       	0.023       	0.04361     	0.0207      
30          	10          	13.01       	0.02123     	0.04589     	0.02273     
35          	10          	12.52       	0.01822     	0.04488     	0.02288     
40          	10          	12.01       	0.02102     	0.04394     	0.02065     
45          	10          	11.39       	0.02215     	0.04545     	0.02186     
50          	10          	10.96       	0.02001     	0.04647     	0.02248     
55          	10          	10.47       	0.02194     	0.0464      	0.02298     
60          	10          	10.1        	0.02138     	0.04682     	0.02336     
65          	10          	9.832       	0.02301     	0.04634     	0.02232     
70          	10          	9.5         	0.02236     	0.04451     	0.02211     
75          	10          	9.182       	0.02298     	0.04345     	0.02526     
80          	10          	8.993       	0.01986     	0.04237     	0.02321     
85          	10          	8.663       	0.02562     	0.04715     	0.02261     
90          	10          	8.407       	0.02133     	0.04806     	0.02127     
95          	10          	8.177       	0.02291     	0.04747     	0.02432     
100         	10          	7.897       	0.02739     	0.05367     	0.02184     
105         	10          	7.727       	0.02389     	0.04834     	0.0242      
110         	10          	7.593       	0.01909     	0.04964     	0.0257      
115         	10          	7.408       	0.02134     	0.04989     	0.02034     
120         	10          	7.223       	0.02098     	0.04713     	0.02151     
125         	10          	7.068       	0.02469     	0.04845     	0.01916     
130         	10          	6.97        	0.02138     	0.04561     	0.02007     
135         	10          	6.783       	0.01853     	0.04434     	0.02155     
140         	10          	6.618       	0.01915     	0.04846     	0.02103     
145         	10          	6.47        	0.02426     	0.05374     	0.02294     
150         	10          	6.337       	0.0293      	0.05834     	0.02338     
155         	10          	6.213       	0.02187     	0.05198     	0.0277      
160         	10          	6.133       	0.01942     	0.04698     	0.02149     
165         	10          	6.005       	0.0213      	0.04995     	0.02697     
170         	10          	5.888       	0.02005     	0.04841     	0.01939     
175         	10          	5.815       	0.02442     	0.043       	0.02142     
180         	10          	5.818       	0.01814     	0.0387      	0.02042     
185         	10          	5.61        	0.01848     	0.04143     	0.02349     
190         	10          	5.572       	0.01911     	0.04157     	0.01715     
195         	10          	5.475       	0.01995     	0.04216     	0.02123     
200         	10          	5.41        	0.01925     	0.03875     	0.01887     
205         	10          	5.3         	0.02438     	0.05049     	0.02001     
210         	10          	5.225       	0.0211      	0.04349     	0.01964     
215         	10          	5.187       	0.02484     	0.05015     	0.01669     
220         	10          	5.078       	0.02311     	0.04552     	0.02077     
225         	10          	5.08        	0.02014     	0.04688     	0.02095     
230         	10          	5.032       	0.01806     	0.03984     	0.02079     
235         	10          	4.973       	0.02231     	0.04481     	0.01922     
240         	10          	4.955       	0.01739     	0.04641     	0.02491     
245         	10          	4.892       	0.0212      	0.04856     	0.02703     
250         	10          	4.778       	0.01855     	0.04722     	0.02217     
255         	10          	4.75        	0.01827     	0.04375     	0.02077     
260         	10          	4.747       	0.02214     	0.04297     	0.01681     
265         	10          	4.702       	0.0209      	0.04342     	0.01669     
270         	10          	4.697       	0.02123     	0.04086     	0.01782     
275         	10          	4.645       	0.02238     	0.04912     	0.02121     
280         	10          	4.637       	0.01858     	0.04614     	0.02314     
285         	10          	4.607       	0.02856     	0.04806     	0.02234     
290         	10          	4.598       	0.02739     	0.0467      	0.0201      
