replicate   	generation  	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
1           	4           	17.85       	0.01169     	0.01245     	0.01253     
1           	8           	16.85       	0.0119      	0.0191      	0.01402     
1           	12          	15.62       	0.01734     	0.04324     	0.0173      
1           	16          	14.83       	0.02108     	0.03628     	0.02593     
1           	20          	14.02       	0.02449     	0.04617     	0.02342     
1           	24          	13.53       	0.02177     	0.04618     	0.01725     
1           	28          	12.93       	0.01545     	0.05073     	0.0217      
1           	32          	12.83       	0.01551     	0.04682     	0.02362     
1           	36          	12.52       	0.01837     	0.03624     	0.01681     
1           	40          	11.85       	0.02279     	0.03222     	0.0159      
1           	44          	11.45       	0.02385     	0.03911     	0.02175     
1           	48          	10.8        	0.02092     	0.03986     	0.01245     
1           	52          	10.27       	0.03851     	0.06435     	0.02641     
1           	56          	10.3        	0.03104     	0.05839     	0.02051     
1           	60          	10.02       	0.02537     	0.05379     	0.01789     
1           	64          	9.583       	0.02004     	0.05353     	0.02423     
1           	68          	9.5         	0.01439     	0.03416     	0.02067     
1           	72          	9.2         	0.01022     	0.03397     	0.02214     
1           	76          	9.133       	0.02966     	0.04488     	0.03663     
1           	80          	9           	0.01809     	0.04889     	0.02024     
1           	84          	8.783       	0.02952     	0.06087     	0.0313      
1           	88          	8.467       	0.02415     	0.05934     	0.03136     
1           	92          	8.35        	0.02221     	0.05463     	0.01188     
1           	96          	8.183       	0.0206      	0.04095     	0.02154     
1           	100         	7.967       	0.01853     	0.04565     	0.03088     
1           	104         	7.683       	0.03036     	0.03882     	0.02081     
1           	108         	7.45        	0.01779     	0.04516     	0.02744     
1           	112         	7.217       	0.03251     	0.06669     	0.03446     
1           	116         	7.283       	0.01667     	0.03756     	0.01728     
1           	120         	7.217       	0.0156      	0.05368     	0.03173     
1           	124         	7.433       	0.01336     	0.03322     	0.02279     
1           	128         	7.35        	0.01373     	0.04206     	0.0139      
1           	132         	7.15        	0.02726     	0.06231     	0.02149     
1           	136         	6.883       	0.02658     	0.04698     	0.02571     
1           	140         	6.933       	0.02976     	0.04384     	0.01998     
1           	144         	6.733       	0.03043     	0.04189     	0.01938     
1           	148         	6.75        	0.02644     	0.03609     	0.0209      
1           	152         	6.583       	0.0345      	0.03877     	0.01774     
1           	156         	6.6         	0.03122     	0.04601     	0.01645     
1           	160         	6.483       	0.03749     	0.06245     	0.02705     
1           	164         	6.4         	0.01725     	0.04031     	0.02255     
1           	168         	6.217       	0.02271     	0.04922     	0.03045     
1           	172         	6.067       	0.03429     	0.05904     	0.0271      
1           	176         	6.1         	0.03274     	0.04735     	0.02041     
1           	180         	6.2         	0.02751     	0.03802     	0.01548     
1           	184         	6           	0.02517     	0.03387     	0.01461     
1           	188         	5.817       	0.01837     	0.03684     	0.01879     
1           	192         	5.967       	0.01659     	0.02487     	0.02274     
1           	196         	5.917       	0.02088     	0.03299     	0.01849     
1           	200         	5.7         	0.01556     	0.03295     	0.01526     
1           	204         	5.867       	0.01439     	0.02573     	0.007399    
1           	208         	5.5         	0.01793     	0.04357     	0.02397     
1           	212         	5.533       	0.02477     	0.0394      	0.02101     
1           	216         	5.467       	0.03004     	0.04051     	0.01917     
1           	220         	5.333       	0.02752     	0.03757     	0.01381     
1           	224         	5.333       	0.01022     	0.03692     	0.01962     
1           	228         	5.3         	0.02116     	0.04908     	0.03526     
1           	232         	5.25        	0.02189     	0.04167     	0.01176     
1           	236         	5.2         	0.0241      	0.04405     	0.02303     
1           	240         	5.1         	0.01641     	0.04082     	0.01515     
1           	244         	4.9         	0.01985     	0.04358     	0.02877     
1           	248         	4.967       	0.02536     	0.0545      	0.02319     
1           	252         	4.783       	0.03451     	0.06561     	0.03552     
1           	256         	4.85        	0.02234     	0.05587     	0.03139     
1           	260         	4.833       	0.03837     	0.07205     	0.03441     
1           	264         	4.833       	0.01641     	0.05836     	0.0187      
1           	268         	4.917       	0.03755     	0.07801     	0.02231     
1           	272         	4.717       	0.01202     	0.06314     	0.04375     
1           	276         	4.667       	0.02855     	0.07351     	0.04548     
1           	280         	4.633       	0.01049     	0.05495     	0.0349      
1           	284         	4.383       	0.01889     	0.0392      	0.02446     
1           	288         	4.55        	0.009565    	0.03678     	0.02369     
1           	292         	4.483       	0.02516     	0.06673     	0.0263      
1           	296         	4.5         	0.03399     	0.06347     	0.03021     
1           	300         	4.533       	0.01702     	0.0477      	0.01901     
1           	304         	4.467       	0.02191     	0.04174     	0.01566     
1           	308         	4.433       	0.01984     	0.04381     	0.02672     
1           	312         	4.317       	0.02671     	0.03422     	0.02171     
1           	316         	4.4         	0.02759     	0.01927     	0.02524     
1           	320         	4.517       	0.0163      	0.019       	0.01618     
1           	324         	4.367       	0.03988     	0.02334     	0.01491     
1           	328         	4.267       	0.0379      	0.02659     	0.01505     
1           	332         	4.233       	0.03042     	0.05086     	0.02219     
1           	336         	4.133       	0.03404     	0.04579     	0.008179    
1           	340         	4.217       	0.02417     	0.03577     	0.01644     
1           	344         	4           	0.02795     	0.04672     	0.01799     
1           	348         	4.2         	0.02137     	0.05973     	0.02911     
1           	352         	4.2         	0.01941     	0.03073     	0.008372    
1           	356         	4.283       	0.03001     	0.04584     	0.01204     
1           	360         	4.283       	0.03468     	0.04752     	0.003684    
1           	364         	4.233       	0.02418     	0.03431     	0.008677    
1           	368         	4.083       	0.03791     	0.03157     	0.02398     
1           	372         	4.083       	0.03013     	0.02707     	0.02476     
1           	376         	4.067       	0.02689     	0.04307     	0.02042     
1           	380         	4.05        	0.02334     	0.0488      	0.02272     
1           	384         	3.917       	0.02337     	0.04608     	0.02093     
1           	388         	4.05        	0.0211      	0.02339     	0.01928     
1           	392         	4.017       	0.02566     	0.02407     	0.0157      
1           	396         	4.05        	0.02742     	0.04848     	0.01573     
1           	400         	4           	0.008769    	0.02898     	0.01509     
1           	404         	3.883       	0.02252     	0.03449     	0.02496     
1           	408         	3.883       	0.02065     	0.0684      	0.02732     
1           	412         	3.983       	0.02443     	0.08098     	0.0361      
1           	416         	3.867       	0.02163     	0.09303     	0.02725     
1           	420         	3.817       	0.01516     	0.05517     	0.02743     
1           	424         	3.883       	0.004383    	0.03317     	0.01381     
1           	428         	3.833       	0.01478     	0.05821     	0.03713     
1           	432         	3.85        	0.01922     	0.07119     	0.02314     
1           	436         	3.75        	0.03691     	0.07059     	0.02643     
1           	440         	3.733       	0.04853     	0.06616     	0.01156     
1           	444         	3.733       	0.04742     	0.06815     	0.01711     
1           	448         	3.883       	0.04773     	0.07257     	0.01367     
1           	452         	3.733       	0.05002     	0.07665     	0.02217     
1           	456         	3.9         	0.01429     	0.04049     	0.01763     
1           	460         	3.867       	0.02203     	0.07368     	0.02794     
1           	464         	3.8         	0.01783     	0.05092     	0.009966    
1           	468         	3.783       	0.02243     	0.04279     	0.02909     
