generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	0.03363     	1.012e-05   	3.417e-06   	3.437e-06   
10          	10          	0.06701     	3.66e-05    	1.445e-05   	2.108e-05   
15          	10          	0.08099     	1.693e-05   	2.029e-05   	2.571e-05   
20          	10          	0.083       	2.403e-05   	3.994e-05   	1.524e-05   
25          	10          	0.07217     	2.401e-05   	3.343e-05   	4.198e-05   
30          	10          	0.2128      	2.064e-05   	4.336e-05   	2.312e-05   
35          	10          	0.1207      	4.605e-05   	8.897e-05   	1.942e-05   
40          	10          	0.05929     	8.393e-06   	7.136e-05   	3.121e-05   
45          	10          	0.08861     	1.761e-05   	7.479e-05   	3.254e-05   
50          	10          	0.05774     	1.857e-05   	5.315e-05   	2.751e-05   
55          	10          	0.0324      	3.686e-05   	8.08e-05    	2.589e-05   
60          	10          	0.04044     	2.052e-05   	5.077e-05   	3.289e-05   
65          	10          	0.03602     	7.185e-05   	5.089e-05   	4.29e-05    
70          	10          	0.04622     	5.5e-05     	5.441e-05   	1.766e-05   
75          	10          	0.05253     	4.253e-05   	5.234e-05   	2.202e-05   
80          	10          	0.06412     	2.828e-05   	2.613e-05   	2.56e-05    
85          	10          	0.04338     	3.27e-05    	0.0001198   	4.304e-05   
90          	10          	0.07607     	7.927e-05   	8.19e-05    	1.626e-05   
95          	10          	0.05962     	2.954e-05   	0.0001429   	4.282e-05   
100         	10          	0.06643     	5.387e-05   	0.0001176   	2.635e-05   
105         	10          	0.09279     	2.953e-05   	0.0001838   	7.699e-05   
110         	10          	0.1385      	1.113e-05   	0.0001466   	6.471e-05   
115         	10          	0.1213      	3.747e-05   	7.762e-05   	1.791e-05   
120         	10          	0.1081      	4.639e-05   	3.605e-05   	4.337e-05   
125         	10          	0.07397     	6.15e-05    	7.428e-05   	3.856e-05   
130         	10          	0.09838     	2.437e-05   	0.0001281   	4.553e-05   
135         	10          	0.06067     	3.84e-05    	6.592e-05   	2.673e-05   
140         	10          	0.09819     	0.0001069   	0.0001243   	9.275e-05   
145         	10          	0.1322      	5.987e-05   	0.0002624   	8.101e-05   
150         	10          	0.08716     	5.79e-05    	0.000115    	6.653e-05   
155         	10          	0.1054      	4.727e-05   	8.116e-05   	2.905e-05   
160         	10          	0.1372      	3.475e-05   	9.997e-05   	4.255e-05   
