generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
4           	10          	18.46       	0.006111    	0.00632     	0.005722    
8           	10          	17.64       	0.01247     	0.01487     	0.0116      
12          	10          	16.92       	0.01754     	0.02215     	0.01826     
16          	10          	16.34       	0.02022     	0.02766     	0.02086     
20          	10          	15.91       	0.021       	0.03242     	0.02096     
24          	10          	15.6        	0.0229      	0.03608     	0.02173     
28          	10          	14.92       	0.02582     	0.04006     	0.02551     
32          	10          	14.72       	0.02495     	0.04206     	0.02367     
36          	10          	14.4        	0.02441     	0.04478     	0.02726     
40          	10          	14.03       	0.0271      	0.04787     	0.02945     
44          	10          	13.71       	0.02946     	0.05095     	0.02798     
48          	10          	13.43       	0.02755     	0.05249     	0.02729     
52          	10          	13.13       	0.02814     	0.05598     	0.02778     
56          	10          	12.97       	0.0272      	0.05442     	0.02471     
60          	10          	12.71       	0.02742     	0.05323     	0.02637     
64          	10          	12.62       	0.02778     	0.05372     	0.02641     
68          	10          	12.48       	0.02525     	0.05161     	0.02503     
72          	10          	12.29       	0.0282      	0.05397     	0.03008     
76          	10          	12.05       	0.02857     	0.05911     	0.03136     
80          	10          	11.96       	0.02607     	0.05304     	0.02762     
84          	10          	11.71       	0.0308      	0.05623     	0.02575     
88          	10          	11.55       	0.02859     	0.05572     	0.0262      
92          	10          	11.31       	0.02791     	0.05806     	0.02599     
96          	10          	11.22       	0.02698     	0.05899     	0.02726     
100         	10          	11.09       	0.02663     	0.05911     	0.02757     
104         	10          	10.83       	0.02963     	0.05673     	0.02704     
108         	10          	10.65       	0.0291      	0.05762     	0.02956     
112         	10          	10.57       	0.02987     	0.0564      	0.02746     
116         	10          	10.32       	0.03141     	0.05624     	0.02859     
120         	10          	10.29       	0.02846     	0.05629     	0.02913     
124         	10          	10.03       	0.02665     	0.05565     	0.02955     
128         	10          	9.923       	0.03011     	0.0604      	0.02947     
132         	10          	9.857       	0.03049     	0.05758     	0.03026     
136         	10          	9.688       	0.02794     	0.05817     	0.03064     
140         	10          	9.547       	0.02769     	0.05703     	0.02995     
144         	10          	9.407       	0.03068     	0.05695     	0.02843     
148         	10          	9.28        	0.02933     	0.0557      	0.02697     
152         	10          	9.19        	0.03232     	0.05808     	0.02613     
156         	10          	9.15        	0.02496     	0.05769     	0.0302      
160         	10          	9.05        	0.02867     	0.05611     	0.02826     
164         	10          	8.913       	0.02776     	0.05866     	0.02743     
